country,file,row_index,municipality_code,municipality_name,canonical_name,reason
AT,2019.csv,1,AT_10199,Wahlkarten - Eisenstadt Stadt,Wahlkarten - Eisenstadt Stadt,special_wahlkarten
AT,2019.csv,3,AT_10299,Wahlkarten - Rust Stadt,Wahlkarten - Rust Stadt,special_wahlkarten
AT,2019.csv,27,AT_10399,Wahlkarten - Eisenstadt - Umgebung,Wahlkarten - Eisenstadt - Umgebung,special_wahlkarten
AT,2019.csv,56,AT_10499,Wahlkarten - Güssing,Wahlkarten - Güssing,special_wahlkarten
AT,2019.csv,69,AT_10599,Wahlkarten - Jennersdorf,Wahlkarten - Jennersdorf,special_wahlkarten
AT,2019.csv,89,AT_10699,Wahlkarten - Mattersburg,Wahlkarten - Mattersburg,special_wahlkarten
AT,2019.csv,117,AT_10799,Wahlkarten - Neusiedl am See,Wahlkarten - Neusiedl am See,special_wahlkarten
AT,2019.csv,146,AT_10899,Wahlkarten - Oberpullendorf,Wahlkarten - Oberpullendorf,special_wahlkarten
AT,2019.csv,179,AT_10999,Wahlkarten - Oberwart,Wahlkarten - Oberwart,special_wahlkarten
AT,2019.csv,181,AT_20199,Wahlkarten - Klagenfurt Stadt,Wahlkarten - Klagenfurt Stadt,special_wahlkarten
AT,2019.csv,183,AT_20299,Wahlkarten - Villach Stadt,Wahlkarten - Villach Stadt,special_wahlkarten
AT,2019.csv,191,AT_20399,Wahlkarten - Hermagor,Wahlkarten - Hermagor,special_wahlkarten
AT,2019.csv,211,AT_20499,Wahlkarten - Klagenfurt-Land,Wahlkarten - Klagenfurt-Land,special_wahlkarten
AT,2019.csv,232,AT_20599,Wahlkarten - St. Veit an der Glan,Wahlkarten - St. Veit an der Glan,special_wahlkarten
AT,2019.csv,266,AT_20699,Wahlkarten - Spittal an der Drau,Wahlkarten - Spittal an der Drau,special_wahlkarten
AT,2019.csv,286,AT_20799,Wahlkarten - Villach-Land,Wahlkarten - Villach-Land,special_wahlkarten
AT,2019.csv,300,AT_20899,Wahlkarten - Völkermarkt,Wahlkarten - Völkermarkt,special_wahlkarten
AT,2019.csv,310,AT_20999,Wahlkarten - Wolfsberg,Wahlkarten - Wolfsberg,special_wahlkarten
AT,2019.csv,321,AT_21099,Wahlkarten - Feldkirchen,Wahlkarten - Feldkirchen,special_wahlkarten
AT,2019.csv,323,AT_30199,Wahlkarten - Krems an der Donau Stadt,Wahlkarten - Krems an der Donau Stadt,special_wahlkarten
AT,2019.csv,325,AT_30299,Wahlkarten - Sankt Pölten Stadt,Wahlkarten - Sankt Pölten Stadt,special_wahlkarten
