gisco_id,name,registered,turnout,invalid,blank,VLAAMS BLOK,VLD Vivant,CD&V/N-VA,sp.a-spirit,GROEN!,PVDA+,LSP,SP,PFF MR,CSP,ECOLO,FN,FNB,R.W.F.,CDF,PTB+,MAS,PS,MR,CDH,PJU-PDB
BE_K00002,Alost,90872,84040,3749,0,21161,21011,19120,12951,5289,415,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00001,Aarschot,37728,35217,1773,0,7894,7939,9455,5530,2275,177,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00003,Andenne,25162,22870,1763,0,0,0,0,0,0,0,0,8701,4943,3151,2022,1524,350,178,109,99,30,0,0,0,0
BE_K00004,Anderlecht,67613,56564,2540,0,3969,1862,1753,1541,648,61,41,0,0,0,3854,3365,854,164,306,278,138,16781,13033,5376,0
BE_K00005,Antoing,14878,13594,1469,0,0,0,0,0,0,0,0,5763,2489,1806,885,832,133,95,55,49,18,0,0,0,0
BE_K00006,Anvers,337363,296768,9758,0,91638,50132,45466,67005,27965,3792,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00007,Arendonk,30905,29111,1585,0,5773,4388,12178,3382,1590,144,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00008,Arlon,22520,20270,1784,0,0,0,0,0,0,0,0,4758,4983,4670,2395,1074,165,124,204,82,31,0,0,0,0
BE_K00009,Asse,102524,93854,3301,0,19715,22622,22742,9272,5984,216,125,2631,4052,1089,874,658,208,64,212,52,37,0,0,0,0
BE_K00010,Assenede,19890,18540,877,0,3522,4209,4394,3535,1130,790,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00011,Ath,20279,18577,1168,0,0,0,0,0,0,0,0,8123,4005,1988,1232,1474,168,230,78,78,33,0,0,0,0
BE_K00012,Aubel,8604,8968,805,0,0,0,0,0,0,0,0,2424,2324,2109,743,357,53,49,56,29,19,0,0,0,0
BE_K00014,Avelgem,8786,8312,559,0,1212,1752,2471,1793,435,31,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00015,Aywaille,31439,27823,1131,0,0,0,0,0,0,0,0,8323,9013,4096,2973,1368,211,278,193,179,58,0,0,0,0
BE_K00016,Bassenge,29505,26462,1399,0,0,0,0,0,0,0,0,9570,6088,5021,1718,1782,237,151,136,295,65,0,0,0,0
BE_K00017,Bastogne,12050,11273,914,0,0,0,0,0,0,0,0,1670,4017,3205,663,543,105,50,70,23,13,0,0,0,0
BE_K00018,Beaumont,11110,10183,825,0,0,0,0,0,0,0,0,2975,2811,1673,633,917,72,158,43,63,13,0,0,0,0
BE_K00019,Beauraing,9501,8794,714,0,0,0,0,0,0,0,0,2693,2614,1501,640,449,45,45,56,27,10,0,0,0,0
BE_K00020,Beloeil,17788,16228,1122,0,0,0,0,0,0,0,0,7329,3474,1475,971,1397,189,97,66,70,38,0,0,0,0
BE_K00021,Beringen,83431,77940,3888,0,19804,11254,18915,19522,3933,377,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00022,Beveren,35385,32918,1111,0,9241,5331,10035,4551,2352,160,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00023,Bilzen,29860,28322,1598,0,6105,5303,9653,4199,1238,130,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00024,Binche,42277,37535,2820,0,0,0,0,0,0,0,0,17181,6163,3897,2083,3955,367,576,143,283,67,0,0,0,0
BE_K00025,Boom,43509,39862,1514,0,11866,6117,8849,8706,2459,243,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00120,Looz,34027,32463,1811,0,6297,7730,8897,5851,1646,125,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00026,Bouillon,4125,3781,360,0,0,0,0,0,0,0,0,951,1252,635,226,229,53,25,38,9,3,0,0,0,0
BE_K00027,Boussu,46121,41420,3172,0,0,0,0,0,0,0,0,19985,5874,4275,2558,3871,577,475,163,375,95,0,0,0,0
BE_K00032,Bruxelles,76836,62923,2512,0,3140,2450,1803,2079,1861,86,27,0,0,0,5405,2426,624,227,477,415,185,18824,13611,6771,0
BE_K00028,Brakel,16204,15225,936,0,2646,4545,3874,2307,802,56,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00029,Brecht,65857,60557,2773,0,14454,11092,19303,7882,4552,346,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00030,Bree,29119,28077,1633,0,4827,6712,10361,3237,1106,104,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00031,Bruges,201008,185068,9019,0,34395,40094,52919,31500,15687,716,738,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00033,Celles,6620,6104,570,0,0,0,0,0,0,0,0,1686,1911,1114,421,278,34,28,44,13,5,0,0,0,0
BE_K00034,Châtelet,60507,54226,3818,0,0,0,0,0,0,0,0,21619,9212,7214,3424,6550,785,569,332,599,104,0,0,0,0
BE_K00035,Charleroi,134387,115208,8978,0,0,0,0,0,0,0,0,44695,17809,12891,7969,16654,2137,1470,647,1711,247,0,0,0,0
BE_K00036,Chièvres,6754,6534,454,0,0,0,0,0,0,0,0,2593,1700,716,394,482,71,54,37,23,10,0,0,0,0
BE_K00037,Chimay,10849,10030,1069,0,0,0,0,0,0,0,0,2479,2744,2114,619,740,56,127,41,31,10,0,0,0,0
BE_K00038,Ciney,22899,20821,1566,0,0,0,0,0,0,0,0,5721,6186,3892,1943,1041,91,140,162,60,19,0,0,0,0
BE_K00039,Comines-Warneton,10987,10054,1504,0,0,0,0,0,0,0,0,2003,2383,2552,745,546,147,56,53,47,18,0,0,0,0
BE_K00041,Couvin,14321,13039,1282,0,0,0,0,0,0,0,0,4299,2680,2626,897,982,50,105,46,65,7,0,0,0,0
