gisco_id,name,registered,turnout,invalid,blank,open vld,VLAAMS BELANG,CD&V,SP.A,N-VA,Lijst Dedecker,GROEN!,PVDA+,SLP,LSP,CAP,SP,ECOLO,PFF,CSP,FN,R.W.F.,WALLONIE D'ABORD,PTB+,MS,CAP D'ORAZIO,LCR-PSL,PC-GE,PS,MR,CDH,ProDG,VIVANT,EUROPA der WERTE
BE_K00002,Alost,91985,84565,4238,0,18346,15992,15163,9544,8589,6175,5044,652,485,209,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00001,Aarschot,38945,36097,1995,0,7262,5138,8107,4116,3212,3238,2305,334,233,85,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00003,Andenne,26550,23806,2312,0,0,0,0,0,0,0,0,0,0,0,0,6463,5542,5030,2614,743,414,336,166,53,51,49,33,0,0,0,0,0,0
BE_K00004,Anderlecht,70179,59305,4371,0,2393,2021,1353,1315,388,379,742,74,48,24,22,0,10026,0,0,1849,204,315,513,57,165,228,131,14411,11761,6515,0,0,0
BE_K00005,Antoing,15119,13773,1802,0,0,0,0,0,0,0,0,0,0,0,0,4893,2155,2378,1568,493,120,217,42,8,20,25,52,0,0,0,0,0,0
BE_K00006,Anvers,335113,294848,9953,0,46760,66003,35262,57074,24032,10815,34732,6535,2340,775,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00007,Arendonk,31744,29920,1713,0,3573,4288,9703,2683,4600,1501,1475,168,115,54,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00008,Arlon,23691,21330,2054,0,0,0,0,0,0,0,0,0,0,0,0,3246,5980,4945,3943,551,152,227,72,28,30,50,52,0,0,0,0,0,0
BE_K00009,Asse,104822,95875,3634,0,20593,13247,17874,6389,11727,5209,5576,438,251,121,70,2076,2748,3718,1213,412,94,235,108,29,38,47,28,0,0,0,0,0,0
BE_K00010,Assenede,20179,18900,1035,0,4297,2597,3562,2436,1116,1650,898,1086,132,43,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00011,Ath,21307,19247,1754,0,0,0,0,0,0,0,0,0,0,0,0,6370,3548,4266,1716,611,203,488,116,18,51,61,45,0,0,0,0,0,0
BE_K00012,Aubel,9117,9134,926,0,0,0,0,0,0,0,0,0,0,0,0,1673,1858,2147,1958,296,64,114,47,13,17,10,11,0,0,0,0,0,0
