gisco_id,name,registered,turnout,invalid,blank,N-VA,open vld,CD&V,SP.A,VLAAMS BELANG,GROEN,PVDA+,PS,MR,CDH,Parti Populaire,ECOLO,PTB-GO!,DEBOUT LES BELGES,FDF,LA DROITE,VEGA,MG,Stand Up USE,CSP,PRO DG,SP,VIVANT,PFF,VB
BE_41002,Aalst (Aalst) / Alost (Alost),0,57425,2643,0,17423,11374,8579,6865,4841,4708,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_44001,Aalter,0,14629,633,0,3135,2813,4479,1102,645,1637,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_24001,Aarschot,0,21726,1353,0,5012,4495,4319,2499,1594,2011,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_11001,Aartselaar,0,10230,302,0,3538,2013,1789,804,686,933,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_23105,Affligem,0,9283,350,0,2886,2464,1733,621,501,622,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_52074,Aiseau-Presles,0,6747,686,0,0,0,0,0,0,0,0,2304,1048,682,544,449,401,314,146,123,25,15,10,0,0,0,0,0,0
BE_73001,Alken,0,8508,451,0,2120,1682,2051,897,422,766,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_38002,Alveringem,0,3528,181,0,917,581,964,402,199,236,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_61003,Amay,0,9419,708,0,0,0,0,0,0,0,0,3328,1301,447,574,1707,731,197,152,203,55,10,6,0,0,0,0,0,0
BE_63001,Amel / Amblève,0,3666,383,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,0,0,0,0,0,1092,498,421,337,299,0
BE_92003,Andenne,0,16813,1761,0,0,0,0,0,0,0,0,5212,3280,1556,973,1867,927,417,365,303,100,26,26,0,0,0,0,0,0
BE_21001,Anderlecht,0,48090,3618,0,1185,2034,794,1052,0,700,110,13585,8153,3959,1502,4131,1814,2014,2093,445,201,71,75,0,0,0,0,0,554
BE_56001,Anderlues,0,7301,692,0,0,0,0,0,0,0,0,2926,1097,616,510,397,383,313,134,145,17,56,15,0,0,0,0,0,0
BE_91005,Anhée,0,4826,518,0,0,0,0,0,0,0,0,1072,1210,774,272,425,220,90,101,83,44,3,14,0,0,0,0,0,0
BE_62003,Ans,0,17794,1038,0,0,0,0,0,0,0,0,6295,3459,1469,1241,1480,1446,388,490,275,159,31,23,0,0,0,0,0,0
BE_61079,Anthisnes,0,2885,125,0,0,0,0,0,0,0,0,1387,589,122,88,252,209,14,36,42,17,2,2,0,0,0,0,0,0
BE_57003,Antoing,0,5144,713,0,0,0,0,0,0,0,0,1957,950,285,178,422,206,168,90,119,11,31,14,0,0,0,0,0,0
BE_11002,Antwerpen / Anvers,0,283614,11012,0,75486,35742,27533,47221,23211,44374,19035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_34002,Anzegem,0,10742,666,0,2590,2205,2772,1035,566,769,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_37020,Ardooie,0,6765,408,0,1205,2498,1293,524,333,424,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_13001,Arendonk,0,8411,372,0,2870,880,2060,824,643,651,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_81001,Arlon / Aarlen,0,17465,1676,0,0,0,0,0,0,0,0,3230,4359,3402,880,2427,334,361,349,250,64,91,42,0,0,0,0,0,0
BE_71002,As,0,5704,317,0,1726,758,1286,734,367,324,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_23002,Asse,0,20365,917,0,5082,5705,3449,2036,996,1906,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_43002,Assenede,0,10208,547,0,2267,2413,2038,1077,679,842,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_92006,Assesse,0,4645,283,0,0,0,0,0,0,0,0,764,1600,644,243,685,193,49,79,61,18,2,24,0,0,0,0,0,0
BE_51004,Ath / Aat,0,19665,1691,0,0,0,0,0,0,0,0,6703,4490,1499,1287,2192,559,419,375,214,96,102,38,0,0,0,0,0,0
BE_81003,Attert,0,3354,325,0,0,0,0,0,0,0,0,330,962,893,145,488,58,40,49,30,16,11,7,0,0,0,0,0,0
BE_81004,Aubange,0,8495,1325,0,0,0,0,0,0,0,0,2075,1493,1509,422,799,187,272,129,177,19,69,19,0,0,0,0,0,0
BE_63003,Aubel,0,3724,203,0,0,0,0,0,0,0,0,705,1407,536,254,349,94,36,96,29,9,4,2,0,0,0,0,0,0
BE_21002,Auderghem / Oudergem,0,16580,647,0,196,1236,274,113,0,184,26,2013,3923,874,390,2747,409,231,2906,121,113,16,83,0,0,0,0,0,78
BE_34003,Avelgem,0,7154,510,0,1295,1434,1667,1309,334,517,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_62006,Awans,0,6050,299,0,0,0,0,0,0,0,0,1816,1666,544,441,481,425,86,122,94,54,11,11,0,0,0,0,0,0
BE_62009,Aywaille,0,8081,401,0,0,0,0,0,0,0,0,1640,3001,868,413,867,403,140,130,127,72,5,14,0,0,0,0,0,0
BE_63012,Büllingen / Bullange,0,3600,313,0,0,0,0,0,0,0,0,0,0,0,0,380,0,0,0,0,0,0,0,1052,539,305,422,589,0
BE_63013,Bütgenbach / Butgenbach,0,3613,433,0,0,0,0,0,0,0,0,0,0,0,0,452,0,0,0,0,0,0,0,907,335,386,593,507,0
BE_13002,Baarle-Hertog / Baerle-Duc,0,1020,45,0,290,122,321,66,55,92,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_63004,Baelen,0,2816,220,0,0,0,0,0,0,0,0,540,799,379,207,378,86,63,44,76,18,1,5,0,0,0,0,0,0
BE_13003,Balen,0,15528,835,0,5219,1715,3204,1930,1330,918,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_62011,Bassenge / Bitsingen,0,5752,379,0,0,0,0,0,0,0,0,1345,1306,908,596,503,375,110,110,84,25,4,7,0,0,0,0,0,0
BE_82003,Bastogne / Bastenaken,0,10128,1136,0,0,0,0,0,0,0,0,1088,2852,3168,475,760,176,168,140,111,17,19,18,0,0,0,0,0,0
BE_56005,Beaumont,0,4774,509,0,0,0,0,0,0,0,0,1177,1273,555,403,347,180,101,79,120,10,12,8,0,0,0,0,0,0
BE_91013,Beauraing,0,6115,614,0,0,0,0,0,0,0,0,1491,1826,877,257,566,193,85,109,62,19,8,8,0,0,0,0,0,0
BE_25005,Beauvechain / Bevekom,0,4775,222,0,0,0,0,0,0,0,0,711,2138,429,212,704,83,79,107,38,22,2,28,0,0,0,0,0,0
BE_31003,Beernem,0,11238,630,0,2603,2060,2850,1243,569,1126,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_13004,Beerse,0,12280,546,0,4399,1502,2764,888,1033,934,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_23003,Beersel,0,15666,856,0,3565,4737,2304,1296,586,2049,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_24007,Begijnendijk,0,7420,386,0,2036,1465,1465,762,531,618,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_24008,Bekkevoort,0,4487,254,0,1073,967,1096,506,276,251,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_51008,Beloeil,0,9353,930,0,0,0,0,0,0,0,0,3388,2314,650,518,607,301,288,156,145,28,11,17,0,0,0,0,0,0
BE_21003,Berchem-Sainte-Agathe / Sint-Agatha-Berchem,0,12461,689,0,471,908,406,223,0,225,29,2413,2708,1132,431,1164,326,337,666,92,39,9,26,0,0,0,0,0,167
BE_71004,Beringen,0,30444,1640,0,8278,3451,5986,6223,2562,1803,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_12002,Berlaar,0,8190,434,0,2310,1245,1642,993,668,716,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_42003,Berlare,0,10719,539,0,2832,3203,1796,977,636,594,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_64008,Berloz,0,2064,147,0,0,0,0,0,0,0,0,716,445,201,113,214,104,45,42,32,4,1,0,0,0,0,0,0,0
BE_51009,Bernissart,0,7613,775,0,0,0,0,0,0,0,0,3160,1476,417,349,526,306,255,134,162,28,14,11,0,0,0,0,0,0
BE_24009,Bertem,0,6587,238,0,1417,1736,1384,648,272,816,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_82005,Bertogne,0,2282,298,0,0,0,0,0,0,0,0,228,689,677,122,158,25,21,29,24,9,2,0,0,0,0,0,0,0
BE_84009,Bertrix,0,5288,564,0,0,0,0,0,0,0,0,1054,1380,1186,295,432,111,105,65,62,15,9,10,0,0,0,0,0,0
BE_46003,Beveren (Sint-Niklaas) / Beveren (Saint-Nicolas),0,33936,1364,0,10817,4633,7231,3091,3014,3101,685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
