gisco_id,name,registered,turnout,invalid,blank,Зелена партия,Съюз на свободните демократи  ,Никола Петков Иванов  ,"Ред, законност и справедливост  ",Коалиция на българските социалдемократи  ,Демократи за силна България  ,ПЕС – БСП и ДСХ  ,Съюз на демократичните сили  ,Земеделски народен съюз  ,ГЕРБ  ,НДСВ  ,Атака  ,Мария Стоянова Серкеджиева  ,Движение за права и свободи  ,Комунистическа партия на България  ,Граждански съюз за нова България  
BG_BLG5277058,Хаджидимово,8596,4350,14,0,8,15,4,12,100,158,648,119,19,582,263,504,9,1853,30,12
BG_LOV1843952,Ловеч,51163,13728,171,0,53,82,26,82,364,485,4015,627,224,3319,956,1962,37,1130,135,60
BG_DOB2040097,Крушари,4086,1791,22,0,3,10,4,13,17,16,247,31,10,226,69,131,5,949,16,22
BG_SLV1139030,Котел,18527,5084,93,0,14,27,15,32,88,73,537,105,159,450,167,670,21,2545,51,37
BG_BLG5387338,Якоруда,9164,4949,16,0,2,4,2,8,17,29,157,23,7,104,69,213,5,4267,9,17
BG_VAR0100084,Аврен,6298,2794,35,0,4,9,5,11,28,37,505,113,35,547,429,211,6,787,25,7
BG_KRZ1539970,Крумовград,18478,9154,42,0,12,8,2,17,70,71,532,56,37,310,150,169,18,7525,61,74
BG_GAB2965927,Севлиево,35582,10575,60,0,50,90,21,58,215,298,2198,260,266,2368,507,1751,17,2227,130,59
BG_KRZ1436926,Кирково,20533,10646,47,0,14,22,4,20,123,24,503,63,61,1241,169,110,15,8119,49,62
BG_BLG0304279,Благоевград,67034,18580,139,0,102,162,20,173,531,827,3554,1360,1128,6173,1676,2097,29,268,183,158
BG_BGS0100151,Айтос,26719,11320,150,0,26,42,15,56,105,145,1694,145,53,1964,336,763,20,5707,56,43
BG_PAZ0403592,Белово,9004,2092,20,0,20,23,1,9,275,52,418,53,47,451,218,417,8,42,33,5
BG_VID0910971,Видин,68301,16955,169,0,35,104,9,37,376,444,7221,1283,343,3127,1889,1229,49,404,136,100
BG_VAR0200182,Аксаково,14566,4933,36,0,15,81,4,16,48,236,1098,1027,45,1150,352,606,5,160,31,23
BG_SML1131111,Златоград,11407,2644,28,0,14,21,7,11,52,75,404,144,41,708,101,281,5,698,26,28
BG_TGV3573626,Търговище,56128,23060,286,0,78,98,13,88,357,345,4143,320,183,3904,817,2899,47,9198,201,83
BG_SFO4567372,Сливница,8300,1647,10,0,7,21,3,9,28,124,471,70,17,403,71,344,7,37,22,3
BG_VTR2865766,Свищов,32932,10391,206,0,58,65,17,42,202,336,2238,1145,163,2318,389,2254,18,799,83,58
BG_SLS0100415,Алфатар,2932,1303,10,0,6,3,3,2,32,14,319,38,39,156,56,133,3,430,36,23
BG_PAZ1955155,Пазарджик,106886,23936,289,0,81,341,21,100,546,932,5142,1316,390,5620,2472,4049,315,2003,230,89
BG_BGS1757491,Поморие,22330,8562,55,0,38,17,22,31,113,167,1024,268,49,1424,237,1740,13,3249,68,47
BG_SZR2455021,Павел баня,12474,5171,74,0,16,31,6,19,75,59,766,107,47,793,89,881,6,2130,53,19
BG_HKV3477195,Хасково,86614,32048,246,0,106,128,18,98,511,674,5039,711,266,8208,1418,5152,92,9045,251,85
BG_SHU2567708,Смядово,6397,2205,9,0,10,11,3,15,35,46,374,33,51,429,331,255,5,564,27,7
BG_JAM2269660,Стралджа,11688,4474,88,0,22,24,82,20,41,135,2066,92,260,555,386,423,12,178,78,12
BG_SOF4687401,Столична,1066629,233208,1917,0,2812,2862,236,1458,3379,33671,56577,19818,1488,61785,17778,22570,780,3075,2112,890
BG_DOB1214711,Генерал Тошево,14831,6186,69,0,29,42,16,30,208,92,1898,98,354,903,183,926,31,1183,95,29
BG_DOB1580769,Добрич-селска,19162,8366,44,0,35,40,14,34,61,106,3114,126,339,811,273,768,29,2424,100,48
BG_SFO3965231,Самоков,34395,9333,114,0,49,84,11,62,412,306,1978,326,157,1890,629,1534,41,1527,106,107
BG_VRC0807702,Бяла Слатина,24011,5542,56,0,22,33,9,13,81,76,1566,244,178,1288,256,770,12,833,60,45
BG_DOB2772271,Тервел,15209,6207,24,0,27,14,10,25,60,47,1111,62,39,557,169,579,11,3380,53,39
BG_HKV1972103,Минерални бани,5510,3967,28,0,1,5,1,3,12,13,202,17,15,381,46,258,7,2939,33,6
BG_PDV4368080,Сопот,9637,2487,13,0,8,5,4,5,147,40,550,98,21,600,192,606,6,158,22,12
BG_SLS3473496,Тутракан,16038,7399,36,0,21,29,5,23,79,68,1315,94,54,1091,379,966,11,3121,68,39
BG_SFO5400504,Антон,1352,316,8,0,2,2,0,1,10,31,91,12,5,61,6,72,0,11,4,0
BG_TGV0200518,Антоново,5925,3717,47,0,5,10,6,10,20,72,469,40,20,186,122,211,11,2448,28,12
BG_SFO1016314,Горна Малина,5071,1485,17,0,7,17,2,10,33,53,437,50,407,239,50,104,5,28,23,3
BG_SZR0718280,Гълъбово,12573,3706,30,0,14,18,5,12,165,59,969,98,74,976,70,950,26,82,137,21
BG_TGV2457649,Попово,29325,9016,80,0,18,37,7,92,218,168,2431,130,66,1498,390,1219,17,2453,155,37
BG_VTR0410447,Велико Търново,77887,21031,267,0,134,270,18,101,514,867,4696,1348,125,6151,1703,2968,69,1457,209,134
BG_SML3167653,Смолян,38034,10696,90,0,51,68,15,64,357,302,3752,527,230,2692,560,924,36,854,119,55
BG_KRZ0200607,Ардино,13263,5326,19,0,15,3,1,9,78,21,271,37,32,321,34,93,12,4332,26,22
BG_PER0806286,Брезник,6568,1962,20,0,3,8,4,9,53,44,681,96,302,176,297,162,6,43,52,6
BG_VAR1624565,Дългопол,12838,6671,31,0,12,21,154,30,41,91,776,66,40,668,181,714,10,3775,49,12
BG_GAB0514218,Габрово,64127,15575,198,0,72,173,8,68,465,789,3304,1039,159,5366,1345,1747,60,451,218,116
BG_SZR3168850,Стара Загора,144531,39370,273,0,241,240,30,161,967,1925,8910,2234,1572,10876,1998,7647,74,1651,413,158
BG_VID1621097,Димово,6260,2040,20,0,9,14,3,10,32,27,1060,108,41,216,161,102,3,88,51,95
BG_PDV0100702,Асеновград,57043,20255,84,0,44,81,10,57,240,515,3219,1035,251,4022,986,3044,43,6408,150,66
BG_SLV1651809,Нова Загора,35274,8960,90,0,39,37,24,43,362,195,2345,395,218,2122,242,1659,14,956,184,34
BG_VTR3169633,Стражица,12129,3515,48,0,21,25,70,27,77,62,768,130,36,744,679,484,11,271,42,20
BG_PVN2151723,Никопол,10389,3715,75,0,8,11,5,11,39,48,1067,61,46,435,233,456,6,1169,36,9
BG_JAM2580306,Тунджа,22982,8022,93,0,31,76,17,41,177,169,3166,246,460,1105,517,1658,21,102,106,37
BG_PVN1643236,Левски,19974,5717,63,0,38,30,10,28,147,186,1449,179,52,1077,122,1235,6,991,80,24
BG_BGS0936525,Карнобат,23890,7384,100,0,35,64,17,32,137,184,2428,185,88,1325,233,1343,16,1096,79,22
BG_MON2647593,Медковец,3994,1222,16,0,5,6,1,2,21,30,528,40,20,191,171,84,7,70,23,7
BG_KRZ2148996,Момчилград,17288,7191,39,0,3,7,3,16,234,11,223,36,11,229,83,115,8,6099,34,40
BG_PDV2865139,Садово,12654,2631,35,0,13,16,3,9,143,46,870,97,60,586,125,410,9,162,25,22
BG_SML0244402,Баните,5363,1495,9,0,6,4,0,7,99,28,394,74,73,173,128,85,4,363,30,18
BG_BGS1348619,Царево,7242,2757,15,0,14,10,2,16,40,78,852,134,31,733,235,498,10,40,28,21
BG_PAZ0810450,Велинград,31998,9164,85,0,38,49,7,35,49,219,1679,258,450,1314,424,1365,15,3095,50,32
BG_SLS3166425,Силистра,53643,20618,170,0,91,130,20,81,638,400,4236,453,129,6521,1175,3041,56,3087,289,101
BG_PDV0706361,Брезово,6420,2580,35,0,11,17,9,12,75,40,1599,135,62,277,57,179,7,23,31,11
BG_KNL0404501,Бобов дол,9093,2180,39,0,4,23,4,13,59,44,651,104,37,370,265,407,3,107,42,8
BG_RSE3367444,Сливо поле,10537,4273,20,0,4,22,2,17,42,25,557,48,67,488,97,313,5,2527,23,17
BG_BLG0203504,Белица,8099,4382,9,0,6,6,0,13,18,32,345,36,2,139,90,144,5,3487,26,24
BG_KNL2941112,Кюстендил,61049,17245,280,0,59,99,28,83,275,678,5352,959,354,3396,2400,2193,48,661,294,86
BG_VTR1327190,Елена,8490,2691,58,0,6,22,1,14,77,81,718,72,30,807,199,211,9,325,40,21
BG_KNL0504532,Бобошево,2860,771,11,0,3,3,2,7,21,8,204,49,6,112,170,119,1,31,18,6
BG_PVN1022215,Долна Митрополия,19342,5514,51,0,23,31,11,24,105,114,2020,160,78,826,248,1062,9,633,82,37
BG_PER3661577,Радомир,19188,3905,45,0,13,55,13,26,125,186,1174,195,354,588,376,474,46,156,63,16
BG_SHU1114516,Хитрино,6597,4742,21,0,6,2,1,6,11,32,183,12,11,106,73,111,5,4132,24,6
BG_KRZ3581236,Черноочене,9068,6823,2,0,1,2,4,5,3,4,85,8,6,29,12,36,6,6610,4,6
BG_LOV3473198,Троян,31134,8275,61,0,36,104,9,34,126,363,1984,446,101,2021,684,1655,15,489,104,43
BG_KNL4868789,Дупница,45325,7742,88,0,51,74,11,44,249,417,2393,466,254,1838,805,658,18,240,103,33
BG_BLG1318366,Гърмен,11942,7283,5,0,6,8,0,20,64,26,488,26,12,389,97,235,0,5872,21,14
BG_VID0606224,Брегово,5685,3575,82,0,14,9,7,15,38,32,2143,444,39,372,160,117,7,27,41,28
BG_HKV3068727,Стамболово,5102,3698,22,0,5,6,3,8,14,15,339,34,11,149,68,106,5,2868,31,14
BG_RAZ2661710,Разград,48410,17236,142,0,52,49,14,34,260,240,2879,289,124,3347,638,3043,29,5934,99,63
BG_DOB0302508,Балчик,17421,6317,45,0,114,37,11,34,110,190,1190,171,96,1276,343,1006,20,1579,60,35
BG_MON0203928,Берковица,18669,4387,67,0,25,49,6,23,91,92,1256,125,80,1101,789,521,16,46,63,37
BG_BGS0402573,Банево,1281,415,0,0,2,3,1,3,12,7,51,11,2,105,9,200,0,1,8,0
BG_RSE0820184,Две могили,9330,3554,33,0,5,8,3,12,193,39,547,49,20,647,75,713,9,1135,46,20
BG_VRC1012259,Враца,74603,15861,142,0,73,155,13,51,369,487,4265,694,217,5412,1293,2061,28,359,155,87
BG_BLG1117395,Гоце Делчев,27825,10518,51,0,13,28,1,27,108,188,1290,345,118,1671,316,1353,19,4881,68,41
BG_VAR2670175,Суворово,5794,2673,22,0,3,40,0,3,19,36,335,40,15,371,248,600,5,896,24,16
BG_BLG0102676,Банско,11017,3648,32,0,9,18,2,16,58,110,777,571,20,894,108,489,3,499,38,4
BG_BLG3761813,Разлог,18790,5460,38,0,23,44,7,25,108,390,1619,459,39,1269,342,816,12,177,67,25
BG_BGS1551500,Несебър,17336,6072,27,0,30,35,5,21,113,153,941,298,48,1732,215,1868,18,500,51,17
BG_PAZ2055302,Панагюрище,24361,5208,49,0,81,39,3,18,260,122,1499,230,67,1069,412,1003,15,251,73,17
BG_PDV1336498,Карлово,49340,12473,118,0,57,57,12,60,396,314,2872,651,224,2378,451,2756,45,1915,127,40
BG_KNL2739116,Кочериново,4318,1176,22,0,4,7,2,6,38,43,404,148,14,172,84,110,0,67,27,28
BG_SML1023025,Доспат,8469,2055,11,0,3,9,1,42,19,73,310,44,21,269,132,34,2,1071,12,2
BG_RSE2763427,Русе,158304,44558,253,0,174,368,23,175,717,2222,7332,1863,379,14833,3128,8520,130,3905,323,213
BG_BLG3356126,Петрич,48871,10419,54,0,43,67,11,144,339,223,1851,1576,101,2340,591,2304,16,574,128,57
BG_VTR2255052,Павликени,24319,7182,86,0,53,40,21,49,303,126,1887,219,281,1613,460,1052,7,865,80,40
BG_PAZ0302837,Батак,5742,3233,19,0,7,14,0,7,52,27,244,40,40,283,97,650,20,1692,27,14
BG_RSE0305611,Борово,6115,2367,22,0,7,11,2,6,70,27,455,37,29,455,65,557,6,577,31,10
BG_SFO4365869,Своге,19756,4168,17,0,11,18,6,27,68,153,1085,257,52,1009,182,507,17,638,96,25
BG_LOV3887014,Ябланица,5042,1471,43,0,7,13,7,10,71,39,380,57,87,233,159,204,7,135,17,2
BG_VRC2139846,Криводол,9077,3382,38,0,8,18,3,14,37,59,1980,57,70,435,237,322,5,51,32,16
BG_KRZ1640909,Кърджали,62609,24852,267,0,59,52,17,45,437,300,2367,323,74,2494,653,2985,53,14433,125,168
BG_SLS0715031,Главиница,11091,6160,21,0,9,11,2,13,42,42,543,25,19,338,62,376,13,4570,48,26
BG_SZR2353576,Опан,2763,1268,14,0,6,8,3,13,11,27,744,37,42,148,47,138,1,8,13,8
BG_PVN2456722,Плевен,129272,32858,235,0,126,164,25,178,467,1339,7838,2535,1111,8972,1597,6375,70,1477,229,120
BG_PDV1235523,Калояново,10424,3460,28,0,11,12,4,12,52,117,1167,605,96,577,98,418,2,222,26,13
BG_SML0920465,Девин,12568,3526,24,0,17,22,1,18,34,62,662,92,45,436,222,189,7,1612,44,39
BG_SHU2252009,Нови пазар,16978,5657,41,0,10,37,11,23,61,144,1114,75,36,1017,283,856,12,1850,69,18
BG_LOV1944327,Луковит,15490,4266,32,0,13,23,2,23,170,105,1144,129,65,597,241,539,11,1068,64,40
BG_SFO2638978,Костинброд,13761,2833,30,0,11,32,9,21,80,136,880,158,20,803,164,327,2,86,56,18
BG_MON2948489,Монтана,52266,11202,144,0,40,84,18,55,332,291,3271,899,204,2636,1380,1313,50,241,169,75
BG_PDV2687240,Родопи,26744,8435,64,0,24,56,3,28,111,300,1555,438,143,1568,500,1913,15,1627,71,19
BG_DOB1735064,Каварна,13641,4120,50,0,19,81,19,14,119,153,963,112,31,754,422,855,17,453,31,27
BG_BGS0617974,Средец,12990,4450,27,0,25,36,38,27,110,77,1472,133,62,813,179,983,21,335,79,33
BG_PVN0303366,Белене,10227,3193,46,0,17,25,3,11,68,79,998,145,33,648,136,714,5,215,36,14
BG_MON0405236,Бойчиновци,8310,2043,35,0,4,60,5,16,47,33,817,79,82,344,235,145,4,82,36,19
BG_SZR2761460,Раднево,18912,4970,45,0,16,32,12,20,136,148,1338,302,145,1168,91,1197,8,173,116,23
BG_MON3681390,Чипровци,4146,1342,31,0,7,14,2,10,37,35,374,54,30,251,208,248,3,23,12,3
BG_RAZ1432874,Исперих,21120,12305,66,0,14,10,6,25,40,45,728,44,78,770,107,973,22,9277,51,49
BG_GAB3573403,Трявна,12070,3203,15,0,21,28,2,19,110,105,588,175,20,880,190,920,7,36,67,20
BG_PDV1544478,Лъки,2994,688,2,0,1,30,1,1,17,17,189,28,7,76,53,87,3,162,11,3
BG_HKV1744570,Любимец,8997,3010,17,0,10,12,5,9,40,38,1031,97,84,454,413,511,5,218,59,7
BG_RAZ1640422,Кубрат,19049,8718,39,0,14,29,5,25,62,54,700,72,29,695,128,573,18,6220,33,22
BG_PDV3777270,Хисаря,12679,3406,19,0,9,53,2,21,126,92,1271,186,101,576,158,610,11,100,50,21
BG_VAR0810865,Ветрино,5237,2454,25,0,7,6,5,7,26,27,452,57,75,297,110,457,6,853,33,11
BG_VID0103616,Белоградчик,6879,1949,35,0,8,54,2,8,45,58,707,95,82,401,216,87,6,90,36,19
BG_PDV2562075,Раковски,23151,4116,35,0,12,22,3,17,33,89,969,204,72,817,180,1113,14,462,64,10
BG_SHU3083510,Шумен,87434,31202,276,0,108,139,26,91,442,702,5557,988,135,8290,1838,7181,69,5015,241,104
BG_TGV2253535,Омуртаг,22757,12371,97,0,10,10,7,29,68,60,655,41,46,516,200,490,25,9988,61,68
BG_VID3363255,Ружинци,4128,1216,32,0,6,23,2,4,18,15,485,37,26,122,64,141,1,190,30,20
BG_HKV1132024,Ивайловград,6765,2931,8,0,18,12,3,13,55,25,1155,103,47,562,86,342,12,431,29,30
BG_VAR0403719,Белослав,9112,3035,15,0,18,29,5,8,34,64,340,121,20,898,322,669,7,446,28,11
BG_RSE3778361,Ценово,6220,2251,26,0,5,20,2,7,242,54,468,35,27,313,142,533,5,332,29,11
BG_PDV1787669,Марица,25176,5337,37,0,12,74,5,26,187,113,1398,337,312,1005,196,1085,13,439,66,32
BG_SFO5648324,Мирково,2304,537,8,0,2,5,5,4,10,43,192,14,11,106,15,86,1,26,8,1
BG_PER1930778,Земен,2859,981,10,0,2,8,3,9,86,27,396,81,23,139,91,71,0,6,23,6
BG_SFO1623409,Драгоман,4830,1198,13,0,6,7,0,11,18,48,414,115,15,273,46,153,5,42,23,9
BG_BGS2370247,Сунгурларе,11324,4984,53,0,11,16,10,23,78,55,966,79,42,357,192,631,10,2365,73,23
BG_SLV2067338,Сливен,115217,25525,270,0,98,178,49,139,580,801,6091,1193,425,6353,1309,4079,84,3423,325,128
BG_BGS1863224,Руен,24156,19105,37,0,9,6,1,37,47,33,469,42,24,218,33,356,10,17718,33,32
BG_HKV3377181,Харманли,23261,6728,37,0,19,41,8,26,149,109,2050,334,103,1331,168,1358,17,852,87,39
BG_RSE0407603,Бяла,13842,3924,17,0,13,39,3,18,580,93,756,69,40,729,112,843,12,526,59,15
BG_PAZ3269835,Стрелча,4726,1036,6,0,5,11,3,5,27,16,437,47,52,180,61,97,2,69,11,7
BG_BGS1246663,Малко Търново,3328,1499,9,0,15,14,5,5,38,18,626,57,21,205,106,289,7,43,34,7
BG_SLV2472165,Твърдица,12101,3688,128,0,12,17,1,19,40,85,729,80,61,677,332,465,21,928,46,47
BG_VAR2458503,Провадия,20688,7915,69,0,31,95,69,27,104,110,1680,136,93,1753,380,1087,9,2168,70,34
BG_SFO1727303,Елин Пелин,18844,3453,47,0,22,40,4,38,105,118,758,209,294,828,159,581,7,151,79,13
BG_PER3255871,Перник,90844,18030,245,0,81,317,26,83,632,902,3992,999,2694,3014,1933,2233,52,505,212,110
BG_RAZ2965276,Самуил,6836,3959,25,0,2,3,1,7,78,6,136,25,45,54,96,37,6,3402,24,12
BG_BLG4265440,Сатовча,14641,6808,13,0,8,4,0,4,43,16,403,64,6,172,251,81,4,5713,8,18
BG_SML3880371,Чепеларе,7268,1760,18,0,14,17,3,12,29,39,495,188,22,360,97,264,4,176,16,6
BG_VRC2747714,Мездра,20257,4925,69,0,14,44,4,19,141,117,1772,246,281,966,320,674,19,69,100,70
BG_SFO2032901,Ихтиман,14765,3801,60,0,32,28,5,21,78,72,867,130,50,811,132,424,17,1003,50,21
BG_HKV0921052,Димитровград,55003,14757,171,0,53,330,8,82,329,307,3185,476,319,4252,909,3187,47,830,211,61
BG_DOB2983017,Шабла,5126,1481,8,0,12,31,3,9,33,47,559,44,21,296,78,252,3,42,32,11
BG_SFO0705815,Ботевград,29463,6898,78,0,27,56,4,32,107,217,1991,301,127,1486,518,1190,12,650,64,38
BG_RSE1332095,Иваново,9247,3264,21,0,9,16,7,13,46,46,781,60,62,724,143,565,11,690,51,19
BG_SFO0677400,Божурище,5833,1227,8,0,29,16,0,6,15,79,355,82,10,394,48,139,5,17,18,6
BG_SHU1012766,Върбица,9208,4216,22,0,6,5,3,10,14,39,185,15,49,328,436,146,12,2925,15,6
BG_SLS1024030,Дулово,25576,17667,37,0,14,10,3,16,75,29,734,28,55,945,96,727,25,14770,58,45
BG_SFO1827632,Етрополе,11405,2548,16,0,14,32,5,10,67,34,847,101,30,752,159,349,12,69,29,22
BG_VID0305195,Бойница,1474,727,4,0,0,5,1,4,13,13,398,10,23,73,109,11,2,45,11,5
BG_JAM0305284,Болярово,3917,2259,21,0,10,12,4,18,28,15,1404,33,38,296,112,174,3,46,35,10
BG_SML2763207,Рудозем,9305,3074,40,0,2,14,3,8,108,31,222,155,39,718,152,74,6,1468,16,18
BG_PAZ1443369,Лесичово,4778,1330,20,0,3,9,1,3,49,23,612,57,45,166,67,151,1,100,17,6
BG_SML0505462,Борино,3536,1497,16,0,1,2,0,2,22,22,170,33,168,97,9,35,0,915,3,2
BG_SML1646045,Мадан,11245,2822,36,0,4,43,6,11,37,14,399,126,13,954,209,60,7,860,35,8
BG_PVN2757772,Пордим,5820,1806,64,0,5,15,1,8,38,28,555,45,24,359,79,363,2,195,18,7
BG_HKV1846084,Маджарово,1691,929,11,0,3,2,1,1,11,21,141,26,54,102,30,102,1,414,7,2
BG_JAM0727382,Елхово,16337,4466,38,0,15,28,15,19,92,158,1672,138,128,925,174,647,17,300,78,22
BG_VRC0505548,Борован,5130,1699,12,0,4,5,4,14,91,33,528,26,139,200,100,264,2,246,22,9
BG_SZR2249494,Мъглиж,11743,2993,25,0,7,13,5,11,84,53,633,178,29,745,176,552,7,417,26,32
BG_SHU0710642,Венец,7503,4711,27,0,2,4,0,3,3,4,47,2,5,71,129,26,5,4355,19,9
BG_SLS3266665,Ситово,5284,2704,45,0,18,9,5,9,39,17,457,22,22,236,98,232,2,1457,29,7
BG_VRC3577102,Хайредин,5124,1475,5,0,5,6,2,4,19,29,587,130,39,216,135,185,0,43,46,24
BG_MON1112543,Вълчедръм,9159,2214,24,0,224,7,3,15,67,67,727,63,52,259,270,287,9,89,35,16
BG_PER5173273,Трън,4285,1664,18,0,4,14,3,6,53,35,924,39,7,158,137,114,5,92,38,17
BG_PAZ2966264,Септември,22351,4907,38,0,8,64,3,17,95,115,1032,228,99,690,389,681,12,1325,73,38
