gisco_id,name,registered,turnout,invalid,blank,"Ред, законност и справедливост","ПП ""ЛИДЕР""",ГЕРБ,"ДПС ""Движение за права и свободи""",Партия АТАКА,КОАЛИЦИЯ ЗА БЪЛГАРИЯ,"СЪЮЗ НА ПАТРИОТИЧНИТЕ СИЛИ ""ЗАЩИТА""",НДСВ,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ,Българска нова демокрация (БНД),СИНЯТА КОАЛИЦИЯ,ПП ЗЕЛЕНИТЕ,"НАПРЕД ВМРО - Българско национално движение, Земеделски народен съюз, Движение Гергьовден, Единна Народна Партия",Инициативен комитет Чавдар Иванов Николов
BG_BLG5277058,Хаджидимово,8862,4420,39,0,87,93,1630,1312,353,402,5,294,13,4,110,16,55,7
BG_LOV1843952,Ловеч,50404,18709,222,0,1052,776,5433,1050,1960,4382,82,1615,123,222,1379,59,324,30
BG_DOB2040097,Крушари,4123,1861,23,0,47,79,233,769,249,253,8,113,8,2,27,6,28,16
BG_SLV1139030,Котел,18507,5864,80,0,128,245,834,2510,858,648,17,224,28,14,195,17,40,26
BG_BLG5387338,Якоруда,9023,4989,39,0,65,33,232,4057,217,162,0,80,3,2,65,9,9,16
BG_VAR0100084,Аврен,6431,3075,41,0,146,220,746,335,360,570,12,434,23,10,146,2,25,5
BG_KRZ1539970,Крумовград,18594,8380,38,0,53,57,707,6126,201,688,22,178,35,19,96,21,28,111
BG_GAB2965927,Севлиево,35357,13507,101,0,611,393,3611,2098,1992,2639,54,976,120,24,664,43,131,50
BG_KRZ1436926,Кирково,20540,9749,57,0,53,70,1496,6836,145,663,12,162,21,21,71,19,50,73
BG_BLG0304279,Благоевград,67160,25099,159,0,1443,1999,7712,176,2243,3793,113,3185,97,162,2509,266,1075,167
BG_KRZ1640909,Кърджали,64591,26847,275,0,513,424,4138,14120,2135,2783,42,949,82,68,695,64,373,186
BG_BGS0100151,Айтос,26599,13362,145,0,298,531,1826,5811,1614,1983,31,453,69,16,323,21,189,52
BG_PAZ0403592,Белово,8787,2960,17,0,244,237,794,66,523,548,7,298,22,4,146,13,28,13
BG_VID0910971,Видин,67366,18404,194,0,1065,980,4796,218,1615,4707,77,2270,95,85,1650,82,496,74
BG_VAR0200182,Аксаково,15278,6835,53,0,236,258,2914,307,886,1402,20,336,38,22,272,24,58,9
BG_SML1131111,Златоград,11952,4034,37,0,73,205,1377,533,385,746,13,335,20,15,191,9,83,12
