gisco_id,name,registered,turnout,invalid,blank,ΔΗΜΟΚΡΑΤΙΚΟ ΚΟΜΜΑ (ΔΗ.ΚΟ),ΔΗΜΟΚΡΑΤΙΚΟΣ ΣΥΝΑΓΕΡΜΟΣ (ΔΗ.ΣΥ),ΑΚΕΛ-ΑΡΙΣΤΕΡΑ-ΝΕΕΣ ΔΥΝΑΜΕΙΣ,ΕΔΕΚ ΚΙΝΗΜΑ ΣΟΣΙΑΛΔΗΜΟΚΡΑΤΩΝ,ΓΙΑ ΤΗΝ ΕΥΡΩΠΗ,ΚΙΝΗΜΑ ΟΙΚΟΛΟΓΩΝ ΠΕΡΙΒΑΛΛΟΝΤΙΣΤΩΝ,Ε.ΔΗ - Κ.Π.Ε. - ΕΥΡΩΠΑΙΚΗ ΚΥΠΡΟΣ,ΛΑΪΚΟ ΣΟΣΙΑΛΙΣΤΙΚΟ ΚΙΝΗΜΑ,ΝΕΟΙ ΟΡΙΖΟΝΤΕΣ,ΚΥΡΙΑΚΟΥ ΚΩΣΤΑΣ,ΑΓΑΠΙΟΥ Σ. ΑΝΤΩΝΗΣ,ΜΑΛΙΑΝ ΑΡΤΟ,ΕΥΣΤΡΑΤΙΟΥ ΑΝΔΡΕΑΣ,ΧΑΣΣΑΝ ΜΕΧΜΕΤ,ΕΥΑΓΟΡΟΥ ΚΑΙΤΗ,ΙΩΑΝΝΟΥ ΑΝΔΡΕΑΣ
CY_1001,Λευκωσία,37443,25573,433,337,4187,7068,5832,2323,3331,285,1025,25,567,19,10,17,3,101,9,1
CY_1010,Agios Dometios,10884,7344,162,98,1415,2020,1437,689,1038,81,228,9,141,5,0,2,0,17,2,0
CY_1011,Έγκωμη Λευκωσίας,7805,5278,75,54,1055,1593,684,528,882,56,219,2,107,2,0,2,0,17,2,0
CY_1012,Στρόβολος,40041,27741,521,450,5030,7656,5926,2635,3627,330,890,40,533,10,1,10,2,64,15,1
CY_1013,Αγλαντζιά ή Αγλαγγιά,13819,9611,168,135,1686,2496,2271,960,1196,114,377,7,162,3,0,3,0,29,3,1
CY_1021,Lakatameia,16116,11429,254,208,1895,2807,3286,1152,1239,101,246,13,187,8,3,1,1,24,4,0
CY_1022,Συνοικισμός Ανθούπολης,2988,2211,86,41,386,439,809,229,156,11,20,3,23,2,0,0,0,6,0,0
CY_1023,Λατσιά ή Λακκιά,8421,6002,164,113,851,1595,1673,687,656,51,86,7,100,4,1,1,1,11,1,0
CY_1024,Geri,4097,2844,59,60,253,825,1007,228,294,13,40,2,47,4,0,0,0,11,1,0
CY_1100,Sia,367,298,2,12,37,72,104,34,19,2,11,2,3,0,0,0,0,0,0,0
CY_1101,Μαθιάτης,373,310,3,7,33,81,75,61,38,1,4,1,5,0,0,0,0,1,0,0
CY_1102,Alampra,795,622,9,17,37,130,312,36,54,8,10,1,6,0,0,0,1,1,0,0
CY_1103,Αγία Βαρβάρα Λευκωσίας,1082,841,16,11,77,276,203,123,103,5,8,2,16,1,0,0,0,0,0,0
CY_1104,Κοτσιάτης,163,138,4,4,29,60,21,10,5,0,3,2,0,0,0,0,0,0,0,0
CY_1105,Νήσου,827,629,18,12,44,123,309,55,44,6,14,1,3,0,0,0,0,0,0,0
CY_1106,Πέρα Χωριό,1645,1233,39,26,88,216,627,116,88,5,12,0,12,1,0,0,0,2,1,0
CY_1107,Dali,4262,3163,48,51,241,839,1188,392,229,25,100,1,40,1,0,2,1,5,0,0
CY_1108,Λύμπια,1625,1326,24,27,66,349,565,176,84,5,8,1,15,1,0,0,0,5,0,0
CY_1109,Λυθροδόντας,1809,1367,37,31,261,311,445,150,94,3,13,3,16,1,0,0,0,1,1,0
