gisco_id,name,registered,turnout,invalid,blank,Libertas.cz,Křesť.demokr.unie-Čs.str.lid.,Věci veřejné,Občanská demokratická strana,Suverenita,Volte Pr.Blok-www.cibulka.net,Sdruž.pro rep.-Republ.str.Čsl.,Česká str.národ.socialistická,Evropská demokratická strana,Strana svobodných demokratů,Demokratická Strana Zelených,Česká strana národně sociální,Národní strana,SDŽ-Strana důstojného života,Humanistická strana,Moravané,Spojení demokraté-Sdruž.nezáv.,Liberálové.CZ,Strana demokracie a svobody,Nejen has. a živn. s uč. do E.,Komunistická str.Čech a Moravy,"""STAR.A NEZ.-VAŠE ALTERNATIVA""",Strana svobodných občanů,SNK Evropští demokraté,Balbínova poetická strana,Strana zelených,Koruna Česká (monarch.strana),Lidé a Politika,"""Strana soukromníků ČR""",Zelení,Dělnická strana,NEZÁVISLÍ,Česká str.sociálně demokrat.
CZ_554782,Praha,955836,341219,1422,0,3331,15312,10660,136915,10482,3124,587,515,23570,195,2630,84,871,987,887,122,179,296,187,548,31070,10796,6371,8837,841,14230,802,114,655,894,2177,1096,50432
CZ_529303,Benesov,13274,3987,16,0,39,216,98,1373,130,45,4,1,178,1,23,1,9,40,10,1,1,2,1,20,448,89,75,61,10,91,4,0,6,4,31,25,934
CZ_532568,Bernartice,188,70,1,0,0,37,1,2,1,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,18
CZ_530743,Bilkovice,166,43,0,0,0,4,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,2,0,0,0,0,0,2,18
CZ_532380,Blazejovice,92,50,0,0,0,5,0,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,15
CZ_532096,Borovnice,68,25,0,0,0,2,0,9,3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,3
CZ_532924,Bukovany,544,131,0,0,1,6,3,37,8,0,3,1,1,0,3,0,0,5,2,0,0,0,0,0,23,4,0,0,0,3,0,0,0,0,4,2,25
CZ_529451,Bystrice,3318,880,0,0,6,57,23,279,35,6,2,2,21,1,12,1,4,8,0,0,0,0,1,3,120,20,10,12,0,12,1,0,1,0,1,9,233
CZ_532690,Ctibor,90,25,0,0,0,7,0,5,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,1,3
CZ_529478,Cakov,95,42,0,0,0,1,0,21,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,5,0,1,0,0,0,0,0,0,1,0,5
CZ_529486,Cechtice,1133,308,1,0,2,60,7,88,18,0,4,0,2,0,2,0,0,5,2,0,0,0,0,2,34,10,1,1,0,0,2,0,1,0,2,5,59
CZ_529516,Cercany,2157,643,3,0,6,41,21,280,23,7,4,0,17,1,3,1,0,1,0,0,0,0,1,2,47,12,16,9,1,20,1,0,3,1,1,1,120
CZ_529532,Cerveny Ujezd,264,108,2,0,0,18,6,26,0,2,1,0,7,0,1,0,1,1,6,0,0,0,0,1,14,3,0,0,1,0,0,0,2,0,0,1,15
CZ_529541,Cesky Sternberk,125,41,2,0,0,5,1,12,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,9
CZ_529567,Ctyrkoly,374,155,2,0,0,7,3,73,6,1,0,0,3,0,0,0,0,2,1,0,0,0,0,1,12,5,6,2,0,8,0,0,1,0,1,1,20
