gisco_id,name,registered,turnout,invalid,blank,KAN,SNČR,CESTA,NÁR.SOC.,ODS,„EU TROLL“,ČSSD,RDS,KSČM,DSSS-NF,SPR-RSČ,Rozumní-ND,Cibulka,NE-VOLIM.CZ,PROČ,Vědci,ČSNS-Patrioti ČR,JSI PRO?,PRO Zdraví,MZH,ČS,TUJKA,Hlas,Svobodní-RČ,STAN-TOP 09,Piráti,SPD,ANS,ANO,ADS,Moravané,NÁRODOVCI,DSZ-ZPZ,BOS,Soukromníci-NEZ,ESO,KOAL,KDU-ČSL,APAČI 2017
CZ_500011,Želechovice nad Dřevnicí,1579,489,3,0,0,1,3,0,69,6,36,0,11,2,0,4,0,0,0,4,1,0,2,0,0,0,7,2,54,72,41,0,86,4,4,0,7,0,1,1,0,66,2
CZ_500020,Petrov nad Desnou,983,226,3,0,0,0,3,0,36,5,9,0,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,24,20,37,0,61,0,1,0,1,0,0,0,0,17,0
CZ_500046,Libhošť,1355,390,0,0,1,1,0,0,54,5,17,0,43,0,3,5,0,0,0,2,0,0,0,1,0,0,5,0,14,44,26,0,122,0,1,0,2,0,2,3,0,38,1
CZ_500062,Krhová,1627,437,0,0,0,2,1,0,61,7,15,1,19,1,0,2,0,2,0,1,0,0,3,2,0,0,20,4,21,43,48,0,112,1,1,0,4,0,4,3,0,58,1
CZ_500071,Poličná,1434,430,1,0,0,2,0,0,57,5,14,0,28,0,1,2,2,0,2,3,0,0,1,3,0,0,13,2,20,63,50,0,109,0,1,0,2,0,3,1,0,44,1
CZ_500101,Bražec,172,22,0,0,0,0,0,0,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,5,0,0,0,2,0,0,0,0,1,0
CZ_500127,Doupovské Hradiště,131,37,0,0,0,0,0,0,4,5,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,3,2,0,14,0,0,0,0,0,0,0,0,0,0
CZ_500135,Kozlov,209,60,2,0,0,0,0,0,1,1,2,0,2,0,1,2,0,0,0,0,0,0,1,0,0,0,2,0,1,13,8,0,18,0,1,0,2,1,0,1,0,1,0
CZ_500151,Luboměř pod Strážnou,94,22,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,4,0,0,0,1,0,0,0,0,0,0
CZ_500160,Město Libavá,552,134,2,0,0,0,0,0,10,2,10,0,15,0,0,2,2,0,0,0,0,0,0,0,1,0,1,0,3,10,25,1,28,0,2,0,2,0,1,1,0,12,4
CZ_500194,Polná na Šumavě,157,37,1,0,0,0,0,0,2,1,3,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,9,0,6,0,0,0,0,0,0,0,0,2,0
CZ_500259,Verovice,1626,377,2,0,0,2,2,0,24,8,25,1,24,0,0,2,1,0,0,1,0,0,1,1,0,0,6,2,30,46,40,0,76,0,2,0,3,1,1,0,0,70,6
CZ_500291,Vresina,2336,726,2,0,0,3,2,0,135,19,16,0,38,0,1,3,1,1,0,11,0,0,2,2,2,0,13,4,66,79,71,0,142,0,0,2,2,1,8,3,0,87,10
CZ_500496,Olomouc,79928,24008,128,0,19,90,103,7,3116,367,966,16,1367,37,30,99,44,18,17,185,6,7,45,35,34,18,563,130,2839,3610,2333,26,5243,29,98,6,153,37,57,134,2,1866,128
