gisco_id,name,registered,turnout,invalid,blank,KAN,LANO,SPD-T,Mourek,LŽPL,PRO,Urza.cz,RvdE,PaM,SEN 21-Volt,ČR1,Zelení,ČSSD,ANO,AZNČR,mimozemstani.eu,Spolu,REFERENDUM,Svobodní,SOCDEM,STAN,Hlas,Piráti,CZEXIT,Nový směr,Stačilo!,DSZ,Cibulka,Senioři
CZ_500011,Želechovice nad Dřevnicí,1527,603,2,0,3,1,42,1,0,14,0,0,53,0,1,11,1,124,12,0,165,1,8,17,50,0,32,2,0,59,3,0,1
CZ_500020,Petrov nad Desnou,1009,305,8,0,0,0,39,0,2,11,0,0,24,0,0,2,2,91,1,1,35,0,5,6,26,1,14,0,0,37,0,0,0
CZ_500046,Libhošť,1379,552,5,0,1,2,30,2,4,5,2,0,48,0,0,8,2,201,5,2,84,1,3,8,23,0,28,2,0,83,2,1,0
CZ_500062,Krhová,1692,586,0,0,1,1,42,3,1,9,0,2,84,3,0,6,1,146,5,0,141,0,12,1,39,0,37,0,0,49,2,0,1
CZ_500071,Poličná,1422,542,2,0,1,1,41,2,4,15,0,0,67,2,1,7,2,149,9,0,99,1,13,11,34,0,22,2,0,50,5,2,0
CZ_500101,Bražec,173,42,2,0,0,0,2,0,0,1,0,0,16,0,0,0,0,15,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0
CZ_500127,Doupovské Hradiště,127,40,0,0,1,0,0,0,0,2,0,0,10,0,0,0,0,14,0,0,6,0,0,0,2,0,1,0,0,4,0,0,0
CZ_500135,Kozlov,218,65,0,0,0,1,4,0,0,0,0,0,10,0,0,1,0,29,0,1,2,0,5,2,2,0,3,1,0,4,0,0,0
CZ_500151,Luboměř pod Strážnou,101,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,0,1,1,0,0,0,0,0,2,0,0,19,0,0,0
CZ_500160,Město Libavá,511,176,1,0,0,0,20,0,1,1,0,1,18,1,0,2,1,61,6,1,14,0,1,3,15,0,5,2,0,20,1,1,0
CZ_500194,Polná na Šumavě,168,53,3,0,1,0,5,0,0,1,0,0,3,0,0,0,0,18,0,0,8,0,1,0,1,0,4,0,0,7,1,0,0
CZ_500259,Verovice,1575,541,2,0,0,0,47,0,6,3,0,1,47,1,2,11,2,136,2,1,104,0,14,13,39,2,24,3,0,77,2,1,0
CZ_500291,Vresina,2300,907,6,0,1,3,40,1,1,9,0,4,73,1,0,10,1,224,6,1,273,4,12,33,77,1,41,1,0,80,4,0,0
CZ_500496,Olomouc,78454,28832,220,0,42,60,1937,62,56,464,20,14,2526,90,78,550,56,6896,138,51,6852,18,511,602,2705,69,2188,74,4,2375,111,17,16
CZ_500526,Belkovice-Lastany,1805,690,5,0,1,1,47,1,4,10,0,0,84,0,4,8,0,206,2,1,134,0,13,13,56,1,31,1,1,62,4,0,0
CZ_500623,Bila Lhota,946,341,4,0,0,0,22,0,7,6,0,1,32,0,1,3,1,122,5,0,38,0,3,5,19,1,29,3,0,36,1,1,1
CZ_500801,Blatec,515,181,0,0,0,0,16,0,0,1,0,0,12,0,3,2,0,47,1,0,31,0,2,4,30,2,6,0,0,22,2,0,0
CZ_500852,Bohunovice,2040,789,1,0,3,1,50,4,3,15,1,2,73,0,1,8,1,220,8,5,158,1,31,14,55,7,40,2,0,80,3,0,1
CZ_500861,Bouzov,1229,509,6,0,1,4,21,1,5,11,0,0,71,1,2,8,1,124,2,0,90,1,5,12,45,2,25,4,0,65,1,1,0
CZ_500879,Bystrocice,632,238,4,0,0,0,16,0,0,8,0,0,38,1,0,2,0,69,0,0,48,0,5,2,9,0,10,0,0,22,4,0,0
CZ_501476,Dlouha Loucka,1556,551,2,0,2,1,42,1,1,29,0,0,58,0,1,7,3,159,4,2,78,0,12,18,35,4,19,3,1,67,2,0,0
CZ_501646,Dolany,2172,843,5,0,1,1,57,3,1,30,1,1,95,1,4,10,2,172,10,1,176,2,28,9,104,0,50,2,1,73,1,2,0
CZ_501751,Drahanovice,1446,528,4,0,0,3,42,0,5,5,0,1,46,0,0,8,2,185,1,0,86,1,11,13,31,1,20,3,0,58,2,0,0
CZ_501794,Dub nad Moravou,1310,492,4,0,2,1,27,1,0,13,1,0,61,1,3,7,3,137,3,0,80,1,11,10,33,0,21,2,0,68,0,1,1
CZ_501841,Grygov,1197,435,3,0,0,0,35,1,2,10,0,0,62,1,0,6,1,113,3,0,83,0,6,7,27,0,21,1,2,51,0,0,0
CZ_502146,Hlubocky,3380,1052,10,0,4,1,77,1,11,22,0,0,110,3,1,19,3,340,6,2,163,1,20,13,57,6,42,2,1,128,6,1,0
CZ_502235,Hnevotin,1374,501,4,0,0,1,42,0,1,7,4,0,45,4,2,4,1,110,1,0,130,0,7,13,43,1,38,0,0,41,2,0,0
CZ_502405,Hnojice,497,183,0,0,0,2,12,0,0,5,0,0,28,0,0,0,0,46,1,0,37,0,4,1,11,0,13,1,1,21,0,0,0
CZ_502545,Horka nad Moravou,2039,768,5,0,1,0,43,3,0,9,0,1,70,5,1,17,0,220,2,5,151,0,5,14,78,1,51,0,0,79,7,0,0
CZ_502839,Cholina,568,234,3,0,3,0,21,0,0,1,0,0,16,9,0,2,0,65,4,0,44,0,2,2,14,0,16,0,0,32,0,0,0
CZ_503142,Jivova,502,178,0,0,0,2,13,1,1,7,0,0,16,0,0,0,0,55,0,0,30,0,5,3,16,0,4,3,0,21,1,0,0
CZ_503304,Kozusany-Tazaly,646,261,0,0,0,2,18,0,1,3,0,0,25,1,0,6,2,83,2,0,44,0,3,6,14,0,18,0,0,31,1,0,1
CZ_503410,Zitovlice,153,73,0,0,0,0,2,0,1,0,0,0,7,0,0,1,1,36,1,0,7,0,0,2,2,0,3,0,0,9,1,0,0
CZ_503444,Litovel,7614,2448,26,0,3,5,165,5,19,56,3,5,272,4,5,26,9,768,6,5,379,5,25,37,190,5,122,13,2,274,7,3,1
CZ_503622,Luka,703,253,0,0,0,0,11,0,3,10,1,0,19,0,1,4,0,81,0,1,52,0,3,2,17,0,8,4,0,36,0,0,0
CZ_503657,Lutin,2500,886,4,0,2,1,48,0,6,21,1,1,88,2,3,11,1,292,5,1,170,2,14,27,50,1,25,0,0,105,3,1,0
CZ_503738,Majetin,954,310,2,0,1,1,23,1,0,5,0,2,40,0,3,0,0,84,2,0,53,0,3,5,25,1,20,1,0,35,0,1,2
CZ_503916,Kostelec,437,148,0,0,0,0,5,1,0,1,0,0,12,0,0,0,0,51,2,0,13,0,0,6,2,0,3,0,0,52,0,0,0
CZ_504246,Mladec,566,159,5,0,0,0,11,0,0,6,0,1,20,0,1,0,0,41,0,1,23,0,3,3,10,0,4,0,0,29,1,0,0
CZ_504301,Drenice,325,124,1,0,0,1,10,0,0,1,0,0,15,0,0,2,4,38,1,0,13,0,0,3,15,0,11,0,0,9,0,0,0
CZ_504441,Naklo,1198,446,3,0,0,2,26,0,1,10,0,0,46,1,3,6,0,146,1,0,67,1,3,12,36,1,29,2,0,46,1,1,1
CZ_504505,Namest na Hane,1691,586,2,0,0,4,26,0,0,21,2,0,63,0,0,7,0,157,3,3,118,0,14,7,41,1,34,1,1,72,4,1,3
CZ_504785,Paseka,1002,298,3,0,0,0,17,0,3,6,0,0,29,0,2,1,0,86,1,0,55,0,5,5,17,1,22,0,0,44,1,0,0
CZ_504807,Lany,235,93,1,0,0,0,0,0,0,0,2,0,12,0,0,0,0,17,2,0,28,0,2,2,5,0,3,0,0,17,2,0,0
CZ_504921,Tribrichy,231,104,0,0,0,0,6,0,0,10,0,0,15,0,0,1,1,40,1,0,11,0,2,1,3,0,2,0,0,10,0,0,1
CZ_504955,Dvakacovice,118,57,0,0,0,0,5,1,0,1,1,0,4,0,0,0,0,18,3,0,16,0,0,3,1,0,1,0,0,2,1,0,0
CZ_505005,Bitovany,329,119,0,0,0,0,6,0,0,3,0,0,9,0,0,0,0,33,0,0,30,0,1,1,7,4,5,0,0,17,3,0,0
