gisco_id,name,registered,turnout,invalid,blank,CDU,Grüne,SPD,AfD,CSU,Linke,FDP,PARTEI,FW,Tierschutzpartei,ÖDP,Familie,Volt,Piraten,MERA25,Heimat,TIERSCHUTZ hier!,Verjüngungsforschung,BIG,Bündnis C,PdH,Menschliche Welt,DKP,MLPD,SGP,ABG,dieBasis,BD,BSW,DAVA,Klimaliste,Letzte Generation,PDV,PdF,V-Partei³
DE_01001000,Flensburg,70935,41851,260,0,8264,9912,6551,4275,0,1724,2117,1139,289,888,165,306,1780,351,173,27,137,23,21,43,106,80,24,7,6,16,157,117,2101,103,49,170,35,348,87
DE_01002000,Kiel,187045,117023,469,0,22722,28411,19838,9353,0,5639,6030,4125,772,1959,415,598,6050,809,638,52,361,73,82,109,454,113,86,42,23,39,484,400,4447,578,148,599,63,832,210
DE_01003000,Lübeck,166429,96558,604,0,22072,18906,17909,10290,0,3251,5065,2213,983,1520,361,534,4376,601,329,73,337,33,55,118,273,119,34,43,13,37,244,335,3870,670,95,354,79,604,158
DE_01004000,Neumünster,59983,32967,230,0,9294,3720,5626,5697,0,709,1921,662,301,498,108,243,597,201,120,87,130,13,20,54,57,39,6,7,7,15,131,159,1518,336,24,47,24,313,53
DE_01051001,Albersdorf,2903,1343,15,0,464,96,203,229,0,34,78,21,16,20,4,10,35,3,6,3,5,0,0,1,2,3,1,0,0,2,4,2,65,0,1,4,1,13,2
DE_01051002,Arkebek,248,147,0,0,68,11,16,25,0,4,9,1,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
DE_01051003,Averlak,514,242,0,0,72,10,29,79,0,4,10,2,4,2,0,3,5,5,0,0,5,0,0,1,1,0,0,0,0,0,1,1,5,0,0,0,0,2,1
DE_01051004,Bargenstedt,800,388,3,0,163,25,45,65,0,3,30,4,6,4,1,4,8,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,18,0,0,1,0,3,0
DE_01051005,Barkenholm,154,95,1,0,35,8,13,14,0,3,6,1,1,0,1,1,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3,0,2,0,0,0,0
DE_01051006,Barlt,611,347,3,0,135,25,46,76,0,4,22,7,6,2,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,10,0,0,0,0,0,0
DE_01051008,Bergewöhrden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051010,Brickeln,170,68,1,0,30,2,4,18,0,0,6,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DE_01051011,Brunsbüttel,10072,5819,56,0,1771,494,1115,1004,0,72,429,122,54,75,13,64,86,34,3,9,27,1,2,5,14,7,3,4,2,4,19,37,226,2,2,11,13,26,13
DE_01051012,Buchholz,859,469,4,0,207,24,63,83,0,7,35,3,13,7,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,1,0,0,0
DE_01051013,Büsum,4166,1919,19,0,784,162,349,231,0,20,108,37,41,24,3,7,32,5,0,1,7,1,1,2,1,2,0,0,0,2,0,10,60,0,0,0,0,6,4
DE_01051014,Büsumer Deichhausen,323,161,2,0,65,18,29,14,0,1,13,2,3,5,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0
DE_01051015,Bunsoh,743,399,6,0,143,36,47,62,0,7,38,5,5,4,1,2,6,4,0,0,2,2,0,0,1,0,0,0,0,0,4,1,18,0,1,0,0,3,1
DE_01051016,Burg (Dithmarschen),3498,1508,13,0,508,123,211,312,0,28,88,25,24,24,2,8,40,7,0,3,3,1,0,0,2,3,0,0,1,1,6,9,55,0,0,3,0,8,0
DE_01051017,Busenwurth,264,130,0,0,48,8,18,30,0,4,9,0,4,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1
DE_01051019,Dellstedt,626,355,0,0,154,20,35,68,0,5,19,4,17,6,0,6,5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0
DE_01051020,Delve,683,358,0,0,157,27,35,70,0,8,23,6,2,1,2,1,3,0,0,0,5,0,0,2,1,0,0,1,0,0,1,0,12,0,0,0,0,1,0
DE_01051021,Diekhusen-Fahrstedt,586,311,1,0,101,15,45,61,0,10,27,12,3,7,0,5,4,3,0,0,1,0,1,0,1,0,0,0,0,0,0,1,10,0,0,0,1,2,0
DE_01051022,Dingen,536,267,1,0,64,10,62,67,0,7,15,7,7,4,1,3,2,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,6,0,0,0,0,6,0
DE_01051023,Dörpling,526,258,6,0,96,16,22,66,0,1,10,2,7,7,0,2,3,0,0,0,1,0,0,1,1,1,0,0,0,0,0,3,11,0,0,0,0,2,0
DE_01051024,Eddelak,1120,521,4,0,185,14,75,115,0,8,42,11,11,13,0,4,4,5,0,0,3,0,0,1,0,0,0,0,0,0,0,3,21,0,0,1,0,1,0
DE_01051026,Eggstedt,647,336,3,0,131,20,49,67,0,5,16,4,7,8,0,1,4,1,1,0,2,0,0,0,0,0,0,0,0,0,2,1,13,0,0,0,0,0,1
DE_01051027,Elpersbüttel,751,395,5,0,156,30,47,58,0,6,25,7,8,7,0,6,8,0,0,0,4,0,0,0,0,0,0,0,0,0,1,4,15,1,0,1,1,5,0
DE_01051028,Epenwöhrden,635,310,3,0,107,17,46,67,0,5,23,1,4,4,0,3,6,4,1,1,2,0,0,0,0,1,0,0,0,0,3,0,11,0,0,0,0,1,0
DE_01051030,Fedderingen,238,126,0,0,48,13,11,23,0,1,6,3,3,4,0,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0
DE_01051032,Frestedt,314,163,1,0,63,12,23,22,0,3,11,2,6,3,0,0,6,0,0,0,2,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0,0,2,0
DE_01051033,Friedrichsgabekoog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE_01051034,Friedrichskoog,2045,998,9,0,352,54,171,213,0,13,67,8,10,16,2,3,9,4,0,4,2,0,0,3,1,1,0,0,0,0,3,6,39,0,0,2,0,5,1
