gisco_id,registered,turnout,blank,invalid,A,B,C,F,J,K,N,O,V
DK_101,374346,179943,1934,573,53542,22066,13667,27187,16898,1386,17433,9462,15795
DK_147,71990,39506,400,91,10830,4938,6134,4461,3153,257,2441,1918,4883
DK_151,33959,17090,189,31,6314,875,1760,1619,1757,114,1149,1464,1818
DK_153,24239,10551,101,39,4209,367,965,874,998,73,817,1066,1042
DK_155,9601,5144,49,4,1392,322,1105,371,377,20,236,417,851
DK_157,50072,29364,239,56,5264,3225,7384,2074,1745,165,1228,1593,6391
DK_159,45290,24019,293,47,7481,1779,2643,2525,2214,207,2219,1770,2841
DK_161,15791,7438,104,15,2748,333,930,516,640,49,467,765,871
DK_163,19563,9491,83,11,3490,440,1143,951,910,140,685,693,945
DK_165,19006,9467,87,21,3152,464,757,1235,1255,28,1116,681,671
DK_167,36269,16268,164,36,6110,773,1383,1406,1636,109,1486,1619,1546
DK_169,31890,15311,205,37,5455,671,2014,985,1271,108,928,1559,2078
DK_171,7363,4035,44,6,1131,257,795,361,302,21,185,274,659
DK_173,38570,22637,225,36,5397,2269,4740,2030,1737,138,1115,1277,3673
DK_175,26983,13108,155,18,5067,616,1272,1208,1296,96,1010,1202,1168
DK_181,23107,14401,106,33,2569,1352,3556,836,780,68,428,715,3958
DK_183,13421,5520,50,24,2210,184,513,395,551,24,419,580,570
DK_185,29766,12793,152,28,4973,512,1205,1017,1274,79,869,1395,1289
DK_187,9028,4536,48,15,1295,206,1181,282,366,17,212,400,514
DK_189,13387,8744,88,15,2019,914,1753,868,688,57,451,465,1426
DK_201,16646,9881,96,15,2371,965,1875,786,750,75,469,541,1938
DK_205,15635,9520,96,9,2146,975,1883,725,839,40,485,497,1825
DK_207,12593,7218,66,9,1757,630,1231,830,611,50,467,433,1134
DK_208,14537,8068,75,8,1958,732,1434,764,604,61,378,553,1501
DK_209,13591,6911,65,9,2120,395,1093,522,621,50,391,596,1049
DK_211,15024,6391,78,16,2302,273,758,494,685,51,406,608,720
DK_213,15928,7464,73,14,1948,400,919,670,784,161,508,621,1366
DK_215,14417,7296,83,16,2030,450,960,612,734,77,440,588,1306
DK_217,44625,21918,232,36,6956,1416,3563,1767,1945,117,1754,1528,2604
DK_219,26869,14833,177,28,4134,1134,2016,1628,1221,315,904,851,2425
DK_221,7479,3456,29,14,1123,151,336,327,433,22,291,310,420
DK_223,17946,10533,83,24,1782,819,3218,443,514,42,275,682,2651
DK_225,7191,3615,46,5,1106,163,365,413,430,14,277,313,483
DK_227,13161,6963,65,15,1944,520,1282,531,477,45,314,508,1262
DK_229,5164,2260,35,6,650,110,244,174,232,16,178,168,447
DK_231,4230,2575,77,7,698,97,435,157,240,31,110,211,512
DK_233,6528,3310,51,6,905,182,472,264,306,15,163,224,722
DK_235,9665,5353,68,5,1440,358,852,404,540,27,262,368,1029
DK_237,10660,5008,73,10,1656,225,729,330,493,30,238,390,834
DK_251,7036,3620,37,7,1049,169,407,248,376,28,214,287,798
DK_253,34376,16149,172,22,5080,682,2748,811,1150,109,659,1739,2977
