gisco_id,registered,turnout,blank,invalid,A,B,C,F,I,J,N,O,V
DK_101,375760,215230,4470,624,42063,18095,16099,55714,1796,6684,26927,21325,21433
DK_147,71791,45805,917,170,8531,4033,6393,9596,447,1135,4110,4484,5989
DK_151,34229,21276,649,47,5248,745,1926,3494,107,550,2043,3738,2729
DK_153,23815,12854,338,44,3232,343,1046,2076,48,266,1332,2705,1424
DK_155,9803,6558,136,12,997,346,981,903,43,129,394,1208,1409
DK_157,49212,34253,627,100,4415,2715,6910,4344,373,643,1858,3666,8602
DK_159,45139,28745,778,67,5880,1633,2828,5032,191,592,3912,4112,3720
DK_161,15782,8961,266,21,1973,267,902,1321,45,212,737,1998,1219
DK_163,19274,11467,331,32,2785,365,1196,1968,52,251,1145,1978,1364
DK_165,18188,10631,271,20,2455,379,703,2281,45,447,1502,1657,871
DK_167,35656,20172,510,52,4719,663,1456,3327,107,494,2232,4253,2359
DK_169,32656,19445,580,65,4260,653,2323,2613,101,489,1405,3904,3052
DK_173,37744,26144,586,87,4353,2037,3988,4284,260,608,1741,3041,5159
DK_175,26630,15772,462,48,3945,561,1340,2688,75,348,1663,2895,1747
DK_183,13211,7077,170,28,1853,219,583,914,38,146,624,1698,804
DK_185,29769,16752,497,39,3643,559,1381,2610,65,374,1680,3747,2157
DK_187,9507,5968,137,26,1211,213,1084,629,34,98,381,1161,994
DK_190,26467,18914,399,55,3183,1360,2568,3313,148,421,1359,2201,3907
DK_201,16813,12224,283,31,1848,702,2106,1675,111,250,782,1497,2939
DK_210,27553,18194,419,41,2968,1041,2852,2630,143,387,1122,2623,3968
DK_217,44340,26534,718,64,5078,1342,3630,4464,183,615,2224,4016,4200
DK_219,33445,22087,638,40,4195,1052,2995,3650,121,510,1734,2771,4381
DK_223,17809,12598,221,25,1371,707,3114,989,127,195,432,1631,3786
DK_230,38234,27305,501,58,3624,2145,4614,3391,256,530,1378,2876,7932
DK_240,28988,19417,575,49,3444,901,2595,2662,153,417,1247,3274,4100
DK_250,32679,20086,471,59,3740,662,2219,3017,121,389,1570,3984,3854
DK_253,34280,20912,515,44,3765,689,2512,2195,119,390,1192,4670,4821
DK_259,41007,24654,787,77,5051,771,2913,3566,125,417,1585,4691,4671
DK_260,23189,12618,286,35,3072,367,1319,1894,50,302,1019,2413,1861
DK_265,59333,38325,953,101,7638,1882,4575,6749,230,905,2979,5423,6890
DK_269,14957,9560,235,21,1695,328,1159,1018,60,193,567,1865,2419
DK_270,30445,18825,514,50,2969,717,2273,2716,125,410,1496,3303,4252
DK_306,26000,14790,452,25,2792,523,1535,2314,51,401,1108,2841,2748
