gisco_id,registered,turnout,blank,invalid,A,B,C,F,I,N,O,V
DK_101,400933,225487,5000,1347,41338,28201,12272,48868,7113,30776,32265,18307
DK_147,74849,47079,850,142,8578,6304,5302,7933,1896,4212,6726,5136
DK_151,34844,20819,407,76,4940,1217,1400,2152,473,1836,6188,2130
DK_153,23911,12029,203,56,2767,495,611,1121,247,1184,4278,1067
DK_155,10208,6193,87,18,975,451,789,504,251,338,1794,986
DK_157,50971,33979,407,111,4415,4119,5998,3257,2015,1685,5470,6502
DK_159,46395,27915,582,72,5918,2452,1970,3736,810,3013,6338,3024
DK_161,16250,9003,184,32,1769,421,594,758,211,772,3158,1104
DK_163,19807,11173,220,36,2587,594,875,1221,249,1128,3119,1144
DK_165,18334,10355,185,45,2254,494,519,1539,178,1643,2820,678
DK_167,36883,19680,355,43,4305,987,1223,2167,405,1879,6587,1729
DK_169,32744,18399,368,73,3575,889,2160,1580,369,1364,5992,2029
DK_173,38830,25514,415,77,4053,3091,3377,3090,1212,1646,4581,3972
DK_175,27152,15226,336,63,3544,929,962,1736,309,1536,4492,1319
DK_183,13477,6707,100,30,1533,259,352,608,143,594,2470,618
DK_185,30709,16351,305,56,3208,778,975,1596,322,1583,5979,1549
DK_187,10360,6183,76,50,1094,374,931,407,206,402,1871,772
DK_190,27135,18463,278,46,3232,2180,2037,2273,802,1202,3296,3117
DK_201,17306,12017,185,31,1806,1301,1715,1212,521,595,2388,2263
DK_210,27956,17753,279,39,2719,1591,2105,1867,871,1062,4242,2978
DK_217,45374,25979,445,68,4627,1968,2733,2970,901,2129,7013,3125
DK_219,34948,21884,400,61,3803,1741,2034,2638,770,1603,4858,3976
DK_223,18119,12130,141,14,1224,1068,2457,724,745,335,2404,3018
DK_230,38994,26888,333,94,3490,3080,4146,2527,1674,1244,4411,5889
DK_240,30257,19170,365,43,3173,1344,1842,1801,672,1112,5614,3204
DK_250,33379,19158,290,91,3307,1052,1305,1891,482,1395,6126,3219
DK_253,34902,20594,344,98,3455,917,1676,1240,636,1079,7191,3958
DK_259,42749,24804,499,94,4342,1177,2076,2177,625,1834,8098,3882
DK_260,23206,12329,209,72,2390,480,765,1428,252,1185,4029,1519
DK_265,61937,37864,752,109,7110,3006,3010,5061,1009,3090,8944,5773
DK_269,15574,9471,148,44,1450,500,927,690,370,518,2882,1942
DK_270,31159,18141,292,47,2649,978,1432,1832,567,1390,5726,3228
DK_306,26083,14375,274,43,2550,678,906,1365,249,1337,4748,2225
DK_316,51251,27820,546,75,4966,1703,1881,2759,656,2512,7898,4824
DK_320,26637,14275,300,58,2314,617,1111,1280,341,1120,4781,2353
DK_326,37138,19753,408,56,3402,768,1090,1645,319,1594,6974,3497
DK_329,24271,13596,266,41,2358,732,1050,1256,394,986,4249,2264
DK_330,58408,30710,638,80,5653,1215,2102,2455,773,2511,10321,4962
DK_336,16857,9784,146,26,1540,458,738,861,201,780,3324,1710
DK_340,22115,12598,260,27,2071,668,1185,1386,284,948,3875,1894
DK_350,19954,12865,249,34,2096,819,969,1642,390,948,3487,2231
DK_360,34382,16971,383,82,3652,365,1011,1377,202,1392,5853,2654
DK_370,61706,33666,731,115,7127,1364,2486,3015,752,2725,9951,5400
DK_376,47939,26264,589,95,5541,846,1762,2130,399,2044,8860,3998
DK_390,35327,20674,427,57,3842,865,1410,2208,404,1886,6329,3246
DK_400,31784,16657,384,68,5914,419,869,1054,173,1547,3828,2401
DK_410,28416,16587,317,87,3478,848,2257,1306,342,881,4465,2606
DK_411,65,56,4,2,10,0,2,12,1,8,16,1
DK_420,30987,17968,371,58,3765,665,3128,1363,257,1100,4684,2577
DK_430,38811,23005,528,75,4423,962,3860,1999,378,1621,5755,3404
DK_440,18026,10909,249,29,2245,399,1759,861,174,862,3054,1277
DK_450,23951,13643,316,45,2965,460,1959,1020,228,1000,3723,1927
DK_461,145497,82365,1951,433,17246,5149,13175,9234,1838,6409,18729,8201
DK_479,42412,24241,588,68,4518,1283,3111,2972,413,2410,5964,2914
DK_480,21818,12756,223,22,2504,352,2642,760,179,749,3529,1796
DK_482,10388,5559,95,29,730,167,810,978,76,442,1543,689
DK_492,5204,2858,50,5,490,81,604,235,37,265,764,327
