gisco_id,name,registered,turnout,invalid,blank,Eesti Keskerakond,Indrek Tarand,Eesti Reformierakond,Erakond Isamaa ja Res Publica Liit,Sotsiaaldemokraatlik Erakond,Erakond Eestimaa Rohelised,Martin Helme,Eestimaa Rahvaliit,Dimitri Klenski,Eestimaa Ühendatud Vasakpartei,Libertas Eesti Erakond,Erakond Eesti Kristlikud Demokraadid,Vene Erakond Eestis,Põllumeeste Kogu,Juri Žuravljov,Märt Õigus,Taira Aasa
EE_0105,Abja,0,0,0,0,180,226,84,50,88,17,17,41,2,3,5,3,0,0,1,3,2
EE_0112,Aegviidu,0,0,0,0,28,98,72,40,31,12,5,11,3,0,0,2,0,2,0,0,0
EE_0117,Ahja,0,0,0,0,61,109,46,15,46,7,9,14,0,0,4,1,1,2,0,0,0
EE_0122,Alajõe,0,0,0,0,117,7,5,0,6,2,1,2,10,5,0,1,6,0,1,0,0
EE_0126,Alatskivi,0,0,0,0,62,93,64,23,18,7,10,20,3,6,1,0,0,2,1,0,0
EE_0129,Albu,0,0,0,0,47,130,53,37,40,12,8,11,0,0,0,0,0,0,0,2,1
EE_0134,Ambla,0,0,0,0,62,222,115,61,78,16,15,10,1,0,0,0,0,2,0,0,0
EE_0140,Anija,0,0,0,0,388,406,209,180,108,46,36,13,24,31,17,12,5,3,1,3,2
EE_0143,Antsla,0,0,0,0,161,265,97,64,199,24,12,53,3,1,2,10,1,7,1,1,0
EE_0149,Are,0,0,0,0,64,93,45,17,32,13,11,64,0,0,1,0,0,2,0,0,0
EE_0154,Aseri,0,0,0,0,218,90,60,16,40,8,6,32,7,0,2,2,2,0,0,0,0
EE_0159,Audru,0,0,0,0,147,495,210,156,113,28,34,12,1,3,0,10,1,4,2,0,2
EE_0164,Avinurme,0,0,0,0,67,108,128,53,34,18,8,7,1,0,2,2,0,3,1,0,1
EE_EEYY99,E-Hääled,0,0,0,0,6388,18905,11759,10113,6087,1945,1105,769,773,169,137,177,128,60,42,42,15
EE_EEYY98,Eesti,0,0,2199,0,186,376,271,195,119,55,30,16,9,7,10,7,17,0,0,1,2
EE_0170,Elva,0,0,0,0,257,559,343,241,180,68,60,25,1,1,20,22,2,5,0,0,0
EE_0175,Emmaste,0,0,0,0,35,139,41,37,57,12,6,20,1,0,0,2,0,1,0,1,0
EE_0181,Haanja,0,0,0,0,52,96,43,19,96,7,7,31,0,0,5,5,0,3,0,0,0
EE_0183,Haapsalu,0,0,0,0,600,886,498,286,240,64,118,16,24,13,18,35,10,7,3,7,1
EE_0185,Haaslava,0,0,0,0,65,159,85,47,63,21,15,48,1,2,5,2,1,3,1,0,0
EE_0188,Halinga,0,0,0,0,115,317,146,85,95,24,36,13,1,0,6,0,0,3,0,0,2
EE_0190,Haljala,0,0,0,0,88,247,101,75,80,15,17,20,0,0,3,5,0,1,1,0,0
EE_0192,Halliste,0,0,0,0,43,164,54,33,47,13,11,26,0,0,0,1,0,2,0,0,2
EE_0195,Hanila,0,0,0,0,61,184,53,40,44,11,12,3,0,1,2,4,0,0,0,0,0
EE_MA01,Harjumaa,97981,47422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0198,Harku,0,0,0,0,323,907,682,546,234,105,107,24,21,5,20,9,3,1,0,4,1
EE_0203,Helme,0,0,0,0,110,162,76,34,74,11,15,12,2,0,0,0,0,1,0,0,0
EE_MA02,Hiiumaa,8537,2974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0208,Hummuli,0,0,0,0,50,51,35,12,31,5,6,29,2,0,3,0,1,1,1,1,0
EE_0213,Häädemeeste,0,0,0,0,121,253,115,75,73,15,27,11,0,0,5,5,1,3,0,2,1
EE_MA03,Ida-virumaa,68454,31588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0224,Iisaku,0,0,0,0,47,132,53,31,32,16,7,9,2,2,0,1,0,0,1,0,0
EE_0229,Illuka,0,0,0,0,78,53,25,13,11,6,8,8,7,1,0,1,0,4,0,0,0
EE_0234,Imavere,0,0,0,0,26,62,34,35,41,2,10,5,0,0,0,7,0,1,0,0,0
EE_0240,Juuru,0,0,0,0,37,160,65,42,31,9,15,14,0,0,0,1,0,0,0,0,0
EE_0257,Järva-Jaani,0,0,0,0,49,118,82,48,33,16,6,39,1,2,0,4,0,0,0,0,0
EE_0260,Järvakandi,0,0,0,0,72,122,63,87,32,7,10,16,1,0,1,4,5,2,1,1,0
EE_MA04,Järvamaa,27993,9944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0245,Jõelähtme,0,0,0,0,245,435,397,248,122,35,47,24,6,1,19,3,3,0,1,2,1
EE_0249,Jõgeva linn,0,0,0,0,357,405,252,167,122,35,38,125,4,5,4,6,0,2,0,2,1
EE_0248,Jõgeva vald,0,0,0,0,252,353,192,132,122,56,39,119,3,1,10,1,1,4,0,2,1
EE_MA05,Jõgevamaa,28090,10459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE_0251,Jõhvi,0,0,0,0,1425,360,351,170,125,41,28,26,178,106,4,26,10,0,6,1,3
EE_0270,Kaarma,0,0,0,0,153,252,183,115,94,31,32,33,0,2,3,6,0,4,0,0,3
EE_0273,Kadrina,0,0,0,0,150,454,239,181,127,34,49,8,2,2,6,10,2,4,1,0,0
EE_0276,Kaisma,0,0,0,0,11,59,18,12,9,1,0,4,0,0,0,0,0,0,0,1,0
EE_0277,Kaiu,0,0,0,0,24,121,76,17,37,9,12,57,0,0,1,0,0,1,0,0,0
EE_0279,Kallaste,0,0,0,0,166,20,2,6,8,2,1,0,7,75,0,3,4,0,0,0,2
EE_0282,Kambja,0,0,0,0,84,199,104,80,66,20,18,244,0,0,4,1,0,3,0,0,1
EE_0285,Kanepi,0,0,0,0,140,158,138,58,91,14,18,16,0,0,4,2,0,3,0,0,0
EE_0288,Kareda,0,0,0,0,30,57,23,14,16,13,3,2,0,0,3,0,0,2,1,0,1
EE_0600,Karksi,0,0,0,0,163,323,174,115,110,33,28,38,2,0,2,2,0,2,3,1,0
EE_0289,Karula,0,0,0,0,61,49,30,17,28,4,4,11,1,0,1,0,0,1,0,0,0
EE_0657,Kasepää,0,0,0,0,180,45,25,8,15,4,2,39,20,33,0,0,8,0,1,0,1
EE_0292,Kehtna,0,0,0,0,199,498,294,138,145,53,51,30,7,2,7,6,3,5,0,2,1
EE_0296,Keila linn,0,0,0,0,488,968,601,437,236,81,100,25,19,14,32,24,8,4,3,2,0
EE_0295,Keila vald,0,0,0,0,222,358,201,142,66,40,23,3,10,9,6,3,3,1,1,3,1
EE_0297,Kernu,0,0,0,0,57,183,95,53,56,22,24,11,1,2,4,4,0,1,0,3,1
EE_0301,Kihelkonna,0,0,0,0,70,62,19,18,24,4,16,12,0,0,0,1,0,0,0,0,0
EE_0303,Kihnu,0,0,0,0,16,46,41,19,15,5,7,3,0,0,1,0,0,0,0,0,0
EE_0304,Kiili,0,0,0,0,114,414,254,200,103,33,42,8,3,0,7,4,0,2,3,3,0
EE_0309,Kiviõli,0,0,0,0,1032,199,151,80,42,27,16,7,82,41,2,8,10,3,6,0,2
EE_0314,Koeru,0,0,0,0,84,152,95,41,54,17,11,17,0,1,1,2,1,1,0,0,0
