country,file,row_index,municipality_code,municipality_name,canonical_name,reason
EE,2009.csv,13,EE_EEYY99,E-Hääled,E-Hääled,special_e_haaled
EE,2009.csv,14,EE_EEYY98,Eesti,Eesti,special_national_aggregate
EE,2009.csv,24,EE_MA01,Harjumaa,Harjumaa,special_maakond
EE,2009.csv,27,EE_MA02,Hiiumaa,Hiiumaa,special_maakond
EE,2009.csv,30,EE_MA03,Ida-virumaa,Ida-virumaa,special_maakond
EE,2009.csv,37,EE_MA04,Järvamaa,Järvamaa,special_maakond
EE,2009.csv,41,EE_MA05,Jõgevamaa,Jõgevamaa,special_maakond
EE,2009.csv,96,EE_MA06,Lääne-Virumaa,Lääne-Virumaa,special_maakond
EE,2009.csv,97,EE_MA07,Läänemaa,Läänemaa,special_maakond
EE,2009.csv,143,EE_MA08,Pärnumaa,Pärnumaa,special_maakond
EE,2009.csv,150,EE_MA09,Põlvamaa,Põlvamaa,special_maakond
EE,2009.csv,162,EE_MA10,Raplamaa,Raplamaa,special_maakond
EE,2009.csv,173,EE_MA11,Saaremaa,Saaremaa,special_maakond
EE,2009.csv,197,EE_MA12,Tartumaa,Tartumaa,special_maakond
EE,2009.csv,213,EE_MA13,Valgamaa,Valgamaa,special_maakond
EE,2009.csv,228,EE_MA14,Viljandimaa,Viljandimaa,special_maakond
EE,2009.csv,233,EE_EEZZ99,Välisriigid,Välisriigid,special_välisriigist
EE,2009.csv,242,EE_MA15,Võrumaa,Võrumaa,special_maakond
