gisco_id,name,registered,turnout,invalid,blank,Eestimaa Ühendatud Vasakpartei,Sotsiaaldemokraatlik Erakond,Erakond Eestimaa Rohelised,Erakond Isamaa ja Res Publica Liit,Eesti Keskerakond,Eesti Konservatiivne Rahvaerakond,Eesti Reformierakond,Eesti Iseseisvuspartei,IMRE MÜRK,KRISTIINA OJULAND,KRISTA MULENOK,ROMAN UBAKIVI,TAIRA AASA,DMITRI SILBER,OLGA SÕTNIK,JEVGENI KRIŠTAFOVITŠ,LANCE GARETH EDWARD BOXALL,RENE KUULMANN,INDREK TARAND,TANEL TALVE,SVETLANA IVNITSKAJA,ANDRES INN,SILVER MEIKAR,JOERI WIERSMA
EE_0105,Abja,1868,0,0,0,0,95,2,71,111,27,91,5,0,1,1,0,0,0,0,1,0,0,84,50,0,0,5,0
EE_0112,Aegviidu,590,0,0,0,0,51,1,37,18,8,90,2,0,1,3,0,0,0,0,0,0,0,38,9,0,0,2,0
EE_0117,Ahja,852,0,0,0,1,42,1,30,35,19,47,11,1,0,0,0,0,0,0,0,0,0,54,17,0,0,8,0
EE_0122,Alajõe,418,0,0,0,0,7,2,2,90,0,30,0,0,1,0,0,0,0,1,0,0,0,5,3,0,0,0,0
EE_0126,Alatskivi,1056,0,0,0,1,41,2,34,61,14,81,4,0,0,3,0,0,0,1,2,0,1,42,32,0,1,4,0
EE_0129,Albu,1002,0,0,0,0,44,1,44,22,26,64,7,0,4,2,0,0,0,0,0,0,0,59,30,0,0,0,0
EE_0134,Ambla,1730,0,0,0,0,79,0,74,49,34,152,5,1,11,2,2,0,0,1,1,0,1,102,42,0,0,11,0
EE_0140,Anija,3880,0,0,0,0,145,2,150,220,46,272,14,0,14,5,1,0,0,2,1,0,4,191,162,0,0,17,0
EE_0143,Antsla,2960,0,0,0,0,150,3,114,136,58,160,21,0,16,1,0,1,0,0,2,0,1,131,52,0,0,8,0
EE_0149,Are,1013,0,0,0,0,33,2,53,57,19,53,9,1,3,2,0,0,0,0,2,0,1,68,15,1,0,4,0
EE_0154,Aseri,976,0,0,0,0,50,1,25,105,11,71,3,0,6,2,0,0,0,1,2,0,0,33,8,1,0,2,0
EE_0160,Audru,4496,0,0,0,0,161,3,229,131,89,303,16,1,13,8,0,1,0,0,1,0,0,220,69,0,0,18,1
EE_0164,Avinurme,1092,0,0,0,0,62,7,39,39,26,130,3,2,11,1,1,0,0,0,0,0,0,49,24,0,0,6,0
EE_0170,Elva,4595,0,0,0,0,233,7,246,180,82,548,22,3,22,7,0,0,0,0,0,0,2,256,87,1,0,62,0
EE_0175,Emmaste,1071,0,0,0,0,97,0,41,20,11,98,5,0,1,1,0,0,0,0,1,0,0,88,24,1,0,6,0
EE_0181,Haanja,953,0,0,0,0,97,2,33,35,25,46,2,0,3,2,0,0,0,0,1,1,2,49,23,0,0,13,0
EE_0183,Haapsalu,7840,0,0,0,1,426,9,377,394,207,760,29,2,26,9,0,2,1,1,6,0,4,461,61,1,1,33,2
EE_0185,Haaslava,1530,0,0,0,0,115,1,52,39,28,137,5,3,3,2,0,0,0,0,0,0,1,75,27,0,1,7,0
EE_0188,Halinga,2492,0,0,0,0,103,1,138,89,41,183,14,0,13,6,0,0,0,0,1,0,0,133,49,0,0,8,0
EE_0190,Haljala,2070,0,0,0,0,88,1,55,74,20,170,8,0,11,6,0,0,0,0,2,0,1,116,37,0,0,10,0
EE_0192,Halliste,1265,0,0,0,0,37,2,73,29,11,73,9,1,5,1,0,0,0,0,0,0,1,83,23,0,0,5,0
EE_0195,Hanila,1283,0,0,0,0,64,3,59,51,42,96,9,0,3,2,0,0,0,0,1,1,0,85,31,0,0,10,0
EE_0198,Harku,8863,0,0,0,0,501,12,773,242,126,1360,41,6,37,23,1,0,1,3,9,0,14,510,93,3,0,74,0
EE_0203,Helme,1660,0,0,0,0,92,0,41,75,24,88,6,0,5,0,0,0,0,0,0,0,0,88,41,0,0,5,0
EE_0204,Hiiu,4014,0,0,0,0,195,0,222,117,52,379,11,0,8,9,0,0,0,0,2,0,5,242,32,1,0,25,0
EE_0208,Hummuli,696,0,0,0,0,45,0,14,32,11,53,6,0,0,0,0,0,0,0,0,0,0,32,12,0,0,3,0
EE_0213,Häädemeeste,2187,0,0,0,0,75,1,69,112,44,157,17,1,9,2,0,1,0,0,1,1,2,116,33,0,0,11,1
EE_0224,Iisaku,1012,0,0,0,0,52,1,33,33,23,93,5,0,3,1,0,0,1,0,0,0,0,48,10,0,0,5,0
EE_0229,Illuka,630,0,0,0,0,27,0,24,37,10,32,4,0,2,0,0,0,0,1,0,0,0,27,15,0,0,3,0
EE_0234,Imavere,718,0,0,0,0,42,0,53,19,13,37,6,0,2,1,0,0,0,0,0,0,0,34,17,0,0,4,0
EE_0240,Juuru,1161,0,0,0,0,42,0,47,42,19,113,14,0,5,4,0,1,0,0,0,0,3,74,10,1,0,9,0
EE_0257,Järva-Jaani,1290,0,0,0,0,58,0,62,33,37,102,6,0,8,0,0,0,0,0,1,0,1,79,15,0,1,4,0
EE_0260,Järvakandi,1048,0,0,0,0,53,1,49,39,12,59,7,0,8,0,2,0,0,1,2,0,1,69,17,1,0,0,0
EE_0245,Jõelähtme,4358,0,0,0,2,218,7,261,159,59,516,19,0,35,11,1,0,0,1,1,1,3,236,66,0,0,22,0
EE_0249,Jõgeva linn,4374,0,0,0,0,224,6,215,311,82,377,13,3,10,5,0,0,0,1,0,0,3,204,72,0,1,32,1
