gisco_id,name,registered,turnout,invalid,blank,KOOS,EKRE,EER,E200,SDE,I,Ref,Kesk,PP,Ind.
EE_0198,Harku,12126,5182,4,0,73,561,33,180,931,1074,1445,252,591,38
EE_0712,Saarde,3489,1160,8,0,2,348,3,20,179,368,133,19,64,16
EE_0145,Antsla,3455,1128,10,0,5,317,5,22,197,351,124,27,59,11
EE_0719,Saku,8218,3779,5,0,30,539,24,112,751,869,950,97,357,45
EE_0732,Setomaa,2617,863,7,0,9,225,6,12,153,257,102,36,41,15
EE_0486,Mustvee,4111,1450,1,0,120,256,13,30,187,381,146,232,70,14
EE_0653,Rae,14701,6386,13,0,93,648,31,239,1290,1370,1675,292,693,42
EE_0317,Kohila vald,5487,2090,8,0,25,460,7,55,344,621,349,66,139,16
EE_0255,Järva,6618,2191,6,0,12,641,8,35,342,641,274,56,145,31
EE_0917,Võru,8374,2738,15,0,15,759,14,55,553,723,347,70,149,38
EE_0793,Tartu linn,67280,34544,52,0,596,4905,335,1312,8615,7436,6648,1716,2729,200
EE_0515,Narva-Jõesuu linn,2198,756,6,0,178,20,0,1,120,62,23,332,10,4
EE_0796,Tartu vald,9561,3306,4,0,29,582,28,101,657,933,588,65,290,29
EE_0899,Viljandi vald,10703,3030,7,0,9,799,7,66,574,830,476,58,179,25
EE_0441,Lääne-Nigula,5527,2124,8,0,9,519,13,54,375,611,352,38,122,23
EE_0661,Rakvere vald,4243,1177,2,0,10,211,5,17,223,393,198,29,81,8
EE_0618,Põltsamaa,7274,2566,10,0,6,597,11,33,456,878,369,54,125,27
EE_0303,Kihnu,591,224,1,0,0,37,0,8,52,64,37,6,18,1
EE_0638,Põhja-Pärnumaa,6114,1970,4,0,13,548,8,41,310,583,295,28,124,16
EE_0251,Jõhvi,5958,2423,5,0,291,234,3,20,361,451,263,724,58,13
EE_0272,Kadrina,3614,1299,2,0,4,218,6,24,242,430,225,31,95,22
EE_0502,Märjamaa,5867,2033,6,0,4,529,4,55,322,616,312,24,135,26
EE_0809,Tori,9169,2713,71,0,38,723,15,62,357,790,359,88,185,25
EE_0624,Pärnu,36898,16125,50,0,195,3746,85,336,2690,4214,2769,775,1146,119
EE_0689,Ruhnu,133,70,0,0,0,11,3,4,15,18,7,3,9,0
EE_0245,Jõelähtme,4986,1895,3,0,34,276,16,50,368,448,414,144,127,15
EE_0446,Maardu,7058,2123,11,0,291,161,7,19,191,208,211,938,72,14
EE_0901,Vinni,5183,1718,5,0,14,404,14,18,341,524,234,42,101,21
EE_0567,Paide,7740,2942,6,0,11,720,13,44,620,769,505,91,132,31
EE_0736,Sillamäe linn,3424,1137,2,0,266,17,2,6,75,31,26,707,3,2
EE_0792,Tapa,6994,2121,5,0,41,399,3,42,412,653,285,160,102,19
