gisco_id,name,registered,turnout,invalid,blank,ΠA.ΣO.K,K.K.E.,ΣYN,ΛΑ.Ο.Σ.,Γυν.Ευρ.,Οικ.Πρασ.,Εν.Κεντρ.,Βεργής,Ελλ.Μετ.,ΜΕΡ.Α.,Δ.Π.Ε.,Αντ.Συμμ.,Πατ.Συμ.,M-Λ KKE,ΔΗΣΟΚ,ΑΣΚΕ,Οραμα,Ευρ.Συμπ,ΟΑΚΚΕ,Ουρ.Τόξο,Οικ.Εναλ.,Χριστ.,N.Δ.
EL_450100,Αθηναίων,576432,317384,7989,0,89302,34229,20568,17049,3721,2644,2148,1658,1425,1017,960,913,774,658,435,220,162,154,139,138,35,3,0
EL_071002,Αγίου Παύλου,5905,4167,134,0,0,609,164,263,32,57,49,20,16,10,46,11,8,23,10,6,6,3,7,5,0,0,1306
EL_070201,Αμπελοκήπων,24372,18003,642,0,5397,2365,653,1434,148,195,189,90,52,39,271,30,44,84,32,29,14,15,12,15,0,0,0
EL_070802,Ελευθερίου - Κορδελιού,15570,11997,343,0,3862,1404,294,1194,101,79,93,51,41,12,313,28,25,88,32,36,16,14,18,12,2,0,0
EL_070801,Ευόσμου,27424,21359,720,0,5987,2567,713,1980,202,193,219,92,47,32,308,25,38,85,40,49,17,13,21,11,2,0,0
EL_070101,Θεσσαλονίκης,258110,176683,4954,0,46820,16450,9186,12692,1894,2964,1642,760,480,352,1649,405,312,538,259,178,108,73,99,104,1,0,0
EL_070700,Καλαμαριάς,48517,36804,1025,0,11907,4563,1878,2505,347,570,378,185,76,49,374,85,52,119,58,39,27,19,26,24,0,0,0
EL_070202,Μενεμένης,10752,8391,245,0,2908,796,257,672,64,101,92,54,16,11,86,19,17,41,29,30,7,6,21,2,0,0,0
EL_071003,Νεαπόλεως,33694,22216,718,0,7675,2249,820,1280,161,220,222,85,47,36,252,22,31,92,56,50,12,14,21,14,0,0,0
EL_071103,Πολίχνης,21465,16714,552,0,4967,2516,597,1187,165,139,141,70,45,26,567,28,37,70,49,35,16,8,10,12,0,3,0
EL_071101,Σταυρουπόλεως,23152,17371,636,0,5587,2109,665,1347,180,155,180,68,32,38,302,31,34,79,40,41,17,22,18,13,35,10,0
EL_071001,Συκεών,27055,18918,554,0,0,2745,847,1373,173,226,202,84,39,38,281,30,19,94,46,35,14,8,8,17,0,0,5789
EL_070102,Τριανδρίας,8664,6754,196,0,1944,914,318,518,80,81,60,36,18,4,50,9,14,25,14,7,7,2,4,5,0,0,0
EL_071102,Ευκαρπίας,4660,3707,102,0,1225,365,89,294,31,33,43,26,2,8,58,2,7,18,9,17,2,5,7,1,0,0,0
EL_071004,Πεύκων,3228,2735,75,0,675,295,160,235,29,92,32,12,6,3,42,4,3,6,3,3,2,0,3,0,0,0,0
EL_520300,Αίγινας,12954,8112,174,0,2456,484,346,326,99,49,47,66,18,8,13,17,10,25,20,23,8,4,8,4,0,0,0
EL_520401,Κυθήρων,6518,2312,41,0,739,158,100,50,17,21,11,12,1,2,8,4,3,2,3,1,1,6,1,2,0,0,0
EL_520702,Μεθάνων,2530,1637,34,0,578,44,52,45,10,7,4,8,5,1,2,0,5,2,3,0,0,1,1,0,0,0,0
EL_510100,Πειραιώς,181606,103863,2672,0,31741,11102,5002,5936,1148,732,832,712,491,200,264,314,298,318,155,105,75,52,77,75,9,0,0
EL_520500,Πόρου,4782,2740,47,0,751,136,92,93,13,16,21,28,2,2,1,2,5,7,4,5,4,0,2,2,1,0,0
