country,file,row_index,municipality_code,municipality_name,canonical_name,reason
EL,2024.csv,0,EL_ELZZ99,"57 Ε.Τ. Επ. Ψήφου Εξωτερικού (Αυστραλία,Νέα Ζηλανδία,...)","57 Ε.Τ. Επ. Ψήφου Εξωτερικού (Αυστραλία,Νέα Ζηλανδία,...)",special_foreign_el
EL,2024.csv,1,EL_ELZZ99,"56 Ε.Τ. Επ. Ψήφου Εξωτερικού (Αίγυπτος,Αιθιοπία,...)","56 Ε.Τ. Επ. Ψήφου Εξωτερικού (Αίγυπτος,Αιθιοπία,...)",special_foreign_el
EL,2024.csv,2,EL_ELZZ99,"55 Ε.Τ. Επ. Ψήφου Εξωτερικού (Αζερμπαϊτζάν,Βιετνάμ,...)","55 Ε.Τ. Επ. Ψήφου Εξωτερικού (Αζερμπαϊτζάν,Βιετνάμ,...)",special_foreign_el
EL,2024.csv,3,EL_ELZZCA,54 Ε.Τ. Επ. Ψήφου Εξωτερικού (Καναδάς),54 Ε.Τ. Επ. Ψήφου Εξωτερικού (Καναδάς),special_foreign_el
EL,2024.csv,4,EL_ELZZCA,53 Ε.Τ. Επ. Ψήφου Εξωτερικού (Καναδάς),53 Ε.Τ. Επ. Ψήφου Εξωτερικού (Καναδάς),special_foreign_el
EL,2024.csv,5,EL_ELZZUS,52 Ε.Τ. Επ. Ψήφου Εξωτερικού (Η.Π.Α.),52 Ε.Τ. Επ. Ψήφου Εξωτερικού (Η.Π.Α.),special_foreign_el
EL,2024.csv,6,EL_ELZZUS,51 Ε.Τ. Επ. Ψήφου Εξωτερικού (Η.Π.Α.),51 Ε.Τ. Επ. Ψήφου Εξωτερικού (Η.Π.Α.),special_foreign_el
EL,2024.csv,7,EL_ELZZUS,50 Ε.Τ. Επ. Ψήφου Εξωτερικού (Η.Π.Α.),50 Ε.Τ. Επ. Ψήφου Εξωτερικού (Η.Π.Α.),special_foreign_el
EL,2024.csv,8,EL_ELZZUS,49 Ε.Τ. Επ. Ψήφου Εξωτερικού (Η.Π.Α.),49 Ε.Τ. Επ. Ψήφου Εξωτερικού (Η.Π.Α.),special_foreign_el
EL,2024.csv,9,EL_ELZZ99,"48 Ε.Τ. Επ. Ψήφου Εξωτερικού (Σουηδία,Φινλανδία)","48 Ε.Τ. Επ. Ψήφου Εξωτερικού (Σουηδία,Φινλανδία)",special_foreign_el
EL,2024.csv,10,EL_ELZZSE,47 Ε.Τ. Επ. Ψήφου Εξωτερικού (Σουηδία),47 Ε.Τ. Επ. Ψήφου Εξωτερικού (Σουηδία),special_foreign_el
EL,2024.csv,11,EL_ELZZ99,"46 Ε.Τ. Επ. Ψήφου Εξωτερικού (Αρμενία,Βουλγαρία,...)","46 Ε.Τ. Επ. Ψήφου Εξωτερικού (Αρμενία,Βουλγαρία,...)",special_foreign_el
EL,2024.csv,12,EL_ELZZNL,45 Ε.Τ. Επ. Ψήφου Εξωτερικού (Ολλανδία),45 Ε.Τ. Επ. Ψήφου Εξωτερικού (Ολλανδία),special_foreign_el
EL,2024.csv,13,EL_ELZZNL,44 Ε.Τ. Επ. Ψήφου Εξωτερικού (Ολλανδία),44 Ε.Τ. Επ. Ψήφου Εξωτερικού (Ολλανδία),special_foreign_el
EL,2024.csv,14,EL_ELZZNL,43 Ε.Τ. Επ. Ψήφου Εξωτερικού (Ολλανδία),43 Ε.Τ. Επ. Ψήφου Εξωτερικού (Ολλανδία),special_foreign_el
EL,2024.csv,15,EL_ELZZNL,42 Ε.Τ. Επ. Ψήφου Εξωτερικού (Ολλανδία),42 Ε.Τ. Επ. Ψήφου Εξωτερικού (Ολλανδία),special_foreign_el
EL,2024.csv,16,EL_ELZZ99,"41 Ε.Τ. Επ. Ψήφου Εξωτερικού (Ιρλανδία,Ισλανδία,...)","41 Ε.Τ. Επ. Ψήφου Εξωτερικού (Ιρλανδία,Ισλανδία,...)",special_foreign_el
EL,2024.csv,17,EL_ELZZLU,40 Ε.Τ. Επ. Ψήφου Εξωτερικού (Λουξεμβούργο),40 Ε.Τ. Επ. Ψήφου Εξωτερικού (Λουξεμβούργο),special_foreign_el
EL,2024.csv,18,EL_ELZZCY,39 Ε.Τ. Επ. Ψήφου Εξωτερικού (Κύπρος),39 Ε.Τ. Επ. Ψήφου Εξωτερικού (Κύπρος),special_foreign_el
EL,2024.csv,19,EL_ELZZCY,38 Ε.Τ. Επ. Ψήφου Εξωτερικού (Κύπρος),38 Ε.Τ. Επ. Ψήφου Εξωτερικού (Κύπρος),special_foreign_el
