gisco_id,name,registered,turnout,invalid,blank,INICIATIVA FEMINISTA,SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA,PARTIDO SOCIALISTA DE ANDALUCÍA,FALANGE ESPAÑOLA DE LAS JONS,IZQUIERDA ANTICAPITALISTA-REVOLTA GLOBAL,PARTIDO POPULAR,EXTREMADURA UNIDA,CENTRO DEMOCRÁTICO LIBERAL,UNIO VALENCIANA,PARTIDO FAMILIA Y VIDA,UNIÓN CENTRISTA LIBERAL,PARTIT REPUBLICÀ CATALÀ,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,UNIÓN PROGRESO Y DEMOCRACIA,ALTERNATIVA ESPAÑOLA,FALANGE AUTÉNTICA,POR UN MUNDO MÁS JUSTO,SALAMANCA-ZAMORA-LEÓN,CENTRO DEMOCRÁTICO Y SOCIAL,LIBERTAS-CIUDADANOS DE ESPAÑA,LOS VERDES-GRUPO VERDE EUROPEO,FRENTE NACIONAL,PARTIDO ANTITAURINO CONTRA EL MALTRATO ANIMAL,PARTIDO SOCIALISTA OBRERO ESPAÑOL,MOVIMIENTO SOCIAL REPUBLICANO,UNIDÁ NACIONALISTA ASTURIANA,INICIATIVA INTERNACIONALISTA - LA SOLIDARIDAD ENTRE LOS PUEBLOS,DEMOCRACIA NACIONAL,UNIFICACIÓN COMUNISTA DE ESPAÑA,PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA,ANDECHA ASTUR,PARTIDO HUMANISTA,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA: LA IZQUIERDA,LOS VERDES-(EUROPA DE LOS PUEBLOS-VERDES),PARTIDO ANDALUCISTA-COALICIÓN POR EUROPA,COALICIÓN POR EUROPA,CHUNTA ARAGONESISTA (EUROPA DE LOS PUEBLOS-VERDES),IZQUIERDA UNIDA DE ARAGÓN: LA IZQUIERDA,EUROPA DE LOS PUEBLOS-VERDES,IZQUIERDA UNIDA DE ASTURIAS-BLOQUE POR ASTURIES: LA IZQUIERDA,ELS VERDS-GRUP VERD EUROPEU-LOS VERDES-GRUPO VERDE EUROPEO,ESQUERRA REPUBLICANA-ENTESA (EUROPA DELS POBLES-VERDS),ESQUERRA UNIDA DE LES ILLES BALEARS-VERDS: L'ESQUERRA,INICIATIVA INTERNACIONALISTA - LA SOLIDARITAT ENTRE ELS POBLES,REVOLTA GLOBAL-ESQUERRA ANTICAPITALISTA,UNIÓ MALLORQUINA-UNIÓ MENORQUINA-COALICIÓ PER EUROPA,COALICIÓN CANARIA-COALICIÓN POR EUROPA,IZQUIERDA UNIDA CANARIA: LA IZQUIERDA,IZQUIERDA UNIDA: LA IZQUIERDA,CONVERGÈNCIA I UNIÓ-COALICIÓ PER EUROPA,ELS VERDS-GRUP VERD EUROPEU,ESQUERRA REPUBLICANA DE CATALUNYA-(EUROPA DELS POBLES-VERDS),INICIATIVA PER CATALUNYA VERDS-ESQUERRA UNIDA I ALTERNATIVA: L'ESQUERRA,PARTIT DELS SOCIALISTES DE CATALUNYA PSC,BLOQUE NACIONALISTA GALEGO (EUROPA DOS POBOS-VERDES),ESQUERDA ANTICAPITALISTA-IZQUIERDA ANTICAPITALISTA-REVOLTA GLOBAL,ESQUERDA UNIDA-IZQUIERDA UNIDA: A ESQUERDA,INICIATIVA INTERNACIONALISTA - A SOLIDARIEDADE ENTRE OS POBOS,OS VERDES-GRUPO VERDE EUROPEO,IZQUIERDA UNIDA COMUNIDAD DE MADRID: LA IZQUIERDA,BERDEAK-EUROPAR TALDE BERDEA-LOS VERDES-GRUPO VERDE EUROPEO,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO-COALICIÓN POR EUROPA-EUROPARAKO KOALIZIOA,EZKER ANTIKAPITALISTA-IZQUIERDA ANTICAPITALISTA-REVOLTA GLOBAL,INDEPENDENTISTAK ETA EZKERTIARRAK-EUROPA DE LOS PUEBLOS-VERDES,INIZIATIBA INTERNAZIONALISTA - HERRIEN ELKARTASUNA,IZQUIERDA UNIDA DE NAVARRA-NAFARROAKO EZKER BATUA: LA IZQUIERDA,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA-EUSKAL KOMUNISTAK,EZKER BATUA-BERDEAK: EZKERRA,IZQUIERDA UNIDA DE LA REGIÓN DE MURCIA: LA IZQUIERDA,BLOC NACIONALISTA VALENCIÀ-COALICIÓ PER EUROPA,ESQUERRA ANTICAPITALISTA-REVOLTA GLOBAL,ESQUERRA REPUBLICANA DEL PAÍS VALENCIÀ-ELS VERDS (EUROPA DELS POBLES-VERDS),ESQUERRA UNIDA DEL PAÍS VALENCIÀ: L'ESQUERRA
ES_04001,Abla,1163,591,3,4,0,0,1,1,0,273,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,293,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04002,Abrucena,1125,589,4,2,0,0,0,1,0,218,0,0,0,0,0,0,1,5,1,1,0,0,0,0,0,0,0,330,0,0,0,0,0,2,1,1,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04003,Adra,17295,7183,15,47,1,1,30,4,0,4398,0,0,2,0,0,1,1,78,2,0,0,0,3,8,12,4,2,2426,3,0,2,0,2,1,1,2,98,7,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04004,Albanchez,536,351,3,4,0,0,0,0,1,81,0,0,0,0,0,0,1,4,1,0,0,0,0,0,3,0,0,245,0,0,1,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04005,Alboloduy,628,375,5,2,0,0,0,0,0,186,0,0,0,0,0,1,0,6,0,1,0,0,0,0,1,0,0,171,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04006,Albox,7610,3372,21,29,0,1,5,1,0,1459,0,50,0,1,1,1,1,25,0,0,0,0,3,1,3,0,3,1677,0,0,2,0,0,1,0,0,57,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04007,Alcolea,772,384,3,3,0,0,0,0,0,115,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04008,Alcóntar,522,315,2,1,0,0,0,0,0,193,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,112,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04009,Alcudia de Monteagud,142,73,2,1,0,0,0,0,0,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04010,Alhabia,617,416,3,6,0,0,0,1,0,115,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,274,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04011,Alhama de Almería,2807,1556,11,10,1,0,2,1,0,509,0,0,0,0,0,0,0,5,2,0,0,0,2,0,2,0,0,917,0,0,0,0,0,0,1,1,87,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04012,Alicún,202,155,1,2,0,0,0,0,0,67,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,78,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04013,Almería,136161,55172,181,595,41,80,98,26,20,29139,8,20,15,23,7,10,54,1609,40,28,62,6,28,107,225,12,108,20235,25,9,39,42,9,41,5,18,1908,129,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04014,Almócita,150,106,0,1,0,0,0,0,0,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
