gisco_id,name,registered,turnout,invalid,blank,IzqEsp,CEUS,FO,AR,PSOE,Andalucistas,IE,Vox,PP,EB,CRT,Podemos,PFAC,PCTE,PCPE-PCPC,Sumar,PACMA,Cree en Europa,PMR,SALF,F,Existe,Cs,FE-JONS,SAE,JUEX,PH,Volt,Recortes Cero,Junts UE,PREx-CREx,GLG,Piratas/Rebeldes,PREPAL,PCTC,PMR-RV-VN
ES_04001,Abla,1005,514,2,2,1,0,2,0,201,1,2,60,192,0,0,14,0,0,0,12,6,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04002,Abrucena,1015,488,6,3,0,0,0,0,184,0,0,67,179,0,0,6,0,0,0,13,6,0,0,19,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0
ES_04003,Adra,17869,7821,53,46,5,0,20,2,1671,14,11,1387,3723,2,1,107,6,0,2,98,43,2,0,571,2,1,24,7,2,1,3,11,1,0,2,1,1,1,0,0
ES_04004,Albanchez,390,226,4,2,0,0,0,1,83,1,0,24,90,0,0,4,0,0,0,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ES_04005,Alboloduy,498,307,2,1,1,0,2,0,95,1,0,37,145,0,0,4,0,0,0,5,1,0,0,8,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0
ES_04006,Albox,7222,2951,19,13,1,0,2,3,827,3,4,312,1454,3,1,42,0,0,0,40,5,1,3,179,0,1,20,2,1,0,0,13,0,0,0,1,1,0,0,0
ES_04007,Alcolea,696,334,7,1,1,0,0,1,116,0,1,31,139,0,0,9,0,1,0,8,0,0,0,16,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
ES_04008,Alcóntar,469,293,1,0,0,0,1,1,64,1,0,33,168,0,0,4,0,0,0,0,1,0,0,14,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0
ES_04009,Alcudia de Monteagud,106,56,0,0,0,0,0,0,10,0,0,7,32,0,0,2,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ES_04010,Alhabia,604,368,5,1,0,0,0,0,163,0,1,14,159,0,0,4,0,0,0,4,0,2,0,13,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
ES_04011,Alhama de Almería,2877,1503,22,11,0,2,8,1,657,2,0,129,464,0,0,22,0,0,2,42,8,0,0,115,0,2,6,0,1,0,1,6,1,0,0,1,0,0,0,0
ES_04012,Alicún,185,135,2,3,0,0,0,0,54,0,0,13,55,0,0,0,0,0,0,0,3,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
ES_04013,Almería,146614,67050,299,437,132,18,248,64,17933,135,111,9000,28029,75,17,1598,104,44,24,2701,507,25,15,4674,20,49,507,34,31,3,12,99,53,10,3,7,25,7,0,0
ES_04014,Almócita,182,131,2,2,0,0,1,3,63,1,0,9,29,0,0,4,1,0,0,11,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04015,Alsodux,126,75,1,0,0,0,0,0,40,0,1,6,16,0,0,6,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ES_04016,Antas,2200,1049,10,8,0,0,4,0,293,1,0,175,450,0,0,19,2,0,0,14,1,0,0,61,0,0,5,5,0,0,0,1,0,0,0,0,0,0,0,0
ES_04017,Arboleas,1302,552,4,3,1,0,2,1,165,0,0,99,228,0,0,7,0,0,0,4,3,0,0,26,0,0,4,1,1,0,0,3,0,0,0,0,0,0,0,0
ES_04018,Armuña de Almanzora,282,157,2,1,0,0,0,0,53,2,0,15,69,0,0,4,0,0,0,3,1,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ES_04019,Bacares,227,134,0,1,0,0,0,0,73,0,0,7,41,0,0,2,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04020,Bayárcal,253,141,1,0,0,0,0,0,25,0,0,16,95,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04021,Bayarque,173,101,2,0,0,0,0,0,32,0,0,6,50,0,0,2,0,0,0,4,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04022,Bédar,401,192,1,4,0,0,1,0,79,0,0,36,57,0,0,1,0,0,0,4,1,0,0,5,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
ES_04023,Beires,145,87,1,0,0,0,0,0,22,0,0,16,43,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04024,Benahadux,3485,1713,12,15,1,0,10,2,481,2,3,324,620,1,0,22,2,2,0,47,10,2,1,148,0,0,4,1,0,0,0,2,0,0,1,0,0,0,0,0
ES_04026,Benitagla,59,41,0,0,0,0,1,0,8,0,0,10,16,1,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04027,Benizalón,208,93,0,0,0,0,0,1,20,0,0,14,48,0,0,1,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES_04028,Bentarique,199,142,4,2,0,0,0,0,82,0,0,6,34,0,0,2,0,0,0,4,2,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
