country,file,row_index,municipality_code,municipality_name,canonical_name,reason
ES,2024.csv,8132,ES_00004,C.E.R.E. (04),C.E.R.E. (04),special_cere
ES,2024.csv,8133,ES_00011,C.E.R.E. (11),C.E.R.E. (11),special_cere
ES,2024.csv,8134,ES_00014,C.E.R.E. (14),C.E.R.E. (14),special_cere
ES,2024.csv,8135,ES_00018,C.E.R.E. (18),C.E.R.E. (18),special_cere
ES,2024.csv,8136,ES_00021,C.E.R.E. (21),C.E.R.E. (21),special_cere
ES,2024.csv,8137,ES_00023,C.E.R.E. (23),C.E.R.E. (23),special_cere
ES,2024.csv,8138,ES_00029,C.E.R.E. (29),C.E.R.E. (29),special_cere
ES,2024.csv,8139,ES_00041,C.E.R.E. (41),C.E.R.E. (41),special_cere
ES,2024.csv,8140,ES_00022,C.E.R.E. (22),C.E.R.E. (22),special_cere
ES,2024.csv,8141,ES_00044,C.E.R.E. (44),C.E.R.E. (44),special_cere
ES,2024.csv,8142,ES_00050,C.E.R.E. (50),C.E.R.E. (50),special_cere
ES,2024.csv,8143,ES_00033,C.E.R.E. (33),C.E.R.E. (33),special_cere
ES,2024.csv,8144,ES_00007,C.E.R.E. (07),C.E.R.E. (07),special_cere
ES,2024.csv,8145,ES_00035,C.E.R.E. (35),C.E.R.E. (35),special_cere
ES,2024.csv,8146,ES_00038,C.E.R.E. (38),C.E.R.E. (38),special_cere
ES,2024.csv,8147,ES_00039,C.E.R.E. (39),C.E.R.E. (39),special_cere
ES,2024.csv,8148,ES_00002,C.E.R.E. (02),C.E.R.E. (02),special_cere
ES,2024.csv,8149,ES_00013,C.E.R.E. (13),C.E.R.E. (13),special_cere
ES,2024.csv,8150,ES_00016,C.E.R.E. (16),C.E.R.E. (16),special_cere
ES,2024.csv,8151,ES_00019,C.E.R.E. (19),C.E.R.E. (19),special_cere
ES,2024.csv,8152,ES_00045,C.E.R.E. (45),C.E.R.E. (45),special_cere
ES,2024.csv,8153,ES_00005,C.E.R.E. (05),C.E.R.E. (05),special_cere
ES,2024.csv,8154,ES_00009,C.E.R.E. (09),C.E.R.E. (09),special_cere
ES,2024.csv,8155,ES_00024,C.E.R.E. (24),C.E.R.E. (24),special_cere
ES,2024.csv,8156,ES_00034,C.E.R.E. (34),C.E.R.E. (34),special_cere
ES,2024.csv,8157,ES_00037,C.E.R.E. (37),C.E.R.E. (37),special_cere
ES,2024.csv,8158,ES_00040,C.E.R.E. (40),C.E.R.E. (40),special_cere
ES,2024.csv,8159,ES_00042,C.E.R.E. (42),C.E.R.E. (42),special_cere
ES,2024.csv,8160,ES_00047,C.E.R.E. (47),C.E.R.E. (47),special_cere
ES,2024.csv,8161,ES_00049,C.E.R.E. (49),C.E.R.E. (49),special_cere
ES,2024.csv,8162,ES_00008,C.E.R.E. (08),C.E.R.E. (08),special_cere
ES,2024.csv,8163,ES_00017,C.E.R.E. (17),C.E.R.E. (17),special_cere
ES,2024.csv,8164,ES_00025,C.E.R.E. (25),C.E.R.E. (25),special_cere
ES,2024.csv,8165,ES_00043,C.E.R.E. (43),C.E.R.E. (43),special_cere
ES,2024.csv,8166,ES_00006,C.E.R.E. (06),C.E.R.E. (06),special_cere
ES,2024.csv,8167,ES_00010,C.E.R.E. (10),C.E.R.E. (10),special_cere
ES,2024.csv,8168,ES_00015,C.E.R.E. (15),C.E.R.E. (15),special_cere
ES,2024.csv,8169,ES_00027,C.E.R.E. (27),C.E.R.E. (27),special_cere
ES,2024.csv,8170,ES_00032,C.E.R.E. (32),C.E.R.E. (32),special_cere
ES,2024.csv,8171,ES_00036,C.E.R.E. (36),C.E.R.E. (36),special_cere
ES,2024.csv,8172,ES_00028,C.E.R.E. (28),C.E.R.E. (28),special_cere
ES,2024.csv,8173,ES_00031,C.E.R.E. (31),C.E.R.E. (31),special_cere
ES,2024.csv,8174,ES_00001,C.E.R.E. (01),C.E.R.E. (01),special_cere
ES,2024.csv,8175,ES_00020,C.E.R.E. (20),C.E.R.E. (20),special_cere
ES,2024.csv,8176,ES_00048,C.E.R.E. (48),C.E.R.E. (48),special_cere
ES,2024.csv,8177,ES_00030,C.E.R.E. (30),C.E.R.E. (30),special_cere
ES,2024.csv,8178,ES_00026,C.E.R.E. (26),C.E.R.E. (26),special_cere
ES,2024.csv,8179,ES_00003,C.E.R.E. (03),C.E.R.E. (03),special_cere
ES,2024.csv,8180,ES_00012,C.E.R.E. (12),C.E.R.E. (12),special_cere
ES,2024.csv,8181,ES_00046,C.E.R.E. (46),C.E.R.E. (46),special_cere
ES,2024.csv,8182,ES_00051,C.E.R.E. (51),C.E.R.E. (51),special_cere
ES,2024.csv,8183,ES_00052,C.E.R.E. (52),C.E.R.E. (52),special_cere
