gisco_id,name,registered,turnout,invalid,blank,Vänsterförbundet,Finlands Socialdemokratiska Parti,Samlingspartiet,Finlands Kommunistiska Parti,Gröna förbundet,Liberalerna,Finlands Folkets Blåvita,För de fattigas väl,Kristdemokraterna i Finland,Sannfinländarna,Centern i Finland,Pensonärer för Folket,Finland - Fosterland,Svenska folkpartiet i Finland
FI_091,Helsinki / Helsingfors,475008,230602,0,0,21156,46539,72101,1671,48297,810,308,1029,6720,1425,16814,370,212,13150
FI_018,Askola,3402,1257,5,0,66,228,291,3,102,3,1,5,19,2,499,4,9,20
FI_611,Pornainen / Borgnäs,3044,1328,10,0,88,326,285,5,115,1,0,4,49,4,420,0,3,18
FI_638,Porvoo / Borgå,36386,15163,54,0,966,3069,3048,81,1628,26,14,47,317,41,1431,15,14,4412
FI_835,Ekenäs / Tammisaari,12223,5432,24,0,149,783,380,4,275,5,7,7,52,11,214,5,4,3512
FI_049,Espoo / Esbo,170237,87267,0,0,4656,15366,35931,335,13273,292,96,415,2495,537,6849,188,60,6774
FI_235,Kauniainen / Grankulla,6690,4324,0,0,81,283,1771,8,371,15,0,4,73,10,188,2,2,1516
FI_078,Hanko / Hangö,8542,3054,8,0,262,671,458,11,180,3,4,15,69,9,143,3,1,1217
FI_106,Hyvinkää / Hyvinge,34026,13403,60,0,1413,3734,3316,87,1557,50,20,60,817,65,2079,24,25,96
FI_224,Karkkila / Högfors,7033,2731,17,0,692,681,466,52,240,9,3,11,52,18,455,10,3,22
FI_149,Inkoo / Ingå,4113,2035,4,0,66,266,261,10,177,0,4,5,39,2,89,2,1,1109
FI_220,Karis / Karjaa,7413,2989,9,0,142,629,286,15,209,7,3,12,45,8,185,2,3,1434
FI_223,Karjalohja,1130,492,0,0,38,97,123,3,62,0,1,1,12,1,149,2,1,2
FI_245,Kerava / Kervo,24478,10317,26,0,1037,2814,2869,63,1516,42,20,39,402,75,1249,12,14,139
FI_257,Kirkkonummi / Kyrkslätt,23730,10811,0,0,791,2010,3078,59,1524,29,16,41,286,66,974,14,13,1910
FI_407,Lapinjärvi / Lappträsk,2452,1060,1,0,18,160,120,2,58,1,3,3,25,1,287,1,2,378
FI_424,Liljendal,1146,631,0,0,15,57,27,1,13,0,0,0,15,0,34,0,0,469
FI_444,Lohja / Lojo,28042,10886,43,0,1215,3221,2546,59,1417,16,32,39,398,59,1419,29,19,374
FI_434,Loviisa / Lovisa,6386,2628,0,0,146,729,420,6,216,6,2,6,36,13,146,5,3,894
FI_505,Mäntsälä,12987,4550,11,0,400,1006,1182,15,395,11,10,20,164,23,1249,14,14,36
FI_504,Myrskylä / Mörskom,1604,609,3,0,22,82,126,3,27,1,2,4,27,1,235,1,2,73
FI_540,Nummi-Pusula,4607,1816,4,0,221,368,345,10,168,6,2,12,37,11,617,4,3,8
FI_543,Nurmijärvi,25929,10748,56,0,911,2424,3107,40,1170,27,15,38,416,78,2346,14,10,96
FI_585,Pernå / Pernaja,3169,1311,2,0,65,234,114,2,95,3,3,0,13,2,102,0,3,673
FI_606,Pohja / Pojo,4117,1641,10,0,145,534,176,12,200,1,1,4,25,2,116,2,4,409
FI_616,Pukkila,1475,600,0,0,49,79,117,2,56,1,0,3,15,2,276,0,0,0
FI_737,Sammatti,955,453,0,0,46,85,119,2,49,0,0,3,12,1,128,3,0,5
FI_753,Sipoo / Sibbo,13760,6662,2,0,306,889,1321,23,683,10,17,26,212,31,559,9,7,2567
FI_755,Siuntio / Sjundeå,3949,1790,5,0,118,315,330,9,225,6,3,9,38,9,144,1,2,576
FI_701,Ruotsinpyhtää / Strömfors,2451,917,5,0,50,296,122,4,47,1,3,1,20,2,176,3,3,184
FI_186,Järvenpää / Träskända,28363,11819,37,0,1083,3168,3288,76,1831,75,19,51,422,60,1546,18,19,126
FI_858,Tuusula / Tusby,25136,10449,32,0,861,2705,3270,59,1228,30,19,45,332,56,1600,21,13,178
FI_092,Vantaa / Vanda,139610,58908,99,0,5679,17107,16235,405,8191,185,73,318,2247,606,5788,82,105,1788
FI_927,Vihti / Vichtis,18884,7625,29,0,648,1822,2168,29,956,23,15,30,301,54,1430,14,13,93
FI_006,Alastaro,2470,944,9,0,106,84,241,3,33,0,5,5,29,1,425,0,1,2
FI_019,Aura,2662,909,9,0,115,150,235,5,61,2,5,4,19,8,286,1,4,5
FI_586,Perniö / Bjärnå,4926,1878,9,0,135,500,406,5,163,5,3,4,37,6,576,5,5,19
FI_040,Dragsfjärd,3280,1179,8,0,148,268,44,5,56,3,4,2,22,1,36,1,0,581
FI_784,Särkisalo / Finby,638,284,0,0,12,70,97,0,16,0,0,0,5,2,53,0,0,29
FI_304,Kustavi / Gustavs,816,300,0,0,10,46,127,0,23,0,1,0,9,1,77,2,1,3
FI_073,Halikko,7271,2879,4,0,177,595,884,9,299,3,7,21,76,9,767,2,2,24
FI_101,Houtskär / Houtskari,637,281,3,0,4,4,17,0,7,0,0,0,3,0,6,0,0,237
FI_150,Iniö,281,111,0,0,2,2,12,0,1,0,0,0,0,0,3,0,0,91
