gisco_id,name,registered,turnout,invalid,blank,Samlingspartiet,Finlands Socialdemokratiska Parti,Centern i Finland,Gröna förbundet,Vänsterförbundet,Sannfinländarna,Svenska folkpartiet i Finland,Kristdemokraterna i Finland (KD),Finlands Kommunistiska Parti,Finlands seniorparti,Självständighetspartiet,För de fattigas väl,Finlands Arbetarparti FAP,Liisa Sulkakoski
FI_091,Helsinki / Helsingfors,489968,230729,0,0,68370,36451,12993,57280,13616,16457,14752,5638,1500,304,345,567,415,1115
FI_018,Askola,3587,1283,0,0,257,227,412,102,48,154,21,39,1,2,4,4,2,4
FI_611,Pornainen / Borgnäs,3417,1376,0,0,302,303,356,138,48,151,14,36,6,2,3,1,3,5
FI_638,Porvoo / Borgå,38005,15323,0,0,2683,2572,1146,1804,558,1285,4561,363,49,20,24,38,81,68
FI_049,Espoo / Esbo,182278,90710,0,0,35146,11164,5722,16958,2500,7469,7663,2540,295,130,108,265,123,392
FI_235,Kauniainen / Grankulla,6852,4325,0,0,1558,240,151,437,36,120,1662,85,6,1,5,1,0,15
FI_078,Hanko / Hangö,8368,2793,0,0,353,607,133,229,136,207,999,76,8,1,2,6,7,5
FI_106,Hyvinkää / Hyvinge,35643,13387,0,0,3471,3063,1683,1683,891,1575,107,546,77,34,26,50,31,96
FI_224,Karkkila / Högfors,7145,2605,0,0,464,600,355,246,436,322,29,68,25,4,6,5,5,25
FI_149,Inkoo / Ingå,4453,2147,0,0,303,263,79,187,44,107,1112,18,3,5,2,3,1,5
FI_223,Karjalohja,1160,500,0,0,91,106,118,76,14,50,6,16,1,0,2,4,3,10
FI_245,Kerava / Kervo,26289,11313,0,0,3034,2543,1141,1840,682,1208,116,483,55,15,37,33,29,58
FI_257,Kirkkonummi / Kyrkslätt,26235,11717,0,0,3234,1666,858,1935,398,1068,2004,322,48,10,37,40,12,49
FI_407,Lapinjärvi / Lappträsk,2449,957,0,0,132,107,200,65,16,53,352,13,1,4,2,2,4,2
FI_424,Liljendal,1176,571,0,0,16,38,24,20,1,8,446,9,0,1,1,1,3,1
FI_444,Lohja / Lojo,30503,11323,0,0,2791,2696,1258,1368,710,1355,362,509,54,21,23,29,19,64
FI_434,Loviisa / Lovisa,6435,2608,0,0,399,552,101,214,82,246,909,48,6,2,6,6,8,18
FI_505,Mäntsälä,14316,4956,0,0,1332,869,1175,492,182,559,39,198,17,8,14,12,11,27
FI_504,Myrskylä / Mörskom,1621,624,0,0,126,83,188,32,11,83,64,29,1,3,0,0,1,0
FI_540,Nummi-Pusula,4692,1807,0,0,308,313,583,137,110,235,18,60,11,4,3,8,4,5
FI_543,Nurmijärvi,28089,11150,0,0,3188,2096,2123,1280,519,1214,106,399,32,21,18,28,21,57
FI_585,Pernå / Pernaja,3264,1307,0,0,85,162,95,99,40,66,725,12,3,0,1,3,2,6
FI_616,Pukkila,1510,546,0,0,94,75,201,58,16,69,3,15,3,1,3,1,1,3
FI_710,Raasepori / Raseborg,24368,9534,0,0,660,1733,324,785,288,376,5085,111,33,6,17,20,20,24
FI_753,Sipoo / Sibbo,13542,6139,0,0,1132,716,393,702,130,447,2349,149,29,8,8,13,10,25
FI_755,Siuntio / Sjundeå,4373,2012,0,0,414,368,146,263,64,147,550,36,6,2,3,1,4,4
FI_701,Ruotsinpyhtää / Strömfors,2411,836,0,0,119,230,138,44,34,73,163,17,4,1,4,1,3,3
FI_186,Järvenpää / Träskända,29930,12379,0,0,3297,2764,1348,2137,592,1319,105,522,73,23,16,37,27,71
FI_858,Tuusula / Tusby,27038,11124,0,0,3243,2150,1895,1399,469,1218,166,360,52,11,18,19,29,64
FI_092,Vantaa / Vanda,148391,60129,0,0,15908,13813,4984,9342,3846,6812,1788,2209,333,90,137,179,114,357
FI_927,Vihti / Vichtis,20687,8296,0,0,2236,1775,1329,997,496,823,109,352,23,10,14,27,21,59
FI_019,Aura,2891,983,0,0,235,160,272,55,96,101,7,30,7,1,4,1,3,8
FI_304,Kustavi / Gustavs,783,299,0,0,119,38,72,20,11,21,5,7,3,1,1,0,0,1
FI_322,Kemiönsaari / Kimitoön,6657,2442,0,0,144,369,139,117,174,87,1343,28,2,2,9,3,6,7
FI_284,Koski Tl / Koskis,2014,824,0,0,165,75,404,32,27,85,3,22,1,2,0,1,0,5
FI_400,Laitila / Letala,6819,2074,0,0,426,322,780,78,75,246,5,102,3,3,7,2,4,14
FI_430,Loimaa,13995,5173,0,0,1249,592,1615,270,556,579,11,191,26,4,9,10,9,30
FI_423,Lieto / Lundo,11720,4732,0,0,1517,678,732,453,465,460,45,254,16,7,11,11,3,65
FI_480,Marttila / S:t Mårtens,1663,696,0,0,142,59,260,19,20,161,2,23,1,0,1,3,1,3
FI_481,Masku,6896,2703,0,0,831,433,550,208,215,273,20,100,5,2,5,6,4,37
FI_503,Mynämäki / Virmo,6330,2430,0,0,412,260,949,125,281,254,14,76,10,0,7,3,1,28
FI_538,Nousiainen / Nousis,3565,1382,0,0,349,179,427,62,127,147,9,50,2,1,1,2,1,17
FI_895,Uusikaupunki / Nystad,13296,4469,0,0,1121,1014,884,221,299,531,17,261,13,5,9,6,11,51
FI_529,Naantali / Nådendal,14675,6263,0,0,2451,1070,718,581,359,564,88,267,19,4,13,18,6,87
FI_561,Oripää,1094,446,0,0,93,68,159,18,37,41,4,12,2,0,1,2,4,3
FI_577,Paimio / Pemar,7968,3280,0,0,721,494,656,243,228,247,21,601,18,4,3,5,4,27
FI_631,Pyhäranta,1825,668,0,0,187,166,131,29,16,83,3,37,1,0,6,1,2,5
FI_636,Pöytyä,6559,2505,0,0,573,289,887,89,177,311,10,120,5,0,10,4,4,17
FI_680,Raisio / Reso,19060,7119,0,0,2111,1427,719,606,989,673,94,340,28,4,18,12,7,64
FI_704,Rusko,4216,1766,0,0,500,286,382,116,145,212,12,62,15,1,3,2,3,22
FI_202,Kaarina / S:t Karins,23389,9790,0,0,3228,1616,957,1105,992,836,303,502,29,12,6,20,19,125
FI_738,Sauvo / Sagu,2407,1003,0,0,227,124,339,59,41,79,17,90,5,0,1,2,0,17
FI_734,Salo,43104,14789,0,0,3772,3204,2974,1263,612,1641,140,870,38,14,22,28,32,121
FI_761,Somero,7697,2965,0,0,564,471,1100,130,173,333,15,118,11,2,2,7,9,20
FI_838,Tarvasjoki,1482,625,0,0,171,67,226,33,17,68,4,22,4,1,0,2,0,7
FI_833,Taivassalo / Tövsala,1460,525,0,0,138,60,180,30,23,56,0,26,1,1,1,2,1,4
FI_918,Vehmaa / Vemo,1995,779,0,0,161,108,286,19,51,111,2,21,4,0,3,2,2,8
FI_445,Parainen / Pargas,13266,5316,0,0,681,505,250,385,231,229,2831,91,21,2,7,11,8,37
FI_853,Turku / Åbo,149201,60404,0,0,17641,9595,3791,9908,6957,4629,3561,2557,368,75,84,135,108,786
FI_609,Pori / Björneborg,64205,22661,0,0,5371,5254,3034,1971,2573,2700,172,853,91,54,88,61,37,276
FI_050,Eura,10141,3711,0,0,661,977,1044,146,300,370,9,112,14,4,12,10,15,22
FI_051,Eurajoki / Euraåminne,4642,1652,0,0,263,420,612,39,83,153,4,55,2,1,3,0,1,7
FI_079,Harjavalta,6279,2207,0,0,443,683,316,108,279,205,16,116,12,0,5,5,5,6
FI_099,Honkajoki,1618,549,0,0,44,32,337,3,24,82,1,13,0,0,0,3,1,3
FI_102,Huittinen / Vittis,8755,3248,0,0,1143,369,866,101,215,354,9,129,4,3,5,6,2,23
FI_181,Jämijärvi,1715,630,0,0,39,87,315,11,35,77,0,55,2,1,0,0,1,2
FI_214,Kankaanpää,10119,3815,0,0,524,466,1632,170,253,490,8,199,6,1,4,9,3,26
FI_230,Karvia,2284,866,0,0,98,62,530,10,23,94,3,33,2,0,0,5,2,1
FI_254,Kiikoinen,1029,398,0,0,106,27,164,18,11,43,0,23,0,1,2,0,0,0
FI_319,Köyliö,2320,851,0,0,122,158,393,40,17,80,1,19,2,0,3,3,2,4
FI_271,Kokemäki / Kumo,6717,2408,0,0,476,400,789,110,210,271,5,91,8,6,2,7,6,11
FI_413,Lavia,1767,709,0,0,126,52,306,18,80,84,0,33,0,0,0,2,2,2
FI_442,Luvia,2608,1060,0,0,274,189,315,51,57,113,9,29,5,4,2,0,2,6
