gisco_id,name,registered,turnout,invalid,blank,Lib,KD,Liik,PS,VAS,TP,SFP,Kesk,SDP,SKP,AP,VL,Vihr,Kok
FI_091,Helsinki / Helsingfors,551032,283171,761,0,1295,6641,1093,13929,67875,118,17593,7206,32460,453,255,1369,57856,74267
FI_018,Askola,3689,1281,0,0,3,44,6,150,161,0,38,250,222,1,2,26,72,306
FI_049,Espoo / Esbo,222163,112508,241,0,602,3418,551,6485,13057,31,8745,3815,13545,107,101,516,18548,42746
FI_078,Hanko / Hangö,7206,2653,13,0,6,64,9,104,538,1,809,37,500,2,4,13,133,420
FI_106,Hyvinkää / Hyvinge,38191,14478,52,0,59,534,108,1347,2245,7,283,828,3425,22,11,149,1345,4063
FI_149,Inkoo / Ingå,4566,2304,8,0,5,58,9,136,264,0,912,45,251,1,2,10,166,437
FI_186,Järvenpää / Träskända,36480,15165,34,0,51,674,100,1335,2479,6,308,860,2904,21,11,126,1943,4313
FI_224,Karkkila / Högfors,6776,2404,14,0,11,65,21,212,623,0,27,178,467,11,3,28,200,544
FI_235,Kauniainen / Grankulla,8345,5178,14,0,18,145,12,213,333,0,1513,96,260,4,2,15,471,2082
FI_245,Kerava / Kervo,28606,12323,30,0,62,485,96,1115,2161,10,253,654,2446,21,5,105,1475,3405
FI_257,Kirkkonummi / Kyrkslätt,30875,14489,32,0,48,474,71,1038,1726,6,2033,568,1873,14,15,105,1855,4631
FI_407,Lapinjärvi / Lappträsk,2070,831,1,0,2,20,2,68,98,1,241,125,92,5,0,6,35,135
FI_444,Lohja / Lojo,36891,14058,57,0,47,810,95,1223,2405,2,405,982,2911,18,10,137,1167,3789
FI_434,Loviisa / Lovisa,12549,4779,17,0,14,116,24,292,646,3,1632,174,774,6,1,29,318,733
FI_504,Myrskylä / Mörskom,1437,534,2,0,2,25,2,60,51,0,52,103,64,0,0,14,28,131
FI_505,Mäntsälä,15977,5866,22,0,13,265,31,700,739,5,84,751,1060,6,2,85,470,1633
FI_543,Nurmijärvi,33420,13657,40,0,46,524,82,1385,1538,4,275,1403,2381,12,13,140,1241,4573
FI_611,Pornainen / Borgnäs,3821,1534,3,0,4,50,11,211,213,1,39,229,260,1,1,13,125,373
FI_638,Porvoo / Borgå,41174,17770,36,0,42,495,111,1184,2612,4,4455,705,2476,16,6,124,1679,3825
FI_616,Pukkila,1455,516,2,0,1,22,4,80,57,0,7,121,50,1,0,10,36,125
FI_710,Raasepori / Raseborg,24033,9606,37,0,9,142,36,257,1660,5,4490,160,1244,10,5,39,588,924
FI_753,Sipoo / Sibbo,17760,8221,25,0,23,275,62,607,939,5,2100,371,820,10,4,72,786,2122
FI_755,Siuntio / Sjundeå,4837,2170,4,0,7,67,11,128,291,0,469,90,286,4,1,12,233,567
FI_858,Tuusula / Tusby,31915,13551,33,0,43,520,106,1357,1677,7,305,1051,2283,18,10,150,1295,4696
FI_092,Vantaa / Vanda,172220,67816,210,0,337,2299,660,5985,11415,36,2294,2801,12687,111,73,554,8627,19727
FI_927,Vihti / Vichtis,22339,9145,21,0,27,554,66,906,1302,2,221,824,1582,8,8,90,852,2682
FI_019,Aura,3083,1199,6,0,3,59,8,145,200,0,24,180,172,0,0,14,74,314
FI_202,Kaarina / S:t Karins,28378,12822,47,0,28,549,65,1047,2260,2,510,622,1856,11,6,55,1817,3947
FI_322,Kemiönsaari / Kimitoön,6185,2461,5,0,5,37,6,80,423,2,1254,94,219,3,1,8,113,211
FI_284,Koski Tl / Koskis,1807,737,2,0,2,21,1,83,71,0,12,259,76,1,0,7,41,161
FI_304,Kustavi / Gustavs,862,410,1,0,0,15,0,31,61,0,10,50,36,0,0,5,33,168
FI_400,Laitila / Letala,6340,1989,8,0,4,128,9,233,194,0,20,515,280,0,1,22,84,491
FI_423,Lieto / Lundo,15900,6830,20,0,23,315,41,696,1142,3,150,652,958,6,2,34,863,1925
FI_430,Loimaa,12696,4539,18,0,14,209,22,530,733,3,41,1057,501,12,0,58,221,1120
FI_480,Marttila / S:t Mårtens,1565,630,0,0,0,22,5,79,77,0,12,174,52,2,1,4,25,177
FI_481,Masku,7410,3017,15,0,10,217,13,345,441,0,47,320,442,1,3,25,287,851
FI_503,Mynämäki / Virmo,6137,2248,15,0,11,143,2,310,396,1,30,462,298,3,2,16,145,414
FI_529,Naantali / Nådendal,16595,7656,26,0,16,269,25,855,1213,6,168,507,1072,12,3,51,820,2613
FI_538,Nousiainen / Nousis,3578,1358,3,0,3,97,9,167,216,0,19,234,182,1,0,10,110,307
FI_561,Oripää,991,374,1,0,0,14,2,54,47,0,2,115,53,0,0,8,17,61
FI_577,Paimio / Pemar,8571,3573,4,0,16,145,14,279,623,5,41,495,554,4,5,16,386,986
FI_445,Parainen / Pargas,13277,5633,18,0,11,114,11,244,906,0,2478,153,432,3,1,33,427,802
FI_631,Pyhäranta,1624,540,1,0,3,36,0,63,86,0,2,87,120,1,1,14,22,104
FI_636,Pöytyä,6275,2429,10,0,7,133,8,317,348,2,24,544,279,1,2,28,110,616
FI_680,Raisio / Reso,19821,7773,27,0,25,319,34,764,1564,3,167,389,1458,8,9,44,889,2073
FI_704,Rusko,4923,2069,8,0,8,96,6,220,367,1,22,274,291,3,0,18,208,547
FI_734,Salo,41574,15222,66,0,50,624,68,1376,2397,14,300,1904,2749,19,13,157,1351,4134
FI_738,Sauvo / Sagu,2362,1038,5,0,2,41,9,110,142,1,28,202,105,1,0,10,111,271
FI_761,Somero,6946,2590,7,0,8,92,16,333,337,0,38,551,395,3,2,33,136,639
FI_833,Taivassalo / Tövsala,1412,539,0,0,3,24,2,76,73,0,6,93,55,0,1,3,35,168
FI_853,Turku / Åbo,167397,74283,198,0,294,2262,287,4683,19843,27,4118,2588,9481,114,57,444,12183,17704
FI_895,Uusikaupunki / Nystad,12223,4225,15,0,15,214,20,451,764,1,62,570,821,4,1,45,245,997
FI_918,Vehmaa / Vemo,1841,692,1,0,0,27,8,103,106,0,11,169,77,1,0,6,30,153
FI_050,Eura,9122,3195,7,0,12,128,29,251,555,0,22,693,679,5,1,30,124,659
FI_051,Eurajoki / Euraåminne,7244,2716,14,0,5,161,23,247,322,1,25,592,555,5,1,28,119,618
FI_079,Harjavalta,5584,1845,7,0,3,90,18,133,388,0,12,179,457,5,1,26,85,441
FI_102,Huittinen / Vittis,7909,2763,13,0,7,158,19,300,359,1,19,708,376,3,3,39,100,658
FI_181,Jämijärvi,1398,432,3,0,0,39,4,57,50,1,5,134,52,1,0,6,6,74
FI_214,Kankaanpää,10296,3418,13,0,16,279,19,533,451,2,25,669,515,8,0,44,122,722
FI_230,Karvia,1862,665,2,0,3,43,1,131,37,0,5,241,72,1,1,9,9,110
FI_271,Kokemäki / Kumo,5667,2050,8,0,8,96,12,192,364,1,21,445,354,5,4,40,70,430
FI_484,Merikarvia / Sastmola,2566,857,3,0,1,61,9,71,130,1,6,218,147,0,2,14,27,167
FI_531,Nakkila,4177,1452,8,0,4,77,25,126,278,0,18,224,276,1,2,25,54,334
FI_608,Pomarkku / Påmark,1664,588,4,0,0,43,6,70,75,0,3,165,101,0,0,13,19,89
FI_609,Pori / Björneborg,69867,25015,94,0,88,1222,469,2068,5532,12,346,1842,4845,45,26,274,1655,6497
FI_684,Rauma / Raumo,31208,11162,50,0,36,491,67,849,2035,6,136,1060,2701,15,6,128,791,2791
FI_747,Siikainen / Siikais,1170,361,2,0,2,29,2,51,31,0,1,144,46,0,0,0,5,48
FI_783,Säkylä,5303,1973,11,0,4,66,15,204,269,2,16,480,342,5,1,17,88,453
FI_886,Ulvila / Ulvsby,10078,3565,15,0,11,154,74,328,679,3,50,467,704,7,1,46,170,856
FI_035,Brändö,443,219,3,0,0,2,0,6,14,0,153,4,7,0,0,1,9,20
FI_043,Eckerö,903,371,6,0,0,4,0,4,12,0,308,0,27,0,0,1,7,2
FI_060,Finström,2299,871,16,0,4,3,2,9,16,0,739,1,50,2,0,3,20,6
FI_062,Föglö,491,177,2,0,0,2,0,1,8,0,140,1,9,0,0,3,9,2
FI_065,Geta,463,201,3,0,0,1,1,0,3,0,182,0,8,0,1,0,2,0
FI_076,Hammarland,1456,540,5,0,0,9,0,0,14,0,461,1,23,0,0,3,13,11
FI_170,Jomala,4661,1951,28,0,1,16,1,18,54,0,1661,12,77,1,0,10,42,30
FI_295,Kumlinge,352,134,0,0,1,0,0,0,5,0,107,0,10,0,0,1,6,4
FI_318,Kökar,289,114,1,0,0,2,1,1,9,0,91,1,4,0,0,1,3,0
FI_417,Lemland,1811,689,7,0,0,7,0,16,18,2,575,0,26,0,0,8,24,6
FI_438,Lumparland,336,176,1,0,1,0,0,1,8,0,148,0,1,0,0,0,8,8
FI_478,Maarianhamina - Mariehamn / Mariehamn,11685,4430,41,0,12,18,5,32,226,0,3547,12,290,6,0,9,167,65
FI_736,Saltvik,1598,621,7,0,1,2,0,9,19,0,533,1,23,1,1,4,17,3
FI_766,Sottunga,101,54,0,0,0,0,0,0,4,0,45,0,0,0,0,0,5,0
FI_771,Sund,936,386,2,0,0,1,0,5,13,0,317,4,20,2,0,1,13,8
FI_941,Vårdö,399,208,1,0,0,1,0,1,3,0,178,2,12,0,0,0,3,7
FI_016,Asikkala,6676,2788,13,0,5,222,10,254,339,1,26,627,306,3,0,37,153,792
FI_061,Forssa,13704,5173,33,0,17,197,20,456,878,4,50,573,1348,7,6,50,287,1247
FI_081,Hartola / Gustav Adolfs,2226,837,3,0,2,48,2,92,74,0,8,217,121,2,0,12,28,228
FI_082,Hattula,7615,3054,12,0,3,117,14,307,366,3,30,361,543,2,2,34,206,1054
FI_086,Hausjärvi,6472,2355,11,0,13,156,24,271,332,5,22,312,437,4,2,38,143,585
FI_111,Heinola,15762,5803,29,0,25,351,40,546,830,3,58,490,1200,11,5,82,337,1796
FI_098,Hollola,18568,7602,37,0,35,503,67,727,1024,5,78,803,1206,3,3,84,515,2512
FI_103,Humppila,1792,674,2,0,1,29,4,69,104,1,0,175,126,1,0,2,31,129
FI_109,Hämeenlinna / Tavastehus,55864,22839,95,0,69,1067,96,1844,3397,10,256,1864,4178,34,22,208,1968,7731
FI_142,Iitti / Itis,5494,2124,10,0,5,71,19,262,266,2,25,369,373,2,1,32,127,560
FI_165,Janakkala,13008,4662,36,0,25,190,23,473,688,1,37,589,966,9,7,48,365,1205
FI_169,Jokioinen / Jockis,4028,1638,16,0,3,59,5,164,288,3,22,325,322,4,2,17,89,319
FI_316,Kärkölä,3460,1195,8,0,3,53,4,143,191,0,13,168,212,1,1,17,38,343
FI_398,Lahti / Lahtis,99941,36929,125,0,205,2359,268,3062,6480,16,480,2163,6938,59,14,380,3298,11082
FI_433,Loppi,6230,2349,11,0,14,90,21,250,377,0,24,438,404,1,3,39,131,546
FI_560,Orimattila,12678,4336,28,0,16,170,23,720,507,2,47,629,744,5,0,67,289,1089
FI_576,Padasjoki,2434,935,8,0,4,49,4,106,98,0,13,123,162,3,0,10,33,322
FI_694,Riihimäki,23125,8954,40,0,71,474,60,775,1693,4,118,553,1954,20,8,97,755,2332
FI_781,Sysmä,3154,1252,1,0,3,61,7,101,137,0,9,299,188,1,0,18,45,382
FI_834,Tammela,4839,2015,14,0,4,65,7,229,235,2,13,429,400,4,0,23,93,497
FI_981,Ypäjä,1935,694,8,0,2,31,0,110,105,1,7,153,80,1,0,9,32,155
FI_020,Akaa / Ackas,13419,4763,25,0,40,218,26,410,900,2,44,354,959,15,1,45,398,1326
FI_108,Hämeenkyrö / Tavastkyro,8354,2900,13,0,7,201,21,336,448,4,23,451,466,6,1,53,197,673
FI_143,Ikaalinen / Ikalis,5641,2175,10,0,4,158,8,225,286,1,23,519,328,10,1,31,96,475
FI_177,Juupajoki,1445,568,1,0,2,27,3,47,55,0,2,108,96,0,0,6,19,202
FI_211,Kangasala,26562,11074,53,0,54,674,51,1006,1587,3,124,908,1935,23,4,116,1247,3289
FI_250,Kihniö,1519,513,2,0,2,118,1,93,20,0,2,125,58,2,0,5,6,79
FI_291,Kuhmoinen / Kuhmois,1915,768,1,0,1,38,5,72,85,1,7,156,127,2,2,15,25,231
FI_418,Lempäälä,18791,8005,18,0,31,438,42,631,1045,4,108,677,1349,5,3,66,871,2717
FI_508,Mänttä-Vilppula,8122,2587,12,0,4,123,14,228,414,2,23,324,735,5,1,29,120,553
FI_536,Nokia,28550,11115,25,0,42,532,65,986,2388,10,126,745,2176,49,6,146,1029,2790
FI_562,Orivesi,7476,2912,19,0,8,193,13,290,383,1,34,440,539,8,1,32,171,780
FI_581,Parkano,5223,1553,4,0,7,142,3,224,153,1,13,321,251,3,0,25,40,366
FI_604,Pirkkala / Birkala,16195,7336,23,0,20,342,37,543,926,0,115,409,1386,6,3,59,873,2594
FI_619,Punkalaidun,2273,918,7,0,1,38,3,71,83,0,5,317,109,3,0,14,34,233
FI_635,Pälkäne,5225,2051,5,0,5,97,13,177,234,0,9,357,340,5,1,33,137,638
FI_702,Ruovesi,3608,1379,14,0,6,54,7,145,229,1,17,264,202,1,0,14,62,363
FI_790,Sastamala,19774,7255,39,0,16,523,39,670,954,4,198,1275,1253,11,5,73,354,1841
FI_837,Tampere / Tammerfors,212229,97391,230,0,552,3682,487,6322,21593,42,1662,4177,15346,202,67,754,16930,25345
FI_887,Urjala,3862,1306,6,0,3,40,9,148,136,2,11,331,222,5,1,17,79,296
FI_908,Valkeakoski,16960,6203,19,0,25,273,26,473,1142,4,73,405,1501,15,10,64,446,1727
FI_922,Vesilahti,3458,1499,2,0,9,74,4,152,181,2,17,256,209,5,1,17,149,421
FI_936,Virrat / Virdois,5447,1840,8,0,1,139,15,186,199,1,15,470,341,4,2,15,75,369
FI_980,Ylöjärvi,25727,9815,24,0,41,520,46,980,1530,5,100,891,1879,20,5,113,879,2782
FI_046,Enonkoski,1144,427,3,0,0,27,2,35,42,0,1,144,113,0,0,4,14,42
FI_075,Hamina / Fredrikshamn,16267,5338,24,0,21,205,35,510,707,4,60,610,1118,14,1,55,383,1591
FI_097,Hirvensalmi,1838,671,4,0,4,43,9,47,38,2,4,210,98,0,0,9,32,171
FI_153,Imatra,21328,7398,26,0,32,241,47,575,947,6,48,457,2569,18,4,75,454,1899
FI_178,Juva,4948,1662,6,0,5,89,24,112,123,1,15,636,236,1,4,14,72,324
FI_213,Kangasniemi,4500,1617,8,0,8,113,11,100,148,1,13,542,224,2,0,27,86,334
FI_285,Kotka,42711,14897,61,0,58,456,84,1190,3151,9,247,665,3485,55,9,185,1135,4107
FI_286,Kouvola,67442,22102,84,0,78,1087,122,1926,3190,12,197,2473,4670,27,17,343,1411,6465
FI_405,Lappeenranta / Villmanstrand,59697,22172,66,0,102,854,99,1543,2702,10,233,2114,5415,36,22,172,2058,6746
FI_416,Lemi,2308,847,4,0,5,39,3,91,49,0,10,198,143,1,1,7,57,239
FI_441,Luumäki,3746,1325,8,0,6,64,3,96,93,3,3,300,247,3,0,27,67,405
FI_489,Miehikkälä,1521,561,5,0,0,38,4,56,27,0,4,220,53,1,0,14,16,123
FI_491,Mikkeli / S:t Michel,43298,15379,60,0,39,774,420,1169,1926,9,145,2905,2458,19,12,151,1225,4067
FI_507,Mäntyharju,4772,1541,7,0,2,85,19,146,156,1,15,338,262,7,1,23,79,400
