gisco_id,name,registered,turnout,invalid,blank,Changement citoyen,Décidons nous-mêmes,REC,LFI,RN,LÉ,Free Palestine,PA,Communistes,ENS,PACE,Équinoxe,Écologie positive,UPR,Paix et Décroissance,LR,LO,ND-AE,RS,NPA-R,PT,LP-VIA,Rester libre,Les Nationalistes,PS-PP,ANC,Résistons,France Libre,ETÉ,La Ruche citoyenne,PCF,Défendre les enfants,ÉAC,Démocratie représentative,EDE,LDF
FR_64001,Aast,165,104,2,0,0,0,5,3,23,3,0,0,0,14,0,0,0,1,0,5,1,1,0,0,0,2,0,0,16,0,15,0,3,0,5,0,2,0,0,0
FR_55001,Abainville,218,142,1,1,0,0,13,2,72,0,0,0,0,15,0,0,0,2,0,11,1,0,0,1,0,0,0,0,8,0,11,0,0,0,2,0,0,0,0,0
FR_59001,Abancourt,354,223,5,1,0,0,15,8,107,2,0,0,0,25,0,0,2,8,0,15,3,0,0,0,0,1,0,0,13,0,2,0,1,0,9,0,3,0,0,0
FR_60001,Abancourt,434,255,7,3,0,0,8,9,150,3,0,0,0,23,0,1,0,4,0,13,2,0,0,0,0,5,0,0,13,0,6,0,0,0,4,0,2,0,0,0
FR_54001,Abaucourt,230,134,1,5,0,0,5,7,64,3,0,0,0,12,0,0,0,2,0,5,2,0,1,0,0,2,0,0,18,0,2,0,0,0,2,0,0,0,0,0
FR_55002,Abaucourt-Hautecourt,87,56,2,0,0,0,8,3,22,0,0,0,0,6,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,2,0,0,0
FR_25001,Abbans-Dessous,195,113,1,3,0,0,6,7,39,12,0,0,0,9,0,0,1,0,0,5,1,0,0,1,0,0,0,0,13,0,6,0,1,0,2,0,2,0,0,0
FR_25002,Abbans-Dessus,277,174,1,4,0,0,6,11,52,15,0,0,0,20,0,1,2,1,0,12,1,0,1,0,0,2,0,0,28,0,4,0,0,0,8,0,3,0,0,0
FR_44001,Abbaretz,1620,802,17,18,0,0,32,66,227,55,0,2,0,113,0,5,8,16,0,71,2,0,0,5,0,4,0,1,97,0,18,0,4,0,17,0,13,0,0,0
FR_60002,Abbecourt,709,406,11,6,0,0,13,31,184,15,0,0,0,46,0,2,0,3,0,30,0,0,0,0,0,3,0,0,44,0,2,0,0,0,7,0,3,0,0,0
FR_25003,Abbenans,269,142,3,6,0,0,7,2,67,6,0,0,0,8,0,1,2,4,0,5,2,0,0,0,0,0,0,0,8,0,10,0,0,0,6,0,2,0,0,0
FR_80001,Abbeville,17859,7827,207,130,0,0,331,557,3071,176,0,2,0,1158,9,10,25,54,2,473,69,0,4,6,8,48,0,20,679,0,249,0,14,1,221,2,76,0,2,0
FR_60003,Abbeville-Saint-Lucien,436,252,3,7,0,0,8,8,128,4,0,0,0,42,1,0,2,1,0,16,1,0,0,0,0,1,0,0,20,0,2,0,1,0,0,0,1,0,1,0
FR_02001,Abbécourt,383,188,1,2,0,0,16,5,112,5,0,0,0,19,0,0,0,0,0,8,3,0,0,0,0,0,0,0,7,0,4,0,1,0,1,0,2,0,0,0
FR_91001,Abbéville-la-Rivière,245,152,3,0,0,0,13,5,70,7,0,0,0,12,0,0,0,1,0,15,0,0,0,0,0,4,0,0,8,0,3,0,0,0,4,0,2,0,0,0
FR_54002,Abbéville-lès-Conflans,179,103,3,2,0,0,2,5,32,2,0,0,0,18,0,0,1,1,0,4,0,0,0,0,0,0,0,0,17,0,3,0,0,0,8,0,3,0,0,0
FR_25004,Abbévillers,813,440,5,11,0,0,24,14,236,15,0,0,0,31,0,1,0,6,0,17,2,0,0,0,0,7,0,0,39,0,12,0,1,0,4,0,4,0,0,0
FR_34001,Abeilhan,1464,833,15,8,0,0,55,39,429,15,0,0,0,81,0,0,1,4,0,38,8,0,0,1,0,6,0,0,62,0,30,0,1,0,16,0,4,0,0,0
FR_70001,Abelcourt,229,129,2,3,0,0,7,0,71,3,0,0,0,9,0,0,0,0,0,12,0,0,0,0,0,0,0,0,10,0,4,0,0,0,2,0,1,0,0,0
FR_39001,Abergement-la-Ronce,636,368,6,5,0,0,18,24,164,8,0,0,0,37,0,0,1,4,0,24,3,0,0,0,0,6,0,0,35,0,10,0,0,0,12,0,4,0,0,0
FR_39002,Abergement-le-Grand,44,30,2,0,0,0,3,2,1,7,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0
FR_39003,Abergement-le-Petit,35,23,0,0,0,0,0,2,7,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,1,0,0,0
FR_39004,Abergement-lès-Thésy,53,39,1,0,0,0,1,2,15,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,6,0,0,0,1,0,0,0,0,0
FR_FRZZCI,Abidjan,14070,1567,6,5,0,0,148,386,220,106,0,2,0,229,5,12,0,31,0,107,3,1,0,0,0,13,0,0,252,0,11,0,4,0,4,0,13,0,0,0
FR_64003,Abidos,202,107,0,2,0,0,4,12,35,4,0,0,0,11,0,0,0,0,0,5,2,0,0,1,0,2,0,0,16,0,7,0,0,0,4,0,0,0,0,0
