country,file,row_index,municipality_code,municipality_name,canonical_name,reason
FR,2024.csv,23,FR_FRZZCI,Abidjan,Abidjan,matched_foreign_country_name
FR,2024.csv,43,FR_FRZZAE,United Arab Emirates,United Arab Emirates,matched_foreign_country_name
FR,2024.csv,49,FR_FRZZNG,Nigeria,Nigeria,matched_foreign_country_name
FR,2024.csv,56,FR_FRZZGH,Accra,Accra,matched_foreign_country_name
FR,2024.csv,76,FR_97601,Acoua,Acoua,special_mayotte
FR,2024.csv,89,FR_FRZZET,Ethiopia,Ethiopia,matched_foreign_country_name
FR,2024.csv,105,FR_FRZZMA,Morocco,Morocco,matched_foreign_country_name
FR,2024.csv,307,FR_FRZZEG,Egypt,Egypt,matched_foreign_country_name
FR,2024.csv,312,FR_FRZZDZ,Algeria,Algeria,matched_foreign_country_name
FR,2024.csv,401,FR_FRZZKZ,Kazakhstan,Kazakhstan,matched_foreign_country_name
FR,2024.csv,528,FR_FRZZJO,Jordan,Jordan,matched_foreign_country_name
FR,2024.csv,545,FR_FRZZNL,Netherlands,Netherlands,matched_foreign_country_name
FR,2024.csv,550,FR_98711,Anaa,Anaa,special_polynesie_francaise
FR,2024.csv,614,FR_FRZZAD,Andorre,Andorre,matched_foreign_country_name
FR,2024.csv,694,FR_FRZZTR,Turkey,Turkey,matched_foreign_country_name
FR,2024.csv,1169,FR_98712,Arue,Arue,special_polynesie_francaise
FR,2024.csv,1170,FR_98713,Arutua,Arutua,special_polynesie_francaise
FR,2024.csv,1262,FR_FRZZUS,United States,United States,matched_foreign_country_name
FR,2024.csv,1279,FR_FRZZGR,Greece,Greece,matched_foreign_country_name
FR,2024.csv,1906,FR_FRZZIQ,Bagdad,Bagdad,matched_foreign_country_name
FR,2024.csv,1934,FR_FRZZBS,Bahamas (Nassau),Bahamas (Nassau),matched_foreign_country_name
FR,2024.csv,1994,FR_FRZZAZ,Azerbaijan,Azerbaijan,matched_foreign_country_name
FR,2024.csv,2052,FR_FRZZML,Bamako,Bamako,matched_foreign_country_name
FR,2024.csv,2062,FR_FRZZBN,Bandar Seri Begawan,Bandar Seri Begawan,matched_foreign_country_name
FR,2024.csv,2064,FR_97602,Bandraboua,Bandraboua,special_mayotte
FR,2024.csv,2065,FR_97603,Bandrele,Bandrele,special_mayotte
FR,2024.csv,2068,FR_FRZZIN,India,India,matched_foreign_country_name
FR,2024.csv,2069,FR_FRZZTH,Thailand,Thailand,matched_foreign_country_name
FR,2024.csv,2071,FR_FRZZCF,Bangui,Bangui,matched_foreign_country_name
FR,2024.csv,2151,FR_FRZZES,Spain,Spain,matched_foreign_country_name
FR,2024.csv,2702,FR_98801,Belep,Belep,special_nouvelle_caledonie
FR,2024.csv,2715,FR_FRZZRS,Serbia,Serbia,matched_foreign_country_name
FR,2024.csv,2917,FR_FRZZDE,Germany,Germany,matched_foreign_country_name
FR,2024.csv,3185,FR_FRZZLB,Lebanon,Lebanon,matched_foreign_country_name
FR,2024.csv,3523,FR_FRZZCO,Bogota,Bogota,matched_foreign_country_name
FR,2024.csv,3761,FR_98714,Bora-Bora,Bora-Bora,special_polynesie_francaise
FR,2024.csv,3961,FR_98802,Bouloupari,Bouloupari,special_nouvelle_caledonie
FR,2024.csv,3975,FR_98803,Bourail,Bourail,special_nouvelle_caledonie
FR,2024.csv,4208,FR_97604,Bouéni,Bouéni,special_mayotte
FR,2024.csv,4300,FR_FRZZBR,Brazil,Brazil,matched_foreign_country_name
FR,2024.csv,4312,FR_FRZZSK,Slovakia,Slovakia,matched_foreign_country_name
FR,2024.csv,4340,FR_FRZZCG,Brazzaville,Brazzaville,matched_foreign_country_name
FR,2024.csv,4666,FR_FRZZBE,Belgium,Belgium,matched_foreign_country_name
FR,2024.csv,4739,FR_FRZZRO,Romania,Romania,matched_foreign_country_name
FR,2024.csv,4755,FR_FRZZHU,Hungary,Hungary,matched_foreign_country_name
FR,2024.csv,4763,FR_FRZZAR,Argentina,Argentina,matched_foreign_country_name
FR,2024.csv,4796,FR_FRZZBI,Bujumbura,Bujumbura,matched_foreign_country_name
FR,2024.csv,5319,FR_98804,Canala,Canala,special_nouvelle_caledonie
FR,2024.csv,5376,FR_FRZZCN,China,China,matched_foreign_country_name
FR,2024.csv,5410,FR_FRZZVE,Caracas,Caracas,matched_foreign_country_name
FR,2024.csv,5649,FR_FRZZLC,Castries,Castries,matched_foreign_country_name
FR,2024.csv,6898,FR_97605,Chiconi,Chiconi,special_mayotte
FR,2024.csv,6929,FR_97606,Chirongui,Chirongui,special_mayotte
FR,2024.csv,6935,FR_FRZZMD,Moldova,Moldova,matched_foreign_country_name
FR,2024.csv,7586,FR_FRZZLK,Colombo,Colombo,matched_foreign_country_name
FR,2024.csv,7670,FR_FRZZGN,Conakry,Conakry,matched_foreign_country_name
FR,2024.csv,7813,FR_FRZZDK,Denmark,Denmark,matched_foreign_country_name
FR,2024.csv,7978,FR_FRZZBJ,Cotonou,Cotonou,matched_foreign_country_name
FR,2024.csv,8346,FR_FRZZPL,Poland,Poland,matched_foreign_country_name
FR,2024.csv,8799,FR_FRZZBD,Dacca,Dacca,matched_foreign_country_name
FR,2024.csv,8815,FR_FRZZSN,Senegal,Senegal,matched_foreign_country_name
FR,2024.csv,8823,FR_FRZZSY,Syria,Syria,matched_foreign_country_name
FR,2024.csv,8924,FR_FRZZTZ,Tanzania,Tanzania,matched_foreign_country_name
FR,2024.csv,8986,FR_97607,Dembeni,Dembeni,special_mayotte
FR,2024.csv,9136,FR_FRZZSA,Saudi Arabia,Saudi Arabia,matched_foreign_country_name
FR,2024.csv,9137,FR_FRZZDJ,Djibouti,Djibouti,matched_foreign_country_name
FR,2024.csv,9144,FR_FRZZQA,Qatar,Qatar,matched_foreign_country_name
FR,2024.csv,9333,FR_FRZZCM,Douala,Douala,matched_foreign_country_name
FR,2024.csv,9461,FR_FRZZIE,Ireland,Ireland,matched_foreign_country_name
FR,2024.csv,9476,FR_98805,Dumbéa,Dumbéa,special_nouvelle_caledonie
FR,2024.csv,9532,FR_97608,Dzaoudzi,Dzaoudzi,special_mayotte
FR,2024.csv,9681,FR_FRZZGB,United Kingdom,United Kingdom,matched_foreign_country_name
FR,2024.csv,9715,FR_FRZZRU,Russia,Russia,matched_foreign_country_name
FR,2024.csv,9917,FR_FRZZIQ,Erbil,Erbil,matched_foreign_country_name
FR,2024.csv,9934,FR_FRZZAM,Armenia,Armenia,matched_foreign_country_name
FR,2024.csv,10405,FR_98715,Faaa,Faaa,special_polynesie_francaise
FR,2024.csv,10428,FR_98716,Fakarava,Fakarava,special_polynesie_francaise
FR,2024.csv,10448,FR_98717,Fangatau,Fangatau,special_polynesie_francaise
FR,2024.csv,10467,FR_98806,Farino,Farino,special_nouvelle_caledonie
FR,2024.csv,10474,FR_98718,Fatu-Hiva,Fatu-Hiva,special_polynesie_francaise
FR,2024.csv,10828,FR_FRZZIT,Italy,Italy,matched_foreign_country_name
FR,2024.csv,11615,FR_98719,Gambier,Gambier,special_polynesie_francaise
FR,2024.csv,11772,FR_FRZZCH,Switzerland,Switzerland,matched_foreign_country_name
FR,2024.csv,12547,FR_FRZZGT,Guatemala,Guatemala,matched_foreign_country_name
FR,2024.csv,12791,FR_FRZZIL,Israel,Israel,matched_foreign_country_name
FR,2024.csv,12857,FR_FRZZVN,Vietnam,Vietnam,matched_foreign_country_name
FR,2024.csv,12863,FR_98720,Hao,Hao,special_polynesie_francaise
FR,2024.csv,12868,FR_FRZZZW,Harare,Harare,matched_foreign_country_name
FR,2024.csv,13055,FR_FRZZFI,Finland,Finland,matched_foreign_country_name
FR,2024.csv,13172,FR_98807,Hienghène,Hienghène,special_nouvelle_caledonie
FR,2024.csv,13180,FR_98721,Hikueru,Hikueru,special_polynesie_francaise
FR,2024.csv,13201,FR_98722,Hitiaa O Te Ra,Hitiaa O Te Ra,special_polynesie_francaise
FR,2024.csv,13203,FR_98723,Hiva-Oa,Hiva-Oa,special_polynesie_francaise
FR,2024.csv,13247,FR_FRZZHK,Hong Kong,Hong Kong,matched_foreign_country_name
FR,2024.csv,13267,FR_98808,Houaïlou,Houaïlou,special_nouvelle_caledonie
FR,2024.csv,13315,FR_98724,Huahine,Huahine,special_polynesie_francaise
FR,2024.csv,13558,FR_FRZZPK,Islamabad,Islamabad,matched_foreign_country_name
FR,2024.csv,13653,FR_FRZZID,Indonesia,Indonesia,matched_foreign_country_name
FR,2024.csv,13764,FR_FRZZZA,South Africa,South Africa,matched_foreign_country_name
FR,2024.csv,13968,FR_98810,Kaala-Gomen,Kaala-Gomen,special_nouvelle_caledonie
FR,2024.csv,13969,FR_FRZZAF,Afghanistan,Afghanistan,matched_foreign_country_name
FR,2024.csv,13972,FR_FRZZUG,Kampala,Kampala,matched_foreign_country_name
FR,2024.csv,13974,FR_97609,Kani-Kéli,Kani-Kéli,special_mayotte
FR,2024.csv,13977,FR_FRZZPK,Karachi,Karachi,matched_foreign_country_name
FR,2024.csv,14007,FR_FRZZSD,Khartoum,Khartoum,matched_foreign_country_name
FR,2024.csv,14009,FR_FRZZUA,Ukraine,Ukraine,matched_foreign_country_name
FR,2024.csv,14011,FR_FRZZRW,Kigali,Kigali,matched_foreign_country_name
FR,2024.csv,14016,FR_FRZZCD,Kinshasa,Kinshasa,matched_foreign_country_name
FR,2024.csv,14037,FR_98811,Koné,Koné,special_nouvelle_caledonie
FR,2024.csv,14038,FR_98833,Kouaoua,Kouaoua,special_nouvelle_caledonie
FR,2024.csv,14039,FR_98812,Koumac,Koumac,special_nouvelle_caledonie
FR,2024.csv,14040,FR_97610,Koungou,Koungou,special_mayotte
FR,2024.csv,14042,FR_FRZZKW,Kuwait,Kuwait,matched_foreign_country_name
FR,2024.csv,14047,FR_FRZZMY,Malaysia,Malaysia,matched_foreign_country_name
FR,2024.csv,14053,FR_FRZZJP,Japan,Japan,matched_foreign_country_name
FR,2024.csv,14119,FR_98809,L'Ile-des-Pins,L'Ile-des-Pins,special_nouvelle_caledonie
FR,2024.csv,14623,FR_98813,La Foa,La Foa,special_nouvelle_caledonie
FR,2024.csv,14723,FR_FRZZCU,Cuba,Cuba,matched_foreign_country_name
FR,2024.csv,14898,FR_FRZZBO,La Paz,La Paz,matched_foreign_country_name
FR,2024.csv,15138,FR_FRZZMT,Malta,Malta,matched_foreign_country_name
FR,2024.csv,16540,FR_98817,Le Mont-Dore,Le Mont-Dore,special_nouvelle_caledonie
FR,2024.csv,17452,FR_FRZZGA,Libreville,Libreville,matched_foreign_country_name
FR,2024.csv,17501,FR_98814,Lifou,Lifou,special_nouvelle_caledonie
FR,2024.csv,17560,FR_FRZZPE,Lima,Lima,matched_foreign_country_name
FR,2024.csv,17641,FR_FRZZPT,Portugal,Portugal,matched_foreign_country_name
FR,2024.csv,17709,FR_FRZZSI,Slovenia,Slovenia,matched_foreign_country_name
FR,2024.csv,17792,FR_FRZZTG,Lome,Lome,matched_foreign_country_name
FR,2024.csv,18076,FR_FRZZAO,Luanda,Luanda,matched_foreign_country_name
FR,2024.csv,18199,FR_FRZZZM,Lusaka,Lusaka,matched_foreign_country_name
FR,2024.csv,18240,FR_FRZZLU,Luxembourg,Luxembourg,matched_foreign_country_name
FR,2024.csv,18352,FR_97613,M'Tsangamouji,M'Tsangamouji,special_mayotte
FR,2024.csv,18455,FR_98725,Mahina,Mahina,special_polynesie_francaise
FR,2024.csv,18563,FR_98726,Makemo,Makemo,special_polynesie_francaise
FR,2024.csv,18565,FR_FRZZGQ,Malabo,Malabo,matched_foreign_country_name
FR,2024.csv,18647,FR_97611,Mamoudzou,Mamoudzou,special_mayotte
FR,2024.csv,18649,FR_FRZZNI,Managua,Managua,matched_foreign_country_name
FR,2024.csv,18650,FR_FRZZBH,Bahrain,Bahrain,matched_foreign_country_name
FR,2024.csv,18687,FR_98727,Manihi,Manihi,special_polynesie_francaise
FR,2024.csv,18688,FR_FRZZPH,Philippines,Philippines,matched_foreign_country_name
FR,2024.csv,18741,FR_FRZZMZ,Maputo,Maputo,matched_foreign_country_name
FR,2024.csv,19161,FR_98815,Maré,Maré,special_nouvelle_caledonie
FR,2024.csv,19174,FR_FRZZOM,Oman,Oman,matched_foreign_country_name
FR,2024.csv,19278,FR_98728,Maupiti,Maupiti,special_polynesie_francaise
FR,2024.csv,19681,FR_FRZZMX,Mexico,Mexico,matched_foreign_country_name
FR,2024.csv,19780,FR_FRZZBY,Belarus,Belarus,matched_foreign_country_name
FR,2024.csv,19789,FR_97501,Miquelon-Langlade,Miquelon-Langlade,special_saint_pierre_et_miquelon
FR,2024.csv,19879,FR_98816,Moindou,Moindou,special_nouvelle_caledonie
FR,2024.csv,19962,FR_FRZZMC,Monaco,Monaco,matched_foreign_country_name
FR,2024.csv,20023,FR_FRZZCA,Canada,Canada,matched_foreign_country_name
FR,2024.csv,20453,FR_FRZZUY,Montevideo,Montevideo,matched_foreign_country_name
FR,2024.csv,20910,FR_98729,Moorea-Maiao,Moorea-Maiao,special_polynesie_francaise
FR,2024.csv,20994,FR_FRZZKM,Moroni,Moroni,matched_foreign_country_name
FR,2024.csv,21056,FR_FRZZIQ,Mossoul,Mossoul,matched_foreign_country_name
FR,2024.csv,21253,FR_97612,Mtsamboro,Mtsamboro,special_mayotte
FR,2024.csv,21534,FR_FRZZKE,Nairobi,Nairobi,matched_foreign_country_name
FR,2024.csv,21603,FR_98730,Napuka,Napuka,special_polynesie_francaise
FR,2024.csv,21645,FR_FRZZTD,Ndjamena,Ndjamena,matched_foreign_country_name
FR,2024.csv,21855,FR_FRZZNE,Niamey,Niamey,matched_foreign_country_name
FR,2024.csv,21865,FR_FRZZCY,Cyprus,Cyprus,matched_foreign_country_name
FR,2024.csv,22088,FR_FRZZMR,Nouakchott,Nouakchott,matched_foreign_country_name
FR,2024.csv,22102,FR_98818,Nouméa,Nouméa,special_nouvelle_caledonie
FR,2024.csv,22196,FR_98731,Nuku-Hiva,Nuku-Hiva,special_polynesie_francaise
FR,2024.csv,22197,FR_98732,Nukutavake,Nukutavake,special_polynesie_francaise
FR,2024.csv,22615,FR_FRZZNO,Norway,Norway,matched_foreign_country_name
FR,2024.csv,22658,FR_FRZZBF,Ouagadougou,Ouagadougou,matched_foreign_country_name
FR,2024.csv,22662,FR_97614,Ouangani,Ouangani,special_mayotte
FR,2024.csv,22691,FR_FRZZMN,Mongolia,Mongolia,matched_foreign_country_name
FR,2024.csv,22738,FR_98820,Ouvéa,Ouvéa,special_nouvelle_caledonie
FR,2024.csv,22746,FR_98819,Ouégoa,Ouégoa,special_nouvelle_caledonie
FR,2024.csv,22789,FR_98733,Paea,Paea,special_polynesie_francaise
FR,2024.csv,22854,FR_97615,Pamandzi,Pamandzi,special_mayotte
FR,2024.csv,22860,FR_FRZZPA,Panama,Panama,matched_foreign_country_name
FR,2024.csv,22882,FR_98734,Papara,Papara,special_polynesie_francaise
FR,2024.csv,22883,FR_98735,Papeete,Papeete,special_polynesie_francaise
FR,2024.csv,22886,FR_FRZZSR,Paramaribo,Paramaribo,matched_foreign_country_name
FR,2024.csv,23049,FR_98821,Païta,Païta,special_nouvelle_caledonie
FR,2024.csv,23283,FR_FRZZKH,Phnom Penh,Phnom Penh,matched_foreign_country_name
FR,2024.csv,23416,FR_98736,Pirae,Pirae,special_polynesie_francaise
