country,file,row_index,municipality_code,municipality_name,canonical_name,reason
HR,2014.csv,556,HR_HRZZAF,Afghanistan,Afghanistan,special_foreign_hr
HR,2014.csv,557,HR_HRZZAL,Albania,Albania,special_foreign_hr
HR,2014.csv,558,HR_HRZZAR,Argentina,Argentina,special_foreign_hr
HR,2014.csv,559,HR_HRZZAT,Austria,Austria,special_foreign_hr
HR,2014.csv,560,HR_HRZZAU,Australia,Australia,special_foreign_hr
HR,2014.csv,561,HR_HRZZBA,Bosnia and Herzegovina,Bosnia and Herzegovina,special_foreign_hr
HR,2014.csv,562,HR_HRZZBE,Belgium,Belgium,special_foreign_hr
HR,2014.csv,563,HR_HRZZBG,Bulgaria,Bulgaria,special_foreign_hr
HR,2014.csv,564,HR_HRZZBR,Brazil,Brazil,special_foreign_hr
HR,2014.csv,565,HR_HRZZCA,Canada,Canada,special_foreign_hr
HR,2014.csv,566,HR_HRZZCH,Switzerland,Switzerland,special_foreign_hr
HR,2014.csv,567,HR_HRZZCL,Chile,Chile,special_foreign_hr
HR,2014.csv,568,HR_HRZZCN,China,China,special_foreign_hr
HR,2014.csv,569,HR_HRZZCZ,Czech Republic,Czech Republic,special_foreign_hr
HR,2014.csv,570,HR_HRZZDE,Germany,Germany,special_foreign_hr
HR,2014.csv,571,HR_HRZZDK,Denmark,Denmark,special_foreign_hr
HR,2014.csv,572,HR_HRZZDZ,ALŽIR,ALŽIR,special_foreign_hr
HR,2014.csv,573,HR_HRZZEG,Egypt,Egypt,special_foreign_hr
HR,2014.csv,574,HR_HRZZES,Spain,Spain,special_foreign_hr
HR,2014.csv,575,HR_HRZZFI,Finland,Finland,special_foreign_hr
HR,2014.csv,576,HR_HRZZFR,France,France,special_foreign_hr
HR,2014.csv,577,HR_HRZZGB,United Kingdom,United Kingdom,special_foreign_hr
HR,2014.csv,578,HR_HRZZGR,Greece,Greece,special_foreign_hr
HR,2014.csv,579,HR_HRZZHU,Hungary,Hungary,special_foreign_hr
HR,2014.csv,580,HR_HRZZID,Indonesia,Indonesia,special_foreign_hr
HR,2014.csv,581,HR_HRZZIE,Ireland,Ireland,special_foreign_hr
HR,2014.csv,582,HR_HRZZIL,Israel,Israel,special_foreign_hr
HR,2014.csv,583,HR_HRZZIN,India,India,special_foreign_hr
HR,2014.csv,584,HR_HRZZIT,Italy,Italy,special_foreign_hr
HR,2014.csv,585,HR_HRZZJP,Japan,Japan,special_foreign_hr
HR,2014.csv,586,HR_HRZZMK,MAKEDONIJA,MAKEDONIJA,special_foreign_hr
HR,2014.csv,587,HR_HRZZME,Montenegro,Montenegro,special_foreign_hr
HR,2014.csv,588,HR_HRZZNL,Netherlands,Netherlands,special_foreign_hr
HR,2014.csv,589,HR_HRZZNO,Norway,Norway,special_foreign_hr
HR,2014.csv,590,HR_HRZZPL,Poland,Poland,special_foreign_hr
HR,2014.csv,591,HR_HRZZPT,Portugal,Portugal,special_foreign_hr
HR,2014.csv,592,HR_HRZZQA,Qatar,Qatar,special_foreign_hr
HR,2014.csv,593,HR_HRZZRO,Romania,Romania,special_foreign_hr
HR,2014.csv,594,HR_HRZZRS,Serbia,Serbia,special_foreign_hr
HR,2014.csv,595,HR_HRZZRU,Russia,Russia,special_foreign_hr
HR,2014.csv,596,HR_HRZZSE,Sweden,Sweden,special_foreign_hr
HR,2014.csv,597,HR_HRZZSI,Slovenia,Slovenia,special_foreign_hr
HR,2014.csv,598,HR_HRZZSK,Slovakia,Slovakia,special_foreign_hr
HR,2014.csv,599,HR_HRZZTR,Turkey,Turkey,special_foreign_hr
HR,2014.csv,600,HR_HRZZUA,Ukraine,Ukraine,special_foreign_hr
HR,2014.csv,601,HR_HRZZUS,United States,United States,special_foreign_hr
HR,2014.csv,602,HR_HRZZXK,Kosovo,Kosovo,special_foreign_hr
HR,2014.csv,603,HR_HRZZZA,South Africa,South Africa,special_foreign_hr
