gisco_id,name,registered,turnout,invalid,blank,A-HSP,BM365,Deblokirajmo Hrvatsku,NHR-HSP,DSS,Hrast-HKS-HSP AS-UHD,HBPS,HDS,HDZ,HNS-LD,HSS-GLAS-IDS-HSU-PGS-Demokrati-Laburisti,HSLS,HSR,Kolakušić,MVH,Most,Možemo!-NL-OraH,NS-R,P-UK,Petir,PMH,RF-SRP,SDSS,SSH,SH,SNAGA,SDP,START,SHZ,ZSZ,ZL,ŽZ
HR_HRZZAF,Afghanistan,73,73,9,0,0,3,1,7,1,7,0,1,22,0,0,0,0,3,0,6,1,0,0,4,0,0,0,0,0,1,4,1,0,0,0,2
HR_HRZZAL,Albania,7,7,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
HR_00019,Andrijasevci,3250,889,39,0,5,2,1,43,1,120,0,12,305,32,11,2,0,69,1,42,1,3,5,26,5,0,2,0,1,4,72,4,0,0,2,79
HR_00027,Antunovac,3105,970,20,0,7,1,4,53,2,90,1,9,388,35,8,1,0,74,0,33,1,1,2,35,3,0,1,0,0,5,111,9,0,0,14,62
HR_HRZZAR,Argentina,82,82,0,0,0,1,0,26,3,12,1,3,24,0,1,0,0,0,0,1,1,0,1,4,0,0,1,0,0,0,2,1,0,0,0,0
HR_HRZZAU,Australia,397,397,5,0,1,1,2,116,2,131,1,5,78,0,5,0,0,11,1,11,1,0,1,4,0,0,0,0,0,0,7,1,1,0,2,10
HR_HRZZAT,Austria,214,214,1,0,0,3,1,35,0,44,0,2,29,2,11,0,0,6,0,7,9,1,5,1,1,0,5,0,0,0,30,6,0,0,4,11
HR_00035,Babina Greda,2955,748,22,0,2,5,6,31,0,56,1,15,176,9,48,1,0,19,0,20,1,1,2,29,1,0,1,1,1,1,253,4,0,0,2,40
HR_00043,Bakar,7050,2108,67,0,9,7,8,61,2,138,3,15,462,16,131,6,2,198,4,78,28,8,43,56,6,6,29,1,0,22,464,80,2,0,12,144
HR_00051,Bale - Valle,1070,274,13,0,1,0,1,3,0,3,0,4,14,4,115,1,1,19,1,7,4,0,1,1,1,2,4,2,0,0,32,6,0,0,1,33
