gisco_id,name,registered,turnout,invalid,blank,FIDESZ-KDNP,SZDSZ,MCF ROMA Ö.,MUNKÁSPÁRT,MSZP,JOBBIK,LMP-HP,MDF
HU_0956,Budapest_I.,21544,12120,88,0,6598,769,24,67,1918,1253,722,681
HU_0317,Budapest_II.,68444,40377,228,0,21310,2684,59,189,7355,3754,2226,2572
HU_1806,Budapest_III.,100488,47389,363,0,21817,1928,76,440,11001,6152,2425,3187
HU_0546,Budapest_IV.,80293,31506,205,0,13996,1182,36,352,7643,4420,1478,2194
HU_1339,Budapest_V.,21604,11476,81,0,5812,829,34,82,2319,1070,584,665
HU_1658,Budapest_VI.,29696,13045,113,0,6135,840,39,95,2739,1408,943,733
HU_2974,Budapest_VII.,45031,17806,152,0,7874,1092,56,158,3739,2323,1242,1170
HU_2540,Budapest_VIII.,55412,19963,179,0,9790,938,62,231,3956,2563,1117,1127
HU_2958,Budapest_IX.,44933,18488,119,0,8573,848,29,187,4133,2487,1017,1095
HU_1070,Budapest_X.,59507,22586,180,0,10140,661,47,296,5820,3042,902,1498
HU_1421,Budapest_XI.,106792,56140,339,0,28258,2383,64,448,12197,6214,2721,3516
HU_2469,Budapest_XII.,47303,28193,182,0,15236,1743,45,131,4893,2667,1607,1689
HU_2429,Budapest_XIII.,87433,37987,291,0,14655,2361,96,408,11154,4142,2224,2656
HU_1633,Budapest_XIV.,92284,43621,266,0,19580,2386,45,461,10760,4973,2199,2951
HU_1131,Budapest_XV.,65795,27224,222,0,12826,843,34,289,6539,3890,1019,1562
HU_0820,Budapest_XVI.,56923,27777,201,0,14488,905,28,176,5079,3767,1240,1893
HU_0211,Budapest_XVII.,68090,28673,148,0,14777,826,37,259,5463,4108,1058,1997
HU_2928,Budapest_XVIII.,78937,34088,264,0,16090,1034,47,338,7499,5090,1301,2425
HU_0401,Budapest_XIX.,48479,20206,130,0,9476,692,33,236,4670,2735,855,1379
HU_0602,Budapest_XX.,52293,19736,168,0,9254,519,32,194,4805,2815,626,1323
HU_1318,Budapest_XXI.,62329,22103,162,0,9836,651,49,368,5503,3282,829,1423
HU_1021,Budapest_XXII.,41837,19812,118,0,10074,644,34,157,3862,2788,896,1239
HU_3413,Budapest_XXIII.,17115,6812,57,0,3523,149,23,66,1369,971,216,438
HU_1254,Abaliget,524,119,5,0,63,2,4,0,16,18,5,6
HU_0686,Adorjás,145,45,0,0,15,0,17,0,9,2,0,2
HU_1332,Almamellék,336,104,1,0,73,2,1,0,20,6,0,1
HU_2037,Almáskeresztúr,68,28,0,0,13,1,0,1,9,2,1,1
HU_1738,Alsómocsolád,316,73,0,0,57,0,0,0,5,7,1,3
HU_3327,Alsószentmárton,736,303,0,0,282,0,8,0,12,0,0,1
HU_2729,Apátvarasd,102,26,0,0,23,1,0,1,0,0,1,0
HU_0688,Aranyosgadány,270,70,1,0,51,1,0,0,8,6,2,1
HU_2581,Ág,141,38,3,0,29,1,1,1,3,0,0,0
HU_2858,Áta,167,56,0,0,33,0,1,2,6,6,1,7
HU_0540,Babarc,649,209,1,0,156,2,0,0,27,14,0,9
HU_0966,Babarcszõlõs,91,38,0,0,36,1,0,0,0,0,1,0
HU_0829,Bakonya,295,70,2,0,42,2,0,0,14,2,5,3
HU_2227,Bakóca,271,76,2,0,62,1,1,0,6,2,2,0
HU_0397,Baksa,647,108,0,0,52,0,1,0,41,10,1,3
HU_2046,Baranyahídvég,169,46,2,0,24,2,2,3,10,2,0,1
HU_2474,Baranyajenõ,385,89,2,0,59,1,0,0,13,11,0,3
HU_0548,Baranyaszentgyörgy,136,63,1,0,49,2,0,1,4,3,0,3
HU_1549,Basal,150,52,0,0,36,1,0,0,12,1,0,2
HU_0760,Bánfa,152,46,0,0,30,0,3,1,9,0,0,3
HU_2437,Bár,480,217,0,0,168,4,0,3,19,14,1,8
HU_1900,Belvárdgyula,347,97,4,0,57,0,15,4,11,1,0,5
HU_3192,Beremend,2203,560,0,0,340,8,3,8,120,51,4,26
HU_1646,Berkesd,722,188,4,0,92,1,46,3,17,16,1,8
HU_3004,Besence,100,46,0,0,15,24,0,0,5,1,0,1
HU_1411,Bezedek,230,98,0,0,82,0,0,1,10,2,0,3
HU_1331,Bicsérd,826,221,1,0,135,2,0,3,42,28,2,8
HU_0489,Bikal,677,178,1,0,85,1,0,3,64,16,1,7
HU_0513,Birján,419,120,0,0,73,2,0,3,20,16,2,4
HU_2492,Bisse,206,51,0,0,27,0,0,0,3,15,2,4
HU_2089,Boda,369,98,0,0,55,0,0,1,17,12,4,9
HU_3300,Bodolyabér,215,67,2,0,45,1,0,0,13,3,0,3
HU_3215,Bogád,799,215,3,0,105,2,0,1,24,60,7,13
HU_2189,Bogádmindszent,347,92,2,0,68,2,2,0,4,10,3,1
HU_1069,Bogdása,252,70,2,0,53,0,0,0,7,4,0,4
HU_1311,Boldogasszonyfa,355,143,1,0,98,1,0,3,19,10,0,11
HU_0672,Borjád,365,127,1,0,82,0,0,0,18,21,2,3
HU_1436,Bosta,106,24,0,0,10,1,0,0,4,9,0,0
HU_1336,Botykapeterd,266,63,1,0,46,1,0,0,9,4,2,0
HU_3315,Bóly,3006,1135,5,0,742,36,1,11,168,98,19,55
HU_2316,Bükkösd,962,200,1,0,129,3,1,2,27,21,8,8
HU_0753,Bürüs,75,22,1,0,18,2,0,0,0,1,0,0
HU_3061,Csarnóta,116,40,1,0,30,1,0,0,3,4,0,1
HU_1990,Csányoszró,606,134,2,0,75,6,1,2,20,20,3,5
HU_2159,Csebény,78,27,0,0,18,0,0,0,5,2,2,0
HU_2608,Cserdi,279,50,0,0,35,0,1,0,6,7,1,0
HU_0389,Cserkút,421,115,0,0,52,4,0,1,27,21,2,8
HU_1385,Csertõ,324,76,0,0,46,0,0,2,14,6,1,7
HU_2257,Csonkamindszent,139,52,3,0,30,0,1,0,6,12,0,0
HU_1108,Cún,184,60,1,0,48,2,0,0,5,3,0,1
HU_0777,Dencsháza,488,56,0,0,32,1,2,0,7,9,1,4
HU_1195,Dinnyeberki,66,32,0,0,21,0,0,0,7,2,0,2
HU_3237,Diósviszló,571,179,2,0,127,0,4,0,18,22,3,3
HU_2861,Drávacsehi,166,42,1,0,27,2,0,0,10,2,0,0
HU_2812,Drávacsepely,186,73,0,0,55,3,1,0,9,4,0,1
HU_1741,Drávafok,429,114,4,0,71,5,1,1,21,4,3,4
HU_3239,Drávaiványi,146,36,2,0,15,1,0,0,14,2,0,2
HU_0915,Drávakeresztúr,111,31,0,0,19,0,0,0,7,4,0,1
HU_2273,Drávapalkonya,214,56,1,0,21,0,1,5,14,9,0,5
HU_1238,Drávapiski,100,37,0,0,10,0,0,0,7,1,19,0
HU_2860,Drávaszabolcs,547,135,0,0,79,1,0,1,25,23,0,6
HU_3003,Drávaszerdahely,167,65,0,0,51,2,0,0,7,4,0,1
HU_2169,Drávasztára,395,71,2,0,51,0,0,0,5,8,0,5
HU_0918,Dunaszekcsõ,1720,597,7,0,426,8,3,8,66,52,9,18
HU_2891,Egerág,842,220,0,0,78,3,0,4,28,86,9,12
HU_1649,Egyházasharaszti,239,62,3,0,38,2,0,0,6,10,0,3
HU_2740,Egyházaskozár,684,182,1,0,89,1,0,3,65,17,0,6
HU_0609,Ellend,201,67,1,0,38,0,0,0,10,12,2,4
HU_2827,Endrõc,335,94,6,0,64,0,13,0,8,3,0,0
HU_2582,Erdõsmárok,74,38,3,0,20,0,0,4,2,9,0,0
HU_1870,Erdõsmecske,326,75,0,0,58,1,0,1,1,9,2,3
HU_1349,Erzsébet,264,72,0,0,54,2,0,2,8,5,0,1
HU_1783,Fazekasboda,171,47,0,0,32,1,0,1,6,7,0,0
HU_0454,Feked,182,81,0,0,58,2,0,0,11,6,1,3
HU_1328,Felsõegerszeg,123,27,2,0,20,0,0,0,3,2,0,0
HU_0881,Felsõszentmárton,880,231,1,0,125,1,0,6,71,8,1,18
HU_0756,Garé,253,47,0,0,24,1,0,1,9,11,1,0
HU_1275,Gerde,436,100,4,0,66,1,8,2,9,7,1,2
HU_0285,Geresdlak,720,264,1,0,188,1,0,0,29,22,4,19
HU_1334,Gerényes,187,42,2,0,24,1,1,0,13,1,0,0
HU_1833,Gilvánfa,238,46,3,0,29,1,8,0,2,2,0,1
HU_3308,Gordisa,206,40,2,0,29,0,1,0,6,2,0,0
HU_3323,Gödre,770,187,1,0,130,2,2,2,8,29,0,13
HU_3043,Görcsöny,1390,307,4,0,176,4,0,3,68,31,4,17
HU_0963,Görcsönydoboka,352,94,0,0,59,3,0,0,17,6,1,8
HU_1831,Gyód,549,178,2,0,105,1,1,3,36,18,7,5
