gisco_id,name,registered,turnout,invalid,blank,MSZP-P,MKKP,Jobbik,Fidesz-KDNP,MM,DK,MHM,Munkáspárt,LMP
HU_HUYY99,Foreign residents,20291,17551,66,0,1113,913,400,7222,5078,1678,362,19,700
HU_HUYY99,Postal vote,115325,57774,166,0,258,336,187,55287,553,343,365,71,208
HU_13578,Budapest,1313170,689525,3212,0,62019,26290,21797,282583,119088,135821,15921,2321,20473
HU_12548,Abaliget,554,223,0,0,20,13,17,98,30,26,9,1,9
HU_06868,Adorjás,152,40,1,0,3,0,3,27,2,3,1,0,0
HU_25812,Ág,144,52,0,0,1,0,4,38,0,7,1,0,1
HU_13329,Almamellék,324,144,1,0,6,1,14,92,0,28,2,0,0
HU_20376,Almáskeresztúr,64,41,0,0,5,3,6,18,0,4,5,0,0
HU_17385,Alsómocsolád,255,96,1,0,6,8,4,56,1,8,5,2,5
HU_33279,Alsószentmárton,816,144,1,0,4,0,0,98,19,22,0,0,0
HU_27298,Apátvarasd,109,60,1,0,1,1,9,30,1,5,6,0,6
HU_06886,Aranyosgadány,290,92,2,0,7,1,3,53,5,5,6,1,9
HU_28583,Áta,161,70,1,0,3,1,5,43,3,6,3,0,5
HU_05403,Babarc,586,227,2,0,5,2,18,154,10,23,6,1,6
HU_09663,Babarcszőlős,86,33,0,0,0,0,2,30,0,0,1,0,0
HU_22275,Bakóca,235,70,0,0,4,1,2,51,2,8,0,1,1
HU_08299,Bakonya,289,110,1,0,10,5,15,39,8,27,5,0,0
HU_03975,Baksa,640,181,0,0,19,1,20,90,4,37,9,0,1
HU_07603,Bánfa,138,38,0,0,4,0,4,18,2,9,1,0,0
HU_24378,Bár,454,176,1,0,8,3,10,106,7,22,13,0,6
HU_20464,Baranyahídvég,148,59,0,0,3,0,3,49,0,2,1,0,1
HU_24749,Baranyajenő,354,128,2,0,8,5,11,62,1,36,1,1,1
HU_05485,Baranyaszentgyörgy,101,61,0,0,3,1,2,50,3,0,2,0,0
HU_15495,Basal,153,63,0,0,5,2,6,33,2,11,4,0,0
HU_19008,Belvárdgyula,326,125,0,0,5,1,5,70,8,27,7,0,2
HU_31927,Beremend,2050,730,4,0,49,15,68,377,44,134,18,7,14
HU_16461,Berkesd,678,226,1,0,6,2,8,144,14,43,8,0,0
