gisco_id,name,registered,turnout,invalid,blank,MEMO,LMP,DK-MSZP-P,2RK Párt,MMN,MM,Fidesz-KDNP,Jobbik,TISZA,MKKP,MHM
HU_HUYY99,Foreign residents,21458,18661,239,0,29,107,695,197,99,2226,3475,37,9362,1778,417
HU_HUYY99,Postal vote,126801,59290,282,0,84,170,488,64,124,532,53125,87,2610,561,1163
HU_13578,Budapest,1266011,809946,10137,0,2535,11089,98348,7266,3992,63081,264877,3183,262393,47370,35675
HU_12548,Abaliget,481,359,9,0,2,6,23,8,4,6,144,2,107,22,26
HU_06868,Adorjás,134,97,6,0,0,0,1,0,1,0,71,3,8,0,7
HU_13329,Almamellék,278,214,14,0,3,2,27,1,1,2,117,9,31,1,6
HU_20376,Almáskeresztúr,68,59,0,0,0,0,9,0,0,1,33,0,9,0,7
HU_17385,Alsómocsolád,232,128,8,0,0,0,3,0,1,1,74,1,19,13,8
HU_33279,Alsószentmárton,838,712,51,0,3,11,35,1,2,8,564,2,22,8,5
HU_27298,Apátvarasd,102,69,1,0,0,1,4,0,0,0,42,0,6,3,12
HU_06886,Aranyosgadány,280,126,5,0,1,5,5,0,1,1,61,3,26,4,14
HU_25812,Ág,137,106,5,0,0,0,4,0,0,5,51,2,34,3,2
HU_28583,Áta,147,92,5,0,1,2,3,1,2,3,44,1,17,3,10
HU_05403,Babarc,572,322,6,0,2,1,13,2,0,3,195,7,67,10,16
HU_09663,Babarcszőlős,95,81,8,0,0,0,0,0,0,1,47,0,15,4,6
HU_08299,Bakonya,284,212,11,0,0,6,26,1,0,11,84,11,35,8,19
HU_22275,Bakóca,216,141,4,0,1,1,3,0,0,1,112,3,12,2,2
HU_03975,Baksa,650,481,10,0,2,8,43,1,6,13,231,16,108,17,26
HU_20464,Baranyahídvég,142,112,5,0,3,0,3,0,0,2,86,2,10,0,1
HU_24749,Baranyajenő,347,231,8,0,0,1,24,0,1,3,147,5,29,2,11
HU_05485,Baranyaszentgyörgy,80,54,0,0,0,0,1,0,0,1,47,0,3,0,2
HU_15495,Basal,153,123,3,0,0,2,10,1,0,1,61,3,26,7,9
