gisco_id,name,registered,turnout,invalid,blank,ADR - Aktiounskomitee fir Demokratie a Rentegerechtegkeet,DP - Demokratesch Partei,LSAP - d'Sozialisten,Déi Gréng,CSV - Chrëschtlech Sozial Vollekspartei,déi Lénk - la Gauche,KPL - Kommunistesch Partei vu Lëtzebuerg
LU_0201,Bascharage,4024,3752,322,175,239,344,854,460,1258,41,54
LU_0701,Bastendorf,436,433,32,30,47,57,27,62,168,6,2
LU_1101,Beaufort,842,793,83,39,77,98,129,98,246,12,9
LU_1102,Bech,647,585,45,31,37,77,60,106,219,5,1
LU_0802,Beckerich,1221,1109,112,86,109,102,101,234,340,17,4
LU_1103,Berdorf,667,634,44,43,58,71,100,86,215,8,6
LU_0401,Bertrange,2683,2429,225,135,100,560,307,336,717,31,14
LU_0301,Bettembourg,5137,4678,371,217,221,415,1365,543,1437,58,48
LU_0702,Bettendorf,1227,1138,83,72,108,159,152,163,376,15,8
LU_1201,Betzdorf,1393,1316,106,71,91,159,163,210,480,25,8
LU_0502,Bissen,1339,1259,93,87,96,147,179,137,502,7,8
LU_1202,Biwer,911,847,91,48,92,104,98,121,280,9,0
LU_0503,Boevange,1124,1081,90,61,82,126,145,174,381,13,6
LU_0901,Boulaide,519,480,55,19,54,68,62,50,161,5,3
LU_0703,Bourscheid,729,697,60,48,79,102,65,75,251,14,0
LU_1300,Bous,674,647,56,40,49,69,89,88,246,3,3
LU_1301,Burmerange,556,525,31,26,48,80,72,78,169,11,7
LU_0603,Clervaux,1038,921,63,67,91,158,111,98,318,7,5
LU_0202,Clemency,1281,1234,99,53,52,184,270,143,406,14,9
LU_0501,Colmar-Berg,912,877,63,52,79,114,165,114,273,9,5
LU_1104,Consdorf,1005,917,73,47,77,127,127,137,306,11,8
LU_0604,Consthum,255,236,10,17,45,27,48,15,68,1,1
LU_0402,Contern,1782,1679,114,97,117,304,231,285,497,19,11
LU_1302,Dalheim,1016,969,61,36,71,143,130,162,348,8,6
LU_0704,Diekirch,2898,2677,289,120,203,373,394,316,931,35,12
LU_0302,Differdange,8408,7267,751,25,516,731,2009,714,2200,122,196
LU_0203,Dippach,1824,1733,138,102,114,213,275,237,606,28,17
LU_0303,Dudelange,9896,9132,753,405,471,514,3722,1006,2054,119,84
LU_1105,Echternach,2520,2132,170,118,116,309,381,269,739,20,7
LU_0805,Ell,497,447,35,23,57,66,43,51,163,4,0
LU_0705,Ermsdorf,467,458,35,29,52,73,36,68,154,6,2
LU_0706,Erpeldange,1190,1127,80,65,88,166,152,169,391,4,8
LU_0304,Esch-sur-Alzette,12561,10718,1072,526,739,788,2756,1162,3079,325,268
LU_0902,Esch-sur-Sûre,151,139,17,7,17,19,17,14,45,0,0
LU_0903,Eschweiler,395,395,44,14,35,48,65,32,150,3,2
LU_0707,Ettelbruck,3707,3454,300,167,282,447,519,402,1281,33,21
LU_0708,Feulen,883,857,69,48,76,151,96,75,330,6,3
LU_0504,Fischbach,410,384,30,19,28,56,51,54,139,3,1
LU_1203,Flaxweiler,952,907,71,50,91,129,103,117,323,14,6
LU_1001,Tandel,454,442,30,27,37,56,57,62,165,2,1
LU_0305,Frisange,1764,1673,119,104,217,154,292,244,501,26,11
LU_0204,Garnich,933,901,73,43,68,127,129,136,299,11,12
LU_0904,Goesdorf,650,631,61,40,46,107,80,68,217,5,4
LU_1204,Grevenmacher,1970,1827,194,119,121,282,330,187,569,14,8
LU_0807,Grosbous,460,456,39,28,51,73,59,42,156,6,0
LU_0505,Heffingen,511,474,41,19,43,58,83,71,149,5,1
LU_0906,Heiderscheid,776,735,76,46,66,80,67,92,290,6,7
LU_0606,Heinerscheid,670,611,52,46,80,61,54,44,263,4,3
LU_0403,Hesperange,5571,5163,394,281,270,828,711,803,1778,58,38
LU_0205,Hobscheid,1532,1456,116,101,94,121,301,154,547,11,8
LU_0709,Hoscheid,310,307,32,22,48,33,28,16,123,2,1
LU_0607,Hosingen,993,942,86,64,109,112,156,82,313,12,5
LU_1205,Junglinster,3241,3014,241,133,215,437,408,463,1070,31,12
LU_0907,Kiischpelt,156,144,11,3,16,24,15,12,56,4,1
LU_0306,Kayl,4231,3881,336,207,244,254,1209,386,1129,45,67
LU_0206,Kehlen,2608,2470,176,127,156,358,329,440,837,23,20
LU_0207,Koerich,1114,1035,86,55,53,95,222,133,370,12,7
LU_0208,Kopstal,1512,1375,84,57,71,250,186,274,422,17,11
LU_0905,Lac de la Haute-Sûre,854,810,69,56,81,108,87,78,316,8,3
LU_0506,Larochette,601,538,46,31,32,95,61,77,181,6,5
LU_1303,Lenningen,725,696,58,41,63,122,68,80,252,5,5
LU_0307,Leudelange,1143,1019,79,62,52,167,134,188,311,17,6
LU_0507,Lintgen,1217,1118,80,53,70,106,233,158,394,12,8
LU_0508,Lorentzweiler,1710,1534,135,88,77,203,306,206,487,19,9
LU_0400,Luxembourg,29893,25177,2111,1232,1350,4637,3800,3843,7473,490,237
LU_0209,Mamer,3245,3051,249,191,150,486,397,505,1020,37,13
LU_1206,Manternach,814,788,51,50,99,80,81,134,275,8,6
LU_0710,Medernach,471,427,15,19,59,82,51,34,159,4,0
LU_0509,Mersch,3829,3507,300,175,250,536,499,547,1143,33,21
LU_1207,Mertert,2010,1812,149,117,114,207,420,166,624,6,6
LU_0711,Mertzig,829,772,85,47,76,112,93,93,236,18,9
LU_1106,Mompach,577,516,41,27,54,76,66,51,182,10,7
LU_0308,Mondercange,3848,3551,244,159,216,374,794,504,1166,53,37
LU_1304,Mondorf,2189,1854,135,97,168,345,246,223,585,32,19
LU_0608,Munshausen,485,456,50,36,39,38,55,52,175,4,3
LU_0909,Neunhausen,144,144,8,7,13,30,28,13,37,5,1
LU_0404,Niederanven,2713,2457,151,128,109,424,401,404,790,30,16
LU_0510,Nommern,579,557,36,34,56,83,68,95,171,8,3
LU_0803,Preizerdaul,787,787,62,72,82,146,95,100,220,6,0
LU_1002,Putscheid,485,475,36,35,65,51,60,51,162,9,3
LU_0309,Pétange,7022,6431,588,303,400,472,1711,586,2177,101,90
LU_0806,Rambrouch,1718,1718,163,108,196,228,188,174,623,19,16
LU_0310,Reckange,1206,1181,87,62,81,131,213,208,369,17,10
LU_0712,Reisdorf,432,405,33,23,64,67,46,46,115,5,1
LU_1305,Schengen,825,808,70,60,102,115,86,80,274,11,6
LU_1306,Remich,1585,1389,105,93,93,236,151,161,527,11,8
LU_0311,Roeser,2677,2553,202,146,132,318,559,366,768,45,13
LU_1107,Rosport,1138,1091,86,65,74,115,177,99,449,16,5
LU_0312,Rumelange,2364,2153,180,93,107,119,831,199,527,29,64
LU_0809,Rédange,1282,1233,103,73,99,195,108,166,465,13,7
LU_0810,Saeul,314,314,25,16,22,35,22,64,122,3,2
LU_0405,Sandweiler,1354,1346,114,62,64,188,239,204,440,21,11
LU_0313,Sanem,8166,7698,632,363,494,549,1960,961,2462,135,139
LU_0713,Schieren,764,715,68,54,42,178,88,77,193,11,1
LU_0314,Schifflange,4531,4213,346,214,230,224,1181,436,1428,76,74
LU_0406,Schuttrange,1434,1334,104,81,85,221,204,233,380,18,5
LU_0210,Septfontaines,446,417,38,25,25,36,62,76,142,8,2
LU_1307,Stadtbredimus,713,683,50,40,69,108,72,82,242,11,5
LU_0211,Steinfort,2128,2007,142,127,90,197,471,307,631,24,14
LU_0407,Steinsel,2308,2143,150,101,109,341,474,324,601,29,11
LU_0408,Strassen,2608,2423,191,117,118,504,321,376,747,27,19
LU_0609,Troisvierges,1246,1154,104,86,116,136,158,129,406,11,3
LU_0511,Tuntange,562,542,37,30,44,71,77,109,167,3,1
LU_0811,Useldange,845,793,68,51,72,80,97,130,280,7,5
LU_1003,Vianden,758,646,57,47,41,67,155,69,202,4,1
LU_0812,Vichten,560,543,34,40,70,76,52,79,181,4,3
LU_0813,Wahl,495,473,52,24,71,66,43,43,158,8,4
LU_1108,Waldbillig,659,629,45,28,70,69,78,101,224,7,4
LU_1308,Waldbredimus,478,447,31,20,35,69,65,52,166,4,2
LU_0409,Walferdange,3351,3098,269,115,190,542,446,501,960,51,20
LU_0410,Weiler-la-Tour,833,770,31,37,64,119,127,149,232,7,1
LU_0610,Weiswampach,671,620,51,42,66,96,38,41,275,8,0
LU_1309,Wellenstein,680,638,45,47,78,86,57,56,259,4,3
LU_0911,Wiltz,2245,1991,198,100,154,193,515,150,633,32,13
LU_0912,Wilwerwiltz,391,369,30,24,32,44,55,45,131,3,2
LU_0601,Wincrange,2168,2067,191,151,284,346,200,130,725,19,16
