gisco_id,name,registered,turnout,invalid,blank,LSAP - d'Sozialisten,DP - Demokratesch Partei,CSV - Chrëschtlech-Sozial Vollekspartei,ADR - Alternativ Demokratesch Reformpartei,déi gréng,KPL - d'Kommunisten,déi Lénk,PID - Partei fir Integral Demokratie,Piratepartei
LU_1001,Beaufort,1080,958,102,44,68,115,315,75,116,9,48,30,32
LU_1002,Bech,731,651,33,25,37,90,231,55,112,5,32,7,21
LU_0701,Beckerich,1423,1286,118,71,58,149,415,98,225,8,64,28,48
LU_1003,Berdorf,890,799,78,37,76,103,250,85,110,9,24,7,16
LU_0301,Bertrange,3190,2624,233,84,177,451,912,129,398,19,103,27,88
LU_0201,Bettembourg,5474,4645,444,138,632,410,1553,322,616,56,235,75,160
LU_0601,Bettendorf,1294,1176,125,80,66,169,414,52,144,4,47,24,46
LU_1101,Betzdorf,1904,1719,127,52,118,236,602,117,292,8,94,20,49
LU_0402,Bissen,1569,1399,172,33,142,159,486,85,173,10,53,37,44
LU_1102,Biwer,1010,905,87,42,56,118,307,80,118,5,41,10,37
LU_0403,Helperknapp,1424,1317,131,74,77,195,437,69,166,15,68,23,59
LU_0801,Boulaide,659,582,50,30,37,94,192,45,60,6,20,14,29
LU_0602,Bourscheid,851,774,48,42,37,138,245,60,94,7,42,17,40
LU_1201,Bous,889,823,70,39,43,107,326,65,87,11,39,6,26
LU_0501,Clervaux,2737,2397,278,118,128,341,862,164,222,18,70,62,130
LU_0401,Colmar-Berg,1080,972,105,48,70,146,288,73,127,6,44,21,40
LU_1004,Consdorf,1094,963,80,38,64,139,323,79,134,14,26,18,44
LU_0302,Contern,2087,1773,139,67,152,266,636,100,265,14,69,14,48
LU_1202,Dalheim,1172,1060,100,40,66,136,353,72,166,12,56,16,38
LU_0603,Diekirch,3180,2706,248,88,329,366,925,134,353,23,103,54,78
LU_0202,Differdange,9525,8115,1221,244,1049,826,2186,601,892,270,408,100,314
LU_0101,Dippach,2239,2021,187,74,172,274,726,113,254,13,100,22,81
LU_0203,Dudelange,10643,9224,1062,280,1797,607,2402,662,1246,143,546,145,330
LU_1005,Echternach,2669,2084,184,72,192,297,760,126,306,13,57,22,50
LU_0703,Ell,681,613,57,31,21,100,203,51,88,4,22,13,20
LU_0604,Erpeldange,1445,1276,104,59,80,210,437,78,175,8,62,24,36
