gisco_id,name,registered,turnout,invalid,blank,Latvijas Sociālistiskā partija,Tautas partija,Konservatīvā partija,Latgales Gaisma,"Apvienība ""Tēvzemei un Brīvībai""/LNNK","Politisko organizāciju apvienība ""Par cilvēka tiesībām vienotā Latvijā""","""Apvienotā sociāldemokrātiskā labklājības partija""",Tautas saskaņas partija,"""Zaļo un Zemnieku savienība""","""Latvijas Pirmā Partija""",Latvijas Sociāldemokrātiskā strādnieku partija,"""Jaunais laiks""","Savienība ""Latvijas ceļš""",Kristīgi demokrātiskā savienība (KDS),"Politiskā organizācija (partija) ""Eiroskeptiķi""","""Sociāldemokrātu savienība - SDS"""
LV_7642,Aglonas pagasts,1937,825,0,0,14,36,22,107,184,22,11,23,50,34,93,150,62,9,6,2
LV_6625,Ainažu l.t.,1307,446,0,0,1,45,4,0,151,2,1,3,24,21,19,135,34,1,1,4
LV_3242,Aiviekstes pagasts,640,272,0,0,2,29,5,1,75,12,2,1,26,9,21,63,20,3,3,0
LV_3201,Aizkraukle,6533,2350,0,0,25,190,44,10,772,192,48,66,60,119,128,490,160,11,28,7
LV_6405,Aizpute,4756,1986,0,0,4,185,17,5,928,13,3,6,47,121,105,421,99,4,23,5
LV_6442,Aizputes pagasts,711,261,0,0,1,13,1,0,115,1,1,1,19,17,9,45,33,0,5,0
LV_5625,Aknīstes l.t.,1355,505,0,0,1,49,8,3,150,8,2,8,30,28,17,165,25,3,5,3
LV_8042,Allažu pagasts,1339,522,0,0,2,41,17,1,207,5,10,3,15,12,18,136,28,3,2,22
LV_6627,Alojas l.t.,1887,857,0,0,3,71,8,1,385,10,4,3,35,21,32,216,62,2,4,0
LV_6242,Alsungas pagasts,1476,570,0,0,3,42,7,1,268,3,0,2,26,17,32,139,21,3,6,0
LV_3642,Alsviķu pagasts,1247,507,0,0,3,50,9,1,153,5,2,5,36,27,32,135,42,1,5,1
LV_3601,Alūksne,7038,3313,0,0,51,295,67,40,1082,152,37,46,148,150,187,697,284,22,38,17
LV_4242,Amatas pag.,2395,988,0,0,1,83,7,3,371,14,4,5,81,31,25,295,61,0,7,0
LV_4442,Ambeļu pagasts,570,263,0,0,10,10,4,79,27,31,0,12,6,8,15,27,22,2,9,1
LV_9844,Ances pagasts,564,231,0,0,1,8,2,0,132,0,0,2,12,3,2,46,21,1,0,1
LV_6042,Andrupenes pagasts,1080,277,0,0,36,15,16,23,37,22,6,13,21,20,10,38,12,4,0,4
LV_6044,Andzeļu pagasts,563,193,0,0,12,11,7,25,22,40,2,21,14,1,11,19,5,3,0,0
LV_3644,Annas pagasts,436,222,0,0,6,18,5,1,109,1,2,0,14,15,11,22,17,0,1,0
LV_4642,Annenieku pagasts,648,299,0,0,0,27,10,0,88,14,1,6,16,17,32,63,19,0,3,3
LV_3625,Apes l.t.,1381,598,0,0,8,68,13,3,170,9,1,4,26,41,50,141,43,0,20,1
LV_7042,Aronas pagasts,1158,461,0,0,2,46,6,2,178,2,2,3,29,13,36,101,33,1,7,0
LV_5644,Asares pagasts,421,168,0,0,2,10,1,1,44,1,1,4,15,8,18,49,10,0,4,0
LV_6046,Asūnes pagasts,407,180,0,0,21,7,10,7,26,15,5,9,32,5,14,19,8,1,0,1
LV_5646,Atašienes pagasts,636,268,0,0,5,15,7,5,91,5,0,1,29,5,11,80,9,0,4,1
LV_4625,Auces l.t.,2845,1243,0,0,9,129,29,2,461,11,5,5,61,60,78,316,52,10,11,4
LV_7842,Audriņu pagasts,920,408,0,0,33,5,8,2,23,194,3,57,30,2,15,21,7,3,0,5
LV_6048,Aulejas pagasts,592,244,0,0,12,13,7,13,53,3,0,1,35,12,20,56,14,0,4,1
LV_4646,Auru pagasts,1841,593,0,0,12,70,31,3,184,23,11,17,41,26,37,86,44,1,6,1
LV_8048,Babītes pagasts,3862,1662,0,0,11,101,20,6,591,92,30,41,49,40,46,468,140,8,13,6
LV_8025,Baldones l.t.,3514,1464,0,0,8,112,23,5,599,24,11,7,33,57,67,394,103,3,14,4
LV_8846,Balgales pagasts,746,258,0,0,0,21,7,0,119,2,0,2,16,8,11,46,16,1,3,6
LV_8007,Baloži,2300,1016,0,0,12,67,23,4,273,139,59,62,23,36,29,217,51,4,11,6
LV_3844,Baltinavas pagasts,1185,407,0,0,13,20,7,5,148,25,2,17,55,13,25,54,19,2,2,0
LV_3801,Balvi,5965,2612,0,0,93,208,65,42,685,259,40,89,281,85,132,404,180,15,20,14
LV_3846,Balvu pagasts,617,245,0,0,2,20,7,1,81,4,2,3,39,8,15,41,20,1,1,0
LV_7044,Barkavas pagasts,1224,491,0,0,2,30,6,2,184,8,2,2,26,6,31,156,23,1,11,1
LV_4001,Bauska,7212,3124,0,0,32,311,50,7,1139,78,33,35,76,121,220,722,226,14,54,6
LV_3246,Bebru pagasts,915,324,0,0,1,28,14,0,114,8,2,0,35,21,19,64,15,0,3,0
LV_5044,Beļavas pagasts,1402,409,0,0,5,44,6,1,139,5,1,1,48,16,22,94,22,0,4,1
LV_4654,Bikstu pagasts,758,309,0,0,1,30,13,0,93,0,2,1,31,10,21,70,36,0,0,1
