gisco_id,name,registered,turnout,invalid,blank,"Politisko partiju apvienība ""Libertas.lv""","Partija ""LPP/LC""","""Tautas partija""",Latvijas Sociāldemokrātiskā strādnieku partija,"""PCTVL - Par cilvēka tiesībām vienotā Latvijā""","""Pilsoniskā savienība""",Osipova partija,"Partija ""Visu Latvijai!""","""Jaunais laiks""",PAR DZIMTENI!,"Politisko partiju apvienība ""Saskaņas Centrs""","""SABIEDRĪBA CITAI POLITIKAI""",Rīcības partija,Zaļo un Zemnieku savienība,"""Latvijas Atdzimšanas partija""","""Kristīgi demokrātiskā savienība""","Apvienība ""Tēvzemei un Brīvībai""/LNNK"
LV_0604300,Aglonas novads,3433,2025,75,0,99,98,81,56,217,298,14,32,89,21,640,25,8,131,1,62,78
LV_0320200,Aizkraukles novads,7026,3665,85,0,186,263,205,243,340,880,4,90,249,13,544,139,12,93,4,13,302
LV_0640600,Aizputes novads,8024,3955,105,0,167,289,142,285,32,1146,9,185,708,6,123,137,16,215,7,12,371
LV_0560800,Aknīstes novads,2443,1133,25,0,63,78,45,60,26,352,3,62,80,9,87,83,2,61,1,6,90
LV_0661000,Alojas novads,4676,2572,48,0,171,141,74,137,22,884,9,113,245,2,76,218,10,191,3,4,224
LV_0624200,Alsungas novads,1338,677,12,0,42,33,14,39,4,300,1,25,56,0,17,34,6,39,1,1,53
LV_0360200,Alūksnes novads,14711,7294,145,0,370,608,349,263,190,2092,24,217,608,30,687,502,27,433,30,15,704
LV_0424701,Amatas novads,4792,2455,40,0,241,191,105,92,36,730,1,112,242,10,88,127,6,194,3,5,232
LV_0360800,Apes novads,3347,1650,28,0,135,154,51,73,17,542,5,55,147,4,66,89,13,92,9,5,165
LV_0460800,Auces novads,5897,2700,63,0,206,248,116,119,55,672,12,100,233,6,126,215,22,217,7,10,273
LV_0804900,Babītes novads,6011,3372,54,0,151,279,59,139,242,974,7,145,290,24,366,191,10,101,14,18,308
LV_0800600,Baldones novads,3907,2035,76,0,107,152,42,106,36,676,3,126,161,3,103,120,21,62,3,4,234
LV_0384400,Baltinavas novads,1100,616,24,0,45,46,17,17,12,125,5,31,28,5,75,25,0,97,2,4,58
LV_0380200,Balvu novads,12361,6117,172,0,270,490,290,161,276,1378,22,143,331,28,932,155,30,664,34,32,709
LV_0400200,Bauskas novads,20093,8878,148,0,461,655,431,439,233,2751,17,232,777,52,614,563,24,380,18,19,1064
LV_0964700,Beverīnas novads,2704,1472,45,0,98,172,72,55,30,367,2,58,105,0,37,79,5,126,5,2,214
LV_0840601,Brocēnu novads,5129,2104,50,0,120,187,170,95,55,607,6,74,193,5,163,80,6,87,3,2,201
LV_0967101,Burtnieku novads,11695,5850,122,0,365,576,274,297,154,1611,12,230,556,9,262,344,16,300,10,11,701
LV_0805200,Carnikavas novads,4272,2517,39,0,151,207,39,114,181,648,9,105,232,11,272,124,9,38,11,3,324
LV_0700800,Cesvaines novads,2446,1034,27,0,74,65,57,50,11,285,2,72,162,2,40,45,3,34,3,13,89
LV_0684901,Ciblas novads,2596,1531,35,0,100,107,87,43,115,354,6,48,56,18,275,28,5,159,5,19,71
LV_0420200,Cēsu novads,15066,7449,131,0,419,601,424,373,182,2435,12,238,700,9,454,351,17,347,7,20,729
LV_0601000,Dagdas novads,6939,3379,54,0,146,285,115,78,350,378,12,32,99,45,1059,179,13,325,22,13,174
LV_0050000,Daugavpils,62973,34640,730,0,663,2239,441,463,5524,1492,170,148,379,334,20721,271,67,314,109,79,496
LV_0440200,Daugavpils novads,19233,8994,235,0,348,1050,280,204,787,827,57,105,236,74,3824,213,18,401,36,43,256
LV_0460200,Dobeles novads,16484,7626,152,0,433,628,277,276,272,2069,18,305,751,41,525,451,44,591,21,27,745
LV_0885100,Dundagas novads,3819,1791,35,0,162,154,38,95,14,649,1,76,145,5,43,74,11,96,4,5,184
LV_0640801,Durbes novads,2695,1481,33,0,102,131,49,61,25,500,6,51,135,2,26,128,3,71,1,2,155
LV_0905100,Engures novads,6256,3328,76,0,181,222,97,129,62,1074,8,152,318,10,144,267,15,99,3,9,462
LV_0806000,Garkalnes novads,4422,2593,44,0,139,206,57,91,213,650,4,88,275,14,333,130,24,94,11,3,217
LV_0641000,Grobiņas novads,7519,4068,117,0,272,401,124,262,41,1280,9,98,338,8,103,184,9,195,9,14,604
LV_0500200,Gulbenes novads,19452,8446,197,0,531,847,428,374,261,2154,23,318,723,27,593,499,25,677,28,18,723
LV_0406400,Iecavas novads,6451,3269,75,0,208,298,93,179,149,905,2,142,302,19,273,138,20,99,5,6,356
LV_0740600,Ikšķiles novads,6223,3927,69,0,222,298,84,198,144,1234,9,164,467,8,201,236,22,98,7,21,445
LV_0440801,Ilūkstes novads,6648,3367,91,0,154,187,69,93,221,815,22,96,170,24,677,131,3,336,10,18,250
LV_0801800,Inčukalna novads,5165,2779,55,0,169,188,70,113,262,541,9,91,308,30,569,98,15,55,12,10,184
LV_0321000,Jaunjelgavas novads,4798,2371,47,0,136,169,77,325,64,702,3,76,198,8,190,81,9,126,11,13,136
LV_0425700,Jaunpiebalgas novads,2118,1053,26,0,70,70,32,46,7,350,6,45,80,1,39,78,4,100,2,2,95
LV_0905700,Jaunpils novads,2111,1063,15,0,90,100,24,36,5,278,6,51,102,2,32,106,3,79,4,0,130
LV_0090000,Jelgava,40387,20808,387,0,666,1667,403,793,2615,5129,36,515,1236,194,3472,714,76,1240,28,45,1592
LV_0540200,Jelgavas novads,17979,7771,182,0,324,628,259,275,506,1948,35,291,506,82,805,553,23,617,22,32,683
LV_0110000,Jēkabpils,17850,9303,237,0,429,764,231,283,923,2165,31,184,658,50,2024,312,28,246,46,21,671
LV_0560200,Jēkabpils novads,4601,2317,48,0,180,120,99,65,52,708,4,156,189,12,126,131,17,195,1,8,206
LV_0130000,Jūrmala,34172,19675,409,0,846,1305,380,824,2619,4693,43,538,1160,156,3876,824,81,282,23,74,1542
LV_0901201,Kandavas novads,7575,3745,66,0,211,374,116,160,43,1055,8,136,285,5,82,537,7,287,8,6,359
LV_0326100,Kokneses novads,4586,2167,40,0,127,154,92,174,39,640,4,78,163,8,103,225,13,89,4,3,211
LV_0806900,Krimuldas novads,4502,2383,37,0,147,208,65,143,23,813,3,107,263,4,55,95,13,106,18,3,280
LV_0566900,Krustpils novads,4986,2546,83,0,143,166,75,85,138,640,8,143,136,7,342,161,7,176,7,13,216
LV_0600202,Krāslavas novads,13219,6908,163,0,138,301,124,116,785,631,26,85,219,35,3012,71,16,933,24,43,186
LV_0620200,Kuldīgas novads,20982,8553,151,0,553,758,560,494,65,2836,22,260,773,11,246,477,32,402,20,28,865
LV_0681000,Kārsavas novads,5503,2685,57,0,128,229,77,82,140,740,12,48,144,13,577,69,14,209,9,19,118
LV_0741401,Lielvārdes novads,8397,4443,98,0,262,406,113,173,132,1658,10,157,360,19,234,124,29,148,15,21,484
LV_0170000,Liepāja,47231,24975,469,0,1174,1912,612,1062,2281,6734,270,582,1477,26,4243,846,57,304,35,74,2817
LV_0660200,Limbažu novads,15217,7643,133,0,394,829,312,480,148,2373,7,428,640,25,319,366,17,373,14,12,773
LV_0701400,Lubānas novads,2279,1098,28,0,79,74,44,62,5,417,3,65,85,1,22,71,3,48,8,4,79
LV_0680200,Ludzas novads,11972,6115,162,0,166,367,267,132,795,635,35,64,183,73,2500,87,15,415,25,54,140
LV_0421200,Līgatnes novads,3145,1662,53,0,92,134,57,55,26,450,6,70,244,8,70,84,11,57,9,8,228
LV_0761201,Līvānu novads,10622,5051,113,0,222,229,407,174,453,1250,18,132,449,18,829,160,21,276,8,20,272
LV_0700200,Madonas novads,21618,9847,206,0,613,675,469,522,177,2801,29,598,1400,24,614,467,46,358,15,35,798
LV_0961000,Mazsalacas novads,3137,1667,38,0,106,111,59,107,22,499,2,85,157,3,60,170,6,61,11,4,166
LV_0807400,Mālpils novads,2974,1358,40,0,72,122,34,58,23,365,6,127,132,5,88,79,4,46,4,0,153
LV_0807600,Mārupes novads,8901,5349,92,0,235,580,144,185,330,1400,2,192,543,42,669,228,47,115,2,10,533
LV_0967300,Naukšēnu novads,1784,820,9,0,49,72,45,42,6,251,3,45,73,0,19,73,0,53,0,1,79
LV_0327100,Neretas novads,3195,1674,38,0,133,114,124,108,22,378,2,81,170,10,129,101,6,96,4,6,152
LV_0647900,Nīcas novads,3099,1643,26,0,101,151,53,78,14,613,2,83,150,3,32,54,5,50,1,10,217
LV_0740202,Ogres novads,27688,14666,305,0,716,1146,335,579,867,4535,25,617,1166,59,1591,606,56,502,29,112,1420
LV_0801000,Olaines novads,10952,6374,144,0,208,590,100,349,1190,1006,12,162,283,107,1471,228,15,121,6,12,370
LV_0546701,Ozolnieku novads,6845,3648,87,0,205,349,92,142,218,1052,5,98,249,39,322,181,8,220,8,6,367
LV_LVYY99,Pasta balsošanas iecirknis,4533,4079,52,0,77,231,141,137,713,674,68,124,393,118,787,99,27,177,40,37,184
LV_0760202,Preiļu novads,9329,4927,87,0,153,141,1043,241,248,732,11,127,210,15,1302,102,17,259,9,31,199
LV_0641600,Priekules novads,4693,2364,90,0,152,273,75,108,35,680,5,98,205,4,91,112,10,106,7,9,304
LV_0427300,Priekuļu novads,6796,3314,95,0,193,270,136,135,126,1006,9,118,314,5,228,158,11,181,3,6,320
LV_0427500,Pārgaujas novads,3506,1958,54,0,145,166,88,106,16,564,1,68,183,8,55,104,7,137,5,10,241
LV_0641401,Pāvilostas novads,2537,1301,25,0,70,136,49,57,9,462,9,30,107,1,33,74,13,44,9,3,170
LV_0321400,Pļaviņu novads,4616,2401,69,0,129,202,94,132,114,762,3,105,168,8,241,114,14,76,4,10,156
LV_0427700,Raunas novads,3154,1417,34,0,104,109,57,55,14,416,5,78,117,2,56,90,5,84,5,3,183
LV_0766300,Riebiņu novads,4903,2548,75,0,111,105,344,92,109,500,14,72,139,11,589,57,10,159,10,28,123
LV_0888300,Rojas novads,5041,2590,47,0,175,268,79,144,20,837,10,90,286,3,94,98,6,66,3,7,357
LV_0808400,Ropažu novads,4605,2424,78,0,137,194,64,98,112,547,7,120,290,21,213,163,15,80,5,7,273
LV_0648500,Rucavas novads,1566,985,15,0,65,67,24,31,3,425,0,29,77,1,14,35,4,100,4,1,90
LV_0387500,Rugāju novads,2113,1205,34,0,50,106,31,26,18,231,6,22,65,5,77,29,2,391,4,3,105
LV_0407700,Rundāles novads,2510,1464,37,0,78,99,67,48,63,410,1,46,128,15,115,108,2,109,9,3,126
LV_0210000,Rēzekne,26273,13984,247,0,330,594,289,328,1175,1051,46,150,341,54,7928,231,84,554,42,74,466
LV_0780200,Rēzeknes novads,24478,11942,226,0,437,490,271,437,640,1260,50,189,437,69,5019,232,36,1622,43,52,432
LV_0010000,Rīga,406485,240914,2918,0,7272,16300,2979,7503,41607,55255,269,5398,13753,1628,61212,6813,1323,2845,270,394,13175
LV_0961600,Rūjienas novads,4950,2484,42,0,196,191,124,120,12,779,8,105,286,5,76,178,12,113,6,6,225
LV_0661400,Salacgrīvas novads,7442,3799,82,0,243,570,99,184,53,1181,13,140,389,5,130,160,21,136,8,7,378
LV_0568700,Salas novads,3129,1509,47,0,95,107,50,84,50,431,3,81,100,3,96,86,7,120,2,2,145
LV_0801200,Salaspils novads,12461,7043,96,0,254,408,146,243,1155,1541,11,189,431,86,1559,290,53,142,4,11,424
LV_0840200,Saldus novads,21251,9465,200,0,501,820,527,497,79,3147,31,316,893,11,401,401,24,512,16,29,1060
LV_0801400,Saulkrastu novads,4681,2802,45,0,143,197,77,126,97,1051,4,119,187,1,165,193,8,51,2,12,324
LV_0801601,Siguldas novads,12875,7067,87,0,372,685,155,299,144,2440,7,237,751,27,376,327,14,259,103,25,759
LV_0621200,Skrundas novads,4531,2185,69,0,165,174,106,142,16,687,9,67,223,1,77,89,6,95,9,5,245
LV_0328200,Skrīveru novads,3244,1724,40,0,113,155,74,91,22,568,2,86,143,5,78,82,10,61,4,4,186
LV_0941600,Smiltenes novads,11248,5720,95,0,307,558,192,153,38,2314,13,180,367,6,167,359,20,349,19,14,569
LV_0809600,Stopiņu novads,5912,3599,76,0,153,307,90,157,371,814,6,173,210,57,708,98,26,65,4,6,278
LV_0941800,Strenču novads,2728,1456,24,0,109,153,41,60,141,360,2,52,69,9,189,78,4,41,2,3,119
LV_0809200,Sējas novads,1868,1073,23,0,75,93,36,49,24,356,4,58,107,5,43,47,6,42,2,4,99
LV_0880200,Talsu novads,26913,11941,215,0,663,1038,722,664,122,4176,33,398,950,21,431,611,53,628,17,33,1166
LV_0900200,Tukuma novads,24079,10756,222,0,607,871,367,380,286,3445,13,337,910,30,730,1026,36,422,25,25,1024
LV_0468900,Tērvetes novads,2901,1268,29,0,74,120,36,41,26,343,4,53,87,11,40,163,5,112,3,5,116
LV_0649300,Vaiņodes novads,2122,1167,31,0,56,100,42,45,13,342,9,35,104,2,64,32,7,142,2,4,137
LV_0940200,Valkas novads,7629,3696,72,0,232,287,275,116,135,1225,50,108,204,10,246,266,14,162,6,8,280
LV_0250000,Valmiera,19083,10465,142,0,537,1133,489,575,449,3200,21,261,906,21,655,451,36,270,8,14,1297
LV_0701800,Varakļānu novads,3080,1701,47,0,106,126,43,82,25,545,6,84,189,1,96,95,7,102,7,7,133
LV_0429300,Vecpiebalgas novads,3735,2027,39,0,114,174,61,115,14,652,1,96,163,2,88,135,9,153,3,5,203
LV_0409500,Vecumnieku novads,7139,3405,67,0,195,323,150,117,91,994,12,148,312,16,158,153,14,285,7,10,353
LV_0270000,Ventspils,25421,12366,328,0,702,957,155,641,1043,3295,19,327,588,22,2156,341,35,496,17,41,1203
LV_0980200,Ventspils novads,10357,4593,127,0,268,377,114,263,57,1513,6,145,334,7,152,180,10,526,17,16,481
LV_0561800,Viesītes novads,3445,1690,50,0,88,137,69,100,32,534,11,85,152,4,135,55,3,94,2,7,132
LV_0381600,Viļakas novads,4979,2636,103,0,100,212,92,50,107,514,17,47,151,14,548,57,7,377,10,20,210
LV_0781800,Viļānu novads,5637,3199,74,0,105,125,55,82,277,435,17,60,133,13,1348,61,7,256,5,30,116
LV_0769101,Vārkavas novads,1926,1130,18,0,57,58,62,37,24,465,7,36,91,1,79,32,7,103,5,2,46
LV_0681801,Zilupes novads,2674,1290,27,0,24,21,27,11,170,18,9,4,11,14,902,6,4,14,5,7,16
LV_0804400,Ādažu novads,6231,3553,81,0,214,429,81,183,194,912,4,126,264,16,452,141,13,86,10,7,340
LV_0705500,Ērgļu novads,2831,1537,34,0,103,94,53,69,15,534,4,115,150,1,67,79,6,58,9,7,139
LV_0741001,Ķeguma novads,4719,2518,51,0,166,208,93,103,75,730,4,137,248,11,171,98,7,156,6,5,249
LV_0800800,Ķekavas novads,14651,8746,146,0,472,719,187,366,533,2764,9,313,668,45,926,423,50,203,15,55,852
