gisco_id,name,registered,turnout,invalid,blank,"""Saskaņa"" sociāldemokrātiskā partija ","Politiskā partija ""Alternative"" ",Latvijas Sociāldemokrātiskā strādnieku partija ,"""Par prezidentālu republiku"" ",Latvijas Atdzimšanas partija ,Kristīgi demokrātiskā savienība ,"""SUVERENITĀTE"" ",Latvijas Reģionu Apvienība ,Zaļo un Zemnieku savienība ,Latvijas Sociālistiskā partija ,"Partija ""VIENOTĪBA"" ","""Latvijas Krievu savienība"" ","""Latvijas attīstībai"" ","Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK"" "
LV_0010000,Rīga,413888,145926,1466,0,33926,3051,382,171,322,338,174,2479,5395,2362,55604,15999,3312,20945
LV_LVYY99,Pasta balsošana,2888,2888,519,0,87,4,5,1,3,4,1,34,41,3,1711,21,17,437
LV_0130000,Jūrmala,35040,11386,101,0,1497,330,27,15,22,46,5,284,802,182,4952,975,284,1864
LV_0250000,Valmiera,19537,6590,60,0,251,36,21,2,15,22,9,181,338,52,4028,108,167,1300
LV_0804400,Ādažu novads,6914,2340,21,0,122,22,10,3,1,7,1,131,136,19,1374,57,61,375
LV_0661000,Alojas novads,4489,1206,11,0,14,1,3,2,7,2,1,32,171,19,731,2,19,191
LV_0360200,Alūksnes novads,14082,3931,24,0,98,33,59,6,12,11,6,101,750,57,2100,69,81,524
LV_0424701,Amatas novads,4671,1416,10,0,15,1,3,2,10,3,1,18,179,13,871,12,32,246
LV_0360800,Apes novads,3167,875,7,0,7,2,8,3,1,1,5,14,126,8,564,1,13,115
LV_0804900,Babītes novads,6540,2253,21,0,155,27,6,0,3,7,3,159,135,11,1200,79,69,378
LV_0800600,Baldones novads,4139,1301,19,0,21,4,4,1,1,3,2,36,102,9,739,14,57,289
LV_0964700,Beverīnas novads,2674,784,13,0,6,0,2,0,2,2,1,19,85,5,492,4,17,136
LV_0967101,Burtnieku novads,6216,2020,16,0,81,19,13,3,14,17,4,41,221,32,1156,38,63,302
LV_0805200,Carnikavas novads,4765,1948,19,0,137,23,12,3,4,4,1,40,112,38,1074,92,48,341
LV_0420200,Cēsu novads,14619,4778,53,0,145,14,12,6,2,8,5,95,331,71,2962,49,197,828
LV_0700800,Cesvaines novads,2378,641,7,0,10,4,4,0,1,3,3,14,95,8,346,1,18,127
LV_0705500,Ērgļu novads,2734,855,5,0,5,2,3,0,3,5,1,24,101,15,527,5,11,148
LV_0806000,Garkalnes novads,5050,1771,20,0,125,19,5,5,1,2,1,65,150,16,886,127,71,278
LV_0500200,Gulbenes novads,18734,4537,39,0,141,33,16,6,11,19,4,141,667,79,2571,63,121,626
LV_0740600,Ikšķiles novads,6784,2803,29,0,78,19,5,2,7,9,0,77,158,28,1709,44,83,555
LV_0801800,Inčukalna novads,5318,1510,9,0,159,41,5,2,5,41,2,65,103,13,700,108,45,212
LV_0425700,Jaunpiebalgas novads,2034,553,7,0,7,0,0,1,0,4,3,11,112,3,308,0,15,82
LV_0741001,Ķeguma novads,4674,1469,15,0,77,21,4,0,3,5,2,39,159,20,851,20,21,232
LV_0800800,Ķekavas novads,15440,5387,55,0,319,46,8,12,16,12,3,174,296,40,3080,167,128,1031
LV_0960200,Kocēnu novads,5172,1555,13,0,36,5,4,1,12,4,3,19,148,21,895,16,48,330
LV_0806900,Krimuldas novads,4443,1474,10,0,18,1,2,1,6,4,1,48,163,14,921,0,25,260
LV_0741401,Lielvārdes novads,8292,2479,14,0,47,16,9,4,4,12,3,72,252,32,1533,36,78,367
LV_0421200,Līgatnes novads,3029,936,4,0,14,2,4,2,5,3,0,26,84,13,568,5,25,181
LV_0660200,Limbažu novads,14775,4521,27,0,107,18,18,3,11,7,3,140,583,44,2688,27,95,750
LV_0701400,Lubānas novads,2266,668,8,0,8,2,3,0,1,6,1,30,99,6,389,2,13,100
LV_0700200,Madonas novads,20919,5975,64,0,117,46,45,10,17,19,6,107,910,78,3369,55,126,1006
LV_0807400,Mālpils novads,2876,827,13,0,21,4,3,2,5,1,2,26,70,15,470,7,27,161
LV_0807600,Mārupes novads,10765,4055,29,0,259,38,8,11,5,10,10,173,261,22,2271,145,114,699
LV_0961000,Mazsalacas novads,2914,969,17,0,13,2,7,1,3,1,1,27,111,14,613,0,19,140
LV_0967300,Naukšēnu novads,1702,514,5,0,3,2,2,0,2,1,0,31,73,9,300,2,11,73
LV_0740202,Ogres novads,27137,8784,91,0,517,131,20,12,21,32,21,291,754,106,4907,296,179,1406
LV_0801000,Olaines novads,11388,3294,55,0,582,113,21,3,8,14,4,91,231,51,1256,404,59,402
LV_0427500,Pārgaujas novads,3440,1038,9,0,9,1,1,1,3,2,1,21,153,2,637,3,42,153
LV_0427300,Priekuļu novads,6582,1955,35,0,85,2,11,3,2,4,0,35,172,28,1217,20,54,287
LV_0427700,Raunas novads,3000,920,16,0,11,3,2,4,2,3,1,26,116,7,545,1,42,141
LV_0808400,Ropažu novads,4927,1379,11,0,66,12,2,6,5,10,1,90,109,17,778,31,41,200
LV_0961600,Rūjienas novads,4653,1395,12,0,10,2,4,1,0,3,2,156,158,9,851,0,20,167
LV_0661400,Salacgrīvas novads,7133,2102,25,0,36,6,1,3,8,3,4,262,143,22,1226,8,29,326
LV_0801200,Salaspils novads,13121,4368,50,0,672,231,14,10,14,13,6,74,237,44,1956,416,79,552
LV_0801400,Saulkrastu novads,4739,1778,10,0,59,7,8,3,3,4,2,34,123,13,1051,36,46,379
LV_0809200,Sējas novads,1875,587,5,0,6,1,2,3,2,2,1,46,34,5,360,7,20,93
LV_0801601,Siguldas novads,13818,4901,34,0,126,24,10,8,50,31,3,230,376,49,2902,44,130,884
LV_0941600,Smiltenes novads,10936,3528,27,0,32,8,11,2,12,6,5,52,399,37,2303,12,86,536
LV_0809600,Stopiņu novads,6428,2146,30,0,282,35,7,5,6,10,0,61,76,43,1002,176,54,359
LV_0941800,Strenču novads,2577,793,6,0,84,11,4,2,6,6,1,13,93,16,422,28,13,88
LV_0940200,Valkas novads,7334,2118,21,0,81,8,4,4,5,3,3,50,273,26,1288,20,47,285
LV_0701800,Varakļānu novads,2980,947,9,0,21,7,1,1,3,11,0,24,135,15,576,7,13,124
LV_0429300,Vecpiebalgas novads,3612,1122,13,0,16,0,7,2,5,6,0,31,178,8,640,2,32,182
LV_0050000,Daugavpils,60790,14524,157,0,4024,5062,41,28,60,32,14,132,343,187,1432,2586,83,343
LV_0210000,Rēzekne,24565,6277,79,0,1886,1126,16,7,11,20,3,102,384,128,1303,696,56,460
LV_0604300,Aglonas novads,3183,739,12,0,117,148,3,1,4,5,1,32,94,15,227,38,6,36
LV_0384400,Baltinavas novads,1037,258,4,0,14,6,5,0,1,2,0,7,61,7,123,3,7,18
LV_0380200,Balvu novads,11631,2673,37,0,318,22,9,17,12,17,10,64,521,66,1241,82,27,230
LV_0684901,Ciblas novads,2456,629,6,0,71,25,1,3,4,4,5,22,106,54,253,22,11,42
LV_0601000,Dagdas novads,6547,1298,8,0,225,230,10,2,13,5,4,67,186,28,362,73,12,73
LV_0440200,Daugavpils novads,18373,3739,35,0,737,1239,17,14,27,10,1,57,265,75,773,317,24,148
LV_0440801,Ilūkstes novads,6326,1626,16,0,147,116,5,0,8,16,6,21,352,20,701,56,27,135
LV_0681000,Kārsavas novads,5145,1111,8,0,120,85,7,4,9,4,3,38,202,69,444,34,14,70
