gisco_id,name,registered,turnout,invalid,blank,S,JKP,NA,LPV,LA,Centra partija,AJ,AS,P,TVS,KP!,SV,TZV,ZZS,JV,S!
LV_LVZZ99,Ārzemes,178761,6809,694,0,164,109,1041,157,389,63,74,321,1490,11,68,58,32,47,2034,57
LV_0001000,Rīga,397814,147028,1599,0,18086,2109,28071,9273,11111,3877,2572,8931,15787,678,633,5189,811,1607,32420,4274
LV_0004000,Jūrmala,37790,14684,170,0,1604,153,3363,1295,1236,469,272,906,853,55,24,512,76,207,3164,325
LV_0021000,Alūksnes novads,11402,4247,60,0,98,79,1104,221,592,13,105,311,198,10,13,79,29,127,1181,27
LV_0023000,Ādažu novads,16010,8826,109,0,501,100,2097,498,802,109,121,1116,596,15,17,199,48,123,2242,133
LV_0026000,Cēsu novads,33657,16033,188,0,234,229,3871,659,2254,21,349,1282,1198,29,83,198,115,380,4897,46
LV_0029000,Gulbenes novads,15480,5533,43,0,134,114,1173,290,945,7,140,457,259,13,9,87,41,230,1548,43
LV_0034000,Ķekavas novads,21953,11301,128,0,471,203,2754,584,1056,98,185,1104,830,23,37,257,56,155,3255,105
LV_0035000,Limbažu novads,23096,10244,137,0,159,106,2421,444,1087,22,223,1122,537,40,17,101,82,357,3352,37
LV_0038000,Madonas novads,23100,9581,112,0,148,196,2120,505,1429,14,222,815,513,18,19,129,80,316,2915,30
LV_0039000,Mārupes novads,23584,12552,179,0,547,199,3239,648,1214,72,131,1172,1125,27,38,216,67,179,3385,114
LV_0040000,Ogres novads,44339,20413,231,0,504,298,5090,1098,2280,100,417,1997,1383,43,67,339,129,368,5894,175
LV_0041000,Olaines novads,12785,3554,71,0,349,56,697,249,295,169,90,268,202,16,9,159,19,52,735,118
LV_0044000,Ropažu novads,23341,8837,97,0,581,141,2141,499,853,105,193,709,631,26,28,224,48,150,2245,166
LV_0045000,Salaspils novads,14950,5127,62,0,385,55,1006,349,455,107,119,484,348,29,11,208,20,68,1288,133
LV_0047000,Saulkrastu novads,7919,5852,83,0,404,72,1526,331,560,83,79,532,375,24,5,138,41,90,1426,83
LV_0048000,Siguldas novads,23805,11378,104,0,169,143,3159,523,1197,29,199,1039,806,25,35,147,71,205,3474,53
LV_0049000,Smiltenes novads,14536,6504,59,0,48,95,1548,242,1003,2,125,574,408,16,15,67,36,138,2118,10
LV_0053000,Valkas novads,6200,2521,36,0,59,22,583,137,313,9,74,207,162,5,5,58,17,77,746,11
LV_0054000,Valmieras novads,40047,17926,153,0,270,255,4586,675,1966,57,445,1448,1097,18,30,205,104,985,5556,76
LV_0055000,Varakļānu novads,2388,1031,13,0,13,23,168,44,159,1,11,86,46,1,5,13,10,66,368,4
LV_0002000,Daugavpils,54343,11280,134,0,4037,81,528,1289,460,753,347,271,256,118,23,790,28,132,866,1167
LV_0006000,Rēzekne,21274,6253,78,0,853,95,918,977,401,288,270,311,227,38,8,432,15,95,835,412
LV_0022000,Augšdaugavas novads,19549,4605,48,0,927,61,551,456,287,124,171,234,130,30,9,190,13,209,895,270
LV_0024000,Balvu novads,15180,4847,63,0,262,159,1008,377,508,32,169,372,202,20,12,145,35,202,1197,84
LV_0032000,Krāslavas novads,16034,3800,43,0,770,35,358,544,237,107,161,242,110,41,8,226,15,129,533,241
LV_0036000,Līvānu novads,8499,2858,34,0,174,65,585,192,293,30,91,259,110,7,4,108,13,62,770,61
LV_0037000,Ludzas novads,17081,3975,35,0,565,78,401,663,224,109,164,269,95,40,3,234,20,160,710,205
LV_0042000,Preiļu novads,13426,4527,41,0,282,68,689,356,628,44,112,350,156,41,6,145,50,127,1302,130
LV_0043000,Rēzeknes novads,23502,4885,57,0,522,131,840,547,351,124,205,320,168,36,36,231,23,192,842,260
LV_0005000,Liepāja,45477,16625,213,0,719,174,4505,978,1267,381,322,2236,880,30,68,392,73,206,3859,322
LV_0007000,Ventspils,22838,8092,101,0,395,109,1978,624,787,105,170,663,464,14,20,252,41,527,1689,153
LV_0027000,Dienvidkurzemes novads,26499,10364,118,0,100,134,3022,456,885,18,224,1747,409,12,31,105,58,305,2711,29
LV_0033000,Kuldīgas novads,22293,9411,102,0,101,149,2448,497,1125,5,183,904,526,18,22,118,50,262,2877,24
LV_0046000,Saldus novads,22000,7562,87,0,81,81,1974,421,902,7,163,802,359,12,15,90,49,265,2236,18
LV_0051000,Talsu novads,29406,12307,163,0,114,160,3588,667,1322,24,297,1282,714,16,34,136,69,387,3314,20
LV_0056000,Ventspils novads,8412,2878,32,0,30,36,809,185,296,0,73,280,132,8,4,50,19,197,720,7
LV_0003000,Jelgava,38276,14680,176,0,667,258,3320,807,1157,933,294,1006,1202,38,53,319,86,468,3625,271
LV_0020000,Aizkraukles novads,22805,8916,106,0,199,120,2024,524,1312,68,273,804,448,19,19,172,67,177,2503,81
LV_0025000,Bauskas novads,31322,12092,164,0,263,205,3168,603,1076,48,290,1175,714,32,31,203,83,318,3599,120
LV_0028000,Dobeles novads,21306,8204,104,0,188,308,2051,390,878,23,156,675,446,21,23,112,57,393,2315,64
LV_0030000,Jelgavas novads,23401,8017,102,0,278,163,1954,400,774,156,183,682,512,18,20,134,52,353,2162,74
LV_0031000,Jēkabpils novads,30299,10272,145,0,401,195,2159,727,952,84,340,1313,478,24,15,280,56,344,2555,204
LV_0052000,Tukuma novads,34923,14795,167,0,240,177,4222,633,1378,35,263,1473,1170,24,34,176,113,415,4205,70
