gisco_id,name,registered,turnout,invalid,blank,PvdA,VVD,CDA,GL,Europa Transparant,SP,D66,Partij voor het Noorden,PvdD,LPF,CU_SGP,Nieuw Rechts,Democratisch Europa,Respect.Nu,Leefbaar Europa
NL_1680,Aa en Hunze,19574,9310,0,9,3458,1976,1218,598,466,454,336,267,243,129,124,14,7,6,5
NL_0738,Aalburg,8821,3945,0,2,395,324,1178,62,246,117,46,0,101,78,1367,16,5,4,4
NL_0358,Aalsmeer,17366,6957,0,32,1253,1268,1888,408,463,296,335,6,272,365,319,24,13,4,11
NL_0197,Aalten,13975,6594,0,8,1116,529,2989,283,380,503,155,6,150,108,330,7,11,7,12
NL_0305,Abcoude,6227,3235,0,5,535,660,762,287,305,133,211,4,135,80,97,7,10,3,3
NL_0059,Achtkarspelen,21444,8333,0,13,2287,418,3116,252,344,326,106,257,124,104,947,25,3,3,10
NL_0482,Alblasserdam,13430,5777,0,11,1505,484,1135,165,324,315,97,5,159,140,1405,17,6,0,9
NL_0613,Albrandswaard,14979,5852,0,13,1187,1045,1245,223,565,345,242,10,234,403,275,28,7,3,27
NL_0483,Alkemade,10868,4383,0,7,714,843,1535,242,278,247,153,6,121,158,22,27,6,15,14
NL_0361,Alkmaar,70483,26528,0,55,8284,2970,3993,2791,2191,2621,1134,42,1077,682,458,88,49,34,59
NL_0141,Almelo,53222,19059,0,37,5929,2311,4842,1054,1264,1281,565,16,469,485,705,37,14,19,31
NL_0034,Almere,117875,38093,0,94,11355,6537,3867,3273,2670,3172,2351,47,1728,1517,1041,178,73,66,124
NL_0484,Alphen aan den Rijn,52193,20496,0,58,4186,3168,4476,1470,1522,1584,1059,16,736,638,1370,109,44,24,36
NL_1723,Alphen-Chaam,7175,2933,0,4,384,418,1144,119,409,175,87,2,83,84,6,12,2,2,4
NL_1679,Ambt Montfort,8655,3136,0,7,513,222,1727,116,170,157,66,4,61,58,9,8,12,4,5
NL_0060,Ameland,2673,1536,0,0,405,243,481,77,95,70,36,25,37,31,24,5,4,0,3
NL_0306,Amerongen,5450,2429,0,11,353,355,669,117,213,106,94,0,102,47,347,4,2,3,6
NL_0307,Amersfoort,96523,41616,0,124,9326,5478,7569,4864,2876,3044,2296,27,1440,858,3453,94,71,26,70
NL_0362,Amstelveen,58006,26442,0,52,5760,5307,4541,2466,2407,1425,1792,31,1333,637,460,83,66,28,54
NL_0363,Amsterdam,528900,191197,0,1185,53743,21347,14665,33876,13768,19241,13030,185,12295,4531,1782,522,481,195,351
