gisco_id,name,registered,turnout,invalid,blank,D66,CDA,PVV,VVD,SP,PvdA,CU-SGP,GL,PvdD,50PLUS,Jezus Leeft,DENK,De Groenen,FVD,VandeRegio & Piraten,Volt
NL_0171,Noordoostpolder,34027,15029,23,18,510,3096,532,2248,512,2089,2405,800,330,428,49,55,10,1765,19,140
NL_0303,Dronten,30667,13322,25,23,568,2419,469,2364,418,1905,1297,892,350,545,24,91,19,1758,13,142
NL_0034,Almere,149786,50511,144,110,3436,2707,2587,7558,1851,9486,1761,5217,2643,2881,127,938,94,7841,178,952
NL_0995,Lelystad,57078,21473,43,50,1051,1681,1260,2920,954,3993,1276,1628,969,1257,72,376,39,3533,61,310
NL_0184,Urk,13687,7021,12,10,14,445,320,40,19,39,4954,20,11,12,67,5,0,1038,1,14
NL_0050,Zeewolde,16098,7318,17,24,356,1062,228,1371,130,988,941,497,215,317,16,26,8,974,9,139
NL_0840,Rucphen,18510,4862,12,4,210,702,710,697,164,681,43,192,163,283,3,9,5,933,9,42
NL_0777,Etten-Leur,33478,11803,28,22,762,1709,554,2105,477,2187,150,942,344,650,12,180,15,1480,20,166
NL_0784,Gilze en Rijen,20428,7576,20,16,522,1081,308,1263,287,1663,65,531,229,431,10,115,17,904,12,102
NL_0748,Bergen op Zoom,51676,17517,46,36,1241,1774,912,3157,649,3725,227,1339,577,876,21,343,31,2281,19,263
NL_0855,Tilburg,163308,55195,142,119,5485,4860,2033,7934,2563,10548,549,8204,2383,2536,72,877,111,5550,122,1107
NL_0873,Woensdrecht,16354,5636,13,17,421,739,376,951,213,1067,63,236,191,328,3,13,12,923,10,60
NL_1709,Moerdijk,29160,10300,19,23,529,1586,507,1862,416,1788,428,578,349,546,9,17,10,1463,19,151
NL_1723,Alphen-Chaam,8003,3477,9,8,181,891,113,724,89,505,16,227,100,185,5,5,3,369,4,43
NL_0826,Oosterhout,43539,15812,25,26,1199,1866,696,3057,586,3156,192,1327,487,760,16,163,30,1955,22,249
NL_0824,Oisterwijk,20655,8694,7,16,676,1261,279,1805,254,1825,85,705,277,459,4,23,15,862,12,129
NL_0851,Steenbergen,18463,6146,17,15,288,887,360,1103,235,1123,225,253,233,306,12,3,4,995,8,79
NL_1959,Altena,42652,17110,32,12,481,3127,612,1836,394,1984,4771,647,415,432,38,10,11,2131,9,168
NL_0785,Goirle,18687,7449,19,16,637,937,249,1254,328,1686,38,712,279,365,6,19,13,745,10,136
NL_1719,Drimmelen,21700,8018,18,10,496,1173,390,1514,314,1540,81,549,304,478,7,3,9,1023,8,101
NL_1655,Halderberge,23644,7963,10,13,443,1190,462,1493,333,1445,78,449,225,421,10,46,8,1218,15,104
NL_0879,Zundert,17040,5981,19,15,368,1302,289,1184,229,900,44,333,207,289,4,8,10,707,6,67
NL_0744,Baarle-Nassau,5428,2068,5,4,106,529,85,334,69,293,13,103,84,118,0,1,1,293,2,28
NL_0798,Hilvarenbeek,12248,5273,7,11,376,1185,133,951,173,1079,34,406,156,257,2,2,8,395,7,91
NL_1674,Roosendaal,58751,20156,46,47,1033,2542,1153,3544,855,3909,240,1610,627,1138,19,404,34,2636,24,295
NL_0809,Loon op Zand,18340,6613,11,10,428,1052,361,1200,253,1248,105,475,207,365,2,19,3,765,10,99
NL_0779,Geertruidenberg,16958,5588,16,10,293,818,330,970,225,999,68,395,179,356,8,12,4,814,7,84
NL_0758,Breda,140725,57162,112,117,5620,5958,1825,12062,1995,10287,582,7119,2330,2167,60,441,86,4974,101,1326
NL_0867,Waalwijk,36912,12626,26,23,760,1607,632,2213,515,2034,886,819,410,753,16,163,17,1600,18,134
NL_0766,Dongen,20459,6983,13,25,519,1084,235,1179,312,1504,144,514,205,374,3,79,11,676,7,99
NL_0399,Heiloo,18731,10088,10,17,858,1018,203,1897,165,2386,200,1157,492,394,22,10,19,1002,12,226
NL_0385,Edam-Volendam,28360,12281,18,21,425,1546,713,1703,223,1719,154,786,444,480,19,27,12,3801,15,175
NL_0448,Texel,11001,6303,19,21,358,765,177,977,226,1390,204,720,263,188,6,0,11,870,9,99
NL_1598,Koggenland,17662,7697,13,9,412,1346,253,1627,204,1468,93,503,268,431,7,6,15,905,26,111
NL_0880,Wormerland,13032,5602,14,8,345,453,191,847,238,1354,162,608,273,294,12,14,14,663,14,98
NL_0432,Opmeer,9097,3728,7,11,192,678,135,741,115,687,49,198,107,236,3,1,6,496,6,60
NL_0441,Schagen,36760,15292,25,36,810,1978,528,2897,591,3528,221,1270,550,693,23,11,25,1823,38,245
NL_0450,Uitgeest,10478,4950,8,13,528,522,145,877,159,1037,60,475,205,224,2,9,5,597,8,76
NL_0498,Drechterland,15148,6625,13,13,318,933,226,1223,187,1182,78,436,200,774,7,4,12,919,15,85
NL_0370,Beemster,7659,3728,7,8,218,458,140,927,82,709,53,286,168,102,0,1,2,498,5,64
NL_0431,Oostzaan,7648,3355,9,6,171,236,168,519,119,667,102,314,183,191,4,14,5,595,13,39
NL_0398,Dijk en Waard,42192,15645,26,23,1007,1593,574,2748,692,3099,397,1377,589,843,37,146,25,2135,38,296
NL_0852,Waterland,13666,7255,11,10,458,921,226,1110,178,1686,121,822,348,253,12,5,9,916,18,151
NL_0400,Den Helder,44480,14699,39,23,631,1427,949,1998,528,2909,730,867,593,823,36,24,20,2841,36,225
NL_0416,Langedijk,21731,9773,24,12,586,1051,355,1821,269,1964,423,882,387,486,20,4,9,1268,28,184
NL_0415,Landsmeer,8040,4327,7,8,363,257,149,681,114,1060,66,480,237,160,4,12,7,628,7,87
NL_0361,Alkmaar,84165,36649,72,64,2591,2909,1132,5063,1337,8343,723,5100,2057,1747,42,369,70,4028,104,898
NL_1911,Hollands Kroon,38498,14462,22,33,665,2043,686,2711,428,2738,411,882,452,750,27,10,27,2363,27,187
NL_0383,Castricum,28583,14846,26,28,1270,1627,335,2574,386,3244,202,1903,720,618,16,12,22,1513,33,317
NL_0439,Purmerend,62859,22266,55,55,1295,1554,1299,3069,900,4578,417,1994,1012,1430,43,215,32,3939,65,314
NL_0388,Enkhuizen,14243,5767,17,10,349,508,209,810,318,1342,282,496,253,321,7,36,6,710,6,87
NL_0405,Hoorn,55321,22243,45,52,1549,1708,800,3264,948,4850,458,2454,1085,1330,31,226,43,2875,77,448
NL_0373,Bergen (NH.),24548,12736,17,24,924,1146,370,2366,270,2767,157,1543,789,465,7,16,28,1492,16,339
NL_0420,Medemblik,34177,13831,28,34,733,2162,526,2354,407,2510,588,931,475,834,31,40,18,1909,25,226
