gisco_id,name,registered,turnout,invalid,blank,Komitet Wyborczy Platforma Obywatelska Rzeczypospolitej Polskiej,Komitet Wyborczy Polska Partia Pracy,Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,Koalicyjny Komitet Wyborczy Sojusz Lewicy Demokratycznej - Unia Pracy,Komitet Wyborczy Unii Polityki Realnej,Narodowy Komitet Wyborczy Wyborców,Komitet Wyborczy Inicjatywa dla Polski,Komitet Wyborczy Wyborców Socjaldemokracji Polskiej,Komitet Wyborczy Prawo i Sprawiedliwość,Komitet Wyborczy Liga Polskich Rodzin,"Komitet Wyborczy Wyborców - Ogólnopolski Komitet Obywatelski ""OKO""",Komitet Wyborczy Unii Wolności,Komitet Wyborczy Polskiego Stronnictwa Ludowego,Koalicyjny Komitet Wyborczy KPEiR-PLD,"Komitet Wyborczy Antyklerykalnej Partii Postępu ""Racja""",Komitet Wyborczy Polskiej Partii Narodowej,Komitet Wyborczy Wyborców Konfederacja Ruch Obrony Bezrobotnych,Komitet Wyborczy Wyborców Zieloni 2004,Komitet Wyborczy Narodowego Odrodzenia Polski,"Komitet Wyborczy Wyborców ""Razem dla Przyszłości""",Komitet Wyborczy Demokratycznej Partii Lewicy
PL_0201011,Bolesławiec,34145,6853,191,0,1715,32,490,1043,253,68,80,325,591,1095,25,604,92,65,107,0,16,44,17,0,0
PL_0201022,Bolesławiec,9119,1390,38,0,258,11,289,136,41,14,12,26,109,253,5,97,66,5,8,0,8,3,11,0,0
PL_0201032,Gromadka,4312,694,30,0,78,5,92,53,11,2,12,25,45,182,4,86,48,5,3,0,2,4,7,0,0
PL_0201043,Nowogrodziec,11140,1582,84,0,219,25,365,112,29,6,22,54,130,316,9,44,108,21,15,0,3,13,7,0,0
PL_0201052,Osiecznica,5075,700,37,0,123,10,150,75,26,5,6,22,48,128,3,19,22,6,7,0,2,4,7,0,0
PL_0201062,Warta Bolesławiecka,5817,743,27,0,119,4,176,74,10,9,8,20,61,133,2,29,42,11,9,0,2,4,3,0,0
PL_0202011,Bielawa,26688,4791,157,0,1222,37,644,633,151,33,66,470,361,658,12,128,49,38,70,0,21,19,22,0,0
PL_0202021,Dzierżoniów,29945,6111,149,0,1753,44,748,765,190,72,95,339,475,967,27,198,80,49,65,0,11,41,43,0,0
PL_0202031,Pieszyce,7567,1432,36,0,307,10,256,149,25,12,24,49,94,352,9,31,24,11,26,0,5,8,4,0,0
PL_0202041,Piława Górna,5334,910,46,0,195,10,124,101,20,2,6,31,61,230,6,20,19,9,19,0,1,4,6,0,0
PL_0202052,Dzierżoniów,7727,1529,63,0,270,13,492,115,35,8,28,60,91,229,9,30,41,11,8,0,5,11,10,0,0
PL_0202062,Łagiewniki,5861,969,26,0,177,12,293,69,23,10,11,21,47,155,4,16,80,6,6,0,4,8,1,0,0
PL_0202073,Niemcza,4981,1000,58,0,169,9,199,162,19,1,11,33,49,189,3,29,28,8,13,0,10,5,5,0,0
PL_0203011,Głogów,57763,11493,348,0,2346,57,1334,1382,423,27,94,433,986,1673,41,1784,169,55,232,0,22,60,27,0,0
PL_0203022,Głogów,3967,625,22,0,93,4,165,38,9,0,8,22,39,109,5,68,26,5,6,0,1,1,4,0,0
PL_0203032,Jerzmanowa,2198,358,16,0,28,4,98,39,8,3,7,25,7,33,2,33,41,3,9,0,0,1,1,0,0
PL_0203042,Kotla,3103,528,18,0,44,9,144,42,21,0,6,19,30,92,1,63,29,4,1,0,3,1,1,0,0
PL_0203052,Pęcław,1762,172,9,0,21,1,51,11,7,1,1,7,7,22,0,20,11,0,0,0,0,3,0,0,0
PL_0203062,Żukowice,2689,342,10,0,29,3,119,19,4,0,3,10,20,59,0,10,37,2,15,0,1,0,1,0,0
PL_0204013,Góra,16235,2405,71,0,396,19,569,264,84,41,24,81,169,321,24,102,118,23,28,0,7,13,51,0,0
PL_0204022,Jemielno,2439,362,8,0,18,2,102,18,6,3,3,13,28,40,2,86,18,1,10,0,1,0,3,0,0
PL_0204032,Niechlów,3930,496,22,0,35,6,185,59,10,1,4,9,30,66,1,20,34,5,1,0,1,2,5,0,0
PL_0204043,Wąsosz,5760,728,32,0,94,9,178,74,21,7,7,26,49,152,3,20,29,4,12,0,0,2,9,0,0
PL_0205011,Jawor,20072,3529,83,0,829,23,376,473,259,27,110,156,338,507,16,152,91,17,42,0,6,22,2,0,0
PL_0205023,Bolków,8967,1499,45,0,205,13,350,211,43,42,16,95,82,198,11,51,88,11,17,0,4,12,5,0,0
PL_0205032,Męcinka,3745,474,20,0,47,5,121,32,9,0,24,11,45,81,0,22,46,2,2,0,0,7,0,0,0
