gisco_id,name,registered,turnout,invalid,blank,1 - Komitet Wyborczy Unia Polityki Realnej,2 - Komitet Wyborczy Polskie Stronnictwo Ludowe,3 - Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,4 - Komitet Wyborczy Polska Partia Pracy,5 - Komitet Wyborczy Libertas,6 - Koalicyjny Komitet Wyborczy Sojusz Lewicy Demokratycznej - Unia Pracy,7 - Koalicyjny Komitet Wyborczy Porozumienie dla Przyszłoci - CentroLewica (PD+SDPL+Zieloni 2004),8 - Komitet Wyborczy Prawica Rzeczypospolitej,9 - Komitet Wyborczy Platforma Obywatelska RP,10 - Komitet Wyborczy Prawo i Sprawiedliwoć,11 - Komitet Wyborczy Polska Partia Socjalistyczna,12 - Koalicyjny Komitet Wyborczy Naprzód Polsko - Piast
PL_PLZZAE,United Arab Emirates,86,69,0,0,3,2,0,0,0,4,2,3,45,10,0,0
PL_PLZZAF,Afghanistan,1771,583,22,0,17,30,9,3,9,105,33,17,281,57,0,0
PL_PLZZAL,Albania,15,12,1,0,0,1,0,0,1,1,2,2,4,0,0,0
PL_PLZZAM,Armenia,17,16,0,0,0,0,0,0,0,0,2,0,13,1,0,0
PL_PLZZAO,AO,24,14,1,0,0,1,0,0,0,1,0,1,9,1,0,0
PL_PLZZAR,Argentina,102,86,1,0,5,6,2,3,3,7,7,2,45,5,0,0
PL_PLZZAT,Austria,624,622,4,0,8,21,1,3,1,33,35,25,369,122,0,0
PL_PLZZAU,Australia,90,68,2,0,2,0,0,0,4,1,3,1,33,22,0,0
PL_PLZZAZ,Azerbaijan,24,22,0,0,0,0,0,0,0,2,1,2,13,4,0,0
PL_PLZZBA,Bosnia and Herzegovina,91,76,3,0,1,0,0,0,0,18,3,5,39,7,0,0
PL_PLZZBE,Belgium,2036,1802,10,0,16,26,8,3,11,146,222,52,1076,232,0,0
PL_PLZZBG,Bulgaria,132,123,1,0,2,1,1,0,1,17,5,7,63,25,0,0
PL_PLZZBR,Brazil,100,76,4,0,0,1,2,0,2,2,4,11,37,13,0,0
PL_PLZZBY,Belarus,202,142,2,0,2,3,1,0,0,35,7,13,35,44,0,0
PL_PLZZCA,Canada,1009,781,28,0,5,3,0,0,16,19,20,34,158,498,0,0
PL_PLZZCH,Switzerland,273,219,0,0,7,2,0,0,3,11,10,14,123,49,0,0
PL_PLZZCL,Chile,31,24,0,0,0,0,0,0,0,0,5,0,16,3,0,0
PL_PLZZCN,China,251,202,1,0,6,3,0,0,1,31,16,8,121,15,0,0
PL_PLZZCO,CO,124,78,1,0,3,4,1,1,2,7,6,2,43,8,0,0
PL_PLZZCU,Cuba,123,33,0,0,1,2,0,0,1,4,4,0,21,0,0,0
