gisco_id,name,registered,turnout,invalid,blank,1 - Komitet Wyborczy Solidarna Polska Zbigniewa Ziobro,2 - Komitet Wyborczy Wyborców Ruch Narodowy,3 - Koalicyjny Komitet Wyborczy Sojusz Lewicy Demokratycznej-Unia Pracy,4 - Komitet Wyborczy Prawo i Sprawiedliwość,5 - Koalicyjny Komitet Wyborczy Europa Plus Twój Ruch,6 - Komitet Wyborczy Polska Razem Jarosława Gowina,7 - Komitet Wyborczy Nowa Prawica – Janusza Korwin-Mikke,8 - Komitet Wyborczy Platforma Obywatelska RP,9 - Komitet Wyborczy Polskie Stronnictwo Ludowe,10 - Komitet Wyborczy Demokracja Bezpośrednia,11 - Komitet Wyborczy Samoobrona,12 - Komitet Wyborczy Partia Zieloni
PL_502010101,Bolesławiec,32060,7869,264,0,275,118,1116,1969,541,126,553,2723,184,0,0,0
PL_502010102,Bolesławiec,10864,1976,72,0,76,27,233,505,127,38,204,589,105,0,0,0
PL_502010103,Gromadka,4485,861,45,0,102,7,90,283,26,13,36,203,56,0,0,0
PL_502010104,Nowogrodziec,11969,1604,68,0,106,27,128,567,76,43,117,376,96,0,0,0
PL_502010105,Osiecznica,5303,852,50,0,50,10,134,183,40,18,81,224,62,0,0,0
PL_502010106,Warta Bolesławiecka,6665,972,41,0,60,19,90,312,43,26,54,278,49,0,0,0
PL_502030201,Bielawa,25627,5074,167,0,207,69,775,1427,143,123,362,1639,162,0,0,0
PL_502030202,Dzierżoniów,28245,6847,191,0,281,75,866,1821,186,123,392,2613,299,0,0,0
PL_502030203,Pieszyce,7725,1500,53,0,56,18,141,551,40,35,102,415,89,0,0,0
PL_502030204,Piława Górna,5318,924,40,0,48,10,70,332,28,26,80,240,50,0,0,0
PL_502030205,Dzierżoniów,7739,1449,55,0,85,26,103,460,32,41,85,418,144,0,0,0
PL_502030206,Łagiewniki,6087,973,41,0,51,15,74,330,13,23,67,297,62,0,0,0
PL_502030207,Niemcza,4795,797,31,0,48,12,104,257,18,23,46,195,63,0,0,0
PL_502020301,Głogów,55033,13100,423,0,411,157,1956,4415,358,273,916,3969,222,0,0,0
PL_502020302,Głogów,5042,1027,33,0,45,8,91,388,16,17,92,288,49,0,0,0
PL_502020303,Jerzmanowa,3420,741,32,0,30,7,106,236,10,14,65,195,46,0,0,0
PL_502020304,Kotla,3374,507,34,0,32,3,48,164,17,9,31,143,26,0,0,0
PL_502020305,Pęcław,1791,333,13,0,13,7,26,124,11,4,24,52,59,0,0,0
PL_502020306,Żukowice,2766,356,20,0,22,3,33,121,16,11,14,83,33,0,0,0
PL_502020401,Góra,16419,2486,93,0,101,24,236,659,63,28,167,688,427,0,0,0
PL_502020402,Jemielno,2514,385,21,0,24,7,22,93,7,10,12,77,112,0,0,0
PL_502020403,Niechlów,3974,520,20,0,29,7,43,142,11,8,34,91,135,0,0,0
PL_502020404,Wąsosz,5906,755,37,0,40,8,62,185,12,13,46,184,168,0,0,0
PL_502010501,Jawor,19771,3976,139,0,179,72,483,1166,121,97,233,1222,264,0,0,0
PL_502010502,Bolków,8814,1401,69,0,88,13,250,307,41,23,67,370,173,0,0,0
PL_502010503,Męcinka,3931,553,13,0,31,4,42,213,3,13,34,108,92,0,0,0
PL_502010504,Mściwojów,3295,572,28,0,31,4,68,116,13,4,25,157,126,0,0,0
PL_502010505,Paszowice,3227,446,17,0,20,10,37,130,12,8,37,111,64,0,0,0
PL_502010506,Wądroże Wielkie,3262,401,17,0,25,8,31,102,10,4,14,75,115,0,0,0
PL_502010601,Karpacz,4132,1018,20,0,24,10,125,180,38,19,63,509,30,0,0,0
PL_502010602,Kowary,9246,1898,128,0,96,28,278,432,80,35,96,678,47,0,0,0
PL_502010603,Piechowice,5280,1190,54,0,39,16,157,275,48,24,98,407,72,0,0,0
PL_502010604,Szklarska Poręba,5610,1296,41,0,60,18,174,270,42,19,78,535,59,0,0,0
PL_502010605,Janowice Wielkie,3561,682,31,0,26,10,70,164,23,11,41,274,32,0,0,0
PL_502010606,Jeżów Sudecki,5581,1165,34,0,41,6,141,280,34,32,64,454,79,0,0,0
PL_502010607,Mysłakowice,8197,1481,61,0,88,16,170,358,47,48,100,525,68,0,0,0
PL_502010608,Podgórzyn,6634,1371,55,0,56,12,231,310,64,35,85,483,40,0,0,0
PL_502010609,Stara Kamienica,4244,669,37,0,27,12,121,156,22,16,44,193,41,0,0,0
PL_502010701,Kamienna Góra,16705,3462,125,0,111,52,503,1092,111,51,176,1192,49,0,0,0
PL_502010702,Kamienna Góra,7013,1307,60,0,88,19,100,441,37,32,65,401,64,0,0,0
PL_502010703,Lubawka,9281,1810,83,0,75,24,254,475,70,45,101,638,45,0,0,0
PL_502010704,Marciszów,3765,552,32,0,18,7,57,155,17,20,20,174,52,0,0,0
PL_502030801,Duszniki-Zdrój,4139,926,31,0,35,10,108,227,48,23,48,372,24,0,0,0
PL_502030802,Kłodzko,23028,5149,155,0,184,50,656,1287,137,141,310,2071,158,0,0,0
PL_502030803,Kudowa-Zdrój,8404,1985,57,0,114,57,206,584,66,44,110,689,58,0,0,0
PL_502030804,Nowa Ruda,19405,3434,94,0,118,37,629,797,89,56,238,1288,88,0,0,0
PL_502030805,Polanica-Zdrój,5737,1447,63,0,45,7,129,432,45,20,109,571,26,0,0,0
PL_502030806,Bystrzyca Kłodzka,16137,2956,115,0,151,41,279,891,97,85,152,976,169,0,0,0
PL_502030807,Kłodzko,13839,2544,146,0,167,32,211,668,58,70,134,644,414,0,0,0
PL_502030808,Lądek-Zdrój,7172,1442,52,0,71,26,269,334,39,37,104,446,64,0,0,0
PL_502030809,Lewin Kłodzki,1614,225,5,0,6,5,29,80,8,5,18,59,10,0,0,0
PL_502030810,Międzylesie,6064,953,42,0,61,13,121,226,41,18,62,306,63,0,0,0
PL_502030811,Nowa Ruda,9894,1528,71,0,75,14,209,397,44,27,95,512,84,0,0,0
PL_502030812,Radków,7546,1337,67,0,72,14,126,501,27,16,63,359,92,0,0,0
PL_502030813,Stronie Śląskie,6143,1062,47,0,44,22,261,189,37,22,64,350,26,0,0,0
PL_502030814,Szczytna,5998,967,60,0,46,12,112,242,35,15,47,365,33,0,0,0
PL_502020901,Chojnów,11315,2047,78,0,98,28,253,628,48,35,150,666,63,0,0,0
PL_502020902,Chojnów,7652,1150,46,0,69,30,97,414,22,26,80,208,158,0,0,0
PL_502020903,Krotoszyce,2539,454,14,0,36,8,36,176,10,5,19,112,38,0,0,0
PL_502020904,Kunice,4856,1079,37,0,38,6,129,249,38,28,62,381,111,0,0,0
PL_502020905,Legnickie Pole,3736,728,32,0,42,15,70,216,21,25,64,177,66,0,0,0
PL_502020906,Miłkowice,5060,914,43,0,49,18,103,272,41,26,46,229,87,0,0,0
PL_502020907,Prochowice,6049,1266,55,0,46,16,55,311,32,17,74,310,350,0,0,0
PL_502020908,Ruja,2058,287,9,0,26,6,31,77,12,13,15,63,35,0,0,0
PL_502011001,Lubań,18015,3751,143,0,270,46,769,842,123,60,183,1236,79,0,0,0
PL_502011002,Świeradów-Zdrój,3679,793,27,0,32,13,101,184,28,22,77,286,23,0,0,0
PL_502011003,Leśna,8295,1367,50,0,76,30,204,345,39,26,77,437,83,0,0,0
PL_502011004,Lubań,5219,777,36,0,90,12,108,193,14,18,52,187,67,0,0,0
PL_502011005,Olszyna,5411,870,41,0,50,6,166,197,18,15,68,255,54,0,0,0
PL_502011006,Platerówka,1332,218,11,0,20,9,19,85,11,0,13,40,10,0,0,0
PL_502011007,Siekierczyn,4097,739,51,0,45,6,86,203,42,12,37,205,52,0,0,0
PL_502021101,Lubin,59779,14592,419,0,447,249,1607,5522,480,257,912,4298,401,0,0,0
PL_502021102,Lubin,11263,2323,64,0,69,38,271,818,66,55,162,629,151,0,0,0
PL_502021103,Rudna,6029,1205,59,0,49,19,159,497,23,33,62,223,81,0,0,0
PL_502021104,Ścinawa,8215,1577,50,0,43,22,96,692,31,24,114,405,100,0,0,0
PL_502011201,Gryfów Śląski,8269,1434,77,0,95,13,275,363,40,21,81,396,73,0,0,0
PL_502011202,Lubomierz,4890,735,39,0,48,25,101,171,19,17,32,226,57,0,0,0
PL_502011203,Lwówek Śląski,14309,2422,92,0,118,31,275,630,109,39,194,813,121,0,0,0
PL_502011204,Mirsk,7181,1136,57,0,64,28,131,313,44,27,79,311,82,0,0,0
PL_502011205,Wleń,3647,694,40,0,29,12,72,202,41,11,42,200,45,0,0,0
PL_502041301,Cieszków,3774,614,32,0,31,5,59,219,5,8,44,141,70,0,0,0
PL_502041302,Krośnice,6412,1045,54,0,187,8,89,286,23,24,54,245,75,0,0,0
PL_502041303,Milicz,19575,3651,114,0,267,36,402,1087,102,84,209,1171,179,0,0,0
PL_502041401,Oleśnica,30341,7230,193,0,376,79,897,1934,198,162,564,2721,106,0,0,0
PL_502041402,Bierutów,8144,1391,57,0,97,10,333,380,17,18,99,325,55,0,0,0
PL_502041403,Dobroszyce,5087,762,33,0,50,11,71,217,11,17,74,237,41,0,0,0
PL_502041404,Dziadowa Kłoda,3640,486,25,0,106,5,52,54,15,9,19,142,59,0,0,0
PL_502041405,Międzybórz,4021,568,30,0,64,14,54,81,11,10,33,216,55,0,0,0
PL_502041406,Oleśnica,9880,1486,58,0,160,18,135,381,48,46,95,457,88,0,0,0
PL_502041407,Syców,13346,2631,115,0,561,21,292,354,63,38,162,900,125,0,0,0
PL_502041408,Twardogóra,10460,1654,69,0,154,16,173,421,40,32,109,575,65,0,0,0
PL_502041501,Oława,25796,6592,207,0,253,84,810,1830,142,132,471,2556,107,0,0,0
PL_502041502,Domaniów,4168,662,33,0,34,17,47,214,13,18,32,171,83,0,0,0
PL_502041503,Jelcz-Laskowice,18113,3865,109,0,209,45,357,1322,74,104,276,1281,88,0,0,0
PL_502041504,Oława,11729,2311,75,0,125,36,214,749,48,55,183,724,102,0,0,0
PL_502021601,Chocianów,10287,2111,77,0,109,33,157,923,53,42,166,444,107,0,0,0
PL_502021602,Gaworzyce,3088,624,46,0,27,4,59,253,16,10,22,97,90,0,0,0
PL_502021603,Grębocice,4142,669,47,0,20,20,55,249,11,6,39,144,78,0,0,0
PL_502021604,Polkowice,20945,4650,201,0,151,51,470,2012,118,89,310,1156,92,0,0,0
PL_502021605,Przemków,7075,1147,41,0,68,11,117,438,28,26,79,284,55,0,0,0
PL_502021606,Radwanice,3696,625,26,0,39,6,87,185,26,4,31,135,86,0,0,0
PL_502041701,Borów,4326,811,24,0,42,12,48,308,11,17,51,177,121,0,0,0
PL_502041702,Kondratowice,3647,581,31,0,22,6,39,188,13,16,35,162,69,0,0,0
PL_502041703,Przeworno,4116,607,34,0,36,4,52,204,22,11,30,124,90,0,0,0
PL_502041704,Strzelin,18602,3943,125,0,131,42,492,1040,122,47,221,1171,552,0,0,0
PL_502041705,Wiązów,5965,979,56,0,81,15,58,388,12,54,52,177,86,0,0,0
PL_502041801,Kostomłoty,5761,876,27,0,43,7,85,310,20,20,61,210,93,0,0,0
PL_502041802,Malczyce,4803,707,33,0,40,13,69,195,8,18,64,222,45,0,0,0
PL_502041803,Miękinia,10804,2392,66,0,96,33,237,583,75,65,231,931,75,0,0,0
PL_502041804,Środa Śląska,15646,2622,83,0,112,43,313,632,84,51,197,954,153,0,0,0
PL_502041805,Udanin,4468,699,29,0,46,8,66,212,24,19,39,117,139,0,0,0
PL_502031901,Świdnica,48237,11834,337,0,478,137,1413,2953,396,218,814,4886,202,0,0,0
PL_502031902,Świebodzice,18585,3870,138,0,144,32,563,1054,126,51,225,1470,67,0,0,0
PL_502031903,Dobromierz,4320,639,26,0,33,11,51,243,13,12,30,182,38,0,0,0
PL_502031904,Jaworzyna Śląska,8393,1429,74,0,84,15,117,471,44,33,93,443,55,0,0,0
PL_502031905,Marcinowice,5188,983,28,0,71,12,73,344,19,22,78,224,112,0,0,0
PL_502031906,Strzegom,21805,3837,142,0,154,41,409,1156,99,61,293,1378,104,0,0,0
PL_502031907,Świdnica,13268,2346,82,0,105,29,243,661,66,54,165,815,126,0,0,0
PL_502031908,Żarów,10158,1867,85,0,85,31,186,490,48,47,146,689,60,0,0,0
PL_502042001,Oborniki Śląskie,15522,3985,140,0,166,56,441,1009,104,105,240,1548,176,0,0,0
