gisco_id,name,registered,turnout,invalid,blank,KO,LR,TD,KON,NK,POLEXIT,PL!SP,PiS,RNP,BS,GSP
PL_1007141286501,Warszawa,1333182,776032,2741,0,372411,92655,54120,78677,2,1709,0,165772,5,7795,0
PL_1003021010101,Bolesławiec,28497,11356,71,0,4974,943,533,1235,0,34,0,3434,0,132,0
PL_1003021010102,Bolesławiec,11483,4176,30,0,1391,208,220,644,0,11,0,1620,0,52,0
PL_1003021010103,Gromadka,4092,1293,12,0,307,53,45,169,0,2,0,686,0,19,0
PL_1003021010104,Nowogrodziec,11370,3305,35,0,725,130,180,548,0,17,0,1625,0,45,0
PL_1003021010105,Osiecznica,5196,1537,18,0,525,80,78,237,0,6,0,564,0,29,0
PL_1003021010106,Warta Bolesławiecka,6489,2043,30,0,550,114,67,343,0,4,0,916,0,19,0
PL_1003021030201,Bielawa,22118,7993,53,0,3150,564,452,847,0,13,0,2818,0,95,0
PL_1003021030202,Dzierżoniów,23755,9760,55,0,4262,628,440,1015,0,23,0,3244,0,92,0
PL_1003021030203,Pieszyce,6990,2426,24,0,858,135,115,285,0,13,0,963,0,33,0
PL_1003021030204,Piława Górna,4610,1442,9,0,434,83,117,186,0,8,0,592,0,13,0
PL_1003021030205,Dzierżoniów,7116,2842,36,0,859,106,212,368,0,7,0,1209,0,45,0
PL_1003021030206,Łagiewniki,5745,2037,14,0,500,88,92,230,0,7,0,1090,0,16,0
PL_1003021030207,Niemcza,4121,1383,14,0,461,71,58,164,0,0,0,593,0,22,0
PL_1003021020301,Głogów,47715,18847,110,0,6787,2280,843,2044,0,53,0,6544,0,186,0
PL_1003021020302,Głogów,5441,2079,7,0,677,159,102,296,0,3,0,813,0,22,0
PL_1003021020303,Jerzmanowa,4321,1771,10,0,577,211,117,237,0,6,0,600,0,13,0
PL_1003021020304,Kotla,3393,1085,9,0,308,76,37,156,0,4,0,485,0,10,0
PL_1003021020305,Pęcław,1683,556,1,0,96,30,43,95,0,3,0,282,0,6,0
PL_1003021020306,Żukowice,2615,841,7,0,196,52,43,144,0,5,0,378,0,16,0
PL_1003021020401,Góra,14621,4416,34,0,1586,363,217,500,0,14,0,1659,0,43,0
PL_1003021020402,Jemielno,2233,634,4,0,125,56,25,123,0,0,0,291,0,10,0
PL_1003021020403,Niechlów,3609,1006,11,0,167,61,45,157,0,3,0,546,0,16,0
PL_1003021020404,Wąsosz,5488,1686,18,0,531,126,80,230,0,9,0,673,0,19,0
PL_1003021010501,Jawor,16733,6488,50,0,2628,374,218,652,0,14,0,2492,0,60,0
PL_1003021010502,Bolków,7808,2502,22,0,915,139,137,288,0,13,0,957,0,31,0
PL_1003021010503,Męcinka,3962,1403,9,0,386,68,67,209,0,5,0,643,0,16,0
PL_1003021010504,Mściwojów,3051,1043,7,0,395,37,42,120,0,4,0,430,0,8,0
PL_1003021010505,Paszowice,3244,1163,7,0,371,46,60,192,0,3,0,474,0,10,0
PL_1003021010506,Wądroże Wielkie,3041,946,7,0,269,28,84,149,0,2,0,402,0,5,0
PL_1003021010601,Karpacz,4074,1884,5,0,962,191,116,185,0,3,0,401,0,21,0
PL_1003021010602,Kowary,7823,2905,20,0,1228,370,170,240,0,11,0,807,0,59,0
PL_1003021010603,Piechowice,4590,1771,14,0,761,171,102,188,0,13,0,493,0,29,0
PL_1003021010604,Szklarska Poręba,4907,2124,15,0,979,208,122,204,0,9,0,559,0,28,0
PL_1003021010605,Janowice Wielkie,3333,1223,9,0,538,115,60,115,0,7,0,362,0,17,0
PL_1003021010606,Jeżów Sudecki,6049,2313,7,0,1134,173,163,249,0,4,0,553,0,30,0
PL_1003021010607,Mysłakowice,7672,2860,26,0,1210,207,203,309,0,7,0,846,0,52,0
PL_1003021010608,Podgórzyn,6396,2504,16,0,1224,209,123,261,0,1,0,626,0,44,0
PL_1003021010609,Stara Kamienica,4062,1322,17,0,497,91,73,155,0,11,0,463,0,15,0
PL_1003021010701,Kamienna Góra,13822,4856,31,0,2103,454,150,403,0,14,0,1656,0,45,0
PL_1003021010702,Kamienna Góra,6794,2515,26,0,904,145,107,275,0,4,0,1008,0,46,0
PL_1003021010703,Lubawka,8367,2900,17,0,1225,209,140,282,0,10,0,984,0,33,0
PL_1003021010704,Marciszów,3430,1020,7,0,392,73,42,101,0,7,0,387,0,11,0
PL_1003021030801,Duszniki-Zdrój,3582,1483,11,0,655,102,64,136,0,4,0,488,0,23,0
PL_1003021030802,Kłodzko,19876,7784,62,0,3570,462,406,719,0,21,0,2446,0,98,0
PL_1003021030803,Kudowa-Zdrój,7943,3382,28,0,1465,235,146,309,0,13,0,1156,0,30,0
PL_1003021030804,Nowa Ruda,16125,5270,35,0,2482,389,206,482,0,8,0,1616,0,52,0
PL_1003021030805,Polanica-Zdrój,5332,2406,10,0,1157,161,143,177,0,3,0,730,0,25,0
PL_1003021030806,Bystrzyca Kłodzka,14196,5117,33,0,1994,293,202,522,0,11,0,2030,0,32,0
PL_1003021030807,Kłodzko,13073,4231,41,0,1232,182,403,500,0,8,0,1819,0,46,0
PL_1003021030808,Lądek-Zdrój,6514,2367,9,0,934,176,168,202,0,3,0,846,0,29,0
PL_1003021030809,Lewin Kłodzki,1579,554,5,0,207,35,35,62,0,1,0,204,0,5,0
PL_1003021030810,Międzylesie,5510,1808,13,0,663,110,96,176,0,9,0,717,0,24,0
PL_1003021030811,Nowa Ruda,8732,2839,30,0,1063,187,171,335,0,11,0,1014,0,28,0
PL_1003021030812,Radków,6827,2196,18,0,728,113,106,281,0,5,0,926,0,19,0
PL_1003021030813,Stronie Śląskie,5537,1896,14,0,801,173,114,192,0,9,0,559,0,34,0
PL_1003021030814,Szczytna,5506,1834,12,0,764,94,101,219,0,8,0,615,0,21,0
PL_1003021020901,Chojnów,9568,3437,20,0,1286,230,128,405,0,17,0,1324,0,27,0
PL_1003021020902,Chojnów,7216,2421,27,0,647,102,131,346,0,11,0,1125,0,32,0
PL_1003021020903,Krotoszyce,2566,961,12,0,287,44,36,136,0,2,0,431,0,13,0
PL_1003021020904,Kunice,5710,2524,14,0,1037,132,135,372,0,10,0,807,0,17,0
PL_1003021020905,Legnickie Pole,3889,1537,15,0,449,55,67,249,0,4,0,680,0,18,0
PL_1003021020906,Miłkowice,5441,2110,15,0,702,130,103,340,0,6,0,786,0,28,0
PL_1003021020907,Prochowice,5584,1943,10,0,623,91,116,256,0,7,0,817,0,23,0
PL_1003021020908,Ruja,1950,545,2,0,127,28,23,73,0,1,0,283,0,8,0
PL_1003021011001,Lubań,15300,5752,35,0,2377,555,245,513,0,10,0,1848,0,169,0
PL_1003021011002,Świeradów-Zdrój,3362,1472,10,0,664,118,77,126,0,3,0,456,0,18,0
PL_1003021011003,Leśna,7374,2295,24,0,761,186,138,302,0,10,0,838,0,36,0
PL_1003021011004,Lubań,5023,1558,20,0,473,117,124,196,0,9,0,577,0,42,0
PL_1003021011005,Olszyna,4991,1527,8,0,521,174,77,218,0,5,0,505,0,19,0
PL_1003021011006,Platerówka,1221,442,3,0,106,34,16,60,0,1,0,212,0,10,0
PL_1003021011007,Siekierczyn,3902,1235,10,0,382,102,86,134,0,4,0,502,0,15,0
PL_1003021021101,Lubin,51662,21703,145,0,7502,1722,973,2395,0,53,0,8458,0,455,0
PL_1003021021102,Lubin,13498,5666,33,0,1844,418,313,906,0,17,0,2028,0,107,0
PL_1003021021103,Rudna,5989,2293,22,0,531,122,123,337,0,11,0,1100,0,47,0
PL_1003021021104,Ścinawa,7426,2840,24,0,636,165,113,314,0,2,0,1542,0,44,0
PL_1003021011201,Gryfów Śląski,7185,2233,16,0,802,248,124,242,0,7,0,762,0,32,0
PL_1003021011202,Lubomierz,4524,1442,16,0,492,86,82,192,0,6,0,542,0,26,0
PL_1003021011203,Lwówek Śląski,12813,4343,27,0,1654,322,256,516,0,11,0,1484,0,73,0
PL_1003021011204,Mirsk,6568,2023,17,0,743,134,121,229,0,6,0,739,0,34,0
PL_1003021011205,Wleń,3250,1117,13,0,377,87,80,120,0,8,0,418,0,14,0
PL_1003021041301,Cieszków,3590,1109,4,0,243,113,76,184,0,1,0,477,0,11,0
PL_1003021041302,Krośnice,6250,1924,16,0,480,125,109,293,0,2,0,879,0,20,0
PL_1003021041303,Milicz,18424,6245,46,0,1997,691,296,712,0,17,0,2425,0,61,0
PL_1003021041401,Oleśnica,27209,11243,68,0,4553,1266,538,1207,0,25,0,3471,0,115,0
PL_1003021041402,Bierutów,7367,2604,23,0,792,191,128,339,0,15,0,1090,0,26,0
PL_1003021041403,Dobroszyce,5524,1950,16,0,646,120,116,289,0,3,0,728,0,31,0
PL_1003021041404,Dziadowa Kłoda,3475,960,9,0,270,63,90,103,0,1,0,414,0,10,0
PL_1003021041405,Międzybórz,3947,1104,11,0,385,57,66,164,0,5,0,397,0,19,0
PL_1003021041406,Oleśnica,11481,4092,26,0,1424,269,231,633,0,18,0,1440,0,51,0
PL_1003021041407,Syców,12929,4633,31,0,1808,405,316,608,0,8,0,1388,0,69,0
PL_1003021041408,Twardogóra,9923,3259,33,0,1183,209,115,403,0,6,0,1282,0,27,0
PL_1003021041501,Oława,24411,10583,54,0,4485,850,470,1261,0,27,0,3283,0,153,0
PL_1003021041502,Domaniów,4032,1506,11,0,430,82,62,276,0,6,0,619,0,20,0
PL_1003021041503,Jelcz-Laskowice,17595,7271,34,0,2650,475,259,1018,0,17,0,2742,0,76,0
PL_1003021041504,Oława,12011,4895,27,0,1585,291,209,865,0,17,0,1824,0,77,0
PL_1003021021601,Chocianów,9594,3543,25,0,801,152,130,551,0,11,0,1823,0,50,0
PL_1003021021602,Gaworzyce,2910,1126,7,0,253,72,48,164,0,6,0,561,0,15,0
PL_1003021021603,Grębocice,4166,1376,27,0,280,72,68,240,0,7,0,665,0,17,0
PL_1003021021604,Polkowice,19853,7078,66,0,2090,546,383,940,0,15,0,2951,0,87,0
PL_1003021021605,Przemków,6163,2024,19,0,433,132,110,289,0,10,0,998,0,33,0
PL_1003021021606,Radwanice,3879,1428,12,0,353,82,81,223,0,6,0,652,0,19,0
PL_1003021041701,Borów,4120,1599,9,0,351,111,86,224,0,3,0,796,0,19,0
PL_1003021041702,Kondratowice,3344,1126,7,0,306,89,22,137,0,2,0,559,0,4,0
PL_1003021041703,Przeworno,3719,1294,12,0,300,138,36,180,0,5,0,609,0,14,0
PL_1003021041704,Strzelin,17501,6977,67,0,2240,1086,260,848,0,12,0,2394,0,70,0
PL_1003021041705,Wiązów,5480,1920,16,0,419,132,66,276,0,2,0,990,0,19,0
PL_1003021041801,Kostomłoty,5592,2063,20,0,478,104,206,284,0,4,0,950,0,17,0
PL_1003021041802,Malczyce,4490,1526,19,0,487,90,55,206,0,11,0,641,0,17,0
PL_1003021041803,Miękinia,14775,6756,39,0,2834,577,341,1066,0,20,0,1798,0,81,0
PL_1003021041804,Środa Śląska,15065,5799,43,0,2273,321,293,771,0,20,0,2011,0,67,0
PL_1003021041805,Udanin,3966,1507,11,0,293,56,67,219,0,4,0,842,0,15,0
PL_1003021031901,Świdnica,40997,17465,93,0,7591,2088,661,1719,0,30,0,5082,0,201,0
PL_1003021031902,Świebodzice,16778,6565,32,0,3070,477,208,642,0,9,0,2027,0,100,0
PL_1003021031903,Dobromierz,3950,1470,13,0,475,63,54,183,0,7,0,654,0,21,0
PL_1003021031904,Jaworzyna Śląska,7900,2852,22,0,907,177,150,338,0,11,0,1218,0,29,0
PL_1003021031905,Marcinowice,5148,2114,19,0,570,107,91,298,0,4,0,1001,0,24,0
PL_1003021031906,Strzegom,19237,6871,50,0,2542,341,212,745,0,20,0,2896,0,63,0
PL_1003021031907,Świdnica,13617,5121,18,0,1886,379,288,612,0,19,0,1842,0,77,0
PL_1003021031908,Żarów,9482,3489,57,0,1221,283,136,443,0,7,0,1290,0,52,0
PL_1003021042001,Oborniki Śląskie,16181,7562,43,0,3208,679,271,952,0,31,0,2304,0,74,0
PL_1003021042002,Prusice,7348,2630,32,0,721,104,106,499,0,8,0,1134,0,26,0
PL_1003021042003,Trzebnica,18795,8296,53,0,3245,582,294,1125,0,29,0,2877,0,91,0
PL_1003021042004,Wisznia Mała,8726,4276,23,0,1719,309,215,534,0,13,0,1419,0,44,0
PL_1003021042005,Zawonia,4729,1648,11,0,588,103,62,255,0,7,0,599,0,22,0
PL_1003021042006,Żmigród,11195,3813,40,0,1259,285,224,505,0,13,0,1429,0,58,0
PL_1003021032101,Boguszów-Gorce,10946,3252,13,0,1527,211,133,304,0,28,0,1002,0,34,0
PL_1003021032102,Jedlina-Zdrój,3474,1332,3,0,673,102,33,143,0,1,0,364,0,13,0
PL_1003021032103,Szczawno-Zdrój,4350,2220,16,0,1260,185,48,161,0,5,0,536,0,9,0
PL_1003021032104,Czarny Bór,3819,1371,19,0,484,72,54,164,0,4,0,555,0,19,0
PL_1003021032105,Głuszyca,6447,2193,23,0,1100,124,71,209,0,5,0,647,0,14,0
PL_1003021032106,Mieroszów,4954,1687,9,0,812,99,51,159,0,4,0,530,0,23,0
PL_1003021032107,Stare Bogaczowice,3383,1326,5,0,608,102,44,115,0,9,0,428,0,15,0
PL_1003021032108,Walim,4310,1491,14,0,672,91,65,160,0,4,0,464,0,21,0
PL_1003021042201,Brzeg Dolny,12272,4838,44,0,1922,471,183,568,0,7,0,1572,0,69,0
PL_1003021042202,Wińsko,6477,2142,20,0,413,126,82,299,0,10,0,1155,0,37,0
PL_1003021042203,Wołów,18087,6760,60,0,2398,532,268,873,0,9,0,2540,0,79,0
PL_1003021042301,Czernica,15464,8088,33,0,3805,746,376,1172,0,17,0,1814,0,125,0
PL_1003021042302,Długołęka,28603,14329,68,0,6300,1294,826,1953,0,29,0,3668,0,172,0
PL_1003021042303,Jordanów Śląski,2536,1038,12,0,293,52,44,203,0,6,0,409,0,19,0
PL_1003021042304,Kąty Wrocławskie,20335,9502,36,0,4141,840,439,1313,0,22,0,2573,0,137,0
PL_1003021042305,Kobierzyce,16536,8288,39,0,4090,713,467,1033,0,13,0,1837,0,96,0
PL_1003021042306,Mietków,3070,1176,4,0,391,73,82,156,0,3,0,448,0,19,0
PL_1003021042307,Sobótka,10113,4055,19,0,1443,273,161,605,0,12,0,1486,0,56,0
PL_1003021042308,Siechnice,19323,9778,35,0,4451,841,564,1476,0,25,0,2261,0,124,0
