gisco_id,name,registered,turnout,invalid,blank,PPD/PSD.CDS-PP,PS,B.E.,PDA,PCP-PEV,PCTP/MRPP,MD,POUS,PND,PPM,P.N.R.,MPT,P.H.
PT_010101,Agadão,507,155,3,1,102,43,1,1,1,1,1,1,0,0,0,0,0
PT_010102,Aguada De Baixo,1477,452,5,13,255,127,18,0,9,2,2,0,6,9,0,2,4
PT_010103,Aguada De Cima,3283,909,13,34,480,314,20,3,22,6,1,2,7,6,0,1,0
PT_010104,Águeda,10050,3367,35,86,1226,1622,129,3,162,24,7,0,36,12,4,10,11
PT_010105,Barrô,1448,459,11,26,216,163,17,1,6,1,2,1,5,5,0,2,3
PT_010106,Belazaima Do Chão,522,210,1,5,69,124,5,1,1,0,1,0,2,0,0,1,0
PT_010107,Castanheira Do Vouga,616,219,2,13,130,61,2,0,0,0,1,0,6,2,1,0,1
PT_010108,Espinhel,2406,705,5,18,249,379,15,0,17,6,1,0,7,1,2,4,1
PT_010109,Fermentelos,2440,1019,8,18,781,153,20,1,13,4,3,1,6,6,0,2,3
PT_010110,Lamas Do Vouga,686,258,4,10,87,140,1,2,6,1,1,0,1,0,3,2,0
PT_010111,Macieira De Alcoba,142,62,2,1,37,18,1,0,1,1,1,0,0,0,0,0,0
PT_010112,Macinhata Do Vouga,2921,860,6,23,345,400,23,1,40,4,0,0,8,4,1,1,4
PT_010113,Óis Da Ribeira,631,320,4,25,123,139,7,2,6,3,0,0,6,1,1,1,2
PT_010114,Préstimo,887,241,7,6,121,76,3,0,12,1,1,3,2,5,1,1,2
PT_010115,Recardães,2490,992,9,26,360,493,33,5,39,6,2,0,10,5,1,2,1
PT_010116,Segadães,736,233,1,11,104,95,4,1,4,4,0,0,4,0,0,3,2
PT_010117,Travassô,1400,530,2,22,262,197,20,3,5,4,0,0,6,2,2,2,3
PT_010118,Trofa,2391,947,12,37,352,415,38,0,63,10,1,1,7,2,3,3,3
PT_010119,Valongo Do Vouga,4206,1263,19,44,450,599,26,3,80,14,6,2,10,3,1,2,4
PT_010120,Borralha,1838,702,5,23,257,359,17,1,23,6,4,0,2,4,1,0,0
PT_010201,Albergaria-a-Velha,5995,2027,30,76,925,766,107,3,57,13,7,1,27,9,0,3,3
PT_010202,Alquerubim,1993,659,13,17,315,265,14,1,11,4,2,2,7,2,3,1,2
PT_010203,Angeja,1879,703,7,16,262,301,34,4,49,9,0,1,10,4,2,1,3
PT_010204,Branca,4129,1441,19,59,720,496,43,4,39,10,5,2,25,6,6,4,3
PT_010205,Frossos,801,306,4,4,157,115,7,0,8,3,2,1,3,2,0,0,0
PT_010206,Ribeira De Fráguas,1516,617,9,26,292,235,13,1,7,3,2,1,14,5,2,5,2
PT_010207,São João De Loure,1782,668,11,17,390,185,16,1,14,5,1,1,13,5,1,3,5
PT_010208,Valmaior,1676,591,7,14,265,232,17,2,27,8,3,0,10,4,0,0,2
PT_010301,Amoreira Da Gândara,1135,412,10,17,240,106,7,4,3,6,3,1,6,2,1,2,4
PT_010302,Ancas,728,289,4,15,157,83,4,1,7,2,0,1,7,5,1,1,1
PT_010303,Arcos,4369,1632,15,68,676,642,97,2,78,8,7,1,19,4,2,7,6
PT_010304,Avelãs De Caminho,1089,375,5,11,182,141,15,2,8,1,0,0,3,3,3,0,1
PT_010305,Avelãs De Cima,1982,690,10,24,468,136,15,0,7,2,3,0,12,3,0,8,2
PT_010306,Mogofores,948,397,7,17,155,172,19,0,11,0,1,0,6,2,4,1,2
PT_010307,Moita,2264,724,8,29,366,247,36,2,15,2,4,2,6,4,1,1,1
PT_010308,Óis Do Bairro,436,188,1,8,95,67,11,0,0,0,0,1,4,1,0,0,0
PT_010309,Sangalhos,3966,1427,24,74,689,458,61,1,44,20,10,2,15,16,5,3,5
PT_010310,São Lourenço Do Bairro,2091,642,14,15,324,236,17,2,6,4,1,2,8,2,1,3,7
PT_010311,Tamengos,1323,525,5,22,279,179,14,1,3,1,2,0,7,8,1,1,2
PT_010312,Vila Nova De Monsarros,1638,373,8,12,156,167,8,0,5,4,0,0,3,2,2,2,4
PT_010313,Vilarinho Do Bairro,2784,881,15,33,586,179,16,8,10,2,9,0,12,3,1,3,4
PT_010314,Paredes Do Bairro,1025,433,5,23,298,78,5,0,3,3,1,1,10,3,2,0,1
PT_010315,Aguim,1054,359,1,8,166,155,13,1,6,1,0,0,5,0,0,1,2
PT_010401,Albergaria Da Serra,160,50,1,1,14,32,0,0,1,0,1,0,0,0,0,0,0
PT_010402,Alvarenga,1325,509,7,20,287,149,9,1,14,2,3,2,2,3,1,2,7
PT_010403,Arouca,2310,916,15,36,402,375,33,1,17,9,0,0,11,7,1,3,6
PT_010404,Burgo,1792,627,12,19,309,232,24,2,8,3,1,1,13,1,0,0,2
PT_010405,Cabreiros,213,66,1,1,35,19,2,1,0,3,0,3,0,0,0,0,1
PT_010406,Canelas,676,169,0,2,108,45,4,0,7,0,1,0,0,1,0,0,1
PT_010407,Chave,1083,416,2,15,168,162,22,0,5,1,1,1,12,20,3,2,2
PT_010408,Covelo de Paivó,159,46,1,0,27,15,0,0,2,0,0,0,1,0,0,0,0
PT_010409,Escariz,1747,530,2,3,320,172,7,1,5,3,3,1,4,2,3,4,0
PT_010410,Espiunca,444,151,3,0,93,44,0,1,2,2,0,0,1,2,1,1,1
PT_010411,Fermedo,1269,419,4,4,226,144,6,2,18,1,0,1,4,3,2,3,1
PT_010412,Janarde,167,45,0,1,32,10,1,0,0,0,0,0,1,0,0,0,0
PT_010413,Mansores,958,326,4,5,213,81,3,1,2,3,1,2,2,3,2,2,2
PT_010414,Moldes,1237,397,6,9,159,181,14,1,7,0,0,1,5,7,3,0,4
PT_010415,Rossas,1364,386,2,11,216,111,7,1,19,2,1,1,10,3,0,0,2
PT_010416,Santa Eulália,1983,630,4,20,337,224,14,1,7,3,2,0,8,3,0,3,4
PT_010417,São Miguel Do Mato,742,203,0,4,142,45,3,1,1,0,2,0,4,0,0,1,0
PT_010418,Tropeço,1021,269,7,8,167,70,5,0,5,2,0,0,0,1,2,1,1
PT_010419,Urrô,1054,295,6,8,176,81,8,1,7,1,2,4,0,0,0,0,1
PT_010420,Várzea,444,196,5,4,123,58,0,0,0,0,0,2,2,0,0,1,1
PT_010501,Aradas,6642,2397,24,90,1180,848,111,6,69,13,9,2,12,7,5,9,12
PT_010502,Cacia,5468,1943,24,88,653,893,112,2,86,13,8,3,20,15,4,12,10
PT_010503,Eirol,609,289,2,12,161,85,4,1,7,2,3,1,6,3,0,1,1
PT_010504,Eixo,3958,1344,13,48,553,540,66,1,66,15,3,3,16,7,3,4,6
PT_010505,Esgueira,9384,3694,45,127,1183,1754,245,2,190,34,12,3,39,20,15,17,8
PT_010506,Glória,8984,4045,40,138,1572,1619,344,4,199,16,10,3,45,27,10,14,4
PT_010507,Nariz,1150,392,11,10,258,74,11,2,6,4,1,0,5,0,3,3,4
PT_010508,Oliveirinha,4138,1433,21,41,876,383,40,4,12,6,7,3,16,9,1,6,8
PT_010509,Requeixo,1015,320,5,9,206,72,6,1,4,6,1,0,1,3,0,4,2
PT_010510,São Bernardo,3572,1479,11,55,749,460,99,1,41,7,9,2,20,5,6,7,7
PT_010511,São Jacinto,842,283,4,5,70,172,9,1,14,1,1,0,3,1,0,0,2
PT_010512,Vera Cruz,6644,3237,24,115,1177,1349,279,1,192,14,6,1,36,17,2,15,9
PT_010513,Santa Joana,6348,2421,33,86,1117,887,114,5,75,21,11,4,38,12,7,9,2
PT_010514,Nossa Senhora De Fátima,1530,483,6,24,340,86,4,1,9,1,2,0,5,2,0,0,3
PT_010601,Bairros,1517,507,7,14,155,303,6,0,5,4,1,0,3,2,2,2,3
PT_010602,Fornos,1417,545,8,14,118,372,9,2,9,2,1,1,5,1,1,0,2
PT_010603,Paraíso,842,314,5,5,126,152,5,0,9,1,2,1,1,1,1,2,3
PT_010604,Pedorido,1344,396,10,5,91,260,10,0,11,0,3,0,1,1,0,0,4
PT_010605,Raiva,2033,596,8,12,122,385,24,0,25,3,2,0,4,1,2,2,6
PT_010606,Real,1132,367,4,11,114,223,4,1,4,1,0,0,2,2,0,0,1
PT_010607,Santa Maria De Sardoura,2096,694,6,10,298,329,7,0,9,10,3,2,10,3,1,2,4
PT_010608,São Martinho De Sardoura,1473,489,9,9,249,201,4,1,3,4,1,0,4,1,1,1,1
PT_010609,Sobrado,2204,816,12,36,270,438,21,0,19,3,2,0,3,4,1,3,4
PT_010701,Anta,8937,4200,52,167,1315,1982,139,3,309,93,16,7,54,15,9,18,21
PT_010702,Espinho,10566,5351,63,182,2260,1960,316,3,382,38,10,3,63,25,13,19,14
PT_010703,Guetim,1271,631,12,24,264,261,13,1,27,9,3,2,7,2,0,1,5
PT_010704,Paramos,3065,1405,19,34,388,738,45,2,116,27,10,4,8,5,1,2,6
PT_010705,Silvalde,6359,2960,34,63,552,1836,68,4,296,48,9,3,23,5,4,4,11
PT_010801,Avanca,5211,1800,22,50,767,755,55,1,70,16,7,1,24,5,7,7,13
PT_010802,Beduído,6295,2712,44,86,1050,1114,134,5,175,31,17,2,24,12,4,6,8
PT_010803,Canelas,1223,542,8,27,287,155,21,0,24,2,1,0,9,3,2,1,2
PT_010804,Fermelã,1312,566,9,13,285,194,12,0,33,2,2,0,6,4,1,2,3
PT_010805,Pardilhó,3327,1050,6,30,483,394,37,2,57,6,3,1,15,1,4,6,5
PT_010806,Salreu,3429,1201,16,35,643,408,36,2,35,1,5,0,6,3,3,4,4
PT_010807,Veiros,1902,539,15,19,280,166,17,5,13,5,3,1,7,1,3,1,3
PT_010901,Argoncilhe,6657,2775,46,80,1082,1285,79,3,75,17,11,7,38,11,11,14,16
PT_010902,Arrifana,5441,2226,21,42,644,1303,71,5,57,17,4,5,23,13,7,5,9
PT_010903,Canedo,4885,1194,21,31,549,478,22,5,30,11,2,4,21,6,3,4,7
PT_010904,Escapães,2544,1055,11,32,361,557,32,3,28,4,4,1,11,9,1,0,1
