gisco_id,name,registered,turnout,invalid,blank,PS,PPD/PSD,B.E.,PCP-PEV,CDS-PP,PAN,A,L,PPM.PPV/CDC,NC,IL,PCTP/MRPP,PNR,PDR,PURP,PTP,MAS
PT_PTYY99,Portugal (votes outside of a municipality),0,15735,223,976,4809,2150,1815,2512,928,613,345,281,459,139,117,176,63,39,37,22,31
PT_PTZZTR,Turkey,1302,6,0,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
PT_PTZZCH,Switzerland,147737,1136,2,27,360,173,161,105,64,72,18,80,8,15,26,5,9,7,0,1,3
PT_PTZZSE,Sweden,1312,74,0,2,17,7,9,8,1,17,2,10,0,0,1,0,0,0,0,0,0
PT_PTZZRU,Russia,170,11,0,0,4,2,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0
PT_PTZZRO,Romania,675,30,0,0,6,6,3,0,2,3,0,3,0,5,1,0,0,1,0,0,0
PT_PTZZCZ,Czech Republic,294,64,1,0,11,9,13,3,7,8,0,4,0,1,6,0,0,0,0,0,1
PT_PTZZGB,United Kingdom,120261,512,4,4,111,76,76,32,30,63,10,54,4,14,20,3,5,2,3,1,0
PT_PTZZPL,Poland,655,52,0,1,11,10,3,0,8,8,3,4,1,1,0,0,0,2,0,0,0
PT_PTZZNO,Norway,2765,137,1,1,20,20,35,9,2,14,3,16,0,5,6,2,2,0,0,0,1
PT_PTZZLU,Luxembourg,47541,460,7,7,128,101,61,34,28,32,10,23,4,2,11,3,4,1,1,3,0
PT_PTZZIT,Italy,2393,37,0,0,6,8,4,1,5,3,0,3,0,1,1,0,3,0,0,1,1
PT_PTZZIE,Ireland,3631,166,0,5,32,23,27,9,8,24,7,8,0,8,10,0,1,1,0,0,3
PT_PTZZHU,Hungary,196,35,0,0,9,4,4,1,3,7,1,3,0,2,1,0,0,0,0,0,0
PT_PTZZNL,Netherlands,10776,278,1,3,51,31,40,18,12,47,6,43,0,3,19,0,0,1,0,2,1
PT_PTZZGR,Greece,103,11,0,0,3,1,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0
PT_PTZZFR,France,384153,1200,16,16,426,216,136,62,60,94,27,54,5,17,18,12,14,16,1,7,3
PT_PTZZFI,Finland,226,29,0,2,1,1,6,1,0,3,0,12,0,1,1,0,1,0,0,0,0
PT_PTZZES,Spain,30893,448,2,8,103,94,68,21,41,39,12,28,3,8,15,0,1,3,1,1,0
PT_PTZZDK,Denmark,986,138,1,0,22,20,19,5,4,33,0,26,1,2,3,1,1,0,0,0,0
PT_PTZZCY,Cyprus,159,15,0,0,3,2,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0
PT_PTZZBG,Bulgaria,158,23,0,1,6,2,6,3,0,3,1,0,0,1,0,0,0,0,0,0,0
PT_PTZZBE,Belgium,19672,849,5,2,230,158,123,33,54,72,29,90,7,17,18,4,0,6,0,0,1
PT_PTZZAT,Austria,1407,108,0,2,28,12,18,1,7,19,3,10,2,1,4,1,0,0,0,0,0
PT_PTZZAD,AD,6878,129,1,1,59,23,9,8,8,5,1,1,2,3,2,1,1,3,0,1,0
PT_PTZZDE,Germany,76156,854,3,9,194,135,146,57,32,129,8,80,7,19,15,6,6,1,6,0,1
PT_PTZZTL,TL,896,51,0,0,15,16,4,0,5,2,1,2,0,1,2,2,0,0,0,1,0
PT_PTZZTH,Thailand,106,10,0,2,0,3,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0
PT_PTZZSG,Singapore,332,76,1,9,13,16,6,4,10,5,0,6,1,1,2,1,0,1,0,0,0
PT_PTZZQA,Qatar,489,39,0,4,8,9,1,1,2,3,1,1,2,5,2,0,0,0,0,0,0
PT_PTZZJP,Japan,241,12,0,0,3,3,2,0,1,0,0,1,0,1,0,1,0,0,0,0,0
PT_PTZZIL,Israel,912,10,0,0,1,5,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0
PT_PTZZID,Indonesia,102,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PT_PTZZIN,India,32848,22,0,3,5,4,0,0,1,2,0,1,0,1,0,0,1,1,2,0,1
PT_PTZZAE,United Arab Emirates,2347,70,0,3,13,13,5,1,3,10,6,5,1,1,7,1,0,1,0,0,0
PT_PTZZCN,China,71558,698,0,27,173,128,77,27,56,43,23,43,8,42,17,10,3,7,2,8,4
PT_PTZZAU,Australia,8093,53,0,0,16,9,7,3,3,7,0,3,0,2,1,1,1,0,0,0,0
PT_PTZZSA,Saudi Arabia,223,17,0,1,1,4,1,4,1,0,1,1,0,3,0,0,0,0,0,0,0
PT_PTZZVE,VE,53987,922,1,0,209,562,5,3,79,9,3,1,2,3,3,2,10,15,8,6,1
PT_PTZZUY,UY,1184,54,5,1,6,23,1,0,0,7,1,0,0,0,2,3,1,3,0,1,0
PT_PTZZPE,PE,160,11,0,0,0,4,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0
PT_PTZZPA,Panama,621,36,1,1,3,19,1,0,2,2,1,0,1,1,0,2,0,0,1,1,0
PT_PTZZMX,Mexico,543,23,0,0,3,7,1,1,3,1,1,1,0,0,4,0,0,1,0,0,0
PT_PTZZUS,United States,56899,347,4,2,103,125,26,5,18,18,3,18,4,1,2,1,0,12,4,0,1
PT_PTZZCO,CO,456,52,0,2,6,22,0,3,12,1,0,4,1,0,0,0,0,0,0,1,0
PT_PTZZCL,Chile,496,32,0,2,6,7,6,1,6,3,0,0,0,0,1,0,0,0,0,0,0
