gisco_id,name,registered,turnout,invalid,blank,PS,PPD/PSD.CDS-PP.PPM,CH,IL,BE,PCP-PEV,L,ADN,PAN,Volt,E,ND,RIR,MAS,MPT,NC,PTP
PT_PTZZTR,Turkey,4053,36,0,0,7,13,1,4,6,0,3,1,1,0,0,0,0,0,0,0,0
PT_PTZZCH,Switzerland,153422,2753,4,9,535,463,600,393,185,120,297,35,64,26,7,4,1,9,0,1,0
PT_PTZZSE,Sweden,2374,246,0,2,30,40,4,49,43,13,56,0,6,3,0,0,0,0,0,0,0
PT_PTZZRS,Serbia,140,43,0,0,5,10,8,14,1,2,1,0,2,0,0,0,0,0,0,0,0
PT_PTZZRO,Romania,922,281,6,7,25,56,126,32,8,8,4,1,3,0,1,1,2,1,0,0,0
PT_PTZZGB,United Kingdom,179411,2619,10,13,502,455,283,444,326,96,346,30,65,28,0,6,3,1,2,4,5
PT_PTZZPL,Poland,1206,207,0,0,20,44,22,63,18,7,28,3,1,1,0,0,0,0,0,0,0
PT_PTZZNL,Netherlands,16900,1317,2,15,148,175,47,350,174,39,309,4,27,23,0,1,1,0,1,0,1
PT_PTZZNO,Norway,4358,283,1,3,53,47,13,70,33,8,44,1,3,3,1,1,0,0,1,1,0
PT_PTZZLU,Luxembourg,28712,924,3,5,161,211,137,206,54,39,75,12,11,5,1,1,0,0,1,1,1
PT_PTZZIT,Italy,3692,240,0,2,33,77,12,26,26,6,50,1,2,3,0,0,0,1,1,0,0
PT_PTZZIE,Ireland,6734,388,1,3,59,68,29,109,36,3,58,2,16,4,0,0,0,0,0,0,0
PT_PTZZHU,Hungary,239,99,0,0,19,21,13,21,8,3,11,0,1,1,0,0,0,0,1,0,0
PT_PTZZGR,Greece,443,120,0,0,17,26,14,23,16,6,13,1,3,0,0,0,0,0,1,0,0
PT_PTZZFR,France,363075,2179,7,12,497,417,358,273,191,80,239,16,51,15,3,6,2,4,4,1,3
PT_PTZZFI,Finland,708,111,0,0,10,16,2,22,24,3,27,1,4,2,0,0,0,0,0,0,0
PT_PTZZRU,Russia,227,11,0,0,1,2,1,2,1,3,1,0,0,0,0,0,0,0,0,0,0
PT_PTZZES,Spain,41487,2272,5,23,310,595,158,616,205,58,228,14,43,11,1,1,0,2,2,0,0
PT_PTZZSK,Slovakia,126,45,0,0,6,9,5,16,3,1,4,0,1,0,0,0,0,0,0,0,0
PT_PTZZDK,Denmark,2880,645,1,9,68,97,114,126,61,32,109,1,21,4,0,2,0,0,0,0,0
PT_PTZZHR,Croatia,67,43,0,0,5,8,2,10,6,6,4,2,0,0,0,0,0,0,0,0,0
PT_PTZZCY,Cyprus,402,22,0,0,5,4,2,6,2,0,2,0,0,0,0,0,0,0,1,0,0
PT_PTZZCZ,Czech Republic,730,215,0,1,30,38,17,56,20,6,38,2,4,3,0,0,0,0,0,0,0
PT_PTZZBG,Bulgaria,324,59,0,0,9,3,2,10,13,4,9,2,4,0,1,0,0,0,1,0,1
PT_PTZZBE,Belgium,17223,2706,7,14,598,504,166,469,252,80,464,20,61,54,3,2,6,0,4,1,1
PT_PTZZAT,Austria,1969,377,1,4,64,47,21,91,41,11,77,2,10,6,0,1,0,0,1,0,0
PT_PTZZAD,AD,7693,151,1,1,56,33,36,2,7,0,5,0,4,0,0,1,0,1,1,1,2
PT_PTZZDE,Germany,74674,2398,2,10,442,408,154,361,331,111,409,18,73,60,2,2,3,3,5,4,0
PT_PTZZTL,TL,1356,318,1,4,64,108,34,35,29,12,23,2,3,0,1,0,0,0,1,0,1
PT_PTZZTH,Thailand,256,38,0,0,2,12,9,10,0,3,1,0,1,0,0,0,0,0,0,0,0
PT_PTZZSG,Singapore,489,78,0,4,14,16,6,23,4,0,10,1,0,0,0,0,0,0,0,0,0
PT_PTZZJP,Japan,289,37,0,1,6,8,0,8,3,2,6,1,1,0,0,0,0,0,1,0,0
PT_PTZZIL,Israel,33514,275,0,1,11,150,88,4,4,0,2,7,0,1,0,2,0,0,2,2,1
PT_PTZZID,Indonesia,140,14,0,0,4,4,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0
PT_PTZZIN,India,14245,30,0,2,5,15,3,1,2,0,2,0,0,0,0,0,0,0,0,0,0
PT_PTZZAE,United Arab Emirates,3129,161,0,0,26,35,16,55,10,4,10,1,1,1,1,0,0,1,0,0,0
PT_PTZZKR,South Korea,80,52,1,0,12,7,4,9,12,1,4,0,2,0,0,0,0,0,0,0,0
PT_PTZZCN,China,53673,610,2,8,143,186,73,68,33,27,37,12,8,4,1,0,3,4,0,1,0
PT_PTZZQA,Qatar,627,99,0,0,17,27,14,15,9,2,9,2,3,0,1,0,0,0,0,0,0
PT_PTZZAU,Australia,6507,120,1,1,26,20,20,21,13,3,9,0,6,0,0,0,0,0,0,0,0
PT_PTZZSA,Saudi Arabia,568,89,0,2,17,19,7,25,7,1,5,1,4,0,0,0,0,1,0,0,0
PT_PTZZVE,VE,53157,1252,25,1,102,732,174,23,9,6,12,91,6,13,6,11,3,17,11,2,8
PT_PTZZUY,UY,1157,40,3,0,5,19,5,1,0,1,1,4,0,0,0,0,0,1,0,0,0
PT_PTZZPE,PE,577,21,0,0,0,7,2,6,0,4,1,0,0,0,0,1,0,0,0,0,0
PT_PTZZPA,Panama,1774,50,0,0,7,16,4,6,1,5,3,2,1,1,0,0,0,0,0,0,4
PT_PTZZMX,Mexico,1551,72,0,0,18,21,4,12,4,4,2,3,2,1,0,0,0,1,0,0,0
PT_PTZZUS,United States,67680,601,4,7,119,150,61,94,48,22,71,3,8,9,0,2,0,0,1,1,1
PT_PTZZCO,CO,1264,84,0,0,11,42,7,5,2,3,2,6,1,2,0,0,0,0,1,2,0
PT_PTZZCL,Chile,1972,64,0,1,8,27,8,6,5,2,6,0,0,0,0,1,0,0,0,0,0
PT_PTZZCA,Canada,56424,311,4,0,83,96,45,33,18,5,19,5,2,0,0,0,0,0,0,1,0
PT_PTZZBR,Brazil,267700,2143,6,3,406,502,771,86,141,45,37,48,24,13,10,32,2,4,5,1,7
PT_PTZZAR,Argentina,7454,105,0,1,11,64,6,8,3,0,2,5,0,0,0,2,0,1,0,2,0
PT_PTZZZW,ZW,477,34,0,0,2,18,7,0,1,0,1,2,0,1,0,0,0,0,0,0,2
PT_PTZZTN,Tunisia,224,27,0,0,6,12,3,3,0,0,1,0,0,0,0,1,1,0,0,0,0
PT_PTZZSN,Senegal,317,39,0,0,12,13,5,6,0,2,0,0,0,0,0,0,0,0,1,0,0
