gisco_id,name,registered,turnout,invalid,blank,PD,PRM,PNL,PSD,UDMR,PC,PNT-CD,P.Romilor,P.Verde,PIN,PNG-CD,PLD,PAS,TOKES
RO_002543,1 Decembrie,5571,972,64,0,393,49,51,142,1,20,7,129,4,22,54,32,2,2
RO_060598,23 August,4401,1182,42,0,439,43,127,195,4,12,11,12,3,29,159,95,3,8
RO_027070,Abram,2537,1023,40,0,291,67,298,137,24,8,14,13,1,18,41,27,4,40
RO_027169,Abramut,2321,929,68,0,65,33,34,87,431,16,7,20,3,1,51,5,6,102
RO_014970,Acatari,3768,2287,81,0,42,21,22,60,1601,6,2,8,4,5,7,5,20,403
RO_036713,Acâş,2239,891,88,0,39,22,176,172,202,1,9,16,1,8,19,9,7,122
RO_060883,Adamclisi,1841,808,34,0,168,20,59,391,0,0,1,8,0,8,77,31,5,6
RO_015076,Adamus,4789,1248,87,0,167,50,52,128,480,51,8,11,1,15,31,44,5,118
RO_000754,Adancata,2377,657,56,0,189,19,69,122,3,20,40,10,4,11,79,31,3,1
RO_046799,Adâncata,3276,1210,68,0,335,40,98,355,4,9,10,5,3,11,157,103,6,6
RO_040035,Adăşeni,1108,560,28,0,67,24,80,128,5,32,2,3,1,6,142,30,7,5
RO_031899,Adunati,1798,397,22,0,117,8,22,66,1,102,3,2,1,4,30,11,7,1
RO_000781,Adunatii-Copaceni,5085,1083,72,0,306,53,315,189,0,24,7,4,2,11,42,43,12,3
RO_070520,Afumati,2510,888,40,0,228,43,85,290,0,33,10,15,2,29,64,40,6,3
RO_000834,Afumati,5437,1574,115,0,542,37,310,290,3,14,10,10,3,25,67,137,4,7
RO_021108,Agapia,3685,1094,95,0,245,69,156,279,0,12,8,2,1,12,72,119,10,14
RO_021007,Agas,5129,1330,72,0,403,57,109,440,30,58,6,6,4,13,64,39,10,19
RO_055473,Aghiresu,6010,1880,51,0,446,58,73,174,696,8,28,27,5,14,42,51,9,198
RO_060570,Agigea,5208,1612,65,0,560,67,132,366,5,8,25,7,15,44,99,208,8,3
RO_039937,Agrij,1064,353,14,0,89,17,22,139,0,6,12,15,1,2,16,15,2,3
RO_079873,Agriş,1390,681,14,0,46,10,66,63,324,7,4,1,1,3,10,6,6,120
RO_063777,Aita Mare,1347,615,35,0,23,5,23,12,177,5,3,5,3,1,3,6,2,312
RO_055598,Aiton,1096,479,39,0,129,22,41,144,39,3,7,1,0,8,10,31,0,5
RO_002130,Albac,1792,835,30,0,456,22,33,219,1,11,8,1,4,6,16,16,5,7
RO_078472,Albeni,2240,678,43,0,152,37,55,274,6,21,2,9,1,7,43,25,3,0
RO_036131,Albesti,4824,1532,131,0,362,103,160,503,2,35,9,21,2,8,70,78,35,13
RO_060945,Albesti,2737,1080,61,0,392,32,71,345,5,46,9,9,9,21,26,43,7,4
RO_092783,Albesti,1148,417,24,0,62,5,24,243,1,9,6,12,1,6,6,14,2,2
RO_014603,Albesti,4492,960,44,0,199,40,79,153,216,21,7,23,1,28,33,43,3,70
RO_062014,Albesti,2575,837,72,0,221,37,60,305,3,52,12,6,0,7,19,29,8,6
