gisco_id,name,registered,turnout,invalid,blank,PARTIDUL DEMOCRAT LIBERAL,PARTIDUL MIŞCAREA POPULARĂ,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,ALIANŢA ELECTORALĂ PSD-UNPR-PC,PARTIDUL NAŢIONAL LIBERAL,PARTIDUL ROMÂNIA MARE,ALIANŢA NAŢIONALĂ A AGRICULTORILOR,PARTIDUL DREPTĂŢII SOCIALE,PARTIDUL NOUA REPUBLICĂ,PARTIDUL VERDE,FORŢA CIVICĂ,PARTIDUL ECOLOGIST ROMÂN,PARTIDUL ALTERNATIVA SOCIALISTĂ,PARTIDUL NAŢIONAL ŢĂRĂNESC CREŞTIN DEMOCRAT,PARTIDUL POPORULUI - DAN DIACONESCU,UNGUREANU GEORGIANA-CORINA,FILIP CONSTANTIN-TITIAN,LIGA DĂNUŢ,PUREA PAUL,CAPSALI PERICLE-IULIAN,COSTEA PETER,DIACONU MIRCEA,DĂEANU VALENTIN-EUGEN
ROZZAF,AFGANISTAN,0,952,57,0,103,54,2,283,89,88,39,1,5,9,52,26,3,2,18,45,4,1,6,2,4,57,2
ROZZZA,AFRICA DE SUD,0,42,0,0,2,8,0,9,4,0,2,0,1,0,4,1,0,2,1,0,0,0,0,0,0,7,1
ROZZAL,ALBANIA,0,21,0,0,1,2,0,4,7,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,1,1
ROZZDZ,ALGERIA,0,25,0,0,5,1,0,3,4,3,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,4,0
ROZZAO,ANGOLA,0,10,0,0,1,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
ROZZSA,ARABIA SAUDITĂ,0,32,0,0,2,7,0,3,9,0,1,0,0,0,2,2,0,0,1,1,0,0,0,0,0,4,0
ROZZAR,ARGENTINA,0,20,0,0,2,0,1,5,4,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,3,0
ROZZAM,ARMENIA,0,12,0,0,0,1,0,1,4,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,1,0
ROZZAU,Australia,0,33,0,0,8,6,0,5,6,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,3,0
ROZZAT,AUSTRIA,0,847,26,0,102,134,21,113,97,19,6,4,6,31,83,28,1,9,14,11,2,1,5,20,23,86,5
ROZZAZ,AZERBAIDJAN,0,20,1,0,0,5,0,8,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0
ROZZBY,BELARUS,0,9,0,0,0,1,0,1,1,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
ROZZBE,BELGIA,0,2095,35,0,375,277,36,249,314,29,8,2,14,51,214,38,2,34,25,29,2,2,5,125,53,166,10
ROZZBA,Bosnia and Herzegovina,0,45,3,0,4,4,0,12,9,1,0,0,0,2,2,2,0,1,0,1,0,0,0,0,0,3,1
ROZZBR,BRAZILIA,0,20,0,0,6,1,0,5,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
ROZZBG,BULGARIA,0,75,2,0,9,12,1,23,7,0,0,0,0,2,5,4,0,0,0,3,0,1,0,2,0,4,0
ROZZCA,Canada,0,566,6,0,82,139,2,52,54,7,0,0,0,6,59,20,0,4,5,4,2,0,0,16,7,101,0
ROZZCZ,CEHIA,0,215,13,0,35,25,0,24,21,4,2,1,4,5,24,8,0,4,2,5,0,1,0,12,0,24,1
ROZZCL,CHILE,0,18,2,0,2,2,0,2,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0
ROZZCN,CHINA,0,91,1,0,8,6,0,18,10,1,1,1,0,1,13,5,0,0,0,0,0,0,0,2,0,24,0
ROZZCY,CIPRU,0,158,8,0,16,32,0,24,14,9,1,0,0,1,12,7,3,0,3,2,0,0,1,7,0,14,4
ROZZCO,COLUMBIA,0,9,0,0,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ROZZKP,COREEA DE NORD,0,10,0,0,1,0,0,4,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
ROZZKR,COREEA DE SUD,0,16,0,0,1,1,0,1,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0
ROZZHR,CROAŢIA,0,28,0,0,5,2,0,4,2,1,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,9,0
ROZZCU,CUBA,0,19,0,0,1,0,0,13,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
ROZZDK,DANEMARCA,0,119,4,0,14,9,4,13,16,2,0,0,2,4,18,4,0,2,1,2,0,0,1,8,0,15,0
ROZZEG,EGIPT,0,42,2,0,6,2,0,7,6,3,3,0,0,2,5,1,0,1,0,0,0,0,0,0,0,4,0
ROZZCH,ELVEŢIA,0,313,4,0,45,55,9,27,36,4,1,1,10,5,55,13,0,5,1,2,0,1,0,8,8,22,1
ROZZAE,United Arab Emirates,0,152,3,0,30,29,2,22,17,1,2,0,1,0,15,7,0,2,0,1,0,0,0,2,0,15,3
ROZZET,ETIOPIA,0,15,0,0,0,0,0,1,4,1,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,3,1
ROZZPH,FILIPINE,0,21,0,0,5,1,0,4,5,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0
ROZZFI,FINLANDA,0,70,1,0,6,13,2,9,7,3,0,0,1,2,9,2,0,1,1,0,0,0,0,3,4,6,0
ROZZFR,FRANŢA,0,2255,47,0,249,369,6,180,183,37,9,5,17,28,147,543,4,31,33,9,3,4,5,97,69,159,21
ROZZGE,GEORGIA,0,32,1,0,3,6,0,3,3,2,0,0,2,0,2,3,0,0,0,1,0,0,0,0,0,5,1
ROZZDE,GERMANIA,0,1081,37,0,140,206,25,123,144,18,11,4,11,24,97,31,3,10,13,10,2,1,2,87,4,74,4
ROZZGR,GRECIA,0,308,8,0,34,57,4,51,29,13,6,0,0,3,23,17,2,1,18,5,1,2,0,9,1,21,3
ROZZIN,INDIA,0,11,0,0,3,1,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ROZZID,INDONEZIA,0,11,0,0,1,1,0,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
ROZZJO,IORDANIA,0,55,1,0,5,3,1,16,5,1,2,0,0,0,5,0,0,0,1,1,0,1,0,0,1,12,0
ROZZIQ,IRAK,0,46,1,0,5,2,0,13,3,3,0,0,0,0,4,1,1,1,2,1,0,0,0,0,0,8,1
ROZZIR,IRAN,0,25,0,0,5,0,0,5,5,1,1,0,0,0,2,4,0,0,0,1,0,0,0,0,0,0,1
ROZZIE,IRLANDA,0,305,5,0,35,64,3,24,62,6,4,0,6,0,18,14,0,4,17,1,0,0,1,13,1,25,2
ROZZIL,ISRAEL,0,142,2,0,28,16,3,26,13,1,1,0,1,2,11,5,1,1,2,5,0,0,0,1,0,22,1
ROZZIT,ITALIA,0,3806,149,0,379,608,7,536,234,87,27,8,16,24,255,79,2,28,885,24,4,7,29,62,37,295,24
ROZZJP,JAPONIA,0,38,0,0,3,5,0,6,2,2,0,0,0,1,6,1,1,3,0,3,0,0,0,4,0,1,0
ROZZKZ,KAZAHSTAN,0,10,0,0,0,0,0,2,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,0
ROZZKE,KENYA,0,24,0,0,4,1,0,6,3,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,5,0
ROZZKW,KUWEIT,0,55,0,0,4,12,0,14,6,4,1,0,0,0,4,2,0,0,0,1,0,0,0,0,0,6,1
ROZZLB,LIBAN,0,52,0,0,3,6,0,12,6,5,2,1,0,0,0,2,0,0,0,2,0,0,1,0,0,12,0
ROZZLY,LIBIA,0,21,0,0,2,1,0,5,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0
ROZZLT,LITUANIA,0,26,1,0,1,5,0,3,6,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,4,0
ROZZLU,LUXEMBURG,0,332,4,0,67,50,5,29,52,3,5,1,4,6,34,13,1,7,1,4,0,0,0,8,2,30,6
ROZZMK,MACEDONIA,0,17,1,0,6,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
ROZZMY,MALAEZIA,0,15,1,0,4,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0
ROZZGB,MAREA BRITANIE,0,808,15,0,97,147,9,75,108,17,3,1,10,16,84,29,1,15,36,4,1,1,0,36,23,77,3
ROZZMA,MAROC,0,26,1,0,2,1,0,7,3,1,0,0,0,0,5,4,0,0,1,1,0,0,0,0,0,0,0
ROZZMX,MEXIC,0,16,0,0,2,1,0,4,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0
ROZZMD,Moldova,0,9558,47,0,2162,5259,12,397,461,152,23,47,42,395,215,43,4,30,68,28,5,5,8,31,70,36,18
ROZZME,MUNTENEGRU,0,13,2,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
ROZZNG,NIGERIA,0,8,0,0,2,1,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
ROZZNO,NORVEGIA,0,171,2,0,13,30,11,23,11,2,1,0,3,1,22,11,0,2,7,3,0,1,0,0,4,24,0
ROZZNL,OLANDA,0,252,5,0,40,56,3,25,34,6,2,0,1,5,27,9,1,2,1,0,1,0,0,9,2,21,2
ROZZPS,PALESTINA,0,15,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROZZPK,PAKISTAN,0,13,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0
ROZZPE,PERU,0,11,0,0,1,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0
ROZZPL,POLONIA,0,115,4,0,19,10,1,15,18,0,0,0,1,1,7,6,1,1,2,0,2,1,0,1,0,24,1
ROZZPT,PORTUGALIA,0,139,3,0,13,34,0,24,9,3,2,0,1,1,9,4,1,4,5,2,0,1,0,3,0,20,0
ROZZQA,QATAR,0,70,2,0,11,8,0,8,7,1,1,1,0,1,9,7,0,0,0,1,0,0,0,2,1,10,0
ROZZRU,RUSIA,0,156,5,0,16,15,1,53,26,5,2,0,0,0,9,5,0,1,2,1,1,0,0,2,2,10,0
ROZZSN,SENEGAL,0,11,0,0,1,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
ROZZRS,SERBIA,0,151,14,0,20,18,0,14,15,2,2,0,2,0,17,7,0,2,2,5,0,0,1,6,0,23,1
ROZZSG,SINGAPORE,0,32,3,0,6,1,1,5,2,0,0,0,1,1,5,1,0,0,0,1,0,0,0,1,0,4,0
ROZZSY,Syria,7069,1341,88,0,560,47,23,282,80,54,21,0,7,0,20,11,2,3,49,3,2,2,1,10,15,60,1
ROZZSK,SLOVACIA,0,70,0,0,13,6,1,9,10,0,0,0,2,0,14,4,0,0,0,3,0,0,0,2,0,5,1
ROZZSI,SLOVENIA,0,31,2,0,6,6,0,4,6,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,2,0
ROZZES,SPANIA,0,2384,56,0,199,433,8,349,196,71,19,9,14,20,182,79,2,25,433,13,0,9,28,53,20,160,6
ROZZLK,SRI LANKA,0,12,0,0,7,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROZZUS,SUA,0,460,8,0,57,119,4,47,54,10,0,0,9,3,43,10,1,5,8,4,0,0,1,8,15,53,1
ROZZSD,SUDAN,0,6,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ROZZSE,SUEDIA,0,132,5,0,20,22,1,18,12,1,1,0,0,1,6,13,0,0,0,0,1,0,0,13,0,18,0
ROZZTH,THAILANDA,0,8,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,2,0
ROZZTN,TUNISIA,0,26,0,0,1,5,0,8,0,2,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,5,0
ROZZTR,TURCIA,0,183,1,0,20,13,2,70,16,3,2,2,0,2,15,2,0,1,3,4,0,0,0,2,1,24,0
ROZZTM,TURKMENISTAN,0,13,1,0,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0
ROZZUA,UCRAINA,0,77,1,0,8,6,0,25,8,4,1,1,0,0,3,1,1,0,0,1,0,0,0,0,4,13,0
ROZZHU,UNGARIA,0,381,7,0,32,24,175,29,22,4,2,2,2,2,25,2,2,0,10,2,0,1,0,7,6,25,0
ROZZUY,URUGUAY,0,22,3,0,5,2,0,3,1,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,3,0
ROZZUZ,UZBEKISTAN,0,16,0,0,2,2,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0
ROZZVE,VENEZUELA,0,31,1,0,7,7,0,2,4,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0
ROZZVN,VIETNAM,0,21,0,0,4,4,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0
ROZZZW,ZIMBABWE,0,5,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
