gisco_id,name,registered,turnout,invalid,blank,PP,PUSL,ADU,Şoşoacă,RS,Ştefănuţă,REPER,AUR,PDU,UDMR,PAD,PRM,S.O.S. RO,PSD-PNL,Pîrvănescu,Gheorghe
RO_001017,Municipiul Alba Iulia,61923,28490,867,0,217,284,2535,200,135,1085,1432,5333,823,540,155,157,1134,12343,332,918
RO_001071,Ciugud,2820,2066,125,0,9,14,100,24,9,48,80,372,51,13,4,9,57,1079,14,58
RO_001151,Oraş Abrud,4344,2610,92,0,13,18,50,25,9,59,35,433,32,37,4,8,143,1600,11,41
RO_001213,Municipiul Aiud,20476,10111,381,0,46,147,457,84,35,199,271,1475,183,1429,16,77,298,4756,58,199
RO_001348,Municipiul Blaj,16565,8320,408,0,39,54,671,100,32,192,197,1041,159,344,22,42,356,4450,43,170
RO_001455,Oraş Câmpeni,5898,3566,167,0,18,14,149,38,13,73,56,672,75,46,2,34,371,1770,13,55
RO_001696,Oraş Cugir,21001,9238,380,0,57,64,956,79,44,237,174,1238,221,106,18,53,341,5056,39,175
RO_001794,Oraş Ocna Mureş,11327,5261,247,0,27,34,328,52,21,80,113,923,99,304,11,38,217,2664,20,83
RO_001874,Municipiul Sebeş,26068,12536,491,0,83,88,694,119,44,388,474,2767,285,115,40,52,509,5980,82,325
RO_001936,Oraş Zlatna,6458,3798,178,0,14,14,94,23,10,54,53,646,38,47,6,18,155,2378,14,56
RO_002130,Albac,1588,1380,117,0,7,6,35,17,0,25,12,290,10,4,3,8,57,772,3,14
RO_002309,Almaşu Mare,1016,823,51,0,3,11,54,7,3,9,9,182,13,9,2,4,38,410,2,16
RO_002381,Arieşeni,1291,1174,59,0,2,3,21,2,2,9,20,175,12,6,2,1,21,829,2,8
RO_002577,Avram Iancu,1145,882,74,0,2,7,19,14,2,6,7,258,6,2,0,7,49,421,3,5
RO_002915,Oraş Baia de Arieş,3183,1809,60,0,7,32,61,7,3,38,30,781,26,15,6,2,55,647,4,35
RO_002988,Berghin,1549,873,63,0,8,6,35,7,2,7,9,228,8,8,2,2,38,441,1,8
RO_003039,Bistra,3750,2353,135,0,16,12,30,42,5,35,17,413,35,17,15,15,157,1351,31,27
RO_003397,Blandiana,750,608,27,0,3,3,14,7,0,5,10,79,5,3,3,4,9,428,3,5
RO_003459,Bucium,1184,845,38,0,4,9,18,6,3,9,7,135,10,7,1,8,19,555,3,13
RO_003761,Cenade,802,470,44,0,5,5,7,7,0,12,2,31,4,3,1,2,39,303,0,5
RO_003805,Cergău,1242,935,73,0,5,29,125,5,0,13,7,84,6,5,1,5,45,508,2,22
RO_003841,Ceru-Băcăinţi,246,229,21,0,0,0,8,2,0,2,2,19,5,1,0,0,7,158,1,3
RO_003958,Cetatea de Baltă,2393,1171,98,0,10,5,21,8,2,9,6,151,10,178,2,4,53,603,4,7
RO_004008,Ciuruleasa,911,719,74,0,5,2,6,5,2,9,15,154,8,3,3,4,31,388,4,6
RO_004106,Câlnic,1528,1042,84,0,8,13,17,8,2,13,6,82,11,4,6,4,28,743,3,10
RO_004142,Cricău,1630,1249,33,0,14,10,26,10,4,16,11,152,19,8,1,4,45,870,4,22
RO_004188,Crăciunelu de Jos,1739,1195,106,0,4,9,222,15,1,21,15,152,6,17,0,2,42,562,8,13
RO_004240,Daia Română,2552,1563,86,0,14,2,54,4,2,13,12,212,11,17,2,2,58,1044,4,26
RO_004268,Doştat,801,609,40,0,5,2,26,3,1,6,9,45,8,2,0,2,20,432,2,6
RO_004302,Fărău,1223,892,72,0,7,2,10,5,1,1,8,51,8,104,1,0,27,586,2,7
RO_004366,Galda de Jos,3638,2519,130,0,17,18,361,17,10,70,40,411,44,139,6,15,106,1084,6,45
RO_004482,Gârbova,1661,1126,93,0,7,9,18,3,1,16,3,141,19,10,1,5,45,732,2,21
RO_004525,Gârda de Sus,1219,918,79,0,8,2,22,4,2,11,14,206,8,5,3,5,18,516,5,10
RO_004703,Hopârta,858,534,54,0,3,2,16,7,1,0,1,71,3,7,0,4,12,349,0,4
RO_004767,Horea,1576,1108,85,0,4,5,25,4,2,8,1,329,7,8,25,3,63,528,5,6
RO_004927,Ighiu,5882,3385,148,0,28,9,185,37,11,48,54,503,64,47,11,14,147,2020,16,43
RO_004981,Întregalde,488,350,18,0,3,0,5,4,0,9,0,44,2,2,0,0,15,241,2,5
RO_005103,Jidvei,4190,2417,242,0,10,14,30,13,7,29,16,364,20,40,2,11,71,1505,10,33
RO_005167,Livezile,1011,721,34,0,2,12,13,4,1,9,5,103,8,6,2,6,34,471,3,8
RO_005210,Lopadea Nouă,2148,1656,68,0,2,19,17,5,1,9,3,73,4,709,3,6,32,694,2,9
RO_005309,Lunca Mureşului,1989,1286,111,0,4,7,32,14,4,9,6,125,15,424,1,5,56,462,1,10
RO_005336,Lupşa,2425,1786,90,0,5,7,43,17,6,22,17,363,25,9,2,8,83,1076,0,13
RO_005577,Meteş,2261,1495,87,0,17,23,39,8,1,12,9,282,14,7,1,7,68,903,1,16
RO_005700,Mihalţ,2669,1821,68,0,4,3,78,15,2,21,17,254,18,15,3,8,80,1204,10,21
RO_005755,Mirăslău,1631,985,58,0,2,2,78,8,0,15,11,103,14,227,1,3,31,420,1,11
RO_005826,Mogoş,631,445,33,0,0,3,7,3,0,3,3,56,3,4,1,2,15,302,3,7
RO_006048,Noşlac,1493,837,47,0,1,3,44,11,1,7,5,128,6,118,0,4,22,430,4,6
RO_006119,Ocoliş,436,412,21,0,3,9,8,1,0,4,3,37,9,1,1,5,8,292,3,7
RO_006164,Ohaba,470,385,42,0,4,3,4,1,0,1,0,65,4,0,1,2,7,240,0,11
RO_006217,Pianu,2938,1896,99,0,13,10,104,17,6,20,28,339,21,7,1,9,109,1058,8,47
RO_006271,Poiana Vadului,840,643,50,0,2,4,20,14,2,2,3,159,5,2,1,4,34,334,2,5
RO_006397,Ponor,515,441,37,0,2,4,5,4,0,4,3,127,11,4,2,1,12,220,0,5
RO_006468,Poşaga,790,687,46,0,3,4,52,1,0,11,17,106,12,5,0,0,15,407,1,7
RO_006547,Rădeşti,1056,842,44,0,5,1,10,8,2,2,8,78,13,114,4,5,19,518,4,7
RO_006592,Râmetea,854,568,22,0,2,2,4,1,0,3,10,17,2,449,1,2,0,52,1,0
RO_006627,Râmeţ,453,476,26,0,8,8,11,1,0,4,4,50,3,2,0,3,11,341,0,4
RO_006761,Roşia Montană,2149,1595,106,0,2,3,66,15,8,35,35,571,10,16,2,7,58,639,10,12
RO_006930,Roşia de Secaş,1203,817,66,0,3,37,12,3,0,5,7,146,8,21,1,2,27,467,4,8
