gisco_id,name,registered,turnout,invalid,blank,M,C,FP,KD,S,V,MP,SD,FI,PP,OVR
SE_1082,Karlshamn,24729,10941,147,0,1292,631,737,526,3268,641,1462,1502,404,247,84
SE_1080,Karlskrona,49095,24368,316,0,3058,1604,2034,1463,7020,1233,3222,2849,824,626,119
SE_1060,Olofström,10193,4162,70,0,330,309,212,219,1563,273,365,626,103,67,25
SE_1081,Ronneby,21825,9995,180,0,1084,881,667,424,2919,646,1086,1555,279,212,62
SE_1083,Sölvesborg,13260,5524,97,0,794,352,341,290,1578,246,532,1028,146,92,28
SE_2084,Avesta,17219,7910,90,0,641,546,485,302,2958,579,905,939,241,131,93
SE_2081,Borlänge,37335,18253,251,0,2011,990,1586,648,5865,1429,1873,2325,679,445,151
SE_2080,Falun,44501,23716,281,0,2961,1749,2769,1079,5850,1608,3510,2036,1256,439,178
SE_2026,Gagnef,7776,4070,54,0,359,511,366,238,1063,280,421,502,170,67,39
SE_2083,Hedemora,11890,5285,59,0,538,523,438,246,1576,412,579,580,203,84,47
SE_2029,Leksand,12217,6594,92,0,783,681,847,574,1512,370,785,594,213,96,47
SE_2085,Ludvika,20117,8795,135,0,747,372,775,324,3147,786,847,1152,303,143,64
SE_2023,Malung-Sälen,7995,3754,71,0,472,334,502,105,1062,334,214,510,60,63,27
SE_2062,Mora,16126,7281,89,0,701,797,757,287,2022,457,873,875,227,139,57
SE_2034,Orsa,5517,2671,29,0,175,284,227,118,655,195,314,449,155,42,28
SE_2031,Rättvik,8931,4297,62,0,407,390,493,223,1183,279,504,504,135,67,50
SE_2061,Smedjebacken,8546,3652,59,0,326,193,236,140,1465,310,296,415,140,49,23
SE_2082,Säter,8606,3899,60,0,324,444,361,159,1197,263,391,484,134,59,23
SE_2021,Vansbro,5351,2276,48,0,141,367,211,185,714,162,148,224,38,24,14
SE_2039,Älvdalen,5637,2426,45,0,162,270,191,108,847,167,146,381,53,27,29
SE_0980,Gotland,46553,22754,325,0,2646,3119,1688,813,5694,1552,3896,1153,1357,387,124
SE_2183,Bollnäs,20736,8371,80,0,631,812,673,407,2440,603,1023,1175,342,144,41
SE_2180,Gävle,74964,36651,390,0,4311,1516,3585,1485,10407,2494,5219,4497,1676,818,253
SE_2104,Hofors,7391,2875,22,0,203,145,175,83,1165,346,205,352,113,52,14
SE_2184,Hudiksvall,29087,12275,160,0,979,1176,736,623,3694,1012,1713,1272,640,159,111
