gisco_id,name,registered,turnout,invalid,blank,LDS in DeSUS,N.Si,SEG,SMS in ZELENI,SDS,NSD,SSN,SJN,DS,GŽS,SNS,ZLSD,SLS
SI_1001,Jesenice,25848,6582,518,0,1343,1321,35,128,1188,20,20,225,17,96,309,1079,283
SI_1002,Radovljica I,13447,4201,208,0,783,1125,29,82,640,18,13,182,13,58,162,634,254
SI_1003,Radovljica II,15124,4729,317,0,988,1125,18,174,764,17,11,246,13,88,189,619,160
SI_1004,Kranj I,19859,5923,303,0,1350,1512,29,94,1045,22,12,206,14,73,196,892,175
SI_1005,Kranj II,19954,5708,342,0,1358,1407,23,94,1019,31,16,176,11,81,210,741,199
SI_1006,Kranj III,21119,7647,364,0,1232,2526,34,130,1428,33,20,207,24,101,255,598,695
SI_1007,Tržič,12412,3650,302,0,740,972,17,66,665,17,11,130,5,45,134,381,165
SI_1008,Škofja Loka I,15373,5260,259,0,1055,1595,36,108,1012,18,10,183,6,58,140,528,252
SI_1009,Škofja Loka II,16537,6230,270,0,900,2221,18,67,1234,19,11,138,7,68,142,475,660
SI_1010,Kamnik,24914,7444,449,0,1424,2265,30,114,1368,25,15,235,11,88,257,733,430
SI_1011,Idrija,13788,4449,263,0,631,990,20,66,632,33,9,186,14,44,176,612,773
SI_2001,Tolmin,16400,6373,463,0,1032,1648,43,140,1075,58,20,186,11,92,224,795,586
SI_2002,Piran,14550,3483,235,0,816,395,26,93,357,18,9,319,10,44,129,930,102
SI_2003,Izola,12219,2938,219,0,625,267,28,57,359,13,13,195,14,50,99,895,104
SI_2004,Koper I,18652,5167,310,0,974,429,38,77,380,14,15,1131,10,58,158,1458,115
SI_2005,Koper II,21249,6076,423,0,1141,761,46,103,640,38,14,1011,23,78,301,1290,207
SI_2006,Sežana,19387,6458,423,0,1591,853,47,163,889,58,16,337,16,91,407,1089,478
SI_2007,Ilirska Bistrica,12136,3507,280,0,546,542,30,75,679,47,16,153,21,41,252,512,313
SI_2008,Postojna,16419,4790,239,0,834,966,29,100,982,38,9,181,11,49,191,739,422
SI_2009,Nova Gorica I,24750,7397,488,0,1049,1819,48,139,1132,104,9,222,22,78,305,1481,501
SI_2010,Nova Gorica II,24142,7147,383,0,1156,1407,36,202,912,59,18,306,16,94,289,1997,272
SI_2011,Ajdovščina,18500,6237,412,0,718,2248,21,83,1059,210,12,176,77,54,178,671,318
SI_3001,Cerknica- Logatec,21724,7367,299,0,1190,2317,46,102,1318,27,15,269,17,72,210,775,710
SI_3002,Vrhnika,17312,5451,230,0,993,1528,43,102,1112,12,11,261,8,56,157,671,267
SI_3003,LJ-Vič-Rudnik I,20001,5820,262,0,984,1681,28,69,1216,18,14,199,7,56,175,584,527
SI_3004,LJ-Vič- Rudnik II,15192,4310,174,0,890,1039,21,109,846,11,28,258,2,34,145,609,144
SI_3005,LJ-Vič- Rudnik III,16198,5213,171,0,1237,1090,29,111,948,8,33,297,4,43,156,948,138
SI_3006,LJ-Vič- Rudnik IV,19119,6137,184,0,956,1935,34,119,1244,19,12,262,5,42,213,730,382
SI_3007,LJ- center,20871,6364,211,0,1437,1258,53,159,1012,37,42,328,10,54,191,1408,164
SI_3008,LJ-Šiška I,15058,4829,194,0,1235,816,26,137,727,14,18,274,14,42,152,1074,106
SI_3009,LJ-Šiška II,17608,5394,212,0,1304,977,46,121,817,9,17,301,15,51,190,1204,130
SI_3010,LJ-Šiška III,16913,5221,194,0,1115,1243,32,114,998,16,18,292,13,48,165,846,127
SI_3011,LJ-Šiška IV,19304,6441,314,0,1197,1898,38,122,1182,24,23,293,11,83,224,774,258
