country,file,row_index,municipality_code,municipality_name,canonical_name,reason
SI,2009.csv,0,SI_1001,JESENICE,JESENICE,special_all_muni
SI,2009.csv,1,SI_1002,RADOVLJICA I,RADOVLJICA I,special_all_muni
SI,2009.csv,2,SI_1003,RADOVLJICA II,RADOVLJICA II,special_all_muni
SI,2009.csv,3,SI_1004,KRANJ I,KRANJ I,special_all_muni
SI,2009.csv,4,SI_1005,KRANJ II,KRANJ II,special_all_muni
SI,2009.csv,5,SI_1006,KRANJ III,KRANJ III,special_all_muni
SI,2009.csv,6,SI_1007,TRŽIČ,TRŽIČ,special_all_muni
SI,2009.csv,7,SI_1008,ŠKOFJA LOKA I,ŠKOFJA LOKA I,special_all_muni
SI,2009.csv,8,SI_1009,ŠKOFJA LOKA II,ŠKOFJA LOKA II,special_all_muni
SI,2009.csv,9,SI_1010,KAMNIK,KAMNIK,special_all_muni
SI,2009.csv,10,SI_1011,IDRIJA,IDRIJA,special_all_muni
SI,2009.csv,11,SI_2001,TOLMIN,TOLMIN,special_all_muni
SI,2009.csv,12,SI_2002,PIRAN,PIRAN,special_all_muni
SI,2009.csv,13,SI_2003,IZOLA,IZOLA,special_all_muni
SI,2009.csv,14,SI_2004,KOPER I,KOPER I,special_all_muni
SI,2009.csv,15,SI_2005,KOPER II,KOPER II,special_all_muni
SI,2009.csv,16,SI_2006,SEŽANA,SEŽANA,special_all_muni
SI,2009.csv,17,SI_2007,ILIRSKA BISTRICA,ILIRSKA BISTRICA,special_all_muni
SI,2009.csv,18,SI_2008,POSTOJNA,POSTOJNA,special_all_muni
SI,2009.csv,19,SI_2009,NOVA GORICA I,NOVA GORICA I,special_all_muni
SI,2009.csv,20,SI_2010,NOVA GORICA II,NOVA GORICA II,special_all_muni
SI,2009.csv,21,SI_2011,AJDOVŠČINA,AJDOVŠČINA,special_all_muni
SI,2009.csv,22,SI_3001,CERKNICA - LOGATEC,CERKNICA - LOGATEC,special_all_muni
SI,2009.csv,23,SI_3002,VRHNIKA,VRHNIKA,special_all_muni
SI,2009.csv,24,SI_3003,LJUBLJANA-VIČ RUDNIK I,LJUBLJANA-VIČ RUDNIK I,special_all_muni
SI,2009.csv,25,SI_3004,LJUBLJANA-VIČ RUDNIK II,LJUBLJANA-VIČ RUDNIK II,special_all_muni
SI,2009.csv,26,SI_3005,LJUBLJANA-VIČ RUDNIK III,LJUBLJANA-VIČ RUDNIK III,special_all_muni
SI,2009.csv,27,SI_3006,LJUBLJANA-VIČ RUDNIK IV,LJUBLJANA-VIČ RUDNIK IV,special_all_muni
SI,2009.csv,28,SI_3007,LJUBLJANA-CENTER,LJUBLJANA-CENTER,special_all_muni
SI,2009.csv,29,SI_3008,LJUBLJANA-ŠIŠKA I,LJUBLJANA-ŠIŠKA I,special_all_muni
SI,2009.csv,30,SI_3009,LJUBLJANA-ŠIŠKA II,LJUBLJANA-ŠIŠKA II,special_all_muni
SI,2009.csv,31,SI_3010,LJUBLJANA-ŠIŠKA III,LJUBLJANA-ŠIŠKA III,special_all_muni
