gisco_id,name,registered,turnout,invalid,blank,SMC,Zsi,ZS,DD,SNS,Povežimo se,LMŠ,NSi,SDS-SLS,DOM,SD,Levica,DeSUS,SAB
SI_9999,Votes outside of a municipality,0,4313,39,0,84,17,216,36,104,146,357,787,746,57,790,603,146,185
SI_1001,Jesenice,26374,6627,213,0,261,35,146,30,201,61,1494,525,1393,183,1018,394,284,389
SI_1002,Radovljica I,13600,4467,128,0,63,31,128,21,167,56,744,508,999,144,733,239,212,294
SI_1003,Radovljica II,15877,4938,113,0,89,30,133,34,196,78,974,539,1028,102,793,309,272,248
SI_1004,Kranj I,20555,6039,153,0,53,34,127,36,161,79,1076,560,1382,165,1041,468,313,391
SI_1005,Kranj II,20671,5906,128,0,73,35,132,22,167,92,1006,580,1388,159,1006,441,274,403
SI_1006,Kranj III,24018,7971,132,0,110,50,194,37,289,102,1363,1212,2428,196,942,317,308,291
SI_1007,Tržič,12657,3406,105,0,53,25,75,47,124,87,685,374,802,87,432,151,221,138
SI_1008,Škofja Loka I,18578,6174,113,0,61,26,162,36,152,72,1002,764,1927,133,815,487,213,211
SI_1009,Škofja Loka II,15426,5523,86,0,36,23,102,13,184,78,719,964,2067,119,624,237,141,130
SI_1010,Kamnik,27996,8662,142,0,115,26,145,26,179,106,2861,1277,1735,161,839,393,327,330
SI_1011,Idrija,13649,4322,142,0,39,26,100,32,144,67,645,595,1210,91,769,189,161,112
SI_2001,Tolmin,16328,5797,147,0,73,30,149,22,241,43,726,872,1798,58,941,283,245,169
SI_2002,Piran,14817,3546,129,0,82,20,172,27,123,25,461,194,543,66,880,355,291,178
SI_2003,Izola,12768,3197,75,0,243,24,99,28,113,27,401,170,491,45,759,268,287,167
SI_2004,Koper I,18540,4535,127,0,86,28,165,36,147,76,584,245,528,71,1284,530,328,300
SI_2005,Koper II,24786,6026,172,0,207,51,249,53,226,83,791,468,925,102,1364,626,389,320
SI_2006,Sežana,21836,6586,197,0,94,48,208,52,319,80,943,527,1077,112,1583,487,530,329
SI_2007,Ilirska Bistrica,12899,3400,113,0,36,26,56,19,208,40,442,464,873,63,579,157,217,107
SI_2008,Postojna,18116,5245,107,0,67,16,119,20,181,71,725,502,1480,100,903,380,311,263
SI_2009,Nova Gorica I,25310,7933,165,0,83,56,161,43,264,82,761,956,2182,119,2088,379,328,266
SI_2010,Nova Gorica II,24104,7917,157,0,69,49,166,61,193,65,757,628,1586,184,2498,619,389,496
SI_2011,Ajdovščina,20622,6965,173,0,66,39,120,34,180,76,672,1492,2127,126,1177,305,238,140
SI_3001,Logatec,24983,8145,201,0,103,28,151,31,272,102,1235,1619,2134,138,1188,387,365,191
SI_3002,Vrhnika,19838,6760,150,0,78,39,234,30,205,98,1153,803,1629,108,1201,412,378,242
SI_3003,Ljubljana Vič - Rudnik I,24992,7851,130,0,91,33,197,59,231,110,1457,851,2228,153,1157,457,437,260
SI_3004,Ljubljana Vič - Rudnik II,16884,5486,68,0,73,13,141,27,142,107,805,586,1059,114,1138,610,310,293
SI_3005,Ljubljana Vič - Rudnik III,16567,6173,79,0,85,18,183,50,123,145,983,559,1030,138,1319,664,430,367
SI_3006,Ljubljana Vič - Rudnik IV,21415,7303,92,0,91,35,235,40,189,117,1083,926,2035,160,1112,544,338,306
SI_3007,Ljubljana Center,22270,7335,68,0,93,21,255,33,129,210,902,647,1068,143,1588,1273,353,552
SI_3008,Ljubljana Šiška I,14364,4807,81,0,44,18,149,30,81,128,788,331,680,104,1124,689,272,288
SI_3009,Ljubljana Šiška II,18427,6440,96,0,75,25,177,28,137,128,1067,556,987,117,1473,776,444,354
SI_3010,Ljubljana Šiška III,17103,5950,106,0,65,23,172,33,163,122,1018,581,1156,117,1112,637,306,339
SI_3011,Ljubljana Šiška IV,22073,7525,124,0,80,47,256,44,210,138,1380,1034,1613,159,1220,460,440,320
SI_4001,Kočevje,14441,3332,67,0,44,23,70,11,262,21,509,267,643,55,823,176,273,88
SI_4002,Ribnica,11561,3655,72,0,36,29,56,15,182,46,442,730,1261,57,448,99,99,83
SI_4003,Grosuplje,31755,9659,140,0,124,41,211,40,279,139,1200,1270,3808,182,1191,386,432,216
SI_4004,Litija,17289,5277,128,0,57,30,81,28,205,46,1227,433,1742,79,626,233,248,114
SI_4005,Ljubljana Moste - Polje I,23281,7110,149,0,76,40,139,27,266,115,1375,838,1585,136,1258,545,303,258
SI_4006,Ljubljana Moste - Polje II,15826,4208,91,0,55,15,114,17,148,60,828,299,527,97,932,488,304,233
SI_4007,Ljubljana Moste - Polje III,20569,6120,98,0,60,25,150,43,190,120,1034,592,1093,118,1220,683,378,316
SI_4008,Ljubljana Bežigrad I,23543,8418,154,0,96,30,197,70,215,167,1476,911,1599,162,1612,767,471,491
SI_4009,Ljubljana Bežigrad II,21303,7122,100,0,92,21,240,41,184,176,1071,595,1040,129,1600,958,407,468
SI_4010,Domžale I,24081,7657,151,0,78,48,169,33,278,106,1811,1294,1656,154,989,295,268,327
SI_4011,Domžale II,22467,7360,138,0,62,42,207,47,219,95,1921,919,1353,148,1144,405,341,319
SI_5001,Šentjur pri Celju,17092,4483,126,0,91,63,73,37,264,69,681,418,1535,41,607,130,220,128
SI_5002,Celje I,29690,7620,199,0,174,60,171,35,380,142,1056,661,2151,156,1265,415,462,293
SI_5003,Celje II,22429,6088,156,0,184,34,140,34,277,141,949,357,1304,115,1244,480,376,297
SI_5004,Žalec I,17957,4912,79,0,56,32,116,25,226,147,718,346,1451,80,812,179,353,292
SI_5005,Žalec II,18621,5669,95,0,78,55,108,33,275,259,866,595,1517,94,897,175,410,212
SI_5006,Mozirje,13771,4434,97,0,25,23,54,11,142,935,464,417,1424,40,395,122,197,88
SI_5007,Velenje I,16553,4500,89,0,33,22,53,20,160,156,600,270,1045,71,1264,242,351,124
SI_5008,Velenje II,17563,4892,118,0,53,28,82,24,286,158,592,393,1489,60,953,185,360,111
SI_5009,Slovenj Gradec,18127,4896,79,0,53,23,76,14,206,70,875,357,1101,88,1078,230,377,269
SI_5010,Ravne na Koroškem,21344,5852,139,0,65,37,72,25,279,41,856,713,1318,85,1233,290,338,361
SI_5011,Radlje ob Dravi,20950,4938,133,0,77,38,56,18,229,45,824,385,1408,38,993,159,362,173
SI_6001,Črnomelj,22988,6609,163,0,88,46,95,29,414,31,875,699,1832,95,1226,452,429,135
SI_6002,Novo mesto I,26540,6976,147,0,79,53,128,36,410,61,713,1052,2516,100,956,251,345,129
SI_6003,Novo mesto II,25806,7571,168,0,86,39,161,31,329,109,1090,851,1786,151,1404,518,595,253
SI_6004,Trebnje,16573,4643,112,0,77,32,66,23,215,43,575,826,1418,124,663,164,236,69
SI_6005,Brežice,21323,5377,108,0,207,52,115,26,206,40,758,319,1803,60,794,356,276,257
SI_6006,Krško,23611,6996,158,0,73,93,89,44,354,43,728,373,3342,81,842,291,313,172
SI_6007,Sevnica,15211,4348,112,0,39,29,64,19,196,40,632,309,1709,68,563,165,276,127
SI_6008,Laško,15075,4342,83,0,139,43,70,9,207,30,448,439,1032,47,1304,157,218,116
SI_6009,Hrastnik,7984,2061,60,0,74,11,24,9,114,18,363,84,243,18,584,102,284,73
SI_6010,Trbovlje,13859,3751,97,0,61,23,49,15,154,48,686,195,735,40,891,251,302,204
SI_6011,Zagorje ob Savi,13909,4075,112,0,84,23,56,13,166,44,839,384,864,48,808,229,249,156
SI_7001,Šmarje pri Jelšah,27752,6176,154,0,138,72,90,35,330,51,732,791,2104,58,862,217,350,192
SI_7002,Slovenska Bistrica,30307,7634,154,0,100,80,116,48,490,92,1062,636,2545,85,1283,276,502,165
SI_7003,Slovenske Konjice,19030,5166,121,0,70,60,81,24,348,54,669,506,1756,49,900,153,266,109
SI_7004,Ruše,12945,3010,55,0,102,27,61,13,147,44,490,212,760,36,536,166,250,111
SI_7005,Maribor I,18553,4787,103,0,156,46,84,27,194,89,780,314,1301,71,884,271,264,203
SI_7006,Maribor II,21254,5194,91,0,116,79,72,34,240,73,842,388,1414,62,983,254,363,183
SI_7007,Maribor III,18958,4353,92,0,99,45,59,18,166,65,571,249,1727,59,640,206,217,140
SI_7008,Maribor IV,14500,4196,59,0,185,37,108,15,131,104,556,262,842,54,947,390,271,235
SI_7009,Maribor V,16643,3889,75,0,105,50,85,12,149,58,616,238,884,55,806,320,265,171
SI_7010,Maribor VI,16832,4588,73,0,135,38,68,20,155,71,795,235,1059,71,977,386,286,219
SI_7011,Maribor VII,15003,3264,69,0,72,53,52,10,129,44,510,182,714,44,682,298,261,144
SI_8001,Lendava,21743,4823,107,0,67,21,76,21,205,26,388,1615,1193,35,668,137,198,66
SI_8002,Ormož,14571,3672,90,0,123,37,48,13,307,23,429,526,1093,22,504,87,311,59
SI_8003,Ljutomer,15481,3665,93,0,70,41,72,15,208,23,508,380,972,23,795,132,259,74
SI_8004,Murska Sobota I,25041,7015,124,0,102,44,85,21,439,40,680,975,1732,44,2105,213,246,165
SI_8005,Murska Sobota II,25287,7245,170,0,96,37,82,28,276,52,743,1071,1555,45,2322,314,323,131
SI_8006,Gornja Radgona,18025,4252,82,0,43,52,74,45,187,41,542,590,1158,40,850,155,293,100
SI_8007,Lenart,16204,3517,101,0,69,51,67,13,156,32,407,505,1269,47,458,117,163,62
SI_8008,Pesnica,16584,3601,65,0,72,35,43,11,160,39,529,360,1272,41,490,139,227,118
SI_8009,Ptuj I,21453,5309,128,0,69,62,98,21,368,38,472,501,2347,37,659,183,188,138
SI_8010,Ptuj II,17277,4430,93,0,59,35,109,11,192,38,531,357,1288,53,922,322,258,162
SI_8011,Ptuj III,19888,4450,114,0,78,38,50,17,308,25,437,441,1885,42,554,143,217,101
