gisco_id,name,registered,turnout,invalid,blank,"NOVA, Konzervatívni demokrati Slovenska, Občianska konzervatívna strana",Kresťanskodemokratické hnutie,SMER - sociálna demokracia,Slovenská ľudová strana,Národ a Spravodlivosť - naša strana,Magnificat Slovakia,DEMOKRATICKÁ OBČIANSKA STRANA,7 STATOČNÝCH REGIONÁLNA STRANA SLOVENSKA,Maďarská kresťanskodemokratická aliancia - Magyar Kereszténydemokrata Szövetség,Strana TIP,Ľudová strana Naše Slovensko,EURÓPSKA DEMOKRATICKÁ STRANA,NOVÝ PARLAMENT,MOST - HÍD,Kresťanská SLOVENSKÁ NÁRODNÁ STRANA,Strana demokratického Slovenska,Strana zelených,VZDOR - strana práce,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,PRÁVO A SPRAVODLIVOSŤ,Sloboda a Solidarita,Strana moderného Slovenska,Komunistická strana Slovenska,ÚSVIT,Strana občianskej ľavice,Slovenská národná strana,Slovenská demokratická a kresťanská únia - Demokratická strana,"PRIAMA DEMOKRACIA, Kresťanská ľudová strana",Strana maďarskej komunity - Magyar Közösség Pártja
SK_529435,Bratislava - mestská časť Čunovo,986,175,1,0,21,18,23,1,1,5,1,0,0,4,9,0,1,12,0,0,1,1,4,2,22,0,1,0,0,2,38,2,5
SK_529401,Bratislava - mestská časť Devín,1096,281,8,0,54,37,41,0,2,0,0,0,0,4,10,3,0,8,0,7,1,1,13,0,46,0,1,1,0,11,33,0,0
SK_529371,Bratislava - mestská časť Devínska Nová Ves,14578,2201,51,0,289,180,344,9,45,4,5,4,0,63,34,16,6,82,5,17,13,4,183,41,358,13,22,2,1,61,330,12,7
SK_529389,Bratislava - mestská časť Dúbravka,31185,5578,107,0,747,524,1265,13,83,24,3,13,4,206,60,27,11,193,6,41,24,4,322,70,602,22,63,22,1,174,880,29,38
SK_529443,Bratislava - mestská časť Jarovce,1551,340,14,0,69,25,43,1,2,2,1,0,0,4,5,3,4,24,0,3,1,0,4,8,36,0,2,1,1,6,73,4,4
SK_529397,Bratislava - mestská časť Karlova Ves,29588,6424,131,0,948,620,1094,8,93,41,1,8,1,243,55,52,19,287,17,38,34,3,456,103,857,19,72,9,1,179,990,14,31
SK_529419,Bratislava - mestská časť Lamač,6042,1521,32,0,172,180,336,2,21,9,2,3,0,40,13,5,2,51,14,30,8,3,126,17,142,0,18,5,0,68,204,7,11
SK_529346,Bratislava - mestská časť Nové Mesto,34948,7304,180,0,1060,646,1375,18,68,42,5,10,3,222,54,48,12,358,16,67,36,7,461,105,849,14,56,11,3,256,1207,42,73
SK_529460,Bratislava - mestská časť Petržalka,99176,15358,202,0,1921,1497,2828,40,232,115,11,33,7,644,248,119,40,661,32,109,132,19,1104,288,1960,44,161,39,13,474,2139,74,172
SK_529311,Bratislava - mestská časť Podunajské Biskupice,18868,2727,40,0,278,201,574,8,36,11,1,7,0,89,33,12,4,285,10,21,17,3,135,54,295,5,22,6,1,82,339,7,151
SK_529354,Bratislava - mestská časť Rača,18289,3403,69,0,459,348,793,9,55,22,1,2,0,138,25,18,9,100,10,21,24,5,211,37,394,6,48,7,1,129,437,14,11
SK_529494,Bratislava - mestská časť Rusovce,2792,510,7,0,75,29,69,0,6,3,0,0,0,7,3,6,1,39,4,4,5,0,21,3,66,1,1,7,0,22,110,15,6
SK_529320,Bratislava - mestská časť Ružinov,64743,12933,311,0,1840,1352,2680,16,167,86,11,22,5,302,133,64,29,559,27,125,64,10,662,172,1584,34,120,21,8,385,1981,47,116
SK_528595,Bratislava - mestská časť Staré Mesto,36114,9061,151,0,1662,933,1349,19,84,45,4,13,3,162,79,70,11,563,18,61,33,3,553,88,1149,39,86,17,9,182,1546,45,84
SK_529362,Bratislava - mestská časť Vajnory,4255,780,21,0,91,96,145,0,11,1,0,2,0,17,6,7,2,22,0,6,2,0,49,8,136,0,1,1,0,19,131,2,4
SK_529338,Bratislava - mestská časť Vrakuňa,16937,2249,61,0,245,176,487,7,41,14,1,2,1,94,21,8,2,106,3,20,13,4,124,46,276,9,28,12,5,81,319,5,38
SK_529427,Bratislava - mestská časť Záhorská Bystrica,3236,703,20,0,128,60,108,0,4,1,0,1,0,18,5,8,2,23,3,7,3,1,32,9,104,0,6,0,0,27,133,0,0
SK_507831,Borinka,579,120,4,0,17,13,8,0,2,0,0,0,0,6,1,0,0,7,0,0,0,0,18,0,18,3,0,0,0,4,18,0,1
SK_507890,Gajary,2429,140,1,0,9,9,40,2,4,0,0,1,0,10,1,0,0,1,0,4,1,0,15,1,7,0,2,0,0,17,12,3,0
SK_507954,Jablonové (okres Malacky),1018,91,1,0,9,8,29,1,1,2,0,0,0,2,2,0,0,1,0,11,2,0,1,0,14,1,0,0,0,5,1,0,0
SK_507962,Jakubov,1307,111,4,0,8,8,34,0,4,0,1,0,0,8,3,0,0,1,0,4,0,0,8,1,7,0,0,0,0,7,12,1,0
SK_508012,Kostoliste,1054,117,5,0,9,11,26,0,3,0,2,1,0,9,2,0,0,3,0,0,0,0,14,1,15,0,0,1,1,3,10,1,0
SK_508021,Kuchyna,1420,105,1,0,6,6,30,1,6,2,0,2,0,2,1,1,0,0,2,2,1,0,15,2,6,0,0,0,0,4,15,0,0
SK_508039,Lab,1279,161,6,0,19,10,40,1,6,1,0,0,0,4,1,1,0,4,0,0,1,0,20,2,19,2,1,0,0,3,20,0,0
SK_508055,Lozorno,2488,203,2,0,32,27,31,0,2,3,0,2,0,8,1,1,0,2,1,3,0,0,19,5,20,3,1,1,0,11,27,0,1
