gisco_id,name,registered,turnout,invalid,blank,Smer-SD,KDŽP,ĽSNS,KOREKTÚRA,SNS,SR,OĽaNO,STAN,SP,STS,HĽ,MKDA-MKDSZ,DOPRAVA,KDH,SZ,MH,PD,SRK,SKS,SNJ,SMK-MKP,DOMA DOBRE,KSS-VZDOR,EDS,SaS,SĽS,NAJ,KÚ,PS-Spolu,DS,NK
SK_528595,Bratislava - mestská časť Staré Mesto,36934,15771,213,0,1004,127,969,145,411,274,486,32,40,5,46,4,48,1496,101,140,29,1,5,12,111,23,47,16,2139,39,4,398,7267,71,68
SK_529311,Bratislava - mestská časť Podunajské Biskupice,19267,5107,92,0,606,29,453,56,150,172,234,14,33,1,4,3,16,338,30,162,17,2,5,2,222,13,20,5,725,16,4,126,1526,13,18
SK_529320,Bratislava - mestská časť Ružinov,65524,23228,368,0,2148,192,1598,228,743,472,870,60,58,7,63,9,76,1965,206,210,53,7,31,19,154,32,72,17,3569,49,17,649,9121,64,101
SK_529338,Bratislava - mestská časť Vrakuňa,17600,4395,72,0,507,23,429,39,156,130,195,19,20,1,18,4,17,329,54,49,9,2,6,8,48,13,18,6,716,13,3,104,1355,9,23
SK_529346,Bratislava - mestská časť Nové Mesto,34221,12955,163,0,1110,110,857,126,402,225,471,34,38,2,37,2,43,1102,116,97,26,2,9,7,80,14,39,15,1867,56,8,313,5501,31,52
SK_529354,Bratislava - mestská časť Rača,19941,6674,108,0,722,67,580,48,270,178,292,24,20,2,18,1,21,538,45,44,17,1,2,2,27,22,45,11,952,16,12,238,2319,12,20
SK_529362,Bratislava - mestská časť Vajnory,4594,1533,32,0,143,16,136,16,60,33,75,3,6,0,4,2,4,122,16,7,5,0,0,0,5,5,4,2,257,2,0,39,522,9,8
SK_529401,Bratislava - mestská časť Devín,1353,597,8,0,30,4,42,5,19,18,18,2,0,0,1,0,3,62,5,1,1,0,0,0,0,0,0,0,99,2,0,8,266,1,2
SK_529371,Bratislava - mestská časť Devínska Nová Ves,14134,4340,76,0,345,37,399,32,131,165,205,19,10,0,11,0,17,358,58,17,19,2,3,2,5,11,21,9,681,9,3,102,1553,14,26
SK_529389,Bratislava - mestská časť Dúbravka,31435,9814,162,0,1138,80,789,94,355,287,403,31,31,5,21,6,34,911,104,53,27,1,1,5,46,8,61,10,1430,39,4,267,3343,23,45
SK_529397,Bratislava - mestská časť Karlova Ves,31029,10926,165,0,938,89,740,79,317,201,429,24,22,3,14,2,36,1026,83,95,26,3,4,9,50,24,58,12,1613,40,9,372,4356,32,55
SK_529419,Bratislava - mestská časť Lamač,6059,2461,26,0,272,23,218,30,120,55,76,4,11,0,4,4,6,268,19,17,1,1,1,9,10,2,5,1,329,18,4,123,777,9,18
SK_529427,Bratislava - mestská časť Záhorská Bystrica,4423,1730,41,0,134,16,124,9,51,21,79,3,0,0,0,0,8,132,13,6,1,1,0,0,0,2,6,1,339,6,2,54,669,2,10
SK_529435,Bratislava - mestská časť Čunovo,1187,461,11,0,32,5,34,6,9,8,32,3,0,1,1,0,0,45,8,4,0,0,0,0,3,1,0,0,95,1,0,14,143,3,2
SK_529443,Bratislava - mestská časť Jarovce,1980,741,19,0,71,4,41,5,18,19,51,0,5,1,2,0,2,51,4,11,1,0,0,1,5,0,1,0,139,1,1,12,271,2,3
SK_529460,Bratislava - mestská časť Petržalka,94515,28658,228,0,3023,239,2645,270,1001,717,1240,85,101,9,69,10,66,2398,259,272,71,6,13,20,228,62,131,31,4194,86,21,874,10088,64,137
SK_529494,Bratislava - mestská časť Rusovce,3322,1250,20,0,96,12,54,10,44,48,60,5,4,0,5,1,4,89,10,28,6,1,1,2,8,0,3,2,202,1,2,21,503,4,4
SK_507831,Borinka,682,256,4,0,14,4,23,5,5,7,13,0,0,0,0,0,6,29,2,1,1,0,0,0,0,0,0,0,52,0,0,3,87,0,0
SK_507890,Gajary,2488,384,19,0,86,2,45,0,31,14,46,2,4,0,1,0,0,23,1,0,2,0,0,0,0,7,1,0,33,0,0,4,59,2,2
SK_507954,Jablonové (okres Malacky),1052,253,6,0,35,1,17,1,13,3,12,0,2,0,36,0,0,21,2,0,0,0,0,0,0,0,1,0,21,0,0,5,77,0,0
SK_507962,Jakubov,1340,235,5,0,45,2,30,0,15,11,14,0,1,5,0,0,1,11,3,2,1,0,0,0,0,0,2,0,24,0,1,3,58,1,0
SK_508012,Kostoliste,1227,272,8,0,25,4,33,3,10,16,19,0,3,0,0,0,0,24,1,0,0,1,0,0,0,0,0,0,48,1,0,17,56,2,1
SK_508021,Kuchyna,1440,277,9,0,48,4,30,2,10,8,16,2,0,0,1,0,0,32,4,1,1,0,0,0,0,3,1,0,49,2,1,7,43,1,2
SK_508039,Lab,1509,395,3,0,52,1,57,2,12,19,24,1,0,0,1,0,1,30,4,0,0,0,0,0,1,2,0,3,51,2,0,32,97,0,0
SK_508055,Lozorno,2542,515,8,0,43,6,46,2,8,22,33,1,2,0,1,1,0,52,5,2,1,0,0,0,1,3,1,0,81,1,0,19,167,2,7
SK_508063,Malacky,15228,3311,60,0,550,45,354,31,147,168,181,12,7,1,8,0,8,227,38,5,6,2,1,2,4,5,14,3,422,12,3,100,882,2,11
SK_504556,Male Levare,1123,149,0,0,31,1,14,0,3,7,15,1,0,0,2,0,0,22,0,0,2,0,0,0,0,0,0,0,13,2,0,4,32,0,0
SK_508080,Marianka,1667,645,12,0,31,5,38,2,24,12,31,4,0,0,1,0,23,76,4,2,1,0,1,1,0,0,0,0,104,1,0,26,244,0,2
SK_508161,Pernek,732,156,2,0,22,3,29,3,8,8,7,2,0,0,4,0,1,6,2,1,1,0,0,0,0,1,0,0,18,0,0,4,34,0,0
SK_504629,Plavecke Podhradie,582,149,9,0,15,1,11,0,12,5,6,1,5,0,0,0,0,22,1,0,1,0,0,0,0,13,0,0,6,1,5,4,31,0,0
SK_504637,Plavecky Mikulas,622,177,3,0,20,1,26,0,13,7,6,1,5,0,2,0,1,21,4,0,0,0,1,0,0,5,1,0,16,0,4,6,33,0,1
SK_508195,Plavecky Stvrtok,1995,404,13,0,67,3,41,6,12,18,29,6,1,0,0,0,0,24,3,0,3,1,0,0,0,0,0,1,47,2,0,13,112,0,2
SK_504769,Rohožník (okres Malacky),2920,498,10,0,77,8,73,9,20,28,39,7,1,0,1,1,0,20,9,2,1,0,0,0,0,10,0,1,58,3,3,30,82,1,4
SK_504858,Solosnica,1341,306,2,0,61,2,33,3,17,12,26,1,0,0,0,0,1,22,3,0,0,0,0,0,1,4,1,1,26,2,4,12,71,1,0
SK_504874,Studienka,1429,276,4,0,56,4,25,4,10,16,22,2,0,0,0,0,0,17,1,0,1,1,0,0,0,2,0,0,35,3,0,3,70,0,0
SK_508233,Stupava,9228,2852,48,0,256,33,238,30,96,71,141,8,15,5,3,0,13,240,30,13,3,0,2,9,3,5,3,2,468,6,1,114,978,6,12
SK_508241,Suchohrad,585,120,5,0,31,1,15,1,6,5,10,0,0,0,2,0,3,2,1,0,0,0,0,0,0,2,0,0,16,0,0,0,20,0,0
SK_504947,Velke Levare,3018,488,15,0,91,11,76,1,27,16,39,1,1,1,1,0,1,32,4,0,2,0,1,1,3,0,3,0,36,1,0,19,105,0,0
SK_508349,Vysoka pri Morave,1824,413,22,0,90,5,35,3,18,20,26,3,0,0,1,0,2,8,4,1,1,0,0,0,0,0,3,0,62,2,0,12,92,1,2
SK_500267,Záhorie (vojenský obvod),140,27,1,0,3,0,3,3,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,0,0,0,6,0,0
SK_508365,Zahorska Ves,1493,220,4,0,42,3,42,3,14,3,8,1,1,0,1,0,0,17,6,8,0,0,0,0,0,0,0,0,21,0,0,2,40,0,4
SK_504980,Zavod,2368,336,7,0,62,2,65,2,9,6,17,2,5,1,0,0,0,45,6,1,1,0,0,0,0,0,0,0,45,3,1,4,50,1,1
SK_508381,Zohor,2712,620,10,0,72,9,56,8,24,29,51,1,0,0,2,0,0,62,10,6,0,0,0,0,2,1,1,0,84,1,3,30,151,0,7
SK_507806,Bahon,1530,409,6,0,69,11,46,2,14,9,27,6,0,1,1,0,0,50,5,1,2,0,0,1,0,2,0,0,43,1,0,32,77,2,1
SK_507849,Budmerice,1960,476,11,0,45,2,63,9,7,15,17,1,5,0,2,0,1,12,3,1,6,0,1,0,1,7,0,0,25,1,0,145,94,2,0
SK_507857,Casta,1904,453,11,0,55,7,58,4,16,19,28,1,1,0,0,0,0,37,5,0,0,0,0,0,0,3,0,0,43,2,1,44,117,0,1
SK_507873,Doľany (okres Pezinok),894,284,8,0,47,1,42,1,9,7,24,0,0,0,0,0,0,12,2,0,0,0,0,0,0,2,0,1,40,3,0,22,60,1,2
SK_507881,Dubová (okres Pezinok),930,265,9,0,34,7,41,1,11,20,11,1,0,0,0,0,0,21,3,0,0,0,1,0,0,0,1,0,26,1,0,13,62,0,2
SK_507946,Jablonec,807,164,2,0,20,0,28,0,4,9,14,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,14,1,0,35,24,0,2
SK_508047,Limbach,1682,557,2,0,48,7,30,6,24,22,23,4,0,0,4,0,2,39,7,3,0,0,1,0,0,0,2,3,97,0,1,28,192,2,10
SK_508101,Modra,7643,2383,38,0,258,33,205,26,97,68,132,12,5,0,4,0,8,111,28,6,6,1,0,1,5,13,27,3,368,3,1,58,848,6,12
SK_508179,Pezinok,19803,5917,118,0,641,60,447,58,245,188,316,18,26,0,13,0,10,468,75,11,10,1,0,0,2,22,35,8,711,18,4,190,2180,12,30
SK_508187,Píla (okres Pezinok),304,91,2,0,13,0,5,2,2,7,4,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,15,2,0,3,29,1,0
