country,file,row_index,municipality_code,municipality_name,canonical_name,reason
FR,2007_2.csv,28290,FR_97601,ACOUA,ACOUA,special_mayotte
FR,2007_2.csv,28291,FR_97602,BANDRABOUA,BANDRABOUA,special_mayotte
FR,2007_2.csv,28292,FR_97603,BANDRELE,BANDRELE,special_mayotte
FR,2007_2.csv,28293,FR_97604,BOUÉNI,BOUÉNI,special_mayotte
FR,2007_2.csv,28294,FR_97605,CHICONI,CHICONI,special_mayotte
FR,2007_2.csv,28295,FR_97606,CHIRONGUI,CHIRONGUI,special_mayotte
FR,2007_2.csv,28296,FR_97607,DEMBENI,DEMBENI,special_mayotte
FR,2007_2.csv,28297,FR_97608,DZAOUDZI,DZAOUDZI,special_mayotte
FR,2007_2.csv,28298,FR_97609,KANI-KÉLI,KANI-KÉLI,special_mayotte
FR,2007_2.csv,28299,FR_97610,KOUNGOU,KOUNGOU,special_mayotte
FR,2007_2.csv,28300,FR_97611,MAMOUDZOU,MAMOUDZOU,special_mayotte
FR,2007_2.csv,28301,FR_97612,MTSAMBORO,MTSAMBORO,special_mayotte
FR,2007_2.csv,28302,FR_97613,M'TSANGAMOUJI,M'TSANGAMOUJI,special_mayotte
FR,2007_2.csv,28303,FR_97614,OUANGANI,OUANGANI,special_mayotte
FR,2007_2.csv,28304,FR_97615,PAMANDZI,PAMANDZI,special_mayotte
FR,2007_2.csv,28305,FR_97616,SADA,SADA,special_mayotte
FR,2007_2.csv,28306,FR_97617,TSINGONI,TSINGONI,special_mayotte
FR,2007_2.csv,28307,FR_98801,Ensemble du département ZN,Ensemble du département ZN,special_nouvelle_caledonie
FR,2007_2.csv,28309,FR_98701,Ensemble du département ZP,Ensemble du département ZP,special_polynesie_francaise
FR,2007_2.csv,28311,FR_97501,Ensemble du département ZS,Ensemble du département ZS,special_saint_pierre_et_miquelon
FR,2007_2.csv,28312,FR_98601,Ensemble du département ZW,Ensemble du département ZW,special_wallis_et_futuna
