gisco_id,name,registered,turnout,invalid,blank,UG,DIV,EXG,ENS,RN,LR,ECO,DVD,REC,UXD,DSV,EXD,DVG,UDI,REG,DVC,HOR,COM,SOC,VEC,FI,RDG
FR_01001,LAbergement-Clémenciat,662,492,7,9,83,0,2,86,258,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01002,LAbergement-de-Varey,228,178,1,6,62,0,1,19,0,5,2,40,0,42,0,0,0,0,0,0,0,0,0,0,0,0
FR_01004,Ambérieu-en-Bugey,8744,6037,47,100,1759,0,94,789,0,262,51,727,60,2148,0,0,0,0,0,0,0,0,0,0,0,0
FR_01005,Ambérieux-en-Dombes,1337,960,7,12,173,1,14,198,494,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01006,Ambléon,98,68,0,3,14,1,1,22,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01007,Ambronay,2073,1530,14,23,310,0,11,226,0,38,19,250,11,628,0,0,0,0,0,0,0,0,0,0,0,0
FR_01008,Ambutrix,568,418,6,4,85,0,6,82,178,46,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
FR_01009,Andert-et-Condon,287,196,0,5,42,2,2,56,77,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
FR_01010,Anglefort,826,565,6,8,104,2,3,133,266,31,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
FR_01011,Apremont,295,230,2,8,45,0,1,9,0,3,3,52,3,104,0,0,0,0,0,0,0,0,0,0,0,0
FR_01012,Aranc,299,218,2,3,64,0,2,25,0,3,1,36,0,82,0,0,0,0,0,0,0,0,0,0,0,0
FR_01013,Arandas,125,93,0,2,14,0,1,11,0,8,0,9,0,48,0,0,0,0,0,0,0,0,0,0,0,0
FR_01014,Arbent,2253,1438,11,27,423,0,13,158,0,33,8,275,10,480,0,0,0,0,0,0,0,0,0,0,0,0
FR_01015,Arboys en Bugey,562,407,8,12,88,2,3,101,147,37,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
FR_01016,Arbigny,332,240,2,5,32,0,1,15,112,67,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
FR_01017,Argis,324,226,4,6,54,0,3,24,0,1,5,26,1,102,0,0,0,0,0,0,0,0,0,0,0,0
FR_01019,Armix,37,33,0,0,9,0,1,8,0,0,1,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0
FR_01021,Ars-sur-Formans,1088,864,1,21,145,0,6,209,323,111,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0
FR_01022,Artemare,898,608,6,12,107,0,11,52,0,17,13,108,7,275,0,0,0,0,0,0,0,0,0,0,0,0
FR_01023,Asnières-sur-Saône,61,54,0,0,8,0,1,5,32,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01024,Attignat,2486,1809,10,31,345,0,12,218,749,428,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
FR_01025,Bâgé-Dommartin,3174,2164,22,34,350,1,25,389,984,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01026,Bâgé-le-Châtel,635,432,5,6,76,0,3,87,180,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01027,Balan,1316,963,6,18,163,0,10,226,419,86,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
FR_01028,Baneins,432,318,0,4,46,1,5,67,160,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_01029,Beaupont,464,329,1,5,48,0,1,35,147,88,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
FR_01030,Beauregard,575,409,3,6,92,0,3,78,171,39,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
FR_01031,Bellignat,1917,1183,12,13,315,0,13,130,0,26,5,238,4,427,0,0,0,0,0,0,0,0,0,0,0,0
FR_01032,Béligneux,2089,1432,4,23,316,0,14,311,639,105,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
