gisco_id,name,registered,turnout,invalid,blank,FIDESZ-Magyar Polgári Szövetség Kereszténydemokrata Néppárt,MAGYAR SZOCIALISTA PÁRT,MIÉP-Jobbik a Harmadik Út,MAGYAR KOMMUNISTA MUNKÁSPÁRT,SZABAD DEMOKRATÁK SZÖVETSÉGE A MAGYAR LIBERÁLIS PÁRT,MAGYAR DEMOKRATA FÓRUM,SZABAD DEMOKRATÁK SZÖVETSÉGE- A MAGYAR LIBERÁLIS PÁRT,MAGYAR VIDÉK ÉS POLGÁRI PÁRT,KERESZTÉNYDEMOKRATAPÁRT- KERESZTÉNYSZOCIÁLIS CENTRUM ÖSSZEFOGÁS,MCF ROMA ÖSSZEFOGÁS PÁRT,MAGYARORSZÁGI MUNKÁSPÁRT 2006,FIDESZ MAGYAR POLGÁRISZÖVETSÉG KERESZTÉNYDEMOKRATA NÉPPÁRT,"FÜGGETLEN KISGAZDA-, NEMZETI EGYSÉG PÁRT",CENTRUM ÖSSZEFOGÁS MAGYARORSZÁGÉRT,SZABAD DEMOKRATÁK SZÖVETSÉGE-A MAGYAR LIBERÁLIS PÁRT,"FÜGGETLEN KISGAZDA, FÖLDMUNKÁS ÉS POLGÁRI PÁRT",FIDESZ-MagyarPolgári Szövetség Kereszténydemokrata Néppárt,CENTRUM Összefogás Magyarországért,FIDESZ- Magyar Polgári Szövetség KERESZTÉNYDEMOKRATA NÉPPÁRT,ZÖLDEK PÁRTJA,SZABAD DEMOKRATÁK SZÖVETSÉGE - A MAGYAR LIBERÁLIS PÁRT,"Független Kisgazda-, Nemzeti Egység Párt",Magyar Demokrata Fórum,Magyar Kommunista Munkáspárt,Fidesz-Magyar Polgári Szövetség Kereszténydemokrata Néppárt,FIDESZ-MAGYAR POLGÁRI SZÖVETSÉG KERESZTÉNYDEMOKRATA NÉPPÁRT,FIDESZ-MAGYARPOLGÁRI SZÖVETSÉG KERESZTÉNYDEMOKRATA NÉPPÁRT,MIÉP-JOBBIK A HARMADIK ÚT,FÜGGETLEN KISGAZDA FÖLDMUNKÁS ÉS POLGÁRI PÁRT,KERESZTÉNYDEMOKRATAPÁRT KERESZTÉNYSZOCIÁLIS CENTRUM ÖSSZEFOGÁS,"FÜGGETLEN KISGAZDA -, NEMZETI EGYSÉG PÁRT",FIDESZ-MagyarPolgári Szövetség KERESZTÉNYDEMOKRATA NÉPPÁRT,FIDESZ-Magyar Polgári Szövetség KERESZTÉNYDEMOKRATA NÉPPÁRT,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG KERESZTÉNYDEMOKRATA NÉPPÁRT,MIÉP - JOBBIK A HARMADIK ÚT,FIDESZ Magyar Polgári Szövetség Kersztény Demokrata Néppárt,MAGYAR DEMOKRATA FORUM,Szabad Demokraták Szövetsége,Magyar Szocialista Párt,MAGYAROK EGYMÁSÉRT SZÖVETSÉGE,KERESSZTÉNYDEMOKRATAPÁRT- KERESZTÉNYSZOCIÁLIS CENTRUM ÖSSZEFOGÁS,MCF Roma Összefogás Párt,Szabad Demokraták Szövetsége- a Magyar Liberális Párt,MIÉP- Jobbik a Harmadik Út,Kereszténydemokratapárt Keresztényszociális Centrum Összefogás,FIDESZ-MAGYAR POLGÁRI SZÖVETSÉG KERESZTÉNYDEMOKRATA  NÉPPÁRT,KERESZTÉNYDEMOKRATAPÁRT - KERESZTÉNYSZOCIÁLIS CENTRUM ÖSSZEFOGÁS,FIDESZ- MAGYAR POLGÁRI SZÖVETSÉG KERESZTÉNYDEMOKRATA NÉPPÁRT,Szabad Demokraták Szövetsége a Magyar Liberális Párt,FIDESZ - Magyar Polgári Szövetség Kereszténydemokrata Néppárt
HU_0956,Budapest_I.,22763,18400,149,0,8626,4813,614,74,3157,967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0317,Budapest_II.,70652,58267,294,0,25905,16610,1723,228,10352,3155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1806,Budapest_III.,102913,79065,512,0,26986,34789,2251,495,9701,4331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0546,Budapest_IV.,81296,58887,369,0,17427,29558,1499,384,6142,3508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1339,Budapest_V.,23531,18236,109,0,7459,5799,576,78,3369,846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1658,Budapest_VI.,32703,23114,273,0,8370,8629,726,118,3828,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2974,Budapest_VII.,48404,33183,690,0,11091,13397,1050,159,5107,1689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2540,Budapest_VIII.,58478,37150,404,0,13100,15886,1168,291,4584,1717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2958,Budapest_IX.,46643,32164,230,0,11166,14054,929,225,3996,1564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1070,Budapest_X.,60802,42446,317,0,12482,22382,1079,358,3807,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1421,Budapest_XI.,108969,87122,1108,0,34569,32944,2677,386,10704,4734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2469,Budapest_XII.,49594,40888,232,0,19045,11375,1331,126,6700,2079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2429,Budapest_XIII.,87781,64015,726,0,18236,29871,1605,428,10154,2995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1633,Budapest_XIV.,92866,71306,402,0,24212,30623,2106,490,9852,3621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1131,Budapest_XV.,67256,49038,384,0,15345,24642,1518,283,4337,2529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0820,Budapest_XVI.,56878,44132,224,0,16619,18229,1508,225,4555,2772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0211,Budapest_XVII.,65240,48806,326,0,17091,22520,1431,363,4339,2736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2928,Budapest_XVIII.,77991,56933,263,0,18726,28148,1490,344,5016,2946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0401,Budapest_XIX.,49891,36569,230,0,11454,18169,873,252,3667,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0602,Budapest_XX.,52615,36710,274,0,11138,19117,989,227,3053,1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1318,Budapest_XXI.,63084,44042,345,0,11925,23895,1017,538,4042,2280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1021,Budapest_XXII.,41963,32154,159,0,12095,13455,1041,195,3431,1778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3413,Budapest_XXIII.,17146,12140,78,0,3915,6154,305,60,994,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1254,Abaliget,498,323,4,0,102,162,3,1,0,13,15,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0686,Adorjás,146,78,1,0,27,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1332,Almamellék,350,238,4,0,94,125,4,0,0,7,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2037,Almáskeresztúr,72,49,1,0,22,22,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_1738,Alsómocsolád,271,160,1,0,98,48,0,0,0,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_3327,Alsószentmárton,706,503,11,0,266,213,0,0,0,2,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2729,Apátvarasd,104,68,0,0,24,30,1,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0688,Aranyosgadány,285,178,2,0,67,93,1,2,0,6,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2581,Ág,142,90,2,0,26,57,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_2858,Áta,171,108,2,0,37,56,1,1,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_0540,Babarc,661,440,1,0,244,162,1,2,0,11,17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
