gisco_id,name,registered,turnout,invalid,blank,FIDESZ-KDNP,JOBBIK,MSZP-EGYÜTT-DK-PM-MLP,LMP,ZÖLDEK PÁRTJA,SEM,KTI,MUNKÁSPÁRT,SZOCIÁLDEMOKRATÁK,FÜGGETLEN KISGAZDAPÁRT,JESZ,EGYÜTT 2014,A HAZA NEM ELADÓ MOZGALOM PÁRT,SERES MÁRIA SZÖVETSÉGESEI,ÖSSZEFOGÁS,ÚDP,MCP,ÚMP
HU_09566,Budapest 01. ker.,20240,15140,92,0,7064,971,4875,1705,52,55,36,51,42,16,11,34,22,73,18,2,10,2
HU_03179,Budapest 02. ker.,67913,52112,284,0,23029,3134,18836,5531,145,149,96,109,131,57,68,143,69,164,94,9,15,2
HU_13578,Budapest 03. ker.,100146,71139,564,0,26541,8275,26519,6463,446,229,113,314,326,75,146,334,224,307,152,24,26,14
HU_05467,Budapest 04. ker.,79954,53169,326,0,18521,7243,20253,4444,229,252,143,375,286,87,98,188,212,289,110,17,51,9
HU_13392,Budapest 05. ker.,22292,16539,101,0,7344,1211,5668,1739,60,37,22,56,52,15,8,50,36,69,20,4,16,3
HU_16586,Budapest 06. ker.,27502,17431,143,0,6583,1635,6570,1944,69,52,29,59,64,23,43,54,30,62,29,6,18,4
HU_29744,Budapest 07. ker.,43957,27710,280,0,10105,2948,10236,3134,117,63,46,94,96,30,78,128,70,151,31,12,51,4
HU_25405,Budapest 08. ker.,56032,31656,287,0,12371,3765,10944,3066,147,74,60,168,129,27,69,109,89,142,35,17,122,12
HU_29586,Budapest 09. ker.,42901,26917,204,0,10254,3183,9484,2795,111,73,67,134,128,35,58,95,51,115,33,18,47,6
HU_10700,Budapest 10. ker.,59114,37242,260,0,13106,5465,13986,2763,159,113,101,281,188,66,105,172,93,226,68,14,27,15
HU_14216,Budapest 11. ker.,106934,79119,749,0,32861,6882,28352,7580,346,312,183,327,286,97,162,248,145,352,89,21,22,11
HU_24697,Budapest 12. ker.,46970,36471,226,0,16888,2196,12164,4047,104,117,80,79,98,62,38,114,49,107,34,4,17,3
HU_24299,Budapest 13. ker.,90860,60755,471,0,18759,6023,27448,5884,206,265,133,275,270,65,103,188,119,337,99,8,45,8
HU_16337,Budapest 14. ker.,92517,64879,641,0,23601,6726,25274,6287,234,179,247,355,256,55,146,211,151,280,97,19,41,25
HU_11314,Budapest 15. ker.,65373,43022,408,0,15670,6545,15523,3076,226,121,136,209,225,63,110,146,179,251,51,15,33,8
HU_08208,Budapest 16. ker.,56899,42164,309,0,17273,5234,14296,3486,154,137,88,148,193,53,112,136,119,241,108,9,14,13
HU_02112,Budapest 17. ker.,70369,48706,274,0,19451,7359,15915,3638,219,180,211,220,208,81,117,237,181,241,71,16,26,18
HU_29285,Budapest 18. ker.,80517,55316,349,0,20306,8842,19586,3983,251,196,193,251,214,94,126,231,210,289,72,17,33,22
HU_04011,Budapest 19. ker.,47643,32172,207,0,11455,4653,11996,2535,130,99,117,165,164,36,66,139,104,175,49,21,30,15
HU_06026,Budapest 20. ker.,52653,33649,249,0,12235,5550,11905,2292,139,86,114,196,183,42,62,110,90,201,61,12,47,14
HU_13189,Budapest 21. ker.,61877,40057,247,0,13551,7009,14769,2672,140,127,123,375,196,63,87,165,115,253,76,15,25,15
HU_10214,Budapest 22. ker.,43383,31164,182,0,13233,4051,10194,2319,193,95,86,127,139,54,44,99,79,153,53,8,18,9
HU_34139,Budapest 23. ker.,17331,11418,98,0,4207,2229,3638,767,42,23,37,79,46,19,18,48,31,55,24,3,7,7
HU_12548,Abaliget,539,318,3,0,127,74,77,22,1,0,3,6,1,0,0,1,2,0,0,0,1,0
HU_06868,Adorjás,148,82,4,0,29,3,36,3,0,1,0,4,0,0,0,0,1,0,0,0,1,0
HU_13329,Almamellék,343,218,0,0,124,31,48,4,1,0,0,0,0,0,3,1,0,0,0,0,0,0
HU_20376,Almáskeresztúr,63,42,0,0,21,11,6,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
HU_17385,Alsómocsolád,286,140,3,0,78,31,10,14,0,0,1,1,1,0,0,0,0,0,1,0,0,0
HU_33279,Alsószentmárton,769,561,7,0,358,0,132,3,1,0,0,2,1,0,0,0,1,4,0,0,48,0
HU_27298,Apátvarasd,109,63,1,0,33,18,3,4,0,1,0,1,0,1,0,1,0,0,0,0,0,0
HU_06886,Aranyosgadány,295,159,5,0,77,22,20,12,2,0,1,2,0,0,7,2,0,0,0,0,0,0
HU_25812,Ág,142,80,2,0,45,13,14,1,0,1,0,0,0,0,0,0,0,1,0,0,3,0
HU_28583,Áta,164,94,0,0,42,25,19,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0
HU_05403,Babarc,600,336,2,0,149,70,53,10,0,1,0,3,2,0,0,0,3,0,0,0,0,0
HU_09663,Babarcszőlős,93,50,0,0,30,3,8,2,0,0,0,0,1,0,0,0,0,0,0,0,6,0
HU_08299,Bakonya,290,160,0,0,59,46,39,10,0,0,0,0,2,1,0,0,0,0,0,0,2,0
HU_22275,Bakóca,256,109,1,0,65,14,23,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0
HU_03975,Baksa,642,366,9,0,87,83,143,9,1,1,1,5,0,1,0,1,4,5,0,0,1,0
HU_20464,Baranyahídvég,164,106,11,0,55,23,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HU_24749,Baranyajenő,360,148,0,0,52,44,42,7,0,0,1,0,0,0,0,2,0,0,0,0,0,0
HU_05485,Baranyaszentgyörgy,108,72,0,0,56,10,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
HU_15495,Basal,162,85,1,0,42,18,20,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
HU_07603,Bánfa,135,68,0,0,32,5,24,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0
HU_24378,Bár,464,262,1,0,125,46,37,13,0,1,1,0,0,0,1,0,1,0,0,0,0,0
