gisco_id,name,registered,turnout,invalid,blank,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,MI HAZÁNK MOZGALOM,MAGYAR KÉTFARKÚ KUTYA PÁRT,NORMÁLIS ÉLET PÁRTJA,MEGOLDÁS MOZGALOM,ORSZÁGOS LENGYEL ÖNKORMÁNYZAT,ORSZÁGOS ÖRMÉNY ÖNKORMÁNYZAT,MAGYARORSZÁGI GÖRÖGÖK ORSZÁGOS ÖNKORMÁNYZATA,MAGYARORSZÁGI NÉMETEK ORSZÁGOS ÖNKORMÁNYZATA,ORSZÁGOS HORVÁT ÖNKORMÁNYZAT,BOLGÁR ORSZÁGOS ÖNKORMÁNYZAT,ORSZÁGOS RUSZIN ÖNKORMÁNYZAT,UKRÁN ORSZÁGOS ÖNKORMÁNYZAT,ORSZÁGOS SZLOVÁK ÖNKORMÁNYZAT,SZERB ORSZÁGOS ÖNKORMÁNYZAT,MAGYARORSZÁGI ROMÁNOK ORSZÁGOS ÖNKORMÁNYZATA,ORSZÁGOS SZLOVÉN ÖNKORMÁNYZAT
HU_13578,Budapest,1274341,958755,8016,0,388310,454840,39103,49364,5016,11934,91,89,100,1307,92,79,89,115,79,82,47,2
HU_12548,Abaliget,510,369,3,0,178,140,19,21,4,1,0,0,0,3,0,0,0,0,0,0,0,0
HU_06868,Adorjás,134,85,3,0,69,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_13329,Almamellék,308,192,5,0,114,55,5,1,2,1,0,0,0,9,0,0,0,0,0,0,0,0
HU_20376,Almáskeresztúr,58,45,0,0,24,15,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_17385,Alsómocsolád,242,151,1,0,108,19,7,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0
HU_33279,Alsószentmárton,821,525,4,0,485,32,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_27298,Apátvarasd,102,66,0,0,42,16,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_06886,Aranyosgadány,295,173,0,0,107,22,21,11,3,4,0,0,0,5,0,0,0,0,0,0,0,0
HU_25812,Ág,131,99,1,0,70,24,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
HU_28583,Áta,144,93,5,0,56,16,5,3,5,1,0,0,0,1,1,0,0,0,0,0,0,0
HU_05403,Babarc,567,350,12,0,168,52,19,9,0,1,0,0,0,89,0,0,0,0,0,0,0,0
HU_09663,Babarcszőlős,85,56,0,0,42,10,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_08299,Bakonya,277,177,0,0,84,62,15,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_22275,Bakóca,221,107,0,0,91,12,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_03975,Baksa,617,410,4,0,240,123,25,7,2,9,0,0,0,0,0,0,0,0,0,0,0,0
HU_20464,Baranyahídvég,145,85,4,0,69,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_24749,Baranyajenő,359,193,1,0,127,49,12,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_05485,Baranyaszentgyörgy,86,63,0,0,54,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_15495,Basal,152,105,0,0,59,33,9,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_07603,Bánfa,132,79,0,0,52,22,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_24378,Bár,450,309,3,0,150,84,22,5,4,1,0,0,0,40,0,0,0,0,0,0,0,0
HU_19008,Belvárdgyula,313,197,1,0,133,39,15,5,2,0,0,0,0,1,1,0,0,0,0,0,0,0
HU_31927,Beremend,1912,1263,24,0,666,470,50,24,3,19,0,0,0,3,3,0,0,0,0,1,0,0
HU_16461,Berkesd,636,429,12,0,251,109,19,15,1,4,0,0,0,18,0,0,0,0,0,0,0,0
HU_30049,Besence,87,50,0,0,37,9,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_14119,Bezedek,172,135,37,0,74,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
HU_13310,Bicsérd,812,531,4,0,314,158,30,19,3,3,0,0,0,0,0,0,0,0,0,0,0,0
HU_04899,Bikal,561,384,11,0,148,155,26,15,0,0,0,0,0,29,0,0,0,0,0,0,0,0
HU_05139,Birján,424,302,4,0,137,98,18,7,2,5,0,0,0,26,5,0,0,0,0,0,0,0
HU_24925,Bisse,193,117,2,0,78,29,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_20899,Boda,327,239,2,0,140,66,20,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_33002,Bodolyabér,174,101,0,0,69,25,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_32151,Bogád,877,598,1,0,298,221,33,36,2,4,0,0,0,3,0,0,0,0,0,0,0,0
HU_21892,Bogádmindszent,330,216,6,0,144,40,18,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_10694,Bogdása,202,124,2,0,95,14,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_13116,Boldogasszonyfa,299,221,9,0,155,31,18,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0
HU_06725,Borjád,316,203,3,0,111,27,23,2,1,0,0,1,0,35,0,0,0,0,0,0,0,0
HU_14368,Bosta,113,75,1,0,55,12,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0
HU_13365,Botykapeterd,250,158,1,0,109,23,15,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0
HU_33154,Bóly,2728,1969,16,0,930,584,116,55,11,18,0,0,0,238,1,0,0,0,0,0,0,0
HU_23162,Bükkösd,865,490,8,0,283,115,31,14,4,1,0,0,0,34,0,0,0,0,0,0,0,0
HU_07533,Bürüs,63,39,0,0,30,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_30614,Csarnóta,105,62,0,0,30,21,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_19901,Csányoszró,500,294,1,0,191,78,9,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0
HU_21591,Csebény,72,51,0,0,31,12,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_26082,Cserdi,288,154,3,0,99,39,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_03896,Cserkút,520,383,0,0,153,169,34,17,3,6,0,0,0,1,0,0,0,0,0,0,0,0
HU_13851,Csertő,317,195,1,0,133,48,5,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0
HU_22576,Csonkamindszent,127,98,0,0,76,12,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
HU_11086,Cún,165,94,1,0,82,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_07773,Dencsháza,446,247,3,0,181,46,12,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
HU_11952,Dinnyeberki,56,31,0,0,23,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_32373,Diósviszló,546,325,3,0,232,63,14,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0
HU_28617,Drávacsehi,126,85,2,0,51,23,2,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0
HU_28121,Drávacsepely,175,116,1,0,81,22,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_17419,Drávafok,387,214,6,0,132,43,6,6,2,2,0,0,0,0,17,0,0,0,0,0,0,0
HU_32391,Drávaiványi,124,88,0,0,80,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_09159,Drávakeresztúr,86,45,1,0,19,6,1,2,0,0,0,0,0,0,16,0,0,0,0,0,0,0
HU_22734,Drávapalkonya,215,122,1,0,78,29,8,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
HU_12380,Drávapiski,66,35,1,0,29,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_28608,Drávaszabolcs,541,340,1,0,225,86,14,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_30030,Drávaszerdahely,140,96,1,0,55,29,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
HU_21698,Drávasztára,306,179,4,0,120,31,4,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0
HU_09186,Dunaszekcső,1494,854,21,0,485,190,40,8,9,2,0,0,0,99,0,0,0,0,0,0,0,0
HU_28918,Egerág,763,541,1,0,275,180,44,27,6,5,0,0,0,3,0,0,0,0,0,0,0,0
HU_16498,Egyházasharaszti,235,153,1,0,129,18,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
HU_27401,Egyházaskozár,578,372,6,0,152,138,52,8,5,2,0,0,0,9,0,0,0,0,0,0,0,0
HU_06099,Ellend,172,108,1,0,59,34,8,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
HU_28273,Endrőc,287,174,6,0,126,34,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
HU_25821,Erdősmárok,54,43,1,0,34,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_18704,Erdősmecske,278,176,1,0,121,27,6,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
HU_13499,Erzsébet,230,143,2,0,79,31,22,0,1,0,0,0,0,7,1,0,0,0,0,0,0,0
HU_17835,Fazekasboda,152,103,5,0,44,17,4,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0
HU_04543,Feked,151,128,5,0,40,29,7,1,0,2,0,0,0,44,0,0,0,0,0,0,0,0
HU_13286,Felsőegerszeg,108,72,4,0,49,13,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_08819,Felsőszentmárton,670,431,12,0,208,75,22,8,10,1,0,0,0,0,95,0,0,0,0,0,0,0
HU_07560,Garé,228,154,0,0,83,54,7,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0
HU_12751,Gerde,397,219,0,0,154,49,8,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
HU_02857,Geresdlak,596,393,6,0,229,83,15,9,0,1,0,0,0,50,0,0,0,0,0,0,0,0
HU_13347,Gerényes,149,80,0,0,70,5,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
