gisco_id,name,registered,turnout,invalid,blank,CC,FF,FG,LAB,GP,SF,IND,PD,CS,SOC,WP,IC,SW,IFF,IHA,NAT
IE_001,Carlow Kilkenny,97071,61688,844,0,0,30543,13309,8004,4961,2078,1949,0,0,0,0,0,0,0,0,0
IE_002,Cavan Monaghan,87595,62710,863,0,0,21614,15571,550,1100,10832,10691,1131,358,0,0,0,0,0,0,0
IE_003,Clare,80412,50341,539,0,0,22602,12680,1720,2903,0,9721,0,176,0,0,0,0,0,0,0
IE_004,Cork East,72702,46334,546,0,0,18914,13322,9605,1136,2624,0,0,187,0,0,0,0,0,0,0
IE_005,Cork North Central,79063,45692,548,0,0,18725,9202,5313,1155,2860,3154,3126,215,936,458,0,0,0,0,0
IE_006,Cork North West,53699,39393,574,0,0,19433,16335,2668,0,0,0,0,383,0,0,0,0,0,0,0
IE_007,Cork South Central,89646,55785,545,0,0,26831,10718,3282,4952,2063,6805,0,0,0,0,372,217,0,0,0
IE_008,Cork South West,54274,38132,434,0,0,14882,12189,3442,0,2207,4978,0,0,0,0,0,0,0,0,0
IE_010,Donegal North East,58208,36896,549,0,0,17954,7637,1021,0,3611,0,0,0,0,0,0,0,6124,0,0
IE_011,Donegal South West,54789,36135,500,0,0,14997,9058,1079,0,3829,6672,0,0,0,0,0,0,0,0,0
IE_014,Dublin Central,62180,34517,483,0,0,13472,3769,4136,1469,4972,5850,0,366,0,0,0,0,0,0,0
IE_018,Dublin Mid West,55184,28693,237,0,0,9122,3276,2563,3508,1855,1926,5706,107,0,393,0,0,0,0,0
IE_019,Dublin North,72908,43942,0,0,0,16803,5189,6359,7294,1350,285,0,247,5501,0,0,0,0,914,0
IE_020,Dublin North Central,65583,40475,427,0,0,20043,6809,4203,2275,2299,0,0,0,0,0,0,638,0,3781,0
IE_021,Dublin North East,52105,29634,316,0,0,11761,4504,4758,1656,3003,301,1219,0,0,0,0,0,0,2116,0
IE_022,Dublin North West,47641,26543,385,0,0,12435,2082,4391,607,4781,1100,0,154,0,608,0,0,0,0,0
IE_024,Dublin South,92645,55690,427,0,0,20250,10931,5247,5222,2172,0,8288,0,1063,0,0,0,0,2090,0
IE_025,Dublin South Central,86161,44768,752,0,0,15106,7456,8679,2299,5591,2068,1377,0,0,823,0,617,0,0,0
IE_026,Dublin South East,59896,32720,287,0,0,8767,5210,4032,5264,2398,99,6093,0,0,284,0,286,0,0,0
IE_027,Dublin South West,67947,37216,414,0,0,14235,4654,7285,1157,7466,291,0,760,954,0,0,0,0,0,0
IE_028,Dublin West,53780,29988,0,0,0,10386,3694,3810,748,2404,0,2370,134,6442,0,0,0,0,0,0
IE_029,Dún Laoghaire,91522,54071,438,0,0,16243,8069,12164,5002,2159,1370,7166,265,0,0,0,876,0,319,0
IE_030,Galway East,73659,49874,452,0,0,23117,15576,0,1022,1828,7786,0,93,0,0,0,0,0,0,0
IE_031,Galway West,82213,50146,680,0,0,20442,8359,5213,2193,2779,4288,6192,0,0,0,0,0,0,0,0
IE_033,Kerry North,55476,39524,351,0,0,11811,8652,8773,0,9496,208,0,0,0,0,0,0,0,233,0
IE_035,Kerry South,51761,37022,376,0,0,16357,6473,5307,0,0,8509,0,0,0,0,0,0,0,0,0
IE_036,Kildare North,60094,33271,291,0,0,14250,5786,7051,1974,0,0,3919,0,0,0,0,0,0,0,0
IE_037,Kildare South,58354,33132,501,0,0,15152,5795,6043,1208,0,546,3887,0,0,0,0,0,0,0,0
IE_038,Laoighis Offaly,95373,63888,671,0,0,32432,14553,1600,520,2600,587,9088,142,0,0,0,0,0,1695,0
IE_044,Limerick East,80593,50513,513,0,0,19973,13919,4629,917,0,3964,4885,86,0,0,0,0,0,1148,479
IE_045,Limerick West,53879,36145,476,0,0,19059,14856,0,948,0,662,0,144,0,0,0,0,0,0,0
IE_046,Longford–Roscommon,70650,50310,621,0,0,20251,15251,638,426,1673,6691,4679,80,0,0,0,0,0,0,0
IE_048,Louth,81952,48274,651,0,0,20751,9635,3185,1979,7121,4697,0,79,0,176,0,0,0,0,0
IE_049,Mayo,94854,64270,790,0,0,25380,23862,0,669,2085,10565,919,0,0,0,0,0,0,0,0
IE_050,Meath,108717,64081,0,0,0,28786,17452,2727,2337,6042,6557,0,180,0,0,0,0,0,0,0
IE_056,Sligo–Leitrim,70460,49494,523,0,0,19086,13059,2429,0,5001,9230,0,166,0,0,0,0,0,0,0
IE_059,Tipperary North,59427,41412,446,0,0,17475,6108,5537,0,0,10400,1446,0,0,0,0,0,0,0,0
IE_060,Tipperary South,56092,37056,390,0,0,14121,8997,3353,0,1210,8865,0,120,0,0,0,0,0,0,0
IE_061,Waterford,73725,47120,557,0,0,21576,10003,6219,1361,2955,407,2137,335,0,1270,0,300,0,0,0
IE_062,Westmeath,56054,34978,557,0,0,14336,9363,8967,0,1185,444,0,126,0,0,0,0,0,0,0
IE_063,Wexford,94586,61440,1017,0,0,24226,15552,7995,0,4964,7513,0,173,0,0,0,0,0,0,0
IE_064,Wicklow,89797,55296,736,0,0,17049,8704,16153,3208,1527,7520,0,0,0,0,0,399,0,0,0
