gisco_id,name,registered,turnout,invalid,blank,Fianna Fail,Fine Gael,Green/Comhaontas Glas,Labour,Sinn Féin,Progressive Democrats,Non party/Independent,Non party/Fathers Rights Responsibilities,Socialist,Workers',Comhar Criostai/Christian Solidarity,People Before Profit Alliance,Immigration Control Platform,Irish Socialist Network,Non party/Independent Labour
IE_001,Carlow Kilkenny,102016,68359,705,0,32272,20031,5386,6324,2568,1073,0,0,0,0,0,0,0,0,0
IE_002,Cavan Monaghan,92248,66547,760,0,24851,20528,2382,796,13162,0,4068,0,0,0,0,0,0,0,0
IE_003,Clare,79555,56770,385,0,24824,19854,2858,892,1929,810,5218,0,0,0,0,0,0,0,0
IE_004,Cork East,84354,54285,477,0,20431,16602,1572,11249,3672,0,116,166,0,0,0,0,0,0,0
IE_005,Cork North Central,67777,42818,471,0,15136,11674,1503,5221,3456,0,3310,84,1700,263,0,0,0,0,0
IE_006,Cork North West,64085,47021,401,0,24732,17913,1687,2288,0,0,0,0,0,0,0,0,0,0,0
IE_007,Cork South Central,91090,59660,592,0,26154,16782,4945,5466,3020,1596,1105,0,0,0,0,0,0,0,0
IE_008,Cork South West,61577,42907,410,0,18093,15299,2860,4095,2150,0,0,0,0,0,0,0,0,0,0
IE_010,Donegal North East,57244,38931,386,0,19374,8711,520,703,6733,0,2165,0,0,0,339,0,0,0,0
IE_011,Donegal South West,60829,40274,421,0,20136,9167,589,1111,8462,0,388,0,0,0,0,0,0,0,0
IE_014,Dublin Central,63423,35149,510,0,15398,3302,1995,4353,3182,193,5840,116,0,0,260,0,0,0,0
IE_018,Dublin Mid West,61347,37658,319,0,12321,4480,4043,4075,3462,4663,2871,0,0,366,0,1058,0,0,0
IE_019,Dublin North,80221,55052,411,0,22998,7667,9107,5256,1454,1395,1396,0,4872,0,210,0,286,0,0
IE_020,Dublin North Central,53443,36758,342,0,16029,9303,1891,2649,1375,0,5169,0,0,0,0,0,0,0,0
IE_021,Dublin North East,53778,35252,323,0,13864,8012,2349,5294,4661,749,0,0,0,0,0,0,0,0,0
IE_022,Dublin North West,51951,31387,423,0,15124,3083,853,6286,4873,0,0,0,0,240,0,0,0,505,0
IE_024,Dublin South,89464,61622,418,0,25298,16686,6768,6384,1843,4045,0,180,0,0,0,0,0,0,0
IE_025,Dublin South Central,86710,48320,789,0,15725,6838,2756,10041,4825,912,3937,0,0,256,155,2086,0,0,0
IE_026,Dublin South East,63468,34134,292,0,9720,6311,4685,5636,1599,4450,850,0,0,0,0,591,0,0,0
IE_027,Dublin South West,67148,42022,370,0,16355,8346,1546,8325,5066,0,0,434,1580,0,0,0,0,0,0
IE_028,Dublin West,52193,34188,206,0,12726,6928,1286,5799,1624,553,0,0,5066,0,0,0,0,0,0
IE_029,Dún Laoghaire,89035,59110,397,0,20471,13832,4534,9392,1292,3959,0,0,0,0,0,5233,0,0,0
IE_030,Galway East,81684,56274,480,0,22137,21832,1057,1747,1789,3321,3621,0,0,0,290,0,0,0,0
IE_031,Galway West,86602,55629,533,0,20468,11235,3026,6086,1629,8868,3784,0,0,0,0,0,0,0,0
IE_033,Kerry North,56216,39647,334,0,12304,12697,747,4287,8030,0,1248,0,0,0,0,0,0,0,0
IE_035,Kerry South,53660,39325,293,0,15868,9795,738,5263,1375,0,5993,0,0,0,0,0,0,0,0
IE_036,Kildare North,71311,45423,232,0,17851,9590,2215,7882,1103,983,5422,0,0,0,0,0,0,0,145
IE_037,Kildare South,56670,34938,347,0,17425,5939,2136,7154,0,1513,424,0,0,0,0,0,0,0,0
IE_038,Laoighis Offaly,103673,72153,662,0,40307,19560,812,1703,3656,4233,1064,0,0,0,156,0,0,0,0
IE_044,Limerick East,76874,49806,431,0,24042,12601,1296,5098,2081,3354,732,0,0,0,171,0,0,0,0
IE_045,Limerick West,58712,40812,381,0,19097,16153,969,2277,0,1935,0,0,0,0,0,0,0,0,0
IE_047,Longford Westmeath,83980,55473,557,0,22599,16999,960,9692,2136,2298,108,0,0,0,124,0,0,0,0
IE_048,Louth,86007,55606,592,0,23181,16159,4172,2739,8274,0,127,169,0,193,0,0,0,0,0
IE_049,Mayo,98696,72086,700,0,17459,38426,580,831,3608,296,10186,0,0,0,0,0,0,0,0
IE_051,Meath East,67443,43366,359,0,18735,11129,1330,5136,1695,957,4025,0,0,0,0,0,0,0,0
IE_052,Meath West,56267,40852,388,0,20874,11745,1011,1634,4567,0,506,127,0,0,0,0,0,0,0
IE_055,Roscommon Leitrim South,62437,46470,393,0,17897,18031,836,832,3876,0,4605,0,0,0,0,0,0,0,0
IE_057,Sligo Leitrim North,57517,40330,396,0,16360,15684,1209,1555,4684,0,442,0,0,0,0,0,0,0,0
IE_059,Tipperary North,57084,44783,352,0,15245,7061,495,4561,1672,634,14763,0,0,0,0,0,0,0,0
IE_060,Tipperary South,54637,39112,330,0,18004,8200,591,3400,1198,541,6848,0,0,0,0,0,0,0,0
IE_061,Waterford,73434,49958,430,0,23025,13552,1049,5610,3327,0,1257,0,0,1708,0,0,0,0,0
IE_063,Wexford,103562,69443,827,0,28949,21658,802,9445,5068,2162,532,0,0,0,0,0,0,0,0
IE_064,Wicklow,91492,65479,554,0,24706,15033,4790,10608,3234,903,5207,79,0,0,0,365,0,0,0
